"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK

0	1,0000000	0,5385482	0,2358806	0,9146014	0,3440369	0,4438891	0,0071687	0,1090132	0,2778417	0,0928674	0,3643314	0,0181000	0,4115610	0,1694385	0,1626532	0,0402006
20	1,0000000	0,5351356	0,1779579	0,7540102	0,3439092	0,4142922	0,1515947	0,1082565	0,2570191	0,0923092	0,3624847	0,0180737	0,4111342	0,3086637	0,1610955	0,2349346
40	1,0000000	0,5191782	0,1464342	0,6732399	0,3434146	0,3971803	0,2214219	0,1048482	0,2425169	0,0897161	0,3526146	0,0179307	0,4092302	0,3693479	0,1537533	0,3641951
60	1,0000000	0,4915669	0,1320684	0,6340716	0,3428010	0,3853515	0,2551818	0,0993591	0,2321085	0,0853303	0,3325583	0,0176340	0,4061934	0,3919757	0,1412342	0,4499315
80	1,0000000	0,4587431	0,1281290	0,6160341	0,3423609	0,3758518	0,2715037	0,0932605	0,2246408	0,0801802	0,3046984	0,0172047	0,4028451	0,3960671	0,1265560	0,5067956
100	1,0000000	0,4276684	0,1297033	0,6083792	0,3421891	0,3678749	0,2793949	0,0876939	0,2193563	0,0752302	0,2742341	0,0167040	0,3998073	0,3922285	0,1124283	0,5445208
120	1,0000000	0,4028528	0,1333878	0,6055977	0,3422216	0,3615102	0,2832100	0,0832239	0,2156820	0,0710878	0,2462034	0,0162047	0,3973825	0,3864649	0,1003952	0,5695591
140	1,0000000	0,3856883	0,1371417	0,6049503	0,3423485	0,3569288	0,2850545	0,0799673	0,2131737	0,0679851	0,2235413	0,0157633	0,3956295	0,3816175	0,0909774	0,5861844
160	1,0000000	0,3753646	0,1400368	0,6051296	0,3424861	0,3540287	0,2859463	0,0777868	0,2114928	0,0658790	0,2069989	0,0154079	0,3944684	0,3784999	0,0840678	0,5972288
180	1,0000000	0,3701059	0,1418822	0,6055481	0,3425933	0,3524564	0,2863774	0,0764419	0,2103871	0,0645805	0,1959295	0,0151415	0,3937636	0,3769280	0,0792612	0,6045692
200	1,0000000	0,3680631	0,1428556	0,6059670	0,3426606	0,3517752	0,2865859	0,0756823	0,2096724	0,0638590	0,1890895	0,0149523	0,3933752	0,3764002	0,0760648	0,6094500
220	1,0000000	0,3677571	0,1432435	0,6063077	0,3426944	0,3516027	0,2866867	0,0752958	0,2092174	0,0635065	0,1851781	0,0148227	0,3931857	0,3764363	0,0740159	0,6126965
240	1,0000000	0,3681955	0,1433042	0,6065594	0,3427058	0,3516671	0,2867354	0,0751251	0,2089309	0,0633648	0,1831099	0,0147359	0,3931088	0,3766961	0,0727372	0,6148564
260	1,0000000	0,3688123	0,1432206	0,6067353	0,3427052	0,3518060	0,2867590	0,0750657	0,2087513	0,0633283	0,1820994	0,0146781	0,3930877	0,3769848	0,0719491	0,6162935
280	1,0000000	0,3693440	0,1431002	0,6068543	0,3426997	0,3519385	0,2867704	0,0750553	0,2086384	0,0633347	0,1816388	0,0146390	0,3930896	0,3772159	0,0714612	0,6172495
300	1,0000000	0,3697095	0,1429948	0,6069329	0,3426936	0,3520352	0,2867759	0,0750610	0,2085668	0,0633519	0,1814329	0,0146120	0,3930975	0,3773684	0,0711520	0,6178854
320	1,0000000	0,3699185	0,1429212	0,6069840	0,3426887	0,3520937	0,2867785	0,0750682	0,2085207	0,0633663	0,1813290	0,0145927	0,3931043	0,3774527	0,0709483	0,6183083
340	1,0000000	0,3700136	0,1428781	0,6070170	0,3426854	0,3521224	0,2867798	0,0750722	0,2084905	0,0633746	0,1812587	0,0145785	0,3931081	0,3774895	0,0708083	0,6185893
360	1,0000000	0,3700400	0,1428577	0,6070382	0,3426835	0,3521322	0,2867805	0,0750726	0,2084704	0,0633773	0,1811979	0,0145678	0,3931092	0,3774985	0,0707087	0,6187761
380	1,0000000	0,3700325	0,1428514	0,6070516	0,3426827	0,3521320	0,2867808	0,0750708	0,2084569	0,0633766	0,1811422	0,0145597	0,3931087	0,3774943	0,0706364	0,6189002
400	1,0000000	0,3700133	0,1428521	0,6070600	0,3426824	0,3521279	0,2867809	0,0750681	0,2084478	0,0633743	0,1810933	0,0145536	0,3931074	0,3774858	0,0705837	0,6189826
420	1,0000000	0,3699942	0,1428555	0,6070653	0,3426825	0,3521233	0,2867810	0,0750654	0,2084417	0,0633718	0,1810532	0,0145489	0,3931061	0,3774778	0,0705454	0,6190374
440	1,0000000	0,3699797	0,1428591	0,6070686	0,3426826	0,3521195	0,2867810	0,0750632	0,2084375	0,0633697	0,1810228	0,0145454	0,3931050	0,3774719	0,0705181	0,6190738
460	1,0000000	0,3699706	0,1428619	0,6070706	0,3426828	0,3521170	0,2867810	0,0750616	0,2084348	0,0633681	0,1810011	0,0145428	0,3931042	0,3774683	0,0704990	0,6190979
480	1,0000000	0,3699659	0,1428637	0,6070718	0,3426829	0,3521156	0,2867810	0,0750607	0,2084330	0,0633672	0,1809867	0,0145409	0,3931037	0,3774665	0,0704858	0,6191140
500	1,0000000	0,3699641	0,1428647	0,6070725	0,3426829	0,3521150	0,2867810	0,0750601	0,2084318	0,0633666	0,1809776	0,0145395	0,3931035	0,3774658	0,0704769	0,6191247
520	1,0000000	0,3699638	0,1428651	0,6070729	0,3426830	0,3521149	0,2867810	0,0750599	0,2084311	0,0633664	0,1809723	0,0145385	0,3931034	0,3774658	0,0704709	0,6191318
