"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK

0	1,0000000	0,5386315	0,2358729	0,9146009	0,3440366	0,4438589	0,0071687	0,1090941	0,2784881	0,0928709	0,3643599	0,0180979	0,4116764	0,1694299	0,1627540	0,0403208
20	1,0000000	0,5382925	0,2245836	0,8821281	0,3440244	0,4386363	0,0500830	0,1089921	0,2748658	0,0927617	0,3641351	0,0180959	0,4115967	0,1945166	0,1625095	0,0727018
40	1,0000000	0,5350685	0,2026558	0,8218250	0,3439133	0,4282747	0,1199665	0,1082251	0,2672490	0,0917638	0,3617783	0,0180657	0,4111559	0,2401047	0,1604740	0,1421909
60	1,0000000	0,5259031	0,1808008	0,7629109	0,3436526	0,4168265	0,1791059	0,1061837	0,2582819	0,0892330	0,3544228	0,0179675	0,4100199	0,2834868	0,1549695	0,2221070
80	1,0000000	0,5100242	0,1634956	0,7150475	0,3433047	0,4056784	0,2207792	0,1028602	0,2493700	0,0853454	0,3404463	0,0177739	0,4081892	0,3172722	0,1459478	0,2989365
100	1,0000000	0,4890647	0,1517892	0,6795204	0,3429728	0,3952815	0,2476764	0,0986923	0,2412376	0,0807653	0,3204291	0,0174826	0,4059053	0,3406028	0,1346230	0,3666758
120	1,0000000	0,4659426	0,1450018	0,6545446	0,3427281	0,3858746	0,2641629	0,0942478	0,2342044	0,0762176	0,2967799	0,0171165	0,4034779	0,3552987	0,1225737	0,4234283
140	1,0000000	0,4435471	0,1417871	0,6376173	0,3425890	0,3776793	0,2739304	0,0900095	0,2283487	0,0722355	0,2725082	0,0167134	0,4011687	0,3639109	0,1111193	0,4694029
160	1,0000000	0,4239150	0,1407745	0,6264441	0,3425368	0,3708609	0,2795799	0,0862897	0,2236122	0,0690851	0,2501243	0,0163127	0,3991470	0,3687245	0,1010915	0,5057705
180	1,0000000	0,4080214	0,1408858	0,6192151	0,3425398	0,3654593	0,2827895	0,0832312	0,2198681	0,0668030	0,2311469	0,0159446	0,3974890	0,3713972	0,0928543	0,5340341
200	1,0000000	0,3959668	0,1414159	0,6146105	0,3425689	0,3613770	0,2845881	0,0808469	0,2169637	0,0652798	0,2161190	0,0156269	0,3962002	0,3729663	0,0864265	0,5557018
220	1,0000000	0,3873061	0,1419820	0,6117138	0,3426041	0,3584196	0,2855851	0,0790689	0,2147457	0,0643422	0,2048747	0,0153657	0,3952423	0,3740019	0,0816181	0,5721341
240	1,0000000	0,3813556	0,1424231	0,6099099	0,3426348	0,3563529	0,2861328	0,0777909	0,2130737	0,0638127	0,1968526	0,0151590	0,3945564	0,3747776	0,0781439	0,5844868
260	1,0000000	0,3774090	0,1427065	0,6087959	0,3426572	0,3549494	0,2864315	0,0768998	0,2118266	0,0635423	0,1913518	0,0149998	0,3940798	0,3754051	0,0757023	0,5937054
