"Time"	paaX	maoC	ihfB	hipA	hipB	paaE	paaC	paaH	paaD	paaA	paaF	paaJ	paaI	paaB	paaG	paaK

0	0,7072335	0,4493246	0,1632104	0,7785155	0,2825385	0,3851644	0,0119585	0,1400830	0,2368007	0,0972607	0,3322163	0,0255010	0,2661540	0,1463332	0,0977337	0,0200237
20	0,7718385	0,3366854	0,1846469	0,6245721	0,2882419	0,2415719	0,0416123	0,0726166	0,1481445	0,0557732	0,2905584	0,0173586	0,2098975	0,1032192	0,1699815	0,0298128
40	0,8641141	0,3691853	0,2180630	0,5499970	0,2718089	0,4339301	0,0612079	0,0806138	0,1489110	0,0536772	0,2497476	0,0271893	0,2779852	0,1607613	0,1090220	0,0332583
60	0,7690594	0,3279032	0,1216469	0,6550647	0,2364620	0,2834254	0,1247283	0,0798304	0,1421374	0,0682337	0,3105798	0,0211584	0,2420724	0,2763666	0,1778475	0,1228405
80	0,7622008	0,4272309	0,1406325	0,4660642	0,3442559	0,2500582	0,2425009	0,0958695	0,1527722	0,0663707	0,2985388	0,0225907	0,2244311	0,2130204	0,1316396	0,2179954
100	0,8416317	0,3663009	0,1382159	0,6061361	0,3283076	0,2278379	0,1305159	0,0724153	0,1842741	0,0372085	0,1743308	0,0293962	0,2820981	0,2666677	0,1594651	0,2226078
120	0,9552564	0,3661510	0,1344799	0,5686261	0,2810728	0,2611126	0,2514322	0,0532483	0,1158725	0,0547405	0,2141343	0,0204983	0,3530588	0,2076803	0,1298477	0,2936371
140	0,8483308	0,3836079	0,1000395	0,5115815	0,2574408	0,3402499	0,2024085	0,0424063	0,1377361	0,0911441	0,2151484	0,0325593	0,2924896	0,2489607	0,0670969	0,3513688
160	0,6901322	0,3668883	0,1089078	0,4735825	0,2582113	0,2823693	0,1639155	0,0376522	0,1486057	0,0455913	0,1797142	0,0263958	0,3652289	0,2262688	0,0862896	0,4061191
180	0,7247479	0,2852233	0,0800910	0,5470201	0,2872590	0,2311885	0,1891963	0,0446361	0,2472915	0,0595973	0,1741035	0,0220993	0,2248009	0,2216250	0,0827993	0,4518755
200	0,8721791	0,2579297	0,0511878	0,5596955	0,2222223	0,2626572	0,1994377	0,0495202	0,1505597	0,0490279	0,1556738	0,0158197	0,3156711	0,2843558	0,0894981	0,4996497
220	0,7193035	0,4207732	0,1361862	0,4095453	0,2349186	0,2363434	0,2087965	0,0434781	0,1841003	0,0252943	0,2464133	0,0714009	0,3956746	0,2516015	0,0543364	0,5061550
240	0,6002135	0,3280593	0,1115158	0,4240451	0,3200983	0,2246860	0,2193345	0,0460606	0,1366245	0,0333514	0,1684195	0,0274421	0,2727583	0,2521584	0,0551756	0,5625825
260	0,8166367	0,2533152	0,0988675	0,4344935	0,3262347	0,2371087	0,2370147	0,0271909	0,1332468	0,0319150	0,1746379	0,0210841	0,2866559	0,2897307	0,0650996	0,4641675
280	0,6881744	0,2734343	0,1080765	0,5809712	0,3208230	0,2607488	0,2869635	0,0314685	0,1381790	0,0522733	0,2795561	0,0128979	0,3132859	0,3089448	0,0519672	0,4598506
300	0,7137398	0,3919830	0,1226495	0,4925850	0,2603222	0,2675015	0,1813184	0,0751084	0,1689828	0,0892181	0,2525145	0,0404013	0,2746666	0,3048436	0,0475771	0,5355401
320	0,8287097	0,2588189	0,1160504	0,5294738	0,2373096	0,1952228	0,1806055	0,0898945	0,1678315	0,0959817	0,1307845	0,0206362	0,2240690	0,2726854	0,0626550	0,4301424
340	0,7002192	0,3239100	0,1237331	0,5061623	0,2445046	0,2467708	0,1947571	0,0379538	0,1339085	0,0567503	0,1346917	0,0070808	0,2687991	0,3353860	0,0593988	0,4491151
360	0,7158991	0,2314125	0,0828434	0,4300521	0,3058542	0,2444243	0,2422593	0,0525844	0,1813944	0,0345691	0,1191126	0,0191938	0,2955587	0,2631400	0,0557173	0,4650500
380	0,6771646	0,3271626	0,1143849	0,4670365	0,3293045	0,2535018	0,2337290	0,0703065	0,2191685	0,0716591	0,1701544	0,0130279	0,2907919	0,3006450	0,0919739	0,5070047
400	0,6949999	0,2612119	0,1094100	0,4812966	0,2365069	0,2333539	0,3300901	0,0384482	0,1933392	0,0274563	0,1729362	0,0153635	0,2960759	0,2531452	0,0556644	0,4853194
420	0,7159743	0,3255162	0,1096270	0,4459901	0,3048019	0,3128284	0,1935954	0,0231928	0,1391305	0,0262935	0,1539676	0,0200864	0,3599688	0,3386925	0,0604753	0,5679366
440	0,8081627	0,2333213	0,0806593	0,4633056	0,2354461	0,2826033	0,2142757	0,0378531	0,1506849	0,0667138	0,1068778	0,0113856	0,3802878	0,3544611	0,0687794	0,5293524
460	0,8086929	0,3296917	0,1186650	0,4578028	0,2903257	0,2397287	0,1912541	0,0758161	0,2362937	0,0463145	0,1426428	0,0225024	0,3245090	0,2617165	0,0400233	0,4533130
480	0,8657791	0,2177812	0,1642363	0,3879750	0,2504149	0,2881776	0,2918579	0,0901420	0,1891852	0,0349426	0,1696344	0,0160236	0,3766030	0,3032046	0,0944819	0,2601960
500	0,8633240	0,2348103	0,1305112	0,4556765	0,2033768	0,2590646	0,2760225	0,0787109	0,2252673	0,0505896	0,2132116	0,0137233	0,3567642	0,3961513	0,0575094	0,3215758
520	0,7460182	0,1851503	0,1274261	0,4632730	0,2437272	0,2070459	0,2708582	0,0273048	0,2078991	0,0464848	0,2324986	0,0096295	0,3862078	0,3865054	0,0387777	0,4904368
540	0,7956478	0,2131319	0,1586945	0,3663805	0,2828173	0,1960994	0,2463168	0,0373233	0,2220356	0,0484141	0,2541579	0,0066315	0,3131792	0,2794439	0,0491159	0,5137081
560	0,9338139	0,2766862	0,1321449	0,5036187	0,2905141	0,2870458	0,2417874	0,0347376	0,3032328	0,0480995	0,1628443	0,0147925	0,3102163	0,2197842	0,0794989	0,4197799
580	0,8329480	0,2106850	0,1013306	0,5211367	0,1995723	0,3131941	0,1901161	0,0442709	0,2292365	0,0482159	0,1805284	0,0204863	0,4095697	0,2603525	0,0787009	0,4176457
600	0,7871228	0,3348390	0,1244349	0,5305429	0,3144157	0,1886220	0,1215447	0,0989051	0,2093456	0,0498851	0,1833076	0,0072487	0,3671570	0,1998129	0,0803722	0,4155451
620	0,8100363	0,2718138	0,1881544	0,6510675	0,2213438	0,3415153	0,1009246	0,0660493	0,2407135	0,1072531	0,1620608	0,0181700	0,3223344	0,2364216	0,0924713	0,3786094
640	0,7939754	0,2710509	0,1704990	0,5956366	0,2408198	0,2340487	0,0523034	0,0738133	0,1629563	0,0728873	0,1850354	0,0202960	0,3381037	0,1437037	0,0956738	0,2313704
660	0,7678082	0,3841171	0,1911252	0,6369981	0,2442424	0,2748865	0,0263016	0,0693790	0,2014130	0,0618241	0,2049329	0,0306647	0,3903952	0,1160847	0,0784484	0,1780799
680	0,7888840	0,3849647	0,1896528	0,8338385	0,2098459	0,3057824	0,0329081	0,0419233	0,1419561	0,0457910	0,2264185	0,0156067	0,3001199	0,1117571	0,1116916	0,1433732
700	0,8156600	0,4097807	0,1839833	0,6716946	0,2984044	0,3579468	0,0303182	0,1027139	0,1273295	0,0608444	0,2061813	0,0084388	0,2777607	0,0799030	0,0831991	0,1609364
720	0,8244001	0,3705657	0,2020557	0,7804823	0,2174444	0,2857688	0,0251923	0,0486999	0,1638092	0,0628356	0,2110521	0,0063973	0,2858061	0,0982664	0,0977394	0,1881619
740	0,7956780	0,4554269	0,1570478	0,7474259	0,3461696	0,3581237	0,0150531	0,0677677	0,2242476	0,0776158	0,2769589	0,0179925	0,2597654	0,0696479	0,1307609	0,0934030
760	0,8531995	0,4187248	0,1848010	0,6505686	0,2892811	0,2531223	0,0156362	0,0452866	0,1740626	0,0828769	0,2681486	0,0314893	0,3047271	0,0907504	0,1290838	0,0902390
780	0,7599138	0,4247241	0,1663483	0,8801425	0,2988459	0,3112407	0,0268548	0,0708784	0,1877423	0,1034424	0,2723687	0,0353557	0,3406615	0,0842838	0,1047993	0,0963521
800	0,7601858	0,3567373	0,2142165	0,7160089	0,2171075	0,3074845	0,0421804	0,0728919	0,1732188	0,0483120	0,2805354	0,0219955	0,3318417	0,0807015	0,1058002	0,1427205
820	0,8950757	0,3402356	0,2386660	0,6337905	0,3335061	0,3089547	0,0104433	0,1345832	0,2014850	0,0977096	0,3658411	0,0186212	0,3114551	0,1438109	0,1158999	0,0680818
840	0,8343062	0,3633244	0,1810010	0,6698755	0,1726378	0,2356084	0,0042596	0,1112843	0,2156914	0,0862057	0,2865389	0,0095112	0,3263293	0,1544416	0,1155418	0,0684751
860	0,7290430	0,4046146	0,2157923	0,7146750	0,1987652	0,3612216	0,0223554	0,1184755	0,1699754	0,0474172	0,3656319	0,0069769	0,3164582	0,1352755	0,1154705	0,0705725
