"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE

0	0,5438122	0,7903779	0,0693168	0,2461814	0,4377836	0,1082479	0,6649620	0,5255584	0,6536385	0,5073944	0,0985405	0,4061297	0,3730538	0,3805350	0,4724962	0,2943816
20	0,4098586	0,8000368	0,0591435	0,1784671	0,4178437	0,0517572	0,5429100	0,4015477	0,6993808	0,3709543	0,0500147	0,4743632	0,2026251	0,2923860	0,4192782	0,3147390
40	0,3022892	0,7466471	0,0429784	0,2358402	0,3218863	0,0304503	0,5096572	0,4577759	0,6192460	0,4841641	0,0628751	0,4414861	0,3170321	0,2635730	0,4362320	0,2519818
60	0,3055481	0,7618481	0,0457043	0,2201279	0,2461158	0,0164083	0,6370788	0,4588562	0,7333961	0,4234180	0,0531274	0,4149441	0,3335652	0,2346320	0,5115482	0,3718926
80	0,3390561	0,8375839	0,0536163	0,2002127	0,2982947	0,0330823	0,5266182	0,4299555	0,4923413	0,5038982	0,0675682	0,4472869	0,3811618	0,2399493	0,4540391	0,2891497
100	0,2530403	0,7393335	0,0378056	0,1793635	0,3532030	0,0016281	0,5704558	0,4898199	0,4965354	0,5063972	0,0614090	0,4427475	0,3834891	0,2199244	0,4345477	0,2267802
120	0,3070246	0,7691095	0,0503009	0,1771774	0,3814717	0,0227512	0,5945825	0,6041608	0,5043380	0,5466086	0,1050087	0,6749945	0,4710067	0,3402772	0,3380466	0,2272485
140	0,2642363	0,8908100	0,0373883	0,1618260	0,4194285	0,0123926	0,5649070	0,5922290	0,4033431	0,6417638	0,0609207	0,5290779	0,4460160	0,2387753	0,4230617	0,2427901
160	0,3126566	0,6710745	0,0416235	0,2333867	0,3155057	0,0228508	0,5476676	0,6615152	0,3781124	0,6067573	0,0901476	0,5686898	0,5689994	0,4111068	0,3642819	0,2625810
180	0,3967416	0,5390258	0,0602471	0,1889482	0,3707682	0,0107379	0,6267486	0,5542123	0,3299953	0,5514165	0,0825108	0,5055286	0,5674465	0,3500864	0,3872410	0,2686687
200	0,3392427	0,6003069	0,0710279	0,2300874	0,3909495	0,0242589	0,7582368	0,6137176	0,3752905	0,5526746	0,0708637	0,5840023	0,5151065	0,4231108	0,4169030	0,3035329
220	0,2839977	0,6746072	0,0477944	0,2212175	0,3932392	0,0201969	0,7481048	0,5842711	0,3498263	0,5158088	0,0633304	0,5149800	0,5616574	0,3607486	0,3359536	0,3024202
240	0,3042323	0,6197387	0,0650867	0,1850174	0,4006603	0,0199936	0,6497805	0,5817945	0,3785879	0,6098716	0,0830908	0,5784991	0,5324449	0,3274522	0,2953358	0,2657548
260	0,2720112	0,8743608	0,0407080	0,2642747	0,3666799	0,0265297	0,7757596	0,6129349	0,4136356	0,6968946	0,1187839	0,5362414	0,6299387	0,4669317	0,3155504	0,3733257
280	0,3458403	0,7310353	0,0499256	0,1840411	0,4767210	0,0355349	0,5766115	0,4121734	0,4782864	0,5984790	0,1092787	0,6157813	0,4991077	0,3970354	0,3155589	0,3631836
300	0,3373916	0,7180845	0,0406089	0,1864021	0,4666587	0,0115503	0,7539392	0,5297661	0,4214972	0,6080807	0,1394021	0,5037757	0,4984499	0,2958010	0,3498822	0,2936821
320	0,2627372	0,7157683	0,0446882	0,1580214	0,3973320	0,0139486	0,6961464	0,4923237	0,3904411	0,6555446	0,1265106	0,5041582	0,4570326	0,4294876	0,2966410	0,2987620
340	0,2836186	0,7882633	0,1064254	0,2019188	0,3311950	0,0033512	0,7605441	0,6009918	0,4548111	0,6654205	0,1517178	0,5406405	0,5738624	0,3160359	0,2990661	0,3596181
360	0,2340253	0,7682316	0,1049358	0,2545164	0,2957360	0,0131653	0,6963787	0,6355108	0,5690930	0,5958529	0,1352154	0,5949962	0,4758821	0,2936408	0,3830886	0,2627923
380	0,4216388	0,6684268	0,0688461	0,2499766	0,2169506	0,0072501	0,6945958	0,5405985	0,4599517	0,6057512	0,1402324	0,6004079	0,4836975	0,3783508	0,3700228	0,2751327
400	0,2875112	0,7777444	0,0723510	0,2282266	0,2682524	0,0176320	0,6141026	0,4675445	0,3917982	0,6087350	0,0794180	0,6961316	0,4439114	0,3464218	0,3364793	0,2214384
420	0,2996156	0,8724100	0,0521381	0,2370950	0,4253946	0,0212666	0,6313797	0,5328202	0,4792868	0,5223944	0,1214407	0,6936589	0,6021135	0,4198075	0,3500656	0,2727877
440	0,2728812	0,7446042	0,0542659	0,2286089	0,3122760	0,0283532	0,6780630	0,5929176	0,3815176	0,5657418	0,1360639	0,5487569	0,4768828	0,4548082	0,4073360	0,2683804
460	0,3692422	0,6747649	0,0645306	0,1627169	0,3977726	0,0475083	0,6559764	0,6040528	0,3525093	0,5461596	0,2091632	0,6517945	0,4748809	0,4184039	0,3134050	0,3038957
480	0,3236744	0,8009699	0,0858293	0,1690388	0,3862451	0,0264716	0,6019257	0,7811102	0,4267094	0,5820685	0,1348017	0,5196471	0,4048311	0,4773014	0,3593612	0,2634409
500	0,3203093	0,7501663	0,0732590	0,1896251	0,3806345	0,0158427	0,6441992	0,4569558	0,3402008	0,6523657	0,1469434	0,5533596	0,3889588	0,3856128	0,2957362	0,3811331
