"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE

0	0,7499971	1,0703927	0,0832195	0,2748605	0,6641118	0,1756837	0,8432911	0,6525918	0,8548055	0,5404004	0,1141584	0,5636655	0,3943092	0,4479596	0,6463446	0,4656693
20	0,6170182	1,0759601	0,0640694	0,2926538	0,4881036	0,0890172	0,8119959	0,6930626	0,8490836	0,5854832	0,0861052	0,6035372	0,3516177	0,3555520	0,6692115	0,3879816
40	0,5093897	0,9960154	0,0598603	0,2685740	0,3865375	0,0473917	0,8296826	0,6955174	0,8311344	0,5896600	0,0929327	0,5548349	0,3771444	0,3809828	0,6064306	0,3519567
60	0,4664469	0,9737935	0,0578033	0,3085249	0,3780057	0,0206241	0,7889596	0,6916846	0,8146769	0,6154520	0,0878683	0,5540410	0,4179637	0,3338048	0,6059542	0,3652826
80	0,4279420	1,0298872	0,0470967	0,2673462	0,4188724	0,0150998	0,7511022	0,6338091	0,7938037	0,6310073	0,0811585	0,5863010	0,4458302	0,3700830	0,6273992	0,3525830
100	0,4058425	1,0714007	0,0351236	0,2786008	0,5005747	0,0072415	0,8167421	0,6349936	0,7816771	0,6762406	0,0728347	0,6392753	0,4895716	0,3559448	0,5343685	0,3508492
120	0,3885897	1,0422311	0,0440058	0,2527326	0,4802348	0,0143260	0,7898599	0,7386812	0,6935928	0,7749808	0,1256397	0,7210130	0,5841831	0,4465816	0,4965413	0,3562564
140	0,3767402	1,0068646	0,0527061	0,2685529	0,5887466	0,0194995	0,7610101	0,7796031	0,5913557	0,7626386	0,1401945	0,7404054	0,6084371	0,4326938	0,4980288	0,3545995
160	0,3689068	1,0222218	0,0586398	0,2512530	0,5471412	0,0195806	0,8179693	0,8037734	0,5676751	0,7667917	0,1347752	0,7217154	0,7060764	0,5000490	0,4875922	0,3892564
180	0,4193698	1,0007372	0,0587893	0,2603645	0,5335717	0,0180676	0,8459139	0,8151580	0,4815825	0,7489076	0,1294278	0,7407366	0,7308044	0,5228490	0,5157750	0,3598809
200	0,4283057	0,9810557	0,0798505	0,2964123	0,5353148	0,0206301	0,8919726	0,8305995	0,4933410	0,7391770	0,1266952	0,8021577	0,6908003	0,6159534	0,5209725	0,3937396
220	0,4036225	0,9797251	0,0629851	0,2920778	0,5007636	0,0332166	0,9490175	0,7940483	0,5364053	0,7409596	0,1180952	0,7756915	0,7490527	0,5370001	0,5001609	0,3883678
240	0,4010835	0,9599274	0,0592465	0,2902177	0,5214189	0,0217481	0,9944203	0,6652985	0,5343093	0,7962376	0,1531598	0,8189837	0,7642756	0,4967906	0,4643777	0,3813658
260	0,3853571	1,0271944	0,0491164	0,2912849	0,5217121	0,0384105	0,9424825	0,7885963	0,5400952	0,9138894	0,1751548	0,7832802	0,8136019	0,5063818	0,4675140	0,4095367
280	0,4084379	1,0520774	0,0531237	0,2613418	0,5767463	0,0384126	0,9231160	0,6436362	0,5645076	0,8847202	0,1795188	0,8259157	0,7890771	0,5499854	0,4535673	0,4212147
300	0,3870105	1,0843220	0,0573689	0,2599849	0,5576911	0,0258661	0,9523866	0,7545655	0,6152411	0,8855647	0,1933467	0,7524358	0,7565686	0,4993398	0,4730456	0,3968593
320	0,3737801	1,0105299	0,0701942	0,2669901	0,5174177	0,0327755	0,9656087	0,7248072	0,5900730	0,8893025	0,1654077	0,7977455	0,6952111	0,5360235	0,4331884	0,3771450
340	0,4331760	1,0657525	0,0776197	0,2767961	0,5026081	0,0136587	0,9244537	0,8323839	0,5484229	0,9125191	0,1877565	0,7526570	0,7730680	0,5011105	0,4270996	0,4211398
360	0,3828479	1,0086629	0,1009715	0,3361995	0,4453951	0,0171126	0,9620850	0,8320243	0,5583514	0,9331697	0,1859279	0,7802887	0,7379010	0,4600950	0,4821918	0,3685176
380	0,4006569	1,0294513	0,0782810	0,3304766	0,4220132	0,0170192	0,9144357	0,7340198	0,5265353	0,8834769	0,1553096	0,8355127	0,7655998	0,5360988	0,5066815	0,3728016
400	0,4370892	1,0337919	0,0794771	0,3349283	0,4593544	0,0198264	0,8568921	0,7587516	0,5104961	0,8832785	0,1279108	0,8789809	0,7188471	0,5380454	0,4888096	0,3421790
420	0,4250981	1,0618487	0,0840743	0,2958291	0,5078329	0,0238851	0,8946594	0,7177329	0,5244147	0,8437379	0,1695665	0,8517801	0,7023512	0,5166948	0,4308317	0,3681899
440	0,4556415	1,0693176	0,0793564	0,2989446	0,5223017	0,0235901	0,9095336	0,7354159	0,5621998	0,8461664	0,1873679	0,8633857	0,6911401	0,5684875	0,4558035	0,4204801
460	0,4991464	1,1270283	0,0864824	0,2737938	0,5174881	0,0367379	0,8479150	0,7998349	0,5269082	0,8016418	0,2421740	0,8730002	0,6692073	0,6015092	0,5137153	0,4136349
480	0,4907241	1,0486317	0,0750918	0,2693808	0,5309315	0,0329137	0,8751321	0,8031580	0,5463307	0,7955214	0,1985852	0,8176041	0,6687738	0,6117554	0,5314389	0,4016121
500	0,4790787	1,0299769	0,0727236	0,2464377	0,5147502	0,0288293	0,8661627	0,7209339	0,5796670	0,7864026	0,1703957	0,7986073	0,6377981	0,5657547	0,5216268	0,3973300
520	0,4398522	1,0410966	0,0744045	0,2567972	0,5257508	0,0244425	0,9071403	0,7437255	0,6011793	0,7843266	0,1569985	0,7947367	0,6696709	0,5357973	0,4834286	0,3774467
