"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE

0	0,7177653	1,0845244	0,0791121	0,2857553	0,6016580	0,2022600	0,8902659	0,6962503	0,7943263	0,5138199	0,1550098	0,4977878	0,3238524	0,4928140	0,6520834	0,5052543
20	0,6898274	1,0191439	0,0703491	0,2676445	0,6521749	0,1065101	0,7294918	0,5849828	0,8562240	0,5511007	0,1024127	0,5655215	0,3338871	0,4133854	0,6400692	0,4867674
40	0,6614251	1,0870468	0,0595237	0,2747076	0,4870921	0,1123193	0,7604524	0,6339743	0,7760371	0,5670462	0,0970977	0,5890187	0,3444823	0,4004707	0,6220385	0,4618877
60	0,6395518	1,0652242	0,0646974	0,2735369	0,4051499	0,0811954	0,7232227	0,6721225	0,8341280	0,5914033	0,0851990	0,5794306	0,3539455	0,4278928	0,6341584	0,4340739
80	0,5731720	0,9704721	0,0576039	0,2578196	0,3905465	0,0504847	0,7335108	0,7283793	0,8760615	0,6338453	0,0986136	0,5897658	0,3616729	0,3962076	0,6370927	0,4143153
100	0,4804212	1,0442776	0,0589378	0,2753183	0,4549936	0,0343501	0,7775500	0,6704284	0,8536446	0,5771305	0,1064155	0,5420962	0,4119969	0,3919514	0,6610474	0,3964104
120	0,4588999	0,9986619	0,0517260	0,2647938	0,5464100	0,0301642	0,7930748	0,6785192	0,8241908	0,6916631	0,0901885	0,5701935	0,4081756	0,4429850	0,6308533	0,3617303
140	0,4580574	0,9785053	0,0528475	0,2782752	0,5245314	0,0294244	0,8096818	0,7656987	0,7750609	0,7219744	0,1522263	0,6623962	0,5177790	0,4480891	0,5744481	0,3573974
160	0,4458902	1,0477361	0,0604619	0,2583517	0,4943826	0,0291540	0,8765685	0,7538156	0,7002183	0,7401784	0,1595085	0,6578315	0,6185318	0,4521912	0,5378930	0,3766968
180	0,4403339	1,0377821	0,0768763	0,2692406	0,5196627	0,0260544	0,8443501	0,7415614	0,5605356	0,7730727	0,1498569	0,6818167	0,6384171	0,4751708	0,5017398	0,4044937
