"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE

0	0,7242162	1,0000000	0,0707800	0,2751226	0,6818358	0,1804332	0,8111890	0,6306389	0,8437538	0,5284770	0,1169379	0,5543549	0,3786652	0,4628384	0,6566494	0,4951037
20	0,5629782	1,0000000	0,0559501	0,2751274	0,4612956	0,0971054	0,8120679	0,7409701	0,8410400	0,5338175	0,0919811	0,5594277	0,3832038	0,3819421	0,6540838	0,4018274
40	0,4752592	1,0000000	0,0475020	0,2751765	0,4244742	0,0553366	0,8160516	0,7610558	0,8268451	0,5592394	0,0846419	0,5822983	0,4053205	0,3642932	0,6419928	0,3566893
60	0,4313937	1,0000000	0,0442372	0,2752952	0,4446129	0,0351342	0,8229480	0,7590359	0,7984813	0,6030291	0,0899017	0,6198295	0,4452536	0,3868904	0,6207970	0,3428703
80	0,4121961	1,0000000	0,0448844	0,2754981	0,4713130	0,0260995	0,8322231	0,7565905	0,7587197	0,6549508	0,1032955	0,6625954	0,4953312	0,4267880	0,5946637	0,3466846
100	0,4057781	1,0000000	0,0481093	0,2757777	0,4907237	0,0227036	0,8429743	0,7580265	0,7134492	0,7055271	0,1206270	0,7026723	0,5466730	0,4678275	0,5680651	0,3583681
120	0,4052524	1,0000000	0,0526270	0,2760985	0,5024917	0,0219714	0,8539124	0,7616160	0,6688966	0,7493028	0,1382791	0,7358198	0,5928533	0,5021612	0,5442570	0,3718886
140	0,4069526	1,0000000	0,0573969	0,2764114	0,5091067	0,0223241	0,8639767	0,7653388	0,6295135	0,7844132	0,1537782	0,7609341	0,6307686	0,5277906	0,5248817	0,3841383
160	0,4091192	1,0000000	0,0617432	0,2766752	0,5126968	0,0229752	0,8725967	0,7682551	0,5973965	0,8111342	0,1659800	0,7787399	0,6598830	0,5455626	0,5102478	0,3939310
180	0,4110293	1,0000000	0,0653427	0,2768704	0,5146009	0,0235829	0,8796134	0,7702160	0,5727750	0,8306988	0,1747919	0,7906988	0,6811152	0,5572337	0,4998494	0,4011477
200	0,4124734	1,0000000	0,0681281	0,2769973	0,5155831	0,0240380	0,8851180	0,7714034	0,5547956	0,8445959	0,1807143	0,7983580	0,6959665	0,5645568	0,4928351	0,4061535
220	0,4134674	1,0000000	0,0701768	0,2770687	0,5160675	0,0243373	0,8893191	0,7720627	0,5421725	0,8542252	0,1844493	0,8030483	0,7059952	0,5689599	0,4883181	0,4094578
240	0,4141048	1,0000000	0,0716256	0,2771010	0,5162883	0,0245149	0,8924591	0,7723988	0,5335940	0,8607596	0,1866659	0,8057931	0,7125620	0,5714931	0,4855331	0,4115457
