"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE

0	0,7242161	1,0000000	0,0708292	0,2751392	0,6818323	0,1805233	0,8099806	0,6307156	0,8437191	0,5288388	0,1169379	0,5543851	0,3788344	0,4633001	0,6564014	0,4952834
20	0,6892465	1,0000000	0,0651189	0,2751331	0,6069816	0,1602324	0,8103520	0,6602990	0,8432423	0,5292537	0,1068650	0,5549617	0,3792650	0,4491085	0,6562383	0,4773255
40	0,6232977	1,0000000	0,0561043	0,2751390	0,5179165	0,1244337	0,8112471	0,6989342	0,8381864	0,5347204	0,0941560	0,5607009	0,3843349	0,4257967	0,6538141	0,4435321
60	0,5587570	1,0000000	0,0493663	0,2751741	0,4750611	0,0914347	0,8133236	0,7239600	0,8235544	0,5503944	0,0895991	0,5761201	0,3990934	0,4108376	0,6467442	0,4119212
80	0,5072468	1,0000000	0,0462541	0,2752569	0,4673316	0,0663370	0,8169487	0,7375521	0,7974680	0,5772515	0,0943355	0,6012112	0,4250935	0,4098296	0,6342832	0,3895681
100	0,4705205	1,0000000	0,0464674	0,2754003	0,4752618	0,0491331	0,8222258	0,7454943	0,7617366	0,6124795	0,1061060	0,6325949	0,4601988	0,4210712	0,6173398	0,3774065
120	0,4463403	1,0000000	0,0490733	0,2756039	0,4867805	0,0381907	0,8289404	0,7513489	0,7206708	0,6517288	0,1216223	0,6659184	0,5002665	0,4399857	0,5977626	0,3735232
140	0,4314366	1,0000000	0,0529991	0,2758508	0,4968506	0,0316675	0,8366257	0,7563623	0,6791484	0,6909590	0,1377826	0,6975449	0,5409817	0,4620223	0,5775727	0,3751906
160	0,4228063	1,0000000	0,0573205	0,2761134	0,5042226	0,0280174	0,8447286	0,7606879	0,6410616	0,7272812	0,1523628	0,7252011	0,5789902	0,4838607	0,5584366	0,3799197
180	0,4181335	1,0000000	0,0613977	0,2763630	0,5091417	0,0261096	0,8527497	0,7642267	0,6086804	0,7590645	0,1642159	0,7479178	0,6122579	0,5035530	0,5414439	0,3858559
200	0,4158064	1,0000000	0,0648849	0,2765785	0,5122358	0,0251902	0,8603122	0,7669451	0,5827637	0,7856971	0,1730907	0,7656710	0,6399406	0,5202315	0,5271144	0,3918124
220	0,4147833	1,0000000	0,0676661	0,2767496	0,5140971	0,0247934	0,8671756	0,7689167	0,5630129	0,8072615	0,1792943	0,7789894	0,6620563	0,5337382	0,5155248	0,3971442
240	0,4144325	1,0000000	0,0697701	0,2768754	0,5151734	0,0246508	0,8732189	0,7702777	0,5485591	0,8242430	0,1833763	0,7886415	0,6791410	0,5443144	0,5064666	0,4015844
260	0,4143941	1,0000000	0,0712972	0,2769613	0,5157708	0,0246188	0,8784124	0,7711784	0,5383367	0,8373112	0,1859150	0,7954307	0,6919726	0,5523829	0,4995850	0,4050981
280	0,4144766	1,0000000	0,0723694	0,2770155	0,5160870	0,0246264	0,8827880	0,7717530	0,5313147	0,8471758	0,1874073	0,8000822	0,7013818	0,5584137	0,4944793	0,4077737
300	0,4145870	1,0000000	0,0731021	0,2770469	0,5162443	0,0246424	0,8864153	0,7721084	0,5266111	0,8545019	0,1882323	0,8031950	0,7081410	0,5628490	0,4907655	0,4097503
320	0,4146861	1,0000000	0,0735920	0,2770629	0,5163157	0,0246554	0,8893821	0,7723224	0,5235287	0,8598679	0,1886555	0,8052342	0,7129112	0,5660697	0,4881085	0,4111753
340	0,4147618	1,0000000	0,0739138	0,2770694	0,5163433	0,0246630	0,8917819	0,7724486	0,5215467	0,8637524	0,1888508	0,8065445	0,7162265	0,5683855	0,4862336	0,4121825
360	0,4148144	1,0000000	0,0741223	0,2770707	0,5163503	0,0246660	0,8937048	0,7725219	0,5202928	0,8665365	0,1889256	0,8073718	0,7185002	0,5700385	0,4849253	0,4128827
380	0,4148484	1,0000000	0,0742560	0,2770694	0,5163486	0,0246661	0,8952337	0,7725642	0,5195104	0,8685152	0,1889420	0,8078857	0,7200420	0,5712121	0,4840206	0,4133631
400	0,4148690	1,0000000	0,0743412	0,2770672	0,5163443	0,0246648	0,8964413	0,7725888	0,5190273	0,8699116	0,1889340	0,8082004	0,7210775	0,5720424	0,4833993	0,4136891
420	0,4148807	1,0000000	0,0743953	0,2770650	0,5163400	0,0246629	0,8973898	0,7726032	0,5187314	0,8708913	0,1889188	0,8083906	0,7217674	0,5726287	0,4829749	0,4139086
440	0,4148870	1,0000000	0,0744298	0,2770632	0,5163365	0,0246611	0,8981311	0,7726120	0,5185508	0,8715753	0,1889038	0,8085044	0,7222240	0,5730423	0,4826860	0,4140554
460	0,4148900	1,0000000	0,0744518	0,2770618	0,5163340	0,0246597	0,8987083	0,7726175	0,5184408	0,8720510	0,1888918	0,8085720	0,7225247	0,5733341	0,4824897	0,4141532
480	0,4148913	1,0000000	0,0744660	0,2770608	0,5163324	0,0246585	0,8991560	0,7726211	0,5183735	0,8723807	0,1888833	0,8086118	0,7227219	0,5735401	0,4823565	0,4142181
500	0,4148917	1,0000000	0,0744752	0,2770602	0,5163314	0,0246577	0,8995022	0,7726235	0,5183321	0,8726087	0,1888777	0,8086352	0,7228509	0,5736858	0,4822661	0,4142612
520	0,4148917	1,0000000	0,0744812	0,2770598	0,5163309	0,0246572	0,8997693	0,7726251	0,5183063	0,8727661	0,1888742	0,8086490	0,7229352	0,5737889	0,4822046	0,4142899
540	0,4148916	1,0000000	0,0744853	0,2770596	0,5163306	0,0246569	0,8999747	0,7726261	0,5182900	0,8728744	0,1888721	0,8086572	0,7229902	0,5738619	0,4821628	0,4143089
560	0,4148914	1,0000000	0,0744879	0,2770595	0,5163304	0,0246567	0,9001325	0,7726268	0,5182796	0,8729490	0,1888710	0,8086621	0,7230261	0,5739138	0,4821343	0,4143215
