"Time"	hns	cspA	bolA	stpA	bglJ	bglB	bglG	bglF	cspD	proW	gspB	yjjP	proV	gspO	mukE	yciE

0	0,4472272	0,8551650	0,0576495	0,2027015	0,4159101	0,1518154	0,5862636	0,4617364	0,5309451	0,3468564	0,1180725	0,4068584	0,2487250	0,3201221	0,6003013	0,3259961
20	0,5792507	0,6999883	0,0686923	0,2094608	0,4283825	0,0597575	0,5611278	0,3632048	0,7138535	0,4939372	0,0795909	0,4692730	0,2166185	0,2533243	0,5117241	0,3456070
40	0,4253871	0,7879058	0,0656520	0,1906321	0,3750645	0,0477691	0,5163154	0,4462987	0,5670087	0,4600735	0,0692359	0,4265492	0,2919548	0,2425216	0,4389519	0,4146185
60	0,4078902	0,8170617	0,0494996	0,2269194	0,3239388	0,0729323	0,5406416	0,4413641	0,5926739	0,3796891	0,0718709	0,4316124	0,2454912	0,3853827	0,4018167	0,3306954
80	0,3856855	0,7839267	0,0442754	0,1830892	0,2883212	0,0295037	0,5124777	0,5663630	0,6681799	0,4555395	0,0541264	0,4334828	0,2437450	0,2816571	0,4215370	0,2856237
100	0,3603721	0,6873533	0,0529379	0,2247430	0,3475192	0,0247782	0,6177468	0,5860848	0,6061200	0,3786755	0,0567578	0,3415750	0,3555962	0,2343785	0,5471134	0,2851697
120	0,3467263	0,6750068	0,0506283	0,1977661	0,3283165	0,0353889	0,6072157	0,4989180	0,7151936	0,5797741	0,1116503	0,4214868	0,3975111	0,3475205	0,4088648	0,3206783
140	0,3965788	0,6875015	0,0260802	0,2265771	0,3582577	0,0178261	0,5842186	0,5665764	0,5535462	0,5902119	0,0955093	0,5452322	0,3487200	0,3338077	0,4214036	0,2054558
160	0,3189487	0,7723130	0,0487673	0,1530009	0,4283822	0,0163200	0,6318195	0,6249904	0,5086096	0,5129989	0,0858555	0,5135184	0,4215844	0,3368553	0,3794951	0,2560737
180	0,2564438	0,7062290	0,0608070	0,1999485	0,4323339	0,0192442	0,5801389	0,5516345	0,4674328	0,5079725	0,0915997	0,5347521	0,5055301	0,3865448	0,3964312	0,3262621
200	0,3038860	0,7306981	0,0749624	0,2053133	0,4134927	0,0293953	0,6326879	0,6270629	0,3654936	0,5244580	0,0725701	0,6160530	0,5834847	0,3342081	0,3964839	0,2610193
220	0,3234349	0,7608979	0,0738256	0,1694141	0,4171647	0,0303673	0,7211568	0,5723548	0,4199365	0,5132429	0,0800987	0,5320059	0,4880546	0,4282201	0,4304025	0,2287548
240	0,3095114	0,7297347	0,0390983	0,1823145	0,3143659	0,0465192	0,6938072	0,6058926	0,3767478	0,5093611	0,1208760	0,6121845	0,5850019	0,3908759	0,3702898	0,2903137
260	0,3736754	0,7470612	0,0357666	0,1824829	0,3892171	0,0319186	0,6084882	0,6284619	0,4262128	0,5363012	0,0756661	0,5740149	0,6105662	0,3087390	0,3950397	0,2521941
280	0,2798817	0,7084522	0,0520933	0,2593898	0,3323808	0,0372440	0,6686069	0,5040784	0,5598928	0,7358915	0,0974700	0,5152670	0,5728226	0,3350264	0,3570448	0,2819417
300	0,3669799	0,8930881	0,0791902	0,2117831	0,3862211	0,0161047	0,6855832	0,4760226	0,4336259	0,6245077	0,1566693	0,5644571	0,6658557	0,3989052	0,3700449	0,3745320
320	0,2921245	0,7841867	0,0363498	0,2274385	0,5094339	0,0183284	0,5769561	0,4929595	0,3523837	0,6638563	0,1182348	0,6257642	0,5339965	0,3688989	0,3872525	0,2382915
340	0,2379702	0,9054910	0,0724230	0,1615087	0,3505380	0,0176838	0,6102433	0,6238143	0,4143391	0,5856420	0,1646030	0,4872763	0,5649157	0,3200930	0,3165679	0,2318727
360	0,2168589	0,7893669	0,0818437	0,1932813	0,3543726	0,0097835	0,7033114	0,5202936	0,3153483	0,5821582	0,1023494	0,5682667	0,5156664	0,3026297	0,3961134	0,3404785
