"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB

0	0,0772604	0,0254944	0,4297796	0,7401898	0,6602738	0,1040147	0,7695558	0,0468125	0,2150332	0,6872086	0,4685604	0,6231396	0,5979977	0,3559877	0,7152872	0,0457276	0,0376332	0,3181059	0,0515024	0,0214880	0,6312347	0,4371673	0,3343044	0,0087735	0,1344250	0,6223821	0,3381387	0,7157887	0,0358174	0,3729124	0,1054922	0,0125325
20	0,0820975	0,0381459	0,5261494	0,7444877	0,7494040	0,0522426	0,7390862	0,0232450	0,1809891	0,7318781	0,5506623	0,6762122	0,6538510	0,4979971	0,6641698	0,0173792	0,0308388	0,4171008	0,0403126	0,0118770	0,4936798	0,4953388	0,3765604	0,1976033	0,1101736	0,7989537	0,2920493	0,7377360	0,0231833	0,4942757	0,0886477	0,0116851
40	0,0723192	0,0398221	0,4225470	0,6843502	0,6953637	0,0561208	0,7095432	0,0244190	0,2155824	0,7989512	0,5297150	0,6975399	0,6964419	0,5857146	0,5189753	0,0193539	0,0484184	0,5717639	0,0611364	0,0144380	0,6604806	0,5975142	0,3141432	0,3898576	0,1649722	0,5724421	0,3159757	0,7839205	0,0141055	0,3807878	0,1166120	0,0039201
60	0,1074667	0,0533692	0,4653835	0,7039159	0,7042612	0,0203697	0,7702099	0,0634783	0,2942063	0,8336461	0,5345174	0,7430082	0,6488403	0,5221579	0,4705755	0,0150999	0,0587422	0,5494044	0,0669305	0,0145388	0,6349276	0,6058249	0,3413393	0,4823439	0,0860481	0,6274802	0,4026229	0,6241091	0,0172288	0,2915767	0,1149664	0,0127057
80	0,0641194	0,0510852	0,4634876	0,7006643	0,6628736	0,0087308	0,6614138	0,0584443	0,2012587	0,7726686	0,5412800	0,7162615	0,6056624	0,7186106	0,5891079	0,0252261	0,0788853	0,6350876	0,0920937	0,0056071	0,5720019	0,7890751	0,3265863	0,5103747	0,0732890	0,7028408	0,4165763	0,5888912	0,0363457	0,3435709	0,1014020	0,0114431
100	0,0697107	0,0471220	0,4961427	0,7668385	0,6721878	0,0050616	0,7665054	0,0222461	0,3162232	0,8011757	0,5981601	0,6656553	0,6129503	0,6849302	0,5403719	0,0313580	0,0664639	0,6621651	0,0771737	0,0067620	0,4710042	0,5779620	0,4049703	0,4826889	0,1288548	0,7083036	0,4932568	0,6929098	0,0304333	0,3397522	0,0758025	0,0066534
120	0,0407981	0,0837145	0,4209778	0,8280916	0,6419166	0,0032809	0,6700472	0,0227269	0,2189199	0,7867988	0,6190694	0,7134397	0,6319269	0,6678270	0,6477867	0,0294637	0,0528392	0,7631916	0,0756975	0,0031873	0,5478195	0,6085435	0,2919032	0,4947530	0,1902794	0,6886336	0,4143367	0,8093447	0,0381762	0,3652885	0,0814459	0,0158922
140	0,0553212	0,0456486	0,5001226	0,8322611	0,6989524	0,0020715	0,7563353	0,0195325	0,2184079	0,7967273	0,6624570	0,7015885	0,5808178	0,5465475	0,4601561	0,0278890	0,0519163	0,5865326	0,1012919	0,0101314	0,4696687	0,7496765	0,3329287	0,6270975	0,1028991	0,6043311	0,4700649	0,8679374	0,0245772	0,4542825	0,1326045	0,0083910
160	0,1027382	0,0219928	0,4184333	0,8675149	0,6213080	0,0032551	0,7342863	0,0265760	0,2435380	0,6730455	0,6667504	0,7346687	0,5921001	0,6115577	0,5150446	0,0098943	0,0437276	0,7657557	0,0815489	0,0161390	0,5998636	0,8910137	0,3408614	0,6430953	0,1423231	0,7363684	0,5190636	0,7678879	0,0257427	0,3841207	0,0633664	0,0015241
180	0,0463914	0,0229733	0,4166809	0,7855672	0,8136156	0,0044275	0,7785695	0,0336763	0,2992893	0,8082893	0,6592936	0,8227264	0,6649949	0,5702964	0,5966888	0,0438656	0,0713015	0,6518188	0,0948263	0,0028994	0,6170603	0,6423727	0,3815352	0,5741475	0,0817947	0,6542065	0,4659031	0,6829182	0,0326611	0,2698565	0,0884356	0,0088675
200	0,0772969	0,0493933	0,4240671	0,7944842	0,6934656	0,0047251	0,7400189	0,0281252	0,2857434	0,7477602	0,6891834	0,7463095	0,6530767	0,6506749	0,4886702	0,0128654	0,0747359	0,7464281	0,0932417	0,0045983	0,6608541	0,8607501	0,3710497	0,6618088	0,1922243	0,6368142	0,4830154	0,7290850	0,0219218	0,4403692	0,0449394	0,0039073
220	0,0560518	0,0468440	0,4324415	0,8193111	0,7330431	0,0034381	0,7934360	0,0382358	0,2161245	0,8218636	0,7036893	0,6034543	0,6016000	0,6327521	0,5303044	0,0270280	0,0589228	0,7158649	0,1041261	0,0100947	0,6255847	0,7701531	0,3890950	0,6342433	0,1732238	0,7104847	0,4563956	0,5758962	0,0126384	0,3956667	0,0819022	0,0036318
