"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB

0	0,1060345	0,0371210	0,6049255	1,0249315	0,9421010	0,1288774	1,0805416	0,0576126	0,3159611	1,0343182	0,6641068	0,9961464	0,9083219	0,5933393	0,8312751	0,0248856	0,0838575	0,4213343	0,0727652	0,0150877	0,7879445	0,5282112	0,5153080	0,0097713	0,1400964	0,9626354	0,4082635	1,0493562	0,0528577	0,5578416	0,1089920	0,0051425
20	0,1145793	0,0624618	0,6880491	0,9207280	0,9565331	0,1026923	0,9513935	0,0365047	0,2697606	0,9792494	0,7260505	0,9111402	0,8405405	0,7026702	0,8207164	0,0198440	0,0571852	0,6271940	0,0670504	0,0166498	0,7867152	0,6548583	0,4748541	0,3232050	0,1431531	0,9598472	0,4150310	0,9505521	0,0303686	0,6412649	0,1337224	0,0083691
40	0,1104593	0,0520634	0,6225015	0,9282538	1,0052346	0,0668428	0,9662638	0,0492264	0,2931031	0,9775280	0,7157844	0,9301607	0,8458901	0,6914777	0,7841530	0,0255378	0,0685008	0,6978903	0,0820995	0,0232577	0,7992837	0,7554325	0,4844167	0,5264971	0,1573354	0,9407364	0,5035412	0,9973589	0,0317428	0,5593836	0,1198932	0,0098620
60	0,0961360	0,0635255	0,6009817	0,9711588	1,0147805	0,0363705	0,9754290	0,0595054	0,2972293	1,0422727	0,7888149	0,9017949	0,8451422	0,7115019	0,7344015	0,0351802	0,0870335	0,8287788	0,0907417	0,0189571	0,8267066	0,8438755	0,4843412	0,6472065	0,1289114	0,9555927	0,5619334	0,9606182	0,0259078	0,5395655	0,1232664	0,0133507
80	0,1001784	0,0635357	0,6148033	0,9529987	1,0185342	0,0130392	0,9948836	0,0532119	0,2876179	1,0912036	0,8431377	0,9377861	0,8663081	0,7910665	0,7559416	0,0332093	0,0970520	0,8664833	0,1112650	0,0108021	0,8082596	0,8715819	0,4818172	0,7183154	0,1332566	0,9085755	0,5964921	0,9131973	0,0268516	0,4834923	0,1558304	0,0209490
100	0,1116916	0,0623993	0,5776036	1,0448253	1,0198856	0,0123171	0,9514042	0,0490422	0,3198405	1,0691433	0,8734454	0,9317818	0,8387724	0,8303754	0,7531036	0,0343830	0,1057092	0,8726248	0,0947992	0,0111629	0,8119927	0,8936961	0,5059932	0,7354549	0,1528304	0,9309888	0,6199939	0,9613084	0,0312791	0,4793943	0,1305329	0,0105391
120	0,0966632	0,0694686	0,6289896	1,0675556	0,9492403	0,0098727	0,9302139	0,0437822	0,3151565	1,0168937	0,8815870	0,9525296	0,8391410	0,8638934	0,7802883	0,0307529	0,0797293	0,8572421	0,0868516	0,0075077	0,8236363	0,8794684	0,4883777	0,7508983	0,1821785	0,9399491	0,6241358	1,0010277	0,0380663	0,5331470	0,1298100	0,0167273
140	0,0780608	0,0659949	0,6183297	1,0852120	0,9714708	0,0038402	0,9234041	0,0322603	0,2837171	1,0503598	0,8273552	0,9540502	0,8597253	0,8619472	0,7873997	0,0223957	0,0717701	0,8679711	0,0943438	0,0147270	0,7740400	0,9812968	0,4738777	0,8270967	0,1665241	0,9493240	0,6284586	1,1150317	0,0433403	0,5458796	0,1096043	0,0119130
160	0,0793817	0,0466318	0,6250340	1,0154381	1,0138960	0,0037996	0,9308632	0,0542458	0,3323982	0,9767660	0,8245980	1,0074529	0,8205082	0,8983529	0,7694159	0,0171643	0,0676968	0,9290162	0,1042611	0,0119914	0,8001912	0,9546621	0,4701788	0,8319873	0,1471292	0,9447851	0,6858539	1,0471582	0,0288112	0,5073951	0,0737609	0,0047571
180	0,0918204	0,0327714	0,5732988	1,0530233	1,0413706	0,0049538	0,9661708	0,0510090	0,3333628	1,0222457	0,8650515	0,9823252	0,8393709	0,8670584	0,7336775	0,0214947	0,0985758	0,9233179	0,0978686	0,0058082	0,8714365	1,0210587	0,5091234	0,8399267	0,1518131	0,8567945	0,6644387	0,9874444	0,0342296	0,4924216	0,1086774	0,0067212
200	0,0864840	0,0491524	0,5860761	1,0310888	1,0064169	0,0072158	1,0129966	0,0429400	0,3482204	1,0493723	0,8331307	1,0239489	0,8593223	0,9061636	0,7298220	0,0284201	0,0937444	0,9784444	0,1189066	0,0111232	0,8657292	1,0564370	0,5098384	0,8585964	0,1386038	0,8580540	0,6578084	0,9359044	0,0301857	0,5246840	0,1022800	0,0044224
220	0,0807277	0,0516246	0,6240064	1,1340268	0,9905031	0,0093935	0,9750737	0,0488282	0,3206495	1,0208515	0,9204778	0,9799933	0,8286211	0,8918215	0,7403835	0,0336804	0,0908251	0,9554691	0,1090565	0,0112351	0,9032689	1,0553962	0,5603831	0,8355884	0,1474764	0,8797957	0,6470380	0,9204739	0,0281216	0,5130807	0,1177029	0,0074542
240	0,0926681	0,0428804	0,6278771	1,1558230	1,0338537	0,0059305	1,0100438	0,0357348	0,3174744	0,9656877	0,8018840	0,9628375	0,8568481	0,8833779	0,7486930	0,0283755	0,0896575	0,9930913	0,1017396	0,0142474	0,8315083	1,0309488	0,5820652	0,8551500	0,1445323	0,9450450	0,6483094	0,9494665	0,0276616	0,5347284	0,0912264	0,0026489
260	0,0791247	0,0462565	0,6950736	1,1188018	1,0507158	0,0038979	0,9784582	0,0228538	0,3401254	1,0051838	0,7535534	0,9287879	0,8435902	0,7980259	0,7626093	0,0315975	0,0998717	1,0142750	0,0908081	0,0188358	0,7777166	1,0734071	0,5527284	0,8720179	0,1554992	0,9727840	0,5864040	0,9463403	0,0339770	0,5577638	0,0923191	0,0027253
280	0,0950658	0,0394283	0,8233747	1,0422901	1,0586121	0,0041005	0,8904521	0,0296595	0,3575930	0,9573649	0,8040436	0,9368329	0,8809648	0,8285727	0,7769760	0,0391900	0,0643891	0,9705221	0,0883214	0,0203255	0,7586056	0,9916938	0,5173004	0,8611214	0,1525911	0,9545396	0,5742588	0,9845597	0,0331016	0,5310691	0,0964928	0,0046336
300	0,0778786	0,0373250	0,8343901	0,9541785	1,0061213	0,0128550	1,0173155	0,0366563	0,3343172	1,0008275	0,8491189	0,9847374	0,8767637	0,7495979	0,7947769	0,0393158	0,0638666	0,9622675	0,0914396	0,0264779	0,7725819	0,9365882	0,5336073	0,8478059	0,1514383	0,9500031	0,5833036	0,9549058	0,0155075	0,5440106	0,1349483	0,0041168
320	0,1034888	0,0497550	0,8269879	0,9564042	0,9762520	0,0143262	1,0220109	0,0539627	0,3103479	0,9947479	0,8592797	0,9613574	0,9041825	0,7830947	0,7798709	0,0332099	0,0930504	0,9889896	0,0663348	0,0216249	0,7977489	0,9506795	0,5202880	0,8580981	0,1695931	0,9751462	0,5609752	0,9221901	0,0234640	0,5209203	0,1037630	0,0055922
340	0,0888667	0,0462760	0,7789246	0,9358771	0,9351226	0,0062103	1,0651357	0,0553713	0,3052651	1,0232146	0,8507371	0,9330733	0,8513406	0,7484591	0,7476800	0,0258965	0,0595205	0,9356867	0,0916287	0,0172816	0,9190792	0,9480561	0,5269660	0,8817455	0,1744076	0,9134378	0,5547908	0,9746170	0,0214914	0,5834404	0,0969349	0,0074100
360	0,0885634	0,0453992	0,6340879	0,9776401	0,9319927	0,0065309	1,0030443	0,0475527	0,3350374	1,0044219	0,8442671	1,0076263	0,8685636	0,8151575	0,7395615	0,0316919	0,0838434	0,9855977	0,0988346	0,0129255	0,8727280	0,9640747	0,5635960	0,8794152	0,1874156	0,9505023	0,5757166	0,9563631	0,0176440	0,5871146	0,0987626	0,0058811
