"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB

0	0,0767886	0,0357004	0,6727772	1,0103464	1,0400017	0,1408464	1,0835462	0,0485554	0,3303267	1,0022847	0,6806680	1,0762769	0,8776689	0,5832873	0,8412342	0,0355475	0,0745678	0,4388190	0,0896362	0,0149703	0,7846062	0,4990938	0,4940103	0,0054235	0,1405700	0,9263564	0,3830469	1,0458554	0,0579018	0,4824618	0,1325240	0,0015083
20	0,0937337	0,0630956	0,6806547	1,0435526	0,9444600	0,1380206	0,9597578	0,0396203	0,3091818	1,0660236	0,7250040	0,9299088	0,8854317	0,6053803	0,7673388	0,0285243	0,0613694	0,4553143	0,0637957	0,0118927	0,7747614	0,4739712	0,5278389	0,1051419	0,1321614	0,9866682	0,3881799	0,9332151	0,0232318	0,6135108	0,1010778	0,0101414
40	0,0753568	0,0604515	0,6957856	0,9704905	1,0412114	0,1211133	0,9774372	0,0343304	0,2794224	1,0077576	0,6609345	0,9047973	0,7859305	0,6319281	0,7533068	0,0336881	0,0369006	0,4903290	0,0608536	0,0174802	0,8453265	0,5427861	0,4936319	0,2314769	0,1388536	1,0561224	0,4746185	0,9267828	0,0368253	0,5722166	0,0800531	0,0111971
60	0,0951795	0,0504603	0,6562026	0,9984517	1,0819712	0,0787629	1,0796923	0,0549520	0,2735867	1,0164753	0,6302977	0,9139022	0,8467515	0,6434079	0,7233525	0,0304633	0,0649674	0,5595902	0,0728891	0,0261433	0,8774527	0,6276687	0,5038582	0,3742276	0,1455302	1,0897932	0,4922462	0,9680314	0,0345946	0,5608578	0,0914572	0,0095157
80	0,1105990	0,0504964	0,6730876	0,9492303	1,1118161	0,0464330	1,0711563	0,0502885	0,2697140	1,0724278	0,6363217	0,8888655	0,8464941	0,7734863	0,7282513	0,0328654	0,0932378	0,7003100	0,0742477	0,0190926	0,7897163	0,6413235	0,4908071	0,4820212	0,1411125	0,9682026	0,5165751	0,9317159	0,0391611	0,4922823	0,0943031	0,0086866
100	0,0940794	0,0529925	0,5682276	1,0268493	1,0177357	0,0320541	1,0887056	0,0502250	0,2967627	1,1376782	0,6973172	0,9406848	0,8481975	0,7817377	0,7240557	0,0361967	0,0707252	0,7750144	0,0891196	0,0147126	0,8350451	0,6983205	0,4723616	0,5662048	0,1376340	0,9158204	0,5583213	0,9165248	0,0391049	0,4857677	0,1302396	0,0146944
120	0,1115785	0,0629417	0,6368772	1,0942926	0,9332241	0,0188683	1,0608484	0,0472979	0,3194056	1,0601341	0,7664485	0,9614934	0,8485258	0,8051834	0,7574834	0,0398722	0,0819669	0,7986162	0,0943882	0,0066302	0,8240821	0,7531323	0,5074599	0,6414139	0,1630320	0,9542408	0,5614314	0,8945067	0,0389109	0,4682452	0,1742065	0,0092599
140	0,0782996	0,0836936	0,7356788	1,1926826	0,9401887	0,0052536	1,0052821	0,0447860	0,3214471	1,0899437	0,7925881	0,9638492	0,8680610	0,8169665	0,7490721	0,0260824	0,0928931	0,8600549	0,0981461	0,0118812	0,8365221	0,8331709	0,4683867	0,6981743	0,1566947	0,9681761	0,6105919	0,9699965	0,0392501	0,4879843	0,1437180	0,0099881
160	0,0764135	0,0770054	0,6813512	1,1339844	0,9389528	0,0089473	0,9809358	0,0480159	0,3190470	1,0813865	0,8523754	0,9948508	0,8333141	0,8638201	0,7546076	0,0190650	0,0844086	0,8676881	0,0936280	0,0139720	0,7666659	0,8702555	0,4079506	0,7234297	0,1521254	0,9591847	0,6365715	1,0172001	0,0338021	0,5228918	0,1242312	0,0125599
180	0,0888139	0,0513876	0,6422462	1,0793839	0,9585745	0,0067026	0,9904820	0,0384697	0,3129364	1,0287313	0,8983794	1,0357116	0,8182086	0,9210714	0,7321247	0,0114850	0,0685087	0,8888645	0,1153995	0,0160936	0,7748108	0,8759091	0,4779321	0,7806071	0,1556703	0,9075162	0,6944956	1,0328184	0,0417011	0,4943911	0,0840877	0,0102908
200	0,0699566	0,0394721	0,7174207	1,0922911	0,9592581	0,0058148	0,9866397	0,0362379	0,2948120	0,9725063	0,9529389	0,9789363	0,7876029	0,9484641	0,7686472	0,0117615	0,0926950	0,9136908	0,1235021	0,0137581	0,8030556	0,8778151	0,4566105	0,8647174	0,1389616	0,8678069	0,6926264	1,0508958	0,0334416	0,5042001	0,1077777	0,0068755
220	0,0649606	0,0325192	0,6381400	1,1616775	0,9488955	0,0082995	0,9963464	0,0437936	0,2961717	1,0124396	0,9578785	1,0406946	0,7735924	0,8814947	0,7740780	0,0242284	0,0892196	0,9881141	0,1039769	0,0119970	0,8479484	0,9792781	0,5073460	0,8607178	0,1347068	0,8416082	0,6380122	1,0242944	0,0245760	0,5022453	0,1078501	0,0021413
240	0,0685211	0,0338800	0,6342858	1,0765723	0,9767945	0,0047194	0,9734802	0,0434966	0,2835365	0,9453718	0,9574864	1,0244972	0,7520062	0,7741635	0,7265760	0,0272028	0,0958959	0,9697910	0,1180084	0,0176603	0,8396523	1,0152666	0,5653506	0,8337322	0,1305688	0,8572617	0,6034374	1,0037742	0,0182318	0,5056588	0,1027217	0,0021956
260	0,0762416	0,0395324	0,6600643	1,0577496	1,0236186	0,0020480	0,9935227	0,0267235	0,2974045	0,8933669	0,9027996	1,0453348	0,7274431	0,8014270	0,7096444	0,0392220	0,1341426	0,9363547	0,1067596	0,0248418	0,8136878	0,9421404	0,5448839	0,8715205	0,1335510	0,9446464	0,5338160	0,9780300	0,0368128	0,5334835	0,1406729	0,0023631
280	0,0665013	0,0261233	0,6719201	1,0477070	1,0609119	0,0017177	1,0057219	0,0261906	0,3548767	0,9571831	0,7517547	0,9390996	0,7959588	0,8065763	0,7132689	0,0386934	0,0851293	0,8964205	0,1274486	0,0181902	0,7227972	0,9983910	0,5587801	0,8977652	0,1230663	0,9866428	0,5461892	0,9733207	0,0484525	0,5622664	0,1210905	0,0061544
300	0,0778918	0,0369566	0,7316325	1,0272368	1,0477286	0,0104336	0,9851647	0,0187585	0,3520307	0,9938354	0,7901063	0,9453764	0,8525446	0,7887320	0,7223057	0,0243501	0,0680973	0,9616157	0,1251536	0,0123336	0,7601151	0,9469533	0,5679826	0,9000756	0,1649140	0,9112813	0,5638750	1,0326740	0,0359910	0,5834205	0,1075364	0,0035813
320	0,0952525	0,0301579	0,7528632	0,9562111	0,9852138	0,0141287	0,9781551	0,0331519	0,3193877	1,0821859	0,8011580	1,0251627	0,9262347	0,7414653	0,7367685	0,0180607	0,0762643	0,9693287	0,1051662	0,0164505	0,8077645	0,9091212	0,5213787	0,8686484	0,1480199	0,9807883	0,5413985	1,0265327	0,0259349	0,5864734	0,1143819	0,0014799
340	0,0929063	0,0326280	0,8646807	0,8872860	1,0281235	0,0187451	1,0376761	0,0454954	0,3400526	1,0650455	0,8381637	1,0518768	0,8855258	0,7313754	0,7414258	0,0191599	0,0635888	0,9734768	0,0926752	0,0144204	0,7971066	0,9267836	0,5449222	0,9241168	0,1431740	0,9249049	0,5605959	0,9849962	0,0312895	0,5856945	0,1279132	0,0008434
360	0,1039591	0,0454908	0,7374418	0,8955471	0,9808592	0,0107780	0,9502630	0,0503874	0,3531244	1,0242836	0,8226455	0,9663509	0,9092084	0,7427558	0,7357549	0,0158018	0,0684984	0,9217828	0,0867038	0,0159825	0,9461970	0,9528573	0,5150286	0,9056457	0,1633592	0,9881926	0,5209784	0,9820923	0,0236415	0,5575843	0,1041040	0,0022713
380	0,0944757	0,0369429	0,6178043	0,9181544	0,9555833	0,0077594	0,8983391	0,0480776	0,3174726	1,0458711	0,7671375	0,9854851	0,9410818	0,7803624	0,7539145	0,0224454	0,0750738	0,9962454	0,0919915	0,0254882	0,9234588	0,9566582	0,5861654	0,8470812	0,1853985	1,0080358	0,5312671	0,9895596	0,0156650	0,5318615	0,1012356	0,0017499
400	0,0834175	0,0266112	0,6360398	0,9665329	0,9664306	0,0097106	0,8992522	0,0530225	0,3175689	1,0824823	0,6879507	1,0234318	0,8808540	0,6753297	0,7657956	0,0152784	0,0526741	1,0104336	0,0871254	0,0342018	0,9134157	1,0123869	0,5581959	0,8455306	0,1653299	1,0456140	0,5124080	0,9645189	0,0242029	0,5488996	0,1221750	0,0010606
420	0,0712118	0,0388039	0,6640340	0,9172524	0,9111794	0,0110578	0,9025274	0,0441886	0,3067489	1,0551476	0,6831350	0,9489776	0,8915397	0,7155673	0,7728083	0,0289060	0,0726236	1,0565202	0,1041489	0,0365291	0,8489739	0,9851561	0,5375589	0,8910963	0,1379509	0,9973879	0,5138363	0,9433164	0,0172228	0,5424003	0,1534849	0,0002733
440	0,0731370	0,0249664	0,6818735	0,9181462	0,9529294	0,0069594	0,9533981	0,0338186	0,3182664	1,0211008	0,7206322	1,0295697	0,8860525	0,7364844	0,7824033	0,0336035	0,0723414	1,0715046	0,1107311	0,0326553	0,8015313	0,9323607	0,5425589	0,8309131	0,1356122	0,9623062	0,4896057	1,0258542	0,0174611	0,5108719	0,1348702	0,0009023
460	0,0848037	0,0372235	0,6791171	0,9401545	1,0287477	0,0028816	0,9989848	0,0340087	0,3369459	0,9775575	0,7292005	1,0560586	0,8612104	0,7087620	0,7759654	0,0419967	0,0790899	1,0910966	0,0895941	0,0208622	0,7481848	0,9283780	0,5039082	0,8514463	0,1342884	0,9526239	0,4464042	1,0071054	0,0223856	0,5497782	0,1489121	0,0004505
480	0,0795517	0,0510844	0,6277630	0,9236577	1,0712396	0,0061050	0,9471285	0,0319834	0,3146214	1,0114100	0,7931220	0,9664848	0,8649761	0,8221618	0,7789131	0,0470593	0,0805880	1,0498588	0,0927612	0,0161645	0,7064865	0,8998507	0,5191618	0,9174277	0,1205438	1,0034239	0,4485966	0,9626316	0,0278757	0,5226528	0,1397717	0,0000000
500	0,0647398	0,0493380	0,5315764	0,9247240	0,9784076	0,0076348	0,9376461	0,0426542	0,3135810	0,9671600	0,8426268	1,0402255	0,9054846	0,8121284	0,7561482	0,0604941	0,0909102	0,9351804	0,0872517	0,0181095	0,7131070	0,8859794	0,5038963	0,8328772	0,1330400	1,0529137	0,5190133	0,9607067	0,0207553	0,6019774	0,1313731	0,0023660
520	0,0530882	0,0334768	0,5772782	0,9648496	0,9889963	0,0060153	1,0182159	0,0619469	0,2990860	1,1003938	0,9135156	1,0904735	0,8974180	0,8674146	0,7605704	0,0481929	0,0775575	0,8803387	0,0757167	0,0206132	0,7893280	0,9341289	0,5178841	0,7712481	0,1304970	1,0418645	0,5946495	0,9538574	0,0183176	0,5727883	0,1074630	0,0000000
540	0,0683337	0,0198001	0,6267725	0,9963594	1,0372859	0,0077715	1,0209441	0,0600430	0,3198082	1,0514903	0,8983617	1,0736205	0,9189975	0,9400495	0,7752474	0,0326953	0,0773360	0,8839572	0,0787472	0,0144802	0,7861512	0,9105730	0,5245755	0,8806452	0,1224698	1,0302064	0,6365010	0,9675958	0,0165655	0,6616193	0,0899656	0,0014731
560	0,0890025	0,0350115	0,6103918	0,9904832	1,0946023	0,0124459	0,9815780	0,0506687	0,3205366	1,0127371	0,8775907	1,1198318	0,9587750	0,9524910	0,6973326	0,0349805	0,1209486	0,9575080	0,0785265	0,0146435	0,7974083	0,8772764	0,5333682	0,8429902	0,1316952	0,9409912	0,6209366	1,0691198	0,0166259	0,6583272	0,0994847	0,0069123
580	0,0833198	0,0385307	0,6335904	0,9857089	1,1111235	0,0313391	0,9923403	0,0531833	0,3092456	0,9835459	0,8769004	1,1523085	0,9749968	0,8825136	0,7784806	0,0269754	0,1225055	0,8859972	0,0975642	0,0150011	0,7784049	0,8779906	0,5714653	0,7446404	0,1256913	0,9315406	0,5730270	0,9961199	0,0193615	0,6041930	0,1049760	0,0194832
600	0,0923518	0,0440676	0,6247469	1,0292336	1,1335991	0,0495798	0,9795825	0,0560349	0,2909477	0,9077042	0,7729288	1,1605203	0,9895145	0,7941091	0,7996354	0,0316639	0,1116310	0,8218941	0,0951822	0,0077894	0,8271364	0,8556793	0,5571843	0,6085904	0,1381718	1,1239758	0,5725411	1,0023644	0,0193818	0,5510453	0,1042456	0,0285729
620	0,1003971	0,0403286	0,7084338	0,9688097	1,0077595	0,0789335	1,0397904	0,0394247	0,3380937	0,9339713	0,7523244	1,1849747	0,9597690	0,6931697	0,8076254	0,0332949	0,1043574	0,7895813	0,0944543	0,0078202	0,8221622	0,7537989	0,4428820	0,4498350	0,1713385	1,0900248	0,5481692	0,9866568	0,0216446	0,5425189	0,1220357	0,0300313
640	0,0811654	0,0350901	0,6661084	1,0391988	1,0508980	0,1150001	1,0735252	0,0439208	0,3862081	0,9355004	0,6421938	1,2188628	0,8910050	0,6454995	0,7791900	0,0280709	0,0946833	0,7193307	0,0991760	0,0144739	0,8129230	0,6544832	0,4667023	0,3682946	0,1513526	1,0200458	0,4920027	0,9377657	0,0289485	0,5609630	0,1178537	0,0190372
