"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB

0	0,0918836	0,0436353	0,6417045	1,0000000	1,0000000	0,1474322	1,0000000	0,0471991	0,3428583	1,0000000	0,6318444	0,9757130	0,8720311	0,5758523	0,7717079	0,0293212	0,0912131	0,4209271	0,0781002	0,0158817	0,8229347	0,5029445	0,5105200	0,0163382	0,1419158	0,9674366	0,3424042	0,9977410	0,0320101	0,5472359	0,1145774	0,0041873
20	0,0919072	0,0436353	0,6418315	1,0000000	1,0000000	0,0872675	0,9852833	0,0471991	0,3428591	1,0000000	0,7132529	0,9757290	0,8720476	0,7030635	0,7717079	0,0293223	0,0911128	0,6303098	0,0781006	0,0158817	0,8229353	0,6506640	0,5105050	0,3036542	0,1419158	0,9674367	0,4702847	0,9977421	0,0320330	0,5471241	0,1145773	0,0041873
40	0,0919273	0,0436353	0,6424261	1,0000000	1,0000000	0,0528957	0,9766741	0,0471991	0,3428639	1,0000000	0,7619530	0,9758034	0,8721282	0,7636470	0,7717079	0,0293232	0,0907176	0,7595314	0,0781009	0,0158817	0,8229565	0,7493274	0,5104321	0,4869641	0,1419158	0,9674388	0,5391441	0,9977429	0,0320525	0,5466129	0,1145772	0,0041873
60	0,0919444	0,0436353	0,6434581	1,0000000	1,0000000	0,0332591	0,9716377	0,0471991	0,3428727	1,0000000	0,7911208	0,9759318	0,8722732	0,7924598	0,7717079	0,0293240	0,0901490	0,8392822	0,0781012	0,0158817	0,8230456	0,8151143	0,5103018	0,6039172	0,1419158	0,9674471	0,5752318	0,9977436	0,0320691	0,5457527	0,1145770	0,0041873
80	0,0919589	0,0436353	0,6447327	1,0000000	1,0000000	0,0220408	0,9686914	0,0471991	0,3428839	1,0000000	0,8086428	0,9760893	0,8724585	0,8061318	0,7717079	0,0293247	0,0895596	0,8885022	0,0781014	0,0158817	0,8232440	0,8589107	0,5101359	0,6785343	0,1419158	0,9674651	0,5934045	0,9977443	0,0320832	0,5447240	0,1145767	0,0041872
100	0,0919712	0,0436353	0,6460609	1,0000000	1,0000000	0,0156319	0,9669679	0,0471991	0,3428960	1,0000000	0,8192281	0,9762531	0,8726584	0,8125959	0,7717079	0,0293252	0,0890349	0,9188802	0,0781016	0,0158817	0,8235637	0,8880244	0,5099578	0,7261405	0,1419158	0,9674929	0,6019883	0,9977452	0,0320952	0,5436849	0,1145765	0,0041872
120	0,0919817	0,0436353	0,6473099	1,0000000	1,0000000	0,0119704	0,9659596	0,0471991	0,3429077	1,0000000	0,8256794	0,9764074	0,8728531	0,8156346	0,7717078	0,0293257	0,0886054	0,9376296	0,0781018	0,0158817	0,8239869	0,9073511	0,5097854	0,7565137	0,1419158	0,9675285	0,6055907	0,9977463	0,0321054	0,5427356	0,1145764	0,0041872
140	0,0919906	0,0436353	0,6484064	1,0000000	1,0000000	0,0098787	0,9653697	0,0471991	0,3429183	1,0000000	0,8296599	0,9765435	0,8730306	0,8170504	0,7717078	0,0293261	0,0882712	0,9492024	0,0781019	0,0158817	0,8244786	0,9201645	0,5096297	0,7758920	0,1419158	0,9675684	0,6067187	0,9977475	0,0321140	0,5419240	0,1145762	0,0041872
160	0,0919982	0,0436353	0,6493224	1,0000000	1,0000000	0,0086837	0,9650247	0,0471991	0,3429274	1,0000000	0,8321549	0,9766581	0,8731847	0,8177008	0,7717078	0,0293265	0,0880196	0,9563459	0,0781021	0,0158817	0,8249989	0,9286495	0,5094957	0,7882555	0,1419158	0,9676091	0,6067052	0,9977488	0,0321213	0,5412617	0,1145761	0,0041872
180	0,0920046	0,0436353	0,6500597	1,0000000	1,0000000	0,0080009	0,9648228	0,0471991	0,3429350	1,0000000	0,8337477	0,9767515	0,8733138	0,8179930	0,7717078	0,0293268	0,0878345	0,9607557	0,0781022	0,0158817	0,8255122	0,9342619	0,5093847	0,7961436	0,1419158	0,9676478	0,6062357	0,9977500	0,0321276	0,5407398	0,1145761	0,0041872
200	0,0920100	0,0436353	0,6506364	1,0000000	1,0000000	0,0076109	0,9647047	0,0471991	0,3429411	1,0000000	0,8347851	0,9768256	0,8734191	0,8181193	0,7717078	0,0293270	0,0877006	0,9634783	0,0781022	0,0158817	0,8259921	0,9379704	0,5092954	0,8011762	0,1419158	0,9676828	0,6056454	0,9977511	0,0321329	0,5403393	0,1145760	0,0041872
220	0,0920147	0,0436353	0,6510773	1,0000000	1,0000000	0,0073881	0,9646357	0,0471991	0,3429458	1,0000000	0,8354745	0,9768831	0,8735030	0,8181702	0,7717078	0,0293273	0,0876048	0,9651595	0,0781023	0,0158817	0,8264219	0,9404183	0,5092252	0,8043870	0,1419158	0,9677130	0,6050847	0,9977521	0,0321374	0,5400382	0,1145760	0,0041872
240	0,0920186	0,0436353	0,6514081	1,0000000	1,0000000	0,0072608	0,9645953	0,0471991	0,3429495	1,0000000	0,8359413	0,9769270	0,8735687	0,8181880	0,7717078	0,0293274	0,0875369	0,9661977	0,0781024	0,0158817	0,8267937	0,9420326	0,5091710	0,8064356	0,1419158	0,9677382	0,6046099	0,9977530	0,0321412	0,5398157	0,1145759	0,0041872
260	0,0920220	0,0436353	0,6516528	1,0000000	1,0000000	0,0071881	0,9645716	0,0471991	0,3429524	1,0000000	0,8362626	0,9769600	0,8736195	0,8181919	0,7717078	0,0293276	0,0874892	0,9668392	0,0781024	0,0158817	0,8271062	0,9430962	0,5091298	0,8077426	0,1419158	0,9677587	0,6042322	0,9977538	0,0321445	0,5396533	0,1145759	0,0041872
280	0,0920248	0,0436353	0,6518314	1,0000000	1,0000000	0,0071465	0,9645578	0,0471991	0,3429545	1,0000000	0,8364866	0,9769845	0,8736581	0,8181906	0,7717078	0,0293277	0,0874559	0,9672356	0,0781025	0,0158817	0,8273625	0,9437963	0,5090989	0,8085764	0,1419158	0,9677750	0,6039434	0,9977544	0,0321473	0,5395363	0,1145759	0,0041872
300	0,0920272	0,0436353	0,6519605	1,0000000	1,0000000	0,0071228	0,9645497	0,0471991	0,3429560	1,0000000	0,8366444	0,9770025	0,8736873	0,8181878	0,7717078	0,0293278	0,0874327	0,9674808	0,0781025	0,0158817	0,8275686	0,9442567	0,5090760	0,8091084	0,1419158	0,9677876	0,6037283	0,9977550	0,0321496	0,5394526	0,1145759	0,0041872
320	0,0920293	0,0436353	0,6520529	1,0000000	1,0000000	0,0071092	0,9645450	0,0471991	0,3429572	1,0000000	0,8367562	0,9770157	0,8737091	0,8181849	0,7717078	0,0293279	0,0874167	0,9676325	0,0781025	0,0158817	0,8277313	0,9445593	0,5090591	0,8094479	0,1419158	0,9677973	0,6035711	0,9977554	0,0321516	0,5393933	0,1145759	0,0041872
340	0,0920310	0,0436353	0,6521186	1,0000000	1,0000000	0,0071015	0,9645422	0,0471991	0,3429580	1,0000000	0,8368359	0,9770252	0,8737253	0,8181825	0,7717078	0,0293280	0,0874056	0,9677265	0,0781026	0,0158817	0,8278579	0,9447579	0,5090469	0,8096644	0,1419158	0,9678046	0,6034579	0,9977557	0,0321533	0,5393514	0,1145759	0,0041872
