"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB

0	0,0918060	0,0436353	0,6417045	1,0000000	1,0000000	0,1474323	1,0000000	0,0471991	0,3428668	1,0000000	0,6318644	0,9757080	0,8720337	0,5758523	0,7717085	0,0293163	0,0912131	0,4206564	0,0780975	0,0158817	0,8229369	0,5029228	0,5105184	0,0163381	0,1419158	0,9674358	0,3424041	0,9976695	0,0319251	0,5472353	0,1145774	0,0041873
20	0,0918413	0,0436353	0,6417285	1,0000000	1,0000000	0,1292522	0,9972614	0,0471991	0,3428637	1,0000000	0,6469375	0,9757114	0,8720346	0,6038584	0,7717082	0,0293181	0,0911878	0,4646925	0,0780984	0,0158817	0,8229358	0,5307687	0,5105171	0,0786945	0,1419158	0,9674361	0,3742273	0,9976905	0,0319607	0,5472221	0,1145774	0,0041873
40	0,0918714	0,0436353	0,6419536	1,0000000	1,0000000	0,0978341	0,9917935	0,0471991	0,3428628	1,0000000	0,6773305	0,9757294	0,8720539	0,6536759	0,7717081	0,0293196	0,0909919	0,5520091	0,0780991	0,0158817	0,8229397	0,5892258	0,5104964	0,2031979	0,1419158	0,9674366	0,4316008	0,9977056	0,0319910	0,5470905	0,1145773	0,0041873
60	0,0918968	0,0436353	0,6425349	1,0000000	1,0000000	0,0693890	0,9859766	0,0471991	0,3428648	1,0000000	0,7100045	0,9757773	0,8721103	0,7004581	0,7717080	0,0293210	0,0905808	0,6441765	0,0780998	0,0158817	0,8229686	0,6548549	0,5104379	0,3354464	0,1419158	0,9674389	0,4856384	0,9977166	0,0320168	0,5467332	0,1145772	0,0041873
80	0,0919185	0,0436353	0,6434579	1,0000000	1,0000000	0,0479002	0,9808006	0,0471991	0,3428699	1,0000000	0,7393901	0,9758591	0,8722097	0,7372995	0,7717079	0,0293221	0,0900476	0,7254239	0,0781002	0,0158817	0,8230560	0,7163920	0,5103381	0,4527464	0,1419158	0,9674455	0,5277057	0,9977245	0,0320387	0,5461397	0,1145770	0,0041873
100	0,0919369	0,0436353	0,6446039	1,0000000	1,0000000	0,0330095	0,9765717	0,0471991	0,3428774	1,0000000	0,7636665	0,9759687	0,8723455	0,7640342	0,7717079	0,0293230	0,0894995	0,7910758	0,0781006	0,0158817	0,8232317	0,7692634	0,5102052	0,5481099	0,1419158	0,9674586	0,5573809	0,9977304	0,0320574	0,5453710	0,1145769	0,0041873
120	0,0919525	0,0436353	0,6458320	1,0000000	1,0000000	0,0231979	0,9732845	0,0471991	0,3428865	1,0000000	0,7827643	0,9760955	0,8725051	0,7825610	0,7717079	0,0293238	0,0890050	0,8414658	0,0781010	0,0158817	0,8235079	0,8123913	0,5100532	0,6217480	0,1419158	0,9674791	0,5769820	0,9977349	0,0320732	0,5445140	0,1145767	0,0041872
140	0,0919658	0,0436353	0,6470252	1,0000000	1,0000000	0,0169415	0,9708107	0,0471991	0,3428964	1,0000000	0,7973288	0,9762286	0,8726749	0,7950351	0,7717079	0,0293245	0,0885936	0,8788488	0,0781013	0,0158817	0,8238771	0,8463781	0,5098959	0,6767063	0,1419158	0,9675065	0,5892642	0,9977384	0,0320867	0,5436493	0,1145765	0,0041872
160	0,0919771	0,0436353	0,6481065	1,0000000	1,0000000	0,0130424	0,9689905	0,0471991	0,3429062	1,0000000	0,8082073	0,9763589	0,8728429	0,8032742	0,7717079	0,0293251	0,0882689	0,9059206	0,0781015	0,0158817	0,8243161	0,8725095	0,5097445	0,7167428	0,1419158	0,9675389	0,5965876	0,9977412	0,0320981	0,5428365	0,1145763	0,0041872
