"Time"	baeR	cpxR	csgD	rstA	ompR	bolA	rcsB	rcsA	flhC	hdfR	csgF	csgE	csgG	sra	ompF	mdtA	wcaB	mdtD	mdtB	baeS	csgB	wzc	wcaA	spy	wza	csgA	bdm	csgC	mdtC	wzb	rprA	osmB

0	0,0690014	0,0139654	0,5441750	0,8589967	0,7187469	0,1163534	0,7441156	0,0444595	0,3377876	0,8757946	0,4650177	0,7604013	0,6464017	0,4165587	0,5541516	0,0181885	0,0727615	0,4133320	0,0522182	0,0184443	0,5626520	0,4248927	0,2802655	0,0092304	0,1432843	0,6045396	0,2940778	0,7941690	0,0472599	0,3321219	0,1024840	0,0011439
20	0,0864350	0,0426236	0,5648113	0,7663592	0,6779777	0,0917143	0,7463505	0,0150646	0,2172059	0,8551258	0,4797514	0,7118866	0,6501527	0,3669614	0,6781172	0,0131269	0,0576892	0,3256952	0,0367934	0,0099839	0,5213563	0,3845978	0,5042035	0,0559976	0,0752660	0,8103113	0,2959947	0,6512829	0,0291200	0,4126889	0,0688455	0,0260756
40	0,0612264	0,0588534	0,5710707	0,7343895	0,7325681	0,0952617	0,7054984	0,0207518	0,1854614	0,6681777	0,5088266	0,5763331	0,6001166	0,5593656	0,6339778	0,0211295	0,0285691	0,3200663	0,0407673	0,0201568	0,5775495	0,4555020	0,3593534	0,1930713	0,0985590	0,7301106	0,3495800	0,5882654	0,0106534	0,3991050	0,0347486	0,0044251
60	0,0846348	0,0587486	0,4538782	0,7110993	0,7414170	0,0549160	0,7725174	0,0349441	0,2143981	0,8415931	0,4058124	0,6027837	0,5761048	0,4372830	0,5259171	0,0174606	0,0331911	0,4667136	0,0605292	0,0449066	0,6618649	0,4749406	0,3694982	0,3472019	0,1044766	0,8533991	0,3656527	0,6883164	0,0383924	0,4466154	0,0476155	0,0114455
80	0,0752509	0,0447884	0,5674532	0,6884850	0,8612212	0,0177192	0,7784903	0,0219609	0,1287492	0,8149750	0,4311251	0,6609584	0,5488210	0,6136110	0,5489685	0,0298954	0,0756748	0,4639193	0,0514430	0,0189558	0,6513524	0,4554825	0,3834155	0,3502521	0,1118396	0,7289153	0,4876769	0,6578951	0,0467943	0,4642837	0,0682015	0,0065563
100	0,0546977	0,0429826	0,4165131	0,6891953	0,7711867	0,0306890	0,8497085	0,0310450	0,2422577	0,9153651	0,4633787	0,7150418	0,5693710	0,5749116	0,5890368	0,0229492	0,0393343	0,5782486	0,0766794	0,0055197	0,7299628	0,5370577	0,4468008	0,4342686	0,1107608	0,7573733	0,4347574	0,6791581	0,0431183	0,3930341	0,0641476	0,0216838
120	0,0911758	0,0424210	0,4928694	0,7861027	0,7125390	0,0109336	0,8146326	0,0564045	0,3259561	0,6855928	0,5993835	0,6956903	0,6826456	0,5440848	0,5355910	0,0226349	0,0609560	0,5331112	0,0783100	0,0117681	0,7063272	0,5564151	0,4144222	0,4860778	0,0805344	0,7870468	0,3725862	0,5937744	0,0272812	0,4182930	0,1360204	0,0070246
140	0,0617058	0,0617469	0,6070503	0,9257768	0,5897209	0,0040238	0,7138228	0,0340310	0,2292983	0,7974094	0,6125994	0,5564134	0,6414541	0,5833800	0,5531543	0,0099050	0,0812684	0,7741097	0,0767577	0,0094112	0,5805244	0,5653244	0,3318280	0,5340102	0,0810249	0,7427148	0,4553297	0,7228665	0,0264811	0,3402238	0,0906121	0,0246499
160	0,0483565	0,0951263	0,5575524	0,7934607	0,6766506	0,0052246	0,7585541	0,0248186	0,2262222	0,8701093	0,6161290	0,6910890	0,6671911	0,6080489	0,4728030	0,0113174	0,0850520	0,6719732	0,0606504	0,0039894	0,5709744	0,5485889	0,2452577	0,5101400	0,1266732	0,7486043	0,4642215	0,7129439	0,0158920	0,4036454	0,0822973	0,0071923
