"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp

0	0,4150331	0,6030858	0,5005348	0,6736158	0,6362026	0,2812023	0,4626972	0,6116479	0,5812336	0,6792686	0,0484466	0,6952864	0,1736313	0,2383682	0,7180235	0,6842543	0,1985369	0,5615925	0,5985739	0,1551040	0,6034486	0,3407602	0,4260671	0,5676095	0,6388754	0,8101038	0,2887962	0,6151156	0,5031302	0,6147428	0,8159136	0,4025205
20	0,4114113	0,6991342	0,5382391	0,7358211	0,5802049	0,2074176	0,5755410	0,4801126	0,6577681	0,6865310	0,0691354	0,6317231	0,1574590	0,3145129	0,7636766	0,6780051	0,1810802	0,4916969	0,6537945	0,2109986	0,3825883	0,3881872	0,3607864	0,6561226	0,6732984	0,6670136	0,3298044	0,6510944	0,5313691	0,5992129	0,6524783	0,4320897
40	0,4443484	0,7193474	0,6102223	0,6058764	0,7543892	0,2231372	0,6389725	0,4400829	0,5886552	0,6611508	0,0937914	0,6313370	0,1302374	0,4590298	0,6887376	0,6470381	0,2830926	0,5505913	0,4929022	0,1963817	0,3397911	0,3300248	0,3612278	0,7551386	0,4582339	0,6658226	0,3137813	0,8325040	0,7063051	0,6189559	0,6843404	0,3885603
60	0,3656596	0,6170458	0,6184128	0,7234336	0,7131328	0,1901233	0,6426580	0,4386934	0,5675314	0,5333397	0,0743452	0,7203811	0,1748392	0,4514632	0,7368408	0,6565989	0,2550456	0,6963430	0,7293459	0,1522551	0,2948148	0,3104528	0,4587204	0,7030180	0,5375048	0,6561169	0,3695512	0,7289349	0,6513538	0,6585280	0,7924719	0,3813371
80	0,3926960	0,6776509	0,4836501	0,6031185	0,5798756	0,1915264	0,6565128	0,4998496	0,6613910	0,6160724	0,0956332	0,5457321	0,1675295	0,5509117	0,6096741	0,7407759	0,2045247	0,6614267	0,6469905	0,2145264	0,3009048	0,2738590	0,4500227	0,6846236	0,4986872	0,6517265	0,3012839	0,7082090	0,6921759	0,5445333	0,9239838	0,4395151
100	0,3911384	0,6932444	0,5149541	0,7986659	0,7075868	0,2042840	0,6417661	0,4212417	0,6268386	0,6985058	0,0638928	0,6670348	0,1791391	0,5386813	0,6067123	0,6931171	0,2812364	0,8193396	0,6392557	0,2534789	0,2901432	0,3240335	0,3737841	0,6905375	0,7025091	0,6025145	0,3205486	0,6845647	0,7428471	0,7608540	0,6692638	0,3823749
120	0,4445305	0,6761275	0,4402417	0,7183552	0,6573336	0,2167696	0,7891888	0,5740502	0,7007897	0,7305180	0,0661894	0,6813390	0,2484168	0,5425449	0,6038876	0,7266305	0,2475759	0,5186458	0,6429015	0,2129527	0,2543264	0,4487236	0,3640025	0,8171623	0,5829507	0,6581246	0,3383133	0,7030515	0,5053611	0,6844057	0,6961923	0,3922882
140	0,4509548	0,7254235	0,4965236	0,6108401	0,5751463	0,1972065	0,6359317	0,4695761	0,6924886	0,6996188	0,0794718	0,6860901	0,1646638	0,4263400	0,6384782	0,6495440	0,3372683	0,5966955	0,5764118	0,1863149	0,2040316	0,3159126	0,3411483	0,7299690	0,4412825	0,6484420	0,2589768	0,7413036	0,6228446	0,5950844	0,5365439	0,4744418
160	0,4615128	0,7309485	0,4723963	0,8503417	0,6792175	0,2557105	0,6137571	0,4664093	0,5975133	0,5532606	0,0369363	0,6130587	0,1796727	0,4714078	0,7259138	0,6874221	0,2328396	0,7146211	0,7561500	0,2045451	0,3610210	0,3039449	0,3624278	0,7126160	0,5173237	0,6652214	0,3191918	0,7424118	0,7657685	0,4858395	0,7358104	0,2926325
180	0,4506804	0,8872579	0,5583013	0,7016012	0,6752964	0,1610329	0,5811745	0,4798205	0,5771745	0,6956310	0,0525635	0,7072976	0,2333156	0,4842629	0,7227965	0,8443907	0,3428747	0,8120346	0,5450070	0,1400351	0,2424031	0,2918948	0,3753088	0,6530129	0,4467362	0,6865184	0,2796319	0,7419937	0,5800707	0,5704884	0,6974865	0,4039078
200	0,4179436	0,6728834	0,5630147	0,5605074	0,7061207	0,2014064	0,6752999	0,4730817	0,6024854	0,8732705	0,0583944	0,6774589	0,2624941	0,4707627	0,6199075	0,7338979	0,2914561	0,6121990	0,5582349	0,2342022	0,2696373	0,2683824	0,3749441	0,7391527	0,4655110	0,7045832	0,3089309	0,7031918	0,6650616	0,5529752	0,8148054	0,3599046
220	0,3891917	0,7015594	0,6709865	0,6730650	0,8540576	0,1832574	0,6114393	0,4245528	0,5885647	0,5950542	0,0543442	0,6643581	0,2601037	0,4802237	0,7025826	0,6389640	0,3152343	0,7393038	0,6535340	0,2459002	0,2339055	0,2403591	0,3222261	0,8507360	0,5708113	0,7504776	0,2867223	0,6151448	0,6878143	0,5534486	0,7875360	0,3616311
240	0,4366239	0,7184795	0,6555448	0,6981958	0,8693352	0,1886791	0,5985669	0,4190301	0,7402787	0,6931025	0,0803358	0,6660029	0,2042825	0,5402988	0,7380954	0,8173740	0,2357282	0,6864649	0,5897916	0,1906637	0,2857339	0,3136567	0,3198986	0,6562255	0,6023080	0,7279162	0,3784467	0,6306559	0,5835275	0,5555077	0,7539650	0,4039991
260	0,4388904	0,7151921	0,5231344	0,6570950	0,6802025	0,2371498	0,6337021	0,4156126	0,7574651	0,8099713	0,0535088	0,7195037	0,1702452	0,4851224	0,7940529	0,7135474	0,3563150	0,6198530	0,7205324	0,2965882	0,2623505	0,2379899	0,4372650	0,6242157	0,4985168	0,7121071	0,3196419	0,6302055	0,6581867	0,6310698	0,6896838	0,4222387
280	0,4281625	0,6519054	0,5261634	0,6917612	0,7541039	0,2246734	0,5474378	0,4673999	0,5974087	0,7591316	0,0405572	0,7526775	0,1934079	0,4890605	0,6475816	0,7150340	0,2757271	0,6482857	0,5654267	0,2952784	0,2605703	0,2900032	0,3834774	0,6773986	0,5792841	0,6555267	0,4360399	0,7179637	0,6958363	0,5740474	0,7337515	0,3628292
300	0,3879601	0,6641475	0,5445120	0,7705823	0,6948601	0,1987885	0,5681954	0,4957388	0,5361326	0,6772404	0,0514490	0,6501950	0,1682564	0,4628881	0,6325180	0,7805819	0,3552986	0,5586224	0,5458820	0,1408366	0,3308838	0,2798150	0,3979406	0,6641563	0,5746631	0,6485894	0,3261634	0,7180015	0,7404503	0,5688046	0,6753146	0,3911284
320	0,3381951	0,6799285	0,5172539	0,6567418	0,6576110	0,1634039	0,5416907	0,5353141	0,6328820	0,7274456	0,0697942	0,5980293	0,1703440	0,4849997	0,7695083	0,6998164	0,2354381	0,5849112	0,6911822	0,1813524	0,2546017	0,2228160	0,3101266	0,7755217	0,5117381	0,7269996	0,3512760	0,6276880	0,5820418	0,5965532	0,6325958	0,3878058
340	0,4227008	0,5906583	0,5524246	0,7823286	0,6728097	0,2025990	0,5436082	0,5066577	0,7420660	0,6095184	0,0675943	0,6624259	0,1920310	0,4102064	0,7530330	0,7077112	0,2220315	0,6485027	0,6617541	0,1734176	0,3331628	0,3648023	0,3049562	0,7182543	0,5253387	0,6654629	0,4086542	0,6764397	0,6877802	0,6143919	0,7088568	0,3433696
360	0,4301999	0,6640742	0,5655065	0,6216412	0,5704585	0,2256202	0,6992392	0,4330124	0,5111381	0,7322924	0,1035145	0,5467550	0,2085284	0,6069450	0,7951519	0,7153790	0,2712171	0,5956497	0,7003619	0,2019204	0,2928181	0,2983055	0,2939907	0,7504472	0,5720976	0,6150863	0,3645840	0,6833086	0,6470127	0,5707004	0,6350719	0,3861738
380	0,5302783	0,7221414	0,6267246	0,7011539	0,6771512	0,1715560	0,6104677	0,5254488	0,5116257	0,7398580	0,0403939	0,7899866	0,1803392	0,6374765	0,7951354	0,6899342	0,2327443	0,6682531	0,6180526	0,1852315	0,2250643	0,3036561	0,4144004	0,6502212	0,5860535	0,6727618	0,3438241	0,6120683	0,5512538	0,7160983	0,7169397	0,4052448
400	0,4275870	0,6936776	0,5590268	0,6937202	0,6851939	0,1357638	0,6137072	0,4944619	0,6135899	0,6853067	0,0665224	0,7771321	0,1938123	0,5550125	0,6013988	0,7156132	0,3058997	0,6040870	0,5185557	0,2162564	0,2510505	0,3013835	0,3250082	0,8320831	0,5917905	0,6252894	0,3254041	0,6976350	0,4791526	0,5725027	0,7069397	0,4144247
420	0,3973174	0,6266702	0,5530006	0,7764841	0,6560972	0,1856800	0,5475079	0,5402476	0,7375476	0,7310278	0,0519903	0,6594328	0,3146052	0,5319366	0,7201779	0,5865920	0,2853650	0,6578322	0,5670005	0,1822061	0,2736607	0,3210970	0,2940367	0,5903941	0,6350972	0,6156189	0,4169343	0,8735825	0,4886588	0,4666171	0,6493671	0,4378436
440	0,5456513	0,6576166	0,5574492	0,6245121	0,5437545	0,1927818	0,6982708	0,4986194	0,7469722	0,7191619	0,0677584	0,7996486	0,2002114	0,6222158	0,5458874	0,7105692	0,2791871	0,4986628	0,6002945	0,1694816	0,2170800	0,2544702	0,3481252	0,6964347	0,6097934	0,6505515	0,4113373	0,6853429	0,5809546	0,5966192	0,6950942	0,4288547
460	0,4248391	0,6496523	0,5138523	0,6954384	0,6298603	0,2552126	0,7971761	0,5694240	0,7207164	0,6243309	0,0971655	0,6054505	0,1968649	0,5325117	0,6218421	0,7461995	0,2514842	0,5939994	0,5540607	0,2261731	0,2517883	0,3747642	0,4412645	0,7493385	0,5939450	0,7368052	0,3130391	0,6782522	0,6173066	0,5911170	0,6434505	0,3719910
