melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp	Time	Experiment
0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0
0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	20	0
0	1	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	40	0
0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	60	0
0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	80	0
0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	100	0
0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	120	0
0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	140	0
0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	160	0
0	1	0	1	0	1	1	0	0	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	180	0
0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	200	0
0	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	220	0
0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	1	0	240	0
0	1	0	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	260	0
0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	280	0
0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	300	0
0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	320	0
0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	340	0
