"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp

0	0,6225013	0,8813174	0,7620854	0,9698113	0,9547209	0,3105278	0,7302145	0,7610144	0,8887285	0,9717435	0,1042346	0,9481316	0,2523070	0,4167865	1,0882809	0,9411879	0,3231685	0,7734139	0,8857091	0,2766238	0,8021162	0,4359767	0,6122578	1,0195789	0,7962639	1,0970508	0,4263714	0,9663562	0,6035773	0,8540620	0,9973325	0,5688350
20	0,6559927	0,9466234	0,7587249	0,9823703	0,9457703	0,3014313	0,7675829	0,6544336	0,8736871	0,9878918	0,1165096	0,9643709	0,2143744	0,5144691	1,0798680	1,0520165	0,3318472	0,7144231	0,9270921	0,2624736	0,5935138	0,4842059	0,5092528	1,0637252	0,8316491	0,9720187	0,4147552	0,9892302	0,7773683	0,8330035	0,9939533	0,4896016
40	0,5840628	0,9763487	0,7822441	0,9795452	0,8807843	0,3121831	0,8450364	0,6799604	0,9150251	0,9753285	0,1462372	0,9107072	0,2129764	0,5734999	0,9831584	1,0444250	0,3785037	0,8449311	0,9230368	0,2954445	0,4877875	0,4589293	0,5180816	1,0650126	0,7693432	0,9456276	0,4572176	0,9688530	0,9367059	0,8412839	0,9973594	0,5362262
60	0,5414818	1,0280579	0,8026453	0,9415417	0,9417941	0,2831375	0,8984538	0,6473600	0,8498616	0,9711250	0,1224659	0,9500968	0,2023268	0,6033128	0,9324087	1,0388605	0,3719827	0,8979562	0,9229493	0,2422134	0,4119579	0,4844641	0,5695933	1,0737590	0,8102793	0,9371682	0,4699486	1,0155615	0,9137339	0,8513481	1,0543053	0,5230428
80	0,5929079	0,9918956	0,7471561	0,9534632	0,8989075	0,2885357	0,9252548	0,6507924	0,9104083	0,9209600	0,1312507	0,8919622	0,2656861	0,6504461	0,9655353	1,0679761	0,3582292	0,9081529	0,9908509	0,3004685	0,4103831	0,5000145	0,5622402	1,0750323	0,7840109	0,9295006	0,4230037	0,9984017	0,9653563	0,8113531	1,0173144	0,5843997
100	0,5952750	1,0068477	0,7401476	1,0136780	0,9781218	0,2902467	0,9163655	0,6514442	0,9051402	1,0023056	0,1038835	0,8970479	0,2457249	0,6850306	0,9189046	0,9272479	0,3655303	0,9728197	0,9321907	0,3490465	0,4160313	0,5138737	0,5273467	1,1214251	0,8403248	0,9234776	0,4490904	0,9736930	0,9170579	0,9270572	0,9791919	0,5808414
120	0,5854446	0,9423246	0,7308868	1,0395790	0,9480826	0,2853775	0,9138946	0,7108628	0,9197314	1,0495475	0,0892663	0,9489279	0,2408961	0,7005861	0,9497342	0,9497090	0,3858413	0,8604469	0,9092014	0,3042234	0,3909675	0,4889495	0,5441816	1,0616355	0,8003069	0,9891283	0,4089534	1,0027050	0,8853074	0,8766837	0,9564502	0,5736983
140	0,5985644	0,9514202	0,7160613	0,9137785	0,9652437	0,2675440	0,9728363	0,7055998	0,9796915	0,9732798	0,0923662	0,9306820	0,2389128	0,6776292	1,0278431	0,9696022	0,3844654	0,8475475	0,8941231	0,2723581	0,3802192	0,4537910	0,5079504	1,0870974	0,7023417	0,9389545	0,4009294	1,0472645	0,9026618	0,8274375	0,9165568	0,5297785
160	0,5891947	0,9910585	0,6939996	0,9686648	0,8916498	0,2596867	0,9231101	0,6695756	0,9411054	0,9787652	0,0823125	0,9386593	0,2680292	0,6404568	0,9861615	0,9625313	0,3633473	0,9677339	0,9551161	0,2894052	0,3725033	0,4589480	0,4810454	1,0506095	0,7085674	1,0044132	0,4945273	0,9838471	0,9561599	0,7918369	0,9801713	0,4729250
