"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp

0	0,6776255	0,8814040	0,7523487	1,0000972	0,8482329	0,3135861	0,7683059	0,6111031	0,9065550	0,9443375	0,1297928	0,9983908	0,2318293	0,4268909	1,0425524	0,9979249	0,3863140	0,7249272	0,8893328	0,2719978	0,8684257	0,4907519	0,5418675	1,0408090	0,7496603	1,0122053	0,4740913	0,9636684	0,5315092	0,8899208	0,9764248	0,6116748
20	0,5387272	0,8879905	0,7803082	1,0235991	0,9892303	0,2916741	0,7187059	0,6383530	0,9045092	1,0995657	0,0972938	0,9122155	0,1985820	0,4606112	1,0265027	1,0436600	0,3184935	0,7441646	0,9334554	0,2999778	0,7767832	0,5589750	0,5671419	0,9698575	0,7636945	1,0585453	0,4739534	1,0108413	0,6854502	0,8757314	1,0203572	0,5110671
40	0,5995346	0,9421003	0,7996535	1,0214406	0,9821991	0,2912269	0,7854747	0,6047901	0,8715900	1,0450037	0,1169381	0,9197517	0,1894208	0,5726153	1,0594993	0,9480766	0,3279351	0,7770456	0,8745840	0,2683753	0,6849276	0,5268857	0,5325183	0,9922369	0,7769510	1,0334676	0,4585740	1,0074084	0,7863080	0,8800826	1,0108998	0,5399905
60	0,5435614	0,9934866	0,7820128	0,9321062	0,9281538	0,2942972	0,8442507	0,6695005	0,8575471	1,0548320	0,1233912	0,8958556	0,2147994	0,6593032	0,9558022	0,9820658	0,3494961	0,8496554	0,8581887	0,2691973	0,6427795	0,5331612	0,5167845	1,1159032	0,8453018	1,0262939	0,5040883	1,0474795	0,8754140	0,8883998	1,0521792	0,5496713
80	0,5857149	0,9503510	0,8011947	0,9210871	0,9056900	0,2844030	0,8649794	0,6457628	0,8919425	1,1166182	0,1078186	0,8531026	0,2034271	0,6527641	0,9693715	0,9650372	0,3254798	0,8430075	0,8893087	0,2848662	0,5490946	0,5662058	0,5256180	1,0842898	0,8148950	0,9482069	0,4583810	1,0169837	0,9145590	0,8304511	0,9512040	0,5501645
100	0,6867434	0,9275588	0,7450243	1,0103042	0,9167229	0,2741938	0,9073081	0,7011570	0,9844444	1,0303216	0,1165286	0,9434631	0,2088698	0,6916527	0,9854825	0,9184891	0,3463162	0,8403983	0,9870804	0,2801070	0,5158903	0,5205363	0,5386018	1,0694940	0,8450769	1,0010212	0,4449446	1,0299921	0,8906118	0,8759274	0,9879375	0,6057779
120	0,6704418	0,8831166	0,7243769	0,9210412	0,9300031	0,2849614	0,8260304	0,6958737	0,9512275	1,0689796	0,0964582	0,9360196	0,2312150	0,6823890	0,9321076	0,8990113	0,3502482	0,8951905	0,9430121	0,3012782	0,4874029	0,5540819	0,4985360	1,1322110	0,9008993	0,9897157	0,3751747	1,0199125	0,8992131	0,8416228	1,0128250	0,5669839
140	0,7332461	0,9016161	0,6837548	0,8543245	0,9027168	0,2925871	0,9297841	0,6738434	0,9657334	1,0342833	0,0831176	0,9417721	0,2419261	0,7282889	0,8812040	0,9176919	0,3269467	0,8527938	0,8862516	0,3066741	0,4590271	0,5002425	0,5279536	1,1130811	0,8698239	1,0367697	0,3839879	0,9380060	0,8490981	0,9134478	0,9211978	0,5128144
160	0,6608342	0,8932686	0,7014075	0,8800050	0,9264581	0,3076363	0,9246265	0,6819952	0,9408181	0,9614533	0,0929751	0,9117868	0,2669903	0,6694581	0,8941636	0,8319867	0,3226209	0,8804099	0,8807534	0,3285077	0,4105976	0,4573341	0,5509211	1,1281379	0,7469398	1,0466613	0,4350567	0,8991061	0,8284195	0,8108271	0,9428994	0,5462012
