"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp

0	0,6052105	0,9940999	0,8087400	0,9671007	0,9544960	0,2815511	0,7213674	0,6982747	0,9351497	0,9997090	0,0936126	0,9390875	0,2388217	0,3638255	0,9999999	0,9978301	0,3677288	0,7660332	0,9136176	0,2975083	0,8333102	0,4402807	0,5892217	0,9966744	0,7870784	0,9955890	0,5077335	0,9999541	0,5611089	0,8489041	0,9985614	0,6043204
20	0,6052108	0,9941005	0,8088870	0,9811523	0,9545002	0,2815511	0,8096035	0,6982763	0,9351549	0,9997090	0,0936052	0,9390956	0,2388223	0,4808780	0,9999999	0,9978302	0,3800323	0,8166615	0,9136212	0,2975103	0,6447057	0,4402515	0,5704649	0,9973171	0,7872023	0,9955894	0,5077483	0,9999578	0,7537078	0,8488975	0,9986772	0,6043578
40	0,6052111	0,9941010	0,8094200	0,9879108	0,9545033	0,2815511	0,8627152	0,6982774	0,9351585	0,9997091	0,0935999	0,9391016	0,2388228	0,5583545	0,9999999	0,9978303	0,3889502	0,8467982	0,9136237	0,2975117	0,5287667	0,4402305	0,5580597	0,9978518	0,7876594	0,9955896	0,5077588	0,9999605	0,8416249	0,8488928	0,9987540	0,6043846
60	0,6052112	0,9941013	0,8102277	0,9911615	0,9545054	0,2815511	0,8951381	0,6982781	0,9351611	0,9997091	0,0935961	0,9391060	0,2388232	0,6096357	0,9999999	0,9978304	0,3957372	0,8647371	0,9136255	0,2975127	0,4574967	0,4402153	0,5498552	0,9982953	0,7883880	0,9955898	0,5077662	0,9999625	0,8817571	0,8488895	0,9988049	0,6044036
80	0,6052114	0,9941015	0,8111124	0,9927250	0,9545069	0,2815511	0,9151159	0,6982787	0,9351630	0,9997091	0,0935934	0,9391093	0,2388235	0,6435783	0,9999999	0,9978305	0,4009928	0,8754154	0,9136268	0,2975134	0,4136856	0,4402045	0,5444291	0,9986502	0,7892271	0,9955899	0,5077715	0,9999640	0,9000765	0,8488871	0,9988387	0,6044173
100	0,6052114	0,9941017	0,8119391	0,9934770	0,9545080	0,2815511	0,9275038	0,6982790	0,9351643	0,9997091	0,0935915	0,9391118	0,2388237	0,6660448	0,9999999	0,9978305	0,4050625	0,8817717	0,9136277	0,2975138	0,3867540	0,4401967	0,5408404	0,9989267	0,7900491	0,9955900	0,5077752	0,9999652	0,9084388	0,8488854	0,9988611	0,6044269
120	0,6052115	0,9941018	0,8126449	0,9938388	0,9545088	0,2815511	0,9352205	0,6982793	0,9351652	0,9997091	0,0935901	0,9391136	0,2388239	0,6809151	0,9999999	0,9978306	0,4081893	0,8855553	0,9136283	0,2975142	0,3701986	0,4401911	0,5384670	0,9991383	0,7907813	0,9955901	0,5077778	0,9999661	0,9122560	0,8488842	0,9988759	0,6044338
140	0,6052115	0,9941019	0,8132140	0,9940127	0,9545093	0,2815511	0,9400440	0,6982795	0,9351659	0,9997091	0,0935891	0,9391150	0,2388240	0,6907577	0,9999999	0,9978306	0,4105663	0,8878076	0,9136288	0,2975144	0,3600217	0,4401871	0,5368973	0,9992983	0,7913942	0,9955901	0,5077797	0,9999668	0,9139984	0,8488834	0,9988858	0,6044388
160	0,6052116	0,9941019	0,8136561	0,9940964	0,9545097	0,2815511	0,9430671	0,6982796	0,9351663	0,9997091	0,0935884	0,9391160	0,2388240	0,6972723	0,9999999	0,9978306	0,4123535	0,8891483	0,9136291	0,2975146	0,3537657	0,4401843	0,5358592	0,9994183	0,7918855	0,9955902	0,5077810	0,9999673	0,9147937	0,8488828	0,9988923	0,6044423
