"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp

0	0,6052089	0,9940673	0,8083792	0,9670572	0,9544892	0,2815518	0,7212463	0,6982515	0,9350861	0,9997090	0,0936357	0,9387867	0,2388182	0,3638950	0,9999999	0,9978086	0,3670433	0,7660107	0,9135543	0,2974758	0,8333013	0,4404612	0,5891941	0,9963617	0,7868968	0,9955671	0,5076782	0,9999324	0,5611628	0,8489436	0,9985604	0,6039895
20	0,6052097	0,9940774	0,8085131	0,9698882	0,9544954	0,2815516	0,7476991	0,6982598	0,9351095	0,9997090	0,0936217	0,9388759	0,2388197	0,4022072	0,9999999	0,9978152	0,3696745	0,7807478	0,9135763	0,2974869	0,7956705	0,4403836	0,5819964	0,9966532	0,7869868	0,9955740	0,5077091	0,9999428	0,6040689	0,8489256	0,9985997	0,6041177
40	0,6052102	0,9940847	0,8087168	0,9750424	0,9544999	0,2815514	0,7944426	0,6982657	0,9351262	0,9997090	0,0936118	0,9389410	0,2388209	0,4706177	0,9999999	0,9978198	0,3749637	0,8069924	0,9135919	0,2974949	0,7201935	0,4403269	0,5700037	0,9970689	0,7871595	0,9955789	0,5077310	0,9999501	0,6790241	0,8489128	0,9986686	0,6042106
60	0,6052107	0,9940898	0,8090806	0,9800348	0,9545030	0,2815513	0,8381754	0,6982699	0,9351381	0,9997091	0,0936046	0,9389886	0,2388218	0,5354042	0,9999999	0,9978230	0,3810874	0,8315833	0,9136029	0,2975007	0,6396006	0,4402855	0,5593686	0,9975145	0,7875087	0,9955823	0,5077465	0,9999551	0,7481245	0,8489037	0,9987332	0,6042779
80	0,6052109	0,9940934	0,8096067	0,9841014	0,9545052	0,2815512	0,8725496	0,6982728	0,9351466	0,9997091	0,0935995	0,9390234	0,2388224	0,5871237	0,9999999	0,9978253	0,3871450	0,8508248	0,9136108	0,2975048	0,5677193	0,4402555	0,5513242	0,9979380	0,7880374	0,9955846	0,5077575	0,9999587	0,8016462	0,8488972	0,9987845	0,6043265
100	0,6052111	0,9940959	0,8102418	0,9871611	0,9545068	0,2815511	0,8974773	0,6982749	0,9351526	0,9997091	0,0935958	0,9390489	0,2388229	0,6253607	0,9999999	0,9978269	0,3926994	0,8646416	0,9136163	0,2975077	0,5089387	0,4402336	0,5456261	0,9983130	0,7886890	0,9955863	0,5077653	0,9999614	0,8399253	0,8488926	0,9988222	0,6043615
120	0,6052113	0,9940977	0,8109192	0,9893641	0,9545079	0,2815511	0,9147562	0,6982764	0,9351569	0,9997091	0,0935932	0,9390676	0,2388232	0,6524837	0,9999999	0,9978280	0,3975620	0,8740792	0,9136203	0,2975098	0,4632712	0,4402178	0,5417164	0,9986297	0,7893905	0,9955875	0,5077708	0,9999633	0,8661233	0,8488893	0,9988488	0,6043868
140	0,6052114	0,9940990	0,8115822	0,9909084	0,9545087	0,2815511	0,9264024	0,6982774	0,9351599	0,9997091	0,0935913	0,9390812	0,2388235	0,6712582	0,9999999	0,9978288	0,4016829	0,8803196	0,9136231	0,2975113	0,4289703	0,4402064	0,5390779	0,9988884	0,7900790	0,9955883	0,5077747	0,9999647	0,8835789	0,8488870	0,9988672	0,6044049
160	0,6052115	0,9940999	0,8121922	0,9919723	0,9545092	0,2815511	0,9341084	0,6982782	0,9351621	0,9997091	0,0935900	0,9390912	0,2388237	0,6840573	0,9999999	0,9978293	0,4050897	0,8843539	0,9136251	0,2975124	0,4038160	0,4401982	0,5373131	0,9990947	0,7907110	0,9955889	0,5077775	0,9999657	0,8950102	0,8488854	0,9988798	0,6044180
