"Time"	melR	crp	rhaR	rhaS	feaR	malI	zraR	mtlR	rbsR	prpR	rbsK	rhaB	malY	rbsB	prpB	prpE	rhaA	melA	prpD	rbsD	malX	rbsA	melB	zraS	rhaD	prpC	rbsC	rhaT	mtlD	mtlA	ychH	agp

0	0,4577890	0,7641393	0,5740197	0,6682882	0,5592577	0,2204250	0,4497342	0,4213068	0,6162938	0,6668681	0,0755988	0,7565858	0,2076138	0,2764591	0,7692368	0,6587105	0,3274132	0,4809466	0,6224771	0,2051082	0,5971369	0,3348835	0,3023745	0,7381154	0,4904065	0,6358011	0,2912776	0,6487995	0,3910633	0,4973705	0,5723925	0,4983715
20	0,4088258	0,7250107	0,4854871	0,6747529	0,6895370	0,2020665	0,5386341	0,4527823	0,6558251	0,7480692	0,0626705	0,7035609	0,0964691	0,2904536	0,7272141	0,7397273	0,1886868	0,6050014	0,5700979	0,2251931	0,5084599	0,4496926	0,4015953	0,8179752	0,4930577	0,8139975	0,3523605	0,6641917	0,4471442	0,6331600	0,7206949	0,3754910
40	0,3965101	0,6141455	0,6163704	0,7300035	0,6294327	0,2222223	0,5951567	0,3880474	0,6689235	0,9219731	0,0798461	0,7966170	0,1640680	0,4101017	0,7496530	0,7191851	0,2299474	0,5703759	0,5806644	0,1884570	0,6333481	0,3006554	0,3246589	0,6838487	0,5260502	0,8059770	0,4146358	0,8019021	0,5246243	0,7332556	0,7647270	0,4235006
60	0,3588036	0,7377223	0,5962858	0,5876534	0,6192920	0,2202661	0,6772092	0,4627652	0,7239520	0,7396823	0,0816672	0,6673522	0,2076493	0,5438866	0,5858542	0,7156850	0,3102598	0,5797703	0,5007306	0,1672534	0,4766873	0,3530400	0,4103191	0,8109365	0,5859478	0,6823017	0,4163579	0,8431529	0,7200935	0,6061251	0,7417428	0,3245073
80	0,4162738	0,6849806	0,5717100	0,6516863	0,5796108	0,2287032	0,5781813	0,4889896	0,6466709	0,7019480	0,0852094	0,5796249	0,1666360	0,4862147	0,6373234	0,7184079	0,1970140	0,5124732	0,5497929	0,2257781	0,4271478	0,3737392	0,4150319	0,7529736	0,5500781	0,6422774	0,3660873	0,6623250	0,6546001	0,6598933	0,6128271	0,4668818
100	0,5267343	0,6670002	0,5151353	0,7865256	0,5748800	0,2062501	0,7995781	0,4793072	0,7197414	0,7031227	0,0684493	0,6370181	0,1377746	0,5178642	0,6336705	0,6356674	0,2676476	0,5672658	0,6850800	0,2128086	0,3478710	0,3431364	0,3734679	0,8192827	0,6185319	0,7496749	0,2825975	0,6098668	0,6388216	0,5894366	0,7652927	0,4178761
120	0,4229414	0,5364125	0,5223340	0,6440921	0,7163306	0,1817598	0,5736132	0,4353972	0,6232786	0,7570724	0,0527276	0,6568166	0,1317453	0,5324820	0,6920045	0,6172828	0,2611870	0,5827246	0,6596814	0,1772054	0,3123664	0,4506459	0,3739311	0,8012702	0,6815617	0,7375859	0,2102462	0,8287563	0,6246870	0,5110425	0,6703121	0,4459411
140	0,4459161	0,5755119	0,4758777	0,6718878	0,5943201	0,2140518	0,5814274	0,4787287	0,5512138	0,7469235	0,0473733	0,7238295	0,1727540	0,5125449	0,8021139	0,6880323	0,2639476	0,5367053	0,5225621	0,2081706	0,3231411	0,3625976	0,4673346	0,7724955	0,5622701	0,7495316	0,2589664	0,6273383	0,6132878	0,6909818	0,5777588	0,4016152
160	0,5610645	0,6437420	0,4178641	0,5346514	0,7096660	0,2802618	0,5604455	0,4418804	0,7235030	0,6806003	0,0765915	0,5370220	0,1796646	0,4657417	0,6596881	0,6012809	0,2241284	0,5419786	0,6400929	0,2064848	0,2418386	0,3823892	0,3052506	0,8175262	0,4977963	0,8098959	0,2917649	0,4825311	0,5680819	0,4794022	0,7192182	0,4656638
180	0,4730215	0,7239487	0,5135078	0,6374801	0,7992719	0,2108951	0,5945530	0,4720524	0,7713231	0,6733971	0,0886453	0,7485273	0,2307424	0,4948798	0,6864527	0,5648895	0,2313047	0,5729107	0,5661909	0,2641943	0,2777689	0,2572596	0,5126569	0,9249199	0,5254115	0,6861081	0,3386902	0,6038991	0,6764723	0,5478930	0,7284229	0,3679367
200	0,4531131	0,6346423	0,4995362	0,7292133	0,7623549	0,1644127	0,6592292	0,4927205	0,6446517	0,6349374	0,0601105	0,7736421	0,2298135	0,4799779	0,6254570	0,5671997	0,2643901	0,7420572	0,5442119	0,1850949	0,3080695	0,2629307	0,3923433	0,8559378	0,5028367	0,6839758	0,2691836	0,6461563	0,5858539	0,4957567	0,7439613	0,4414110
220	0,4701556	0,6388699	0,5166772	0,7001789	0,7190508	0,1521758	0,6375053	0,4858299	0,7142507	0,7473892	0,0853306	0,6528806	0,2632722	0,5107437	0,5513893	0,6724123	0,2200746	0,6856296	0,6481834	0,2108887	0,2489639	0,3597659	0,2597074	0,6729149	0,5526451	0,6775842	0,3703972	0,6444873	0,5684093	0,5736552	0,6553083	0,4336392
240	0,4937090	0,5647770	0,5609930	0,7007257	0,7785410	0,1525886	0,6445962	0,4386925	0,6442490	0,6232968	0,0662507	0,6312122	0,1975100	0,5468944	0,5975861	0,8723789	0,3028293	0,5912305	0,6837417	0,2740880	0,2512637	0,3088600	0,3386554	0,7750022	0,5719731	0,8966012	0,3410656	0,6417120	0,5931291	0,4663967	0,7538055	0,3678862
260	0,3504347	0,8184181	0,4886655	0,7207070	0,8021472	0,1981226	0,6155995	0,4563104	0,7531827	0,7737597	0,0256591	0,5872892	0,2180142	0,4512898	0,6613207	0,6806500	0,2246100	0,6578279	0,6709626	0,2309750	0,2783610	0,3261458	0,3680023	0,6935306	0,5178313	0,7028435	0,3144284	0,8165552	0,6870297	0,5802146	0,8723125	0,3669397
280	0,5009780	0,6763981	0,5109074	0,6381227	0,8187989	0,2523032	0,7196312	0,4143646	0,8336582	0,6472221	0,0536603	0,6039452	0,2798418	0,4842246	0,7514843	0,5941345	0,2919388	0,6639295	0,6619380	0,2197645	0,2596547	0,2736057	0,3790836	0,7201370	0,5858559	0,6853168	0,3145824	0,6939053	0,5649632	0,6407952	0,7915079	0,3335014
300	0,3932639	0,6152243	0,5614492	0,7153825	0,7404510	0,1390474	0,7014516	0,4627073	0,6381849	0,7336402	0,0392735	0,6554017	0,2153123	0,6256843	0,5923270	0,5984193	0,2229945	0,5136406	0,6181554	0,2158922	0,2973864	0,2958737	0,3441035	0,6405944	0,5009913	0,6914511	0,4677889	0,7249084	0,7041315	0,5696421	0,7397053	0,3828556
320	0,4181025	0,7766750	0,5642813	0,6806936	0,6846902	0,1132496	0,6892040	0,4403118	0,7564415	0,7081359	0,0329175	0,7036969	0,2297689	0,4873786	0,5269346	0,6296049	0,2360760	0,4992680	0,7679524	0,2438777	0,3338484	0,2703993	0,3157660	0,7828848	0,4668756	0,7775434	0,3781812	0,7074959	0,6128918	0,5561934	0,7893930	0,3959391
340	0,3663591	0,8536521	0,5862011	0,6368259	0,6037940	0,1945629	0,5364406	0,5110146	0,6039047	0,7390277	0,0429794	0,6878813	0,2094100	0,5174070	0,5848104	0,7325544	0,2520156	0,6119200	0,6922198	0,2002317	0,2729249	0,2497672	0,3822309	0,6734793	0,4271665	0,5823497	0,2986520	0,7068510	0,6045836	0,5517787	0,5973956	0,3103367
360	0,4189459	0,7114612	0,5740218	0,6251197	0,7527476	0,1543140	0,5655749	0,4261734	0,7324906	0,6892529	0,0755819	0,7346466	0,1973992	0,4447070	0,6634409	0,6165999	0,2366586	0,6005699	0,7833842	0,1373796	0,2543648	0,2789072	0,3633440	0,6824224	0,5914199	0,5234798	0,3654832	0,5654710	0,7150450	0,5057784	0,6171586	0,3610745
380	0,5085230	0,6403833	0,5405982	0,7670412	0,6402522	0,1367767	0,5604423	0,4229257	0,6974627	0,7230975	0,1372565	0,5542382	0,1496445	0,4225748	0,7180094	0,5600774	0,2496653	0,6338236	0,5947233	0,2287925	0,2443015	0,3594556	0,4682173	0,7980543	0,6296810	0,6775357	0,2942594	0,7151736	0,6945413	0,5975041	0,6052906	0,4675319
400	0,4276087	0,6731437	0,5821132	0,6469883	0,6553479	0,1528542	0,6366786	0,4720424	0,8455746	0,7952063	0,0432200	0,6248939	0,1953232	0,4120919	0,7481545	0,5839710	0,3261759	0,7034985	0,7979187	0,2003695	0,2691011	0,2754269	0,4187177	0,8104009	0,5541677	0,6386251	0,3580653	0,8417394	0,7151128	0,6928594	0,6618899	0,4943268
420	0,4030943	0,6131265	0,5709925	0,6226115	0,8329498	0,1612555	0,6618931	0,5632720	0,7024968	0,8216725	0,0721198	0,6166741	0,1796054	0,4988243	0,6398431	0,6444449	0,2263564	0,6006162	0,6641752	0,2116749	0,2596210	0,3050535	0,4003679	0,7727812	0,5886994	0,6258980	0,3513890	0,6582162	0,6217860	0,7044250	0,5462296	0,3878727
440	0,4774447	0,5761069	0,5376574	0,7016484	0,5936036	0,2422377	0,6061663	0,4365372	0,6595599	0,6652177	0,0662923	0,6881492	0,2621537	0,4227671	0,6804020	0,5778438	0,2270144	0,5278269	0,6204262	0,1810608	0,3176751	0,3572623	0,3609410	0,6480282	0,5285202	0,6512553	0,3849593	0,8386770	0,7361534	0,6550020	0,6553284	0,4097067
