"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA

0	0,2539270	0,7977295	0,3478316	0,1590396	0,8460270	0,4172223	0,4082298	0,2738511	0,3000155	0,5758414	0,6982689	0,4986595	0,7102758	0,6289020	0,6010606	0,4877536	0,0297962	0,6479350	0,5831965	0,6960574	0,1194450	0,1293350	0,0590574	0,6856312	0,5070798	0,1719695	0,5277573	0,5219845	0,7546132	0,2527543	0,3760099	0,4302107
20	0,2607019	0,5548702	0,4064035	0,0679271	0,6094627	0,4781010	0,4812598	0,3132564	0,3007302	0,5858680	0,8128432	0,5752864	0,6964036	0,7461724	0,5331522	0,5245303	0,0251886	0,6160276	0,6115918	0,6063503	0,1038848	0,1325679	0,0963678	0,5955561	0,4503882	0,1660619	0,3951434	0,5040957	0,5836694	0,3060823	0,3477798	0,4863906
40	0,2565355	0,5088370	0,3216275	0,1283322	0,7025709	0,5008353	0,5307668	0,3027716	0,3055224	0,6323634	0,7311786	0,4671245	0,7553317	0,7118441	0,5032903	0,5556104	0,0419517	0,7860071	0,5650567	0,5752120	0,0772805	0,0995565	0,0695825	0,6127684	0,4315498	0,1797221	0,2214729	0,4786520	0,8170235	0,3376510	0,4756443	0,4977993
60	0,2339397	0,5373532	0,4384216	0,1146135	0,7294444	0,4064113	0,4456426	0,3156343	0,2881306	0,4592860	0,8341562	0,3520142	0,6714025	0,9101350	0,4957151	0,6049612	0,0516313	0,7436110	0,6485273	0,6154121	0,0837390	0,1069043	0,0733431	0,5920154	0,5244687	0,1885867	0,2384930	0,6031234	0,7061318	0,3777699	0,3148883	0,5099886
80	0,3712933	0,4651220	0,4627822	0,0935677	0,7207268	0,5028313	0,5259814	0,3210662	0,2676507	0,4913677	0,8343468	0,5414217	0,7121366	0,6737538	0,4574465	0,4398382	0,0380693	0,6327027	0,6533691	0,6225455	0,0871335	0,1468006	0,1446330	0,6272651	0,4863132	0,1655317	0,1868021	0,5730786	0,6894739	0,2968162	0,4033017	0,3916675
100	0,3335903	0,5214974	0,4955502	0,1398689	0,5600907	0,4253100	0,4900956	0,3607159	0,2400009	0,4535665	0,7045294	0,4395243	0,6943161	0,7488180	0,4590672	0,6720887	0,0642388	0,7172434	0,4564564	0,6063449	0,1105293	0,1101150	0,1717817	0,7008876	0,4979219	0,1713711	0,1568696	0,5645414	0,7332985	0,2602929	0,3482572	0,4717559
120	0,4076748	0,4285546	0,4843192	0,1168278	0,6226156	0,5128808	0,4240233	0,2922658	0,3567764	0,6067015	0,7690436	0,4183135	0,6078269	0,6626066	0,5630108	0,4812591	0,0405390	0,6730636	0,5471463	0,5743219	0,1175806	0,1671221	0,1311803	0,5869188	0,6226469	0,1970318	0,1422953	0,5220376	0,8166974	0,2028230	0,3513505	0,2957029
140	0,3789571	0,5056059	0,5252050	0,1325981	0,5682666	0,4281252	0,5136021	0,3122778	0,3047074	0,5001788	0,6755495	0,4114620	0,6613284	0,6664326	0,5707541	0,5303352	0,0438468	0,6280995	0,5346598	0,5360697	0,1118894	0,2081328	0,1260080	0,7142111	0,5426157	0,1886468	0,1129444	0,5777670	0,6554844	0,2364150	0,4283835	0,3941630
160	0,3052508	0,4187885	0,4081185	0,1159282	0,5783981	0,4536645	0,4489898	0,2391455	0,3760748	0,4533181	0,6179947	0,5869663	0,7896882	0,8552035	0,6022805	0,5758179	0,0575650	0,5916920	0,5443545	0,4923672	0,1424395	0,1674964	0,1429159	0,6021087	0,6324616	0,2098682	0,1147601	0,5571038	0,7789762	0,2676524	0,3201279	0,4300720
