lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA	Time	Experiment
0	1	1	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0
0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	20	0
0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	40	0
0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	60	0
1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	80	0
0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	100	0
1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	120	0
1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	140	0
0	1	1	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	160	0
1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	180	0
1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	200	0
1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	220	0
1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	240	0
1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	1	260	0
