"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA

0	0,3494500	1,0476511	0,5615192	0,1603186	1,0974820	0,6404352	0,6417694	0,3949638	0,3960966	0,6930002	1,0132015	0,7080136	1,0091178	0,7986046	0,8159757	0,6569088	0,0576923	0,9484596	0,8208065	0,8466571	0,1194787	0,1861011	0,0878454	0,8764035	0,6443370	0,2530200	0,8607278	0,7150454	0,9374273	0,4127180	0,5424303	0,6408142
20	0,2770743	0,7747143	0,4564483	0,1489022	0,9002798	0,5765841	0,7064618	0,4122972	0,3827798	0,8040319	0,9208278	0,6484575	0,9044148	0,9834178	0,8210835	0,6466570	0,0643329	0,9080811	0,8220171	0,7820590	0,0923646	0,1501796	0,0816418	0,8180397	0,6545326	0,2443053	0,5105166	0,7444120	0,9896599	0,4389014	0,4888393	0,6937765
40	0,3044600	0,7306579	0,5076958	0,1509087	0,8699952	0,5721052	0,7032128	0,4249611	0,3877030	0,7839797	0,9553777	0,5713912	0,9240202	0,9381180	0,7525790	0,7190473	0,0666862	0,9875785	0,7850217	0,7999084	0,1080498	0,1715536	0,1088234	0,8295843	0,7062763	0,2605283	0,3629762	0,6957210	1,0705733	0,4339708	0,5331619	0,6223221
60	0,3090112	0,6614775	0,5725429	0,1420779	0,8690124	0,5964649	0,6622036	0,4136193	0,3686543	0,7143387	1,0558744	0,5863423	0,9190812	0,9800073	0,6896914	0,7516458	0,0758762	0,9335341	0,8293078	0,8017114	0,1127526	0,1699944	0,1273378	0,8373212	0,6997708	0,2542723	0,2469153	0,7198094	1,0360718	0,4194939	0,5143815	0,6124123
80	0,3775498	0,6721409	0,5507336	0,1677041	0,8637719	0,5432022	0,6084128	0,4036922	0,3588177	0,7270794	1,0398523	0,6054329	0,8335240	0,9698482	0,6971422	0,7235520	0,0639309	0,8827107	0,7578419	0,7878843	0,1447136	0,1984508	0,2007912	0,8958869	0,7583964	0,2232313	0,1996850	0,6834134	1,0429787	0,3390454	0,5277341	0,6285033
100	0,4631987	0,6754703	0,5986589	0,1559095	0,8373526	0,5754383	0,6024794	0,4095206	0,4020774	0,6472541	0,9532118	0,5884907	0,8745617	0,9800591	0,6576510	0,7241626	0,0708227	0,8066152	0,7113337	0,7804887	0,1652366	0,2022258	0,2118110	0,8616190	0,7377161	0,2357971	0,1824032	0,6630436	0,9715096	0,3326155	0,5280349	0,5803397
120	0,4908219	0,6881149	0,6596520	0,1700389	0,8759521	0,5374375	0,5905617	0,3755975	0,4047920	0,6951498	0,9306577	0,5434567	0,8778135	0,9010217	0,7517579	0,6753158	0,0501015	0,8378798	0,6958618	0,7628349	0,1843560	0,2203675	0,2171349	0,8278712	0,8181670	0,2534725	0,1739070	0,7508322	1,0184902	0,3430760	0,5487354	0,4990170
140	0,4995477	0,7073430	0,6163632	0,1884842	0,8666779	0,5679946	0,6571706	0,3970175	0,4151596	0,7172923	0,9223993	0,5739486	0,9000338	0,8785644	0,8051340	0,7549086	0,0579223	0,8573087	0,7204046	0,7205951	0,1658010	0,2403004	0,2051697	0,8279682	0,7852595	0,2579889	0,1723491	0,7299661	0,9319076	0,3610214	0,5427493	0,5387916
160	0,4817309	0,6321430	0,6189500	0,1797236	0,8542720	0,5358040	0,6175167	0,3625979	0,4161042	0,6999409	0,8856365	0,6655905	0,9061313	0,9450945	0,7689503	0,7548093	0,0554255	0,8734344	0,7461788	0,8542938	0,1540669	0,2561670	0,2100539	0,8277638	0,7205563	0,2531435	0,1339943	0,7015584	0,9294167	0,3750106	0,4996896	0,5584163
