"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA

0	0,3797472	1,0069859	0,4962104	0,1419365	1,0408979	0,6459544	0,6407191	0,3423498	0,3800704	0,6743583	0,9370274	0,6851140	1,0102985	0,7758036	0,7431678	0,6368622	0,0529465	0,9139532	0,9028721	0,7796675	0,1448862	0,1672057	0,1058284	0,9431133	0,7436778	0,2704797	0,8301376	0,6894770	1,0107683	0,3969576	0,5056652	0,5135836
20	0,3406818	0,9356699	0,5347120	0,1610444	0,9667373	0,6281997	0,6257357	0,4270905	0,3942913	0,7354587	0,8581116	0,6127386	0,9861599	0,7897967	0,8942608	0,6220305	0,0413906	0,8760729	0,7707409	0,7331305	0,1230353	0,1366053	0,0756642	0,8289944	0,6479270	0,2608395	0,7261484	0,7575380	0,9083229	0,4440352	0,5009907	0,7155522
40	0,3048789	0,8268958	0,5191734	0,1489543	0,9276852	0,6015944	0,6369060	0,4596449	0,3666471	0,7290002	0,8894815	0,5600793	0,9549398	0,7943420	0,7856794	0,6541970	0,0537730	0,8981126	0,8326798	0,7820197	0,1105594	0,1501865	0,0895563	0,8383369	0,6755261	0,2212883	0,6145537	0,7975245	0,9759004	0,4225902	0,5289803	0,7120489
60	0,2893317	0,7730688	0,5000992	0,1579370	0,8375434	0,6365425	0,6733438	0,4085162	0,3713116	0,6419225	0,9826626	0,5771929	0,9146235	0,8833919	0,7185630	0,6838193	0,0477827	0,8886838	0,8094182	0,8081345	0,1152784	0,1458270	0,1040887	0,8581246	0,7072494	0,2410441	0,4747686	0,7746941	1,0002896	0,3792300	0,5194960	0,6873492
80	0,2932082	0,7558721	0,5534440	0,1568207	0,8277996	0,6441920	0,6480959	0,4468319	0,4195258	0,6419855	1,1174451	0,5450936	0,9394974	0,9024464	0,6675058	0,7274987	0,0655262	0,8716458	0,8177329	0,8250831	0,1334719	0,1553102	0,1384385	0,8235191	0,7186525	0,2384748	0,3650075	0,7859624	1,0734540	0,3800269	0,5178759	0,6609481
100	0,3388528	0,6677792	0,5131521	0,1984151	0,8817657	0,6174725	0,5988262	0,4484597	0,4274532	0,6261629	1,0919625	0,5976055	0,8831203	0,8780919	0,6424951	0,7100953	0,0826661	0,8413224	0,8423666	0,8394006	0,1383170	0,1685132	0,1676043	0,8140913	0,7073881	0,2168129	0,3025725	0,7291141	1,0587008	0,3853459	0,5423765	0,6803223
120	0,4219108	0,7155582	0,6153599	0,2062796	0,8283608	0,6359294	0,5747139	0,4565943	0,3930472	0,6835223	0,9467560	0,6086630	0,8871833	0,8696906	0,6289545	0,7094710	0,0714072	0,8392243	0,7768710	0,7897039	0,1410784	0,1793500	0,1907518	0,8243385	0,7641272	0,2572432	0,2676650	0,7219468	0,9849421	0,3768523	0,5189452	0,6436998
140	0,4573507	0,7346271	0,6140341	0,1929074	0,8543047	0,6388448	0,5760118	0,3964383	0,4494166	0,7213150	0,9902524	0,5904819	0,8809923	0,8443664	0,6846873	0,6825371	0,0553401	0,8421997	0,6941545	0,7392677	0,1718030	0,1878581	0,2192728	0,8012193	0,7769934	0,2424177	0,2530096	0,7408116	0,9723746	0,3337937	0,5335710	0,5893491
160	0,4568016	0,6631313	0,6231550	0,1986057	0,8723946	0,5355123	0,5449529	0,4122945	0,4144017	0,7138836	0,9443001	0,6222162	0,9178738	0,8760067	0,8154128	0,7044202	0,0566092	0,8872536	0,7152461	0,7827261	0,1713094	0,2023382	0,2168655	0,8498887	0,8006055	0,2486250	0,1880815	0,7394242	0,8542850	0,3031377	0,5475181	0,5712052
180	0,4273034	0,6487752	0,6336108	0,1832218	0,8712063	0,5449213	0,5704129	0,4423712	0,4182223	0,7002327	0,8787293	0,5681543	0,8521192	0,8806021	0,7706332	0,7162722	0,0643330	0,8970715	0,7585740	0,7842849	0,1711279	0,2203192	0,2292280	0,8528303	0,7377368	0,2679674	0,1491732	0,7448119	0,8085945	0,3184701	0,5825889	0,6270690
200	0,4659136	0,5930796	0,6362627	0,1775744	0,8692569	0,6182383	0,5864109	0,4452172	0,4343064	0,7321492	0,8798230	0,5754297	0,8872868	0,8225114	0,7087221	0,7261743	0,0643008	0,9309027	0,7512398	0,8169634	0,1570528	0,2136979	0,2599608	0,8489285	0,7437150	0,2667704	0,1428271	0,7691521	0,9170949	0,3272759	0,5188425	0,6041741
220	0,5766852	0,6233536	0,5582614	0,1565230	0,8700334	0,5785086	0,6263413	0,4413882	0,4653784	0,7279616	0,9268927	0,5739364	0,8755748	0,8745962	0,7227108	0,7829671	0,0628088	0,8893710	0,7340965	0,8549636	0,1467642	0,2306863	0,2756644	0,8171052	0,7602794	0,2610971	0,1374505	0,7263656	0,8718305	0,3350769	0,5033804	0,5332646
240	0,6437492	0,5637997	0,6662968	0,1543423	0,8649211	0,6050315	0,5780351	0,3539645	0,4152373	0,7324891	1,0205038	0,5421211	0,8606869	0,8898628	0,7023829	0,7945725	0,0620669	0,8265633	0,8004272	0,8461731	0,1617706	0,2477586	0,2688941	0,8842452	0,7493861	0,2362552	0,1195132	0,7427237	0,9797622	0,3685720	0,5034312	0,5213465
