"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA

0	0,2930945	1,0000000	0,5002163	0,1551520	0,9817709	0,6210314	0,6400573	0,3755098	0,3955130	0,7021378	0,9843073	0,6427348	0,9276292	0,7967381	0,7749392	0,6775015	0,0587450	0,9220298	0,8138710	0,8101162	0,1108108	0,1628629	0,0987826	0,8330033	0,6677415	0,2051423	0,8096677	0,7492279	0,9477953	0,4415557	0,5230910	0,6113308
20	0,2973006	0,7608447	0,5110612	0,1544334	0,9145837	0,6210314	0,6400573	0,3761214	0,3955130	0,7016275	0,9842656	0,6421823	0,9272508	0,8551339	0,7736074	0,6793892	0,0587522	0,9214475	0,7793158	0,8095999	0,1132623	0,1656874	0,1027872	0,8326403	0,6734672	0,2052432	0,4995204	0,7489077	0,9475458	0,4410709	0,5230851	0,6084806
40	0,3209911	0,6954505	0,5471658	0,1518452	0,8856503	0,6210314	0,6400573	0,3784740	0,3955130	0,6995456	0,9837139	0,6397344	0,9255934	0,8934947	0,7682845	0,6878836	0,0587829	0,9190189	0,7565678	0,8073826	0,1214402	0,1764255	0,1197810	0,8311136	0,6934908	0,2064650	0,3367922	0,7475960	0,9465652	0,4387659	0,5230580	0,5973810
60	0,3659079	0,6775693	0,5863713	0,1484679	0,8730199	0,6210314	0,6400573	0,3817430	0,3955130	0,6965398	0,9827336	0,6355313	0,9228462	0,9185606	0,7604859	0,7014213	0,0588288	0,9152420	0,7408851	0,8039861	0,1302574	0,1910974	0,1446921	0,8287881	0,7175337	0,2097525	0,2514119	0,7456639	0,9452113	0,4347634	0,5230130	0,5819394
80	0,4191367	0,6726799	0,6137001	0,1452599	0,8673109	0,6210314	0,6400573	0,3849658	0,3955130	0,6934728	0,9816015	0,6302733	0,9195515	0,9348699	0,7522576	0,7153878	0,0588723	0,9110285	0,7296930	0,8002644	0,1363084	0,2052038	0,1680431	0,8262948	0,7373478	0,2154308	0,2066146	0,7436761	0,9439293	0,4297796	0,5229642	0,5670727
100	0,4694695	0,6713430	0,6281499	0,1425680	0,8645532	0,6210314	0,6400573	0,3876547	0,3955130	0,6908105	0,9805338	0,6247124	0,9161989	0,9454430	0,7448193	0,7267985	0,0589035	0,9070528	0,7215239	0,7967651	0,1394913	0,2167154	0,1852275	0,8240528	0,7509285	0,2229565	0,1831102	0,7419758	0,9429372	0,4245339	0,5229226	0,5550917
120	0,5124925	0,6709774	0,6339881	0,1404024	0,8630846	0,6210314	0,6400573	0,3896929	0,3955130	0,6886751	0,9796245	0,6194503	0,9131234	0,9522744	0,7386522	0,7349523	0,0589223	0,9036617	0,7154833	0,7937224	0,1408181	0,2253435	0,1961471	0,8222362	0,7593162	0,2313621	0,1707780	0,7406764	0,9422636	0,4195451	0,5228915	0,5463060
140	0,5477266	0,6708774	0,6354176	0,1386684	0,8622147	0,6210314	0,6400573	0,3911487	0,3955130	0,6870141	0,9788901	0,6148601	0,9105000	0,9566731	0,7338019	0,7403054	0,0589320	0,9009533	0,7109854	0,7911794	0,1412004	0,2315187	0,2023683	0,8208589	0,7642011	0,2397652	0,1643075	0,7397539	0,9418481	0,4151035	0,5228701	0,5401923
160	0,5760928	0,6708501	0,6351170	0,1372660	0,8616535	0,6210314	0,6400573	0,3921499	0,3955130	0,6857231	0,9783154	0,6110969	0,9083797	0,9594950	0,7301135	0,7436058	0,0589365	0,8988834	0,7076233	0,7890924	0,1411983	0,2358266	0,2055309	0,8198592	0,7669789	0,2475817	0,1609126	0,7391303	0,9416108	0,4113200	0,5228560	0,5360629
180	0,5987862	0,6708426	0,6344153	0,1361168	0,8612731	0,6210314	0,6400573	0,3928219	0,3955130	0,6847037	0,9778752	0,6081572	0,9067347	0,9612975	0,7273677	0,7455252	0,0589380	0,8973476	0,7051031	0,7873896	0,1410909	0,2387892	0,2068696	0,8191539	0,7685713	0,2545146	0,1591313	0,7387216	0,9414842	0,4081911	0,5228470	0,5333218
200	0,6169030	0,6708406	0,6338192	0,1351642	0,8610100	0,6210314	0,6400573	0,3932660	0,3955130	0,6838814	0,9775436	0,6059463	0,9054981	0,9624428	0,7253494	0,7465650	0,0589382	0,8962299	0,7032084	0,7859996	0,1409896	0,2408104	0,2071966	0,8186652	0,7695161	0,2604694	0,1581967	0,7384583	0,9414208	0,4056526	0,5228412	0,5315205
220	0,6313567	0,6708400	0,6334386	0,1343679	0,8608277	0,6210314	0,6400573	0,3935562	0,3955130	0,6832046	0,9772972	0,6043330	0,9045914	0,9631657	0,7238748	0,7470670	0,0589378	0,8954258	0,7017786	0,7848606	0,1409232	0,2421832	0,2070078	0,8183302	0,7701043	0,2654719	0,1577064	0,7382896	0,9413909	0,4036164	0,5228377	0,5303439
240	0,6428849	0,6708399	0,6332365	0,1336987	0,8607023	0,6210314	0,6400573	0,3937442	0,3955130	0,6826388	0,9771163	0,6031836	0,9039395	0,9636178	0,7227982	0,7472528	0,0589372	0,8948507	0,7006943	0,7839225	0,1408886	0,2431133	0,2065895	0,8181018	0,7704870	0,2696093	0,1574491	0,7381813	0,9413776	0,4019923	0,5228354	0,5295780
