"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA

0	0,2935006	1,0000000	0,5002163	0,1551229	0,9817716	0,6210314	0,6400573	0,3755086	0,3955130	0,7020779	0,9843074	0,6427402	0,9276313	0,7966949	0,7749254	0,6774241	0,0587449	0,9220179	0,8138291	0,8100403	0,1108108	0,1628631	0,0985862	0,8330028	0,6677415	0,2054770	0,8096677	0,7492276	0,9477949	0,4414087	0,5230910	0,6113308
20	0,2938491	0,8991336	0,5020525	0,1550573	0,9659949	0,6210314	0,6400573	0,3756277	0,3955130	0,7020444	0,9843127	0,6426742	0,9275914	0,8072539	0,7747034	0,6776739	0,0587457	0,9219651	0,8065694	0,8100112	0,1111452	0,1631018	0,0991453	0,8329562	0,6683595	0,2053590	0,7344197	0,7491608	0,9477475	0,4414111	0,5230904	0,6109832
40	0,2997892	0,7858752	0,5158613	0,1544280	0,9393929	0,6210314	0,6400573	0,3765834	0,3955130	0,7015479	0,9841685	0,6420619	0,9272135	0,8294523	0,7727612	0,6798149	0,0587523	0,9214363	0,7918265	0,8094761	0,1137515	0,1652255	0,1036403	0,8325263	0,6734608	0,2055024	0,5993451	0,7486023	0,9473545	0,4409755	0,5230845	0,6079531
60	0,3181664	0,7223105	0,5425468	0,1529690	0,9157258	0,6210314	0,6400573	0,3786649	0,3955130	0,7002932	0,9837129	0,6403959	0,9261916	0,8544037	0,7682711	0,6854855	0,0587697	0,9200499	0,7756453	0,8080696	0,1190011	0,1704267	0,1148581	0,8314492	0,6847088	0,2064020	0,4717828	0,7473488	0,9464926	0,4396637	0,5230681	0,6007460
80	0,3499116	0,6925287	0,5724233	0,1508828	0,8979402	0,6210314	0,6400573	0,3814300	0,3955130	0,6983929	0,9829612	0,6375491	0,9244714	0,8778096	0,7618858	0,6943212	0,0587962	0,9178063	0,7605894	0,8058525	0,1251526	0,1782366	0,1312243	0,8298067	0,6996768	0,2086128	0,3712330	0,7456464	0,9453641	0,4373337	0,5230411	0,5903834
100	0,3901609	0,6796674	0,5973487	0,1485108	0,8855018	0,6210314	0,6400573	0,3842936	0,3955130	0,6961519	0,9820421	0,6337217	0,9221962	0,8979158	0,7547469	0,7046140	0,0588261	0,9149625	0,7475793	0,8031196	0,1305859	0,1874295	0,1490420	0,8278631	0,7151566	0,2124366	0,2985380	0,7438617	0,9442370	0,4341193	0,5230079	0,5788579
120	0,4330013	0,6743558	0,6145015	0,1461277	0,8770956	0,6210314	0,6400573	0,3868523	0,3955130	0,6938621	0,9810926	0,6292933	0,9195994	0,9143058	0,7478111	0,7146649	0,0588543	0,9118520	0,7367846	0,8001935	0,1346288	0,1968382	0,1652886	0,8258896	0,7289965	0,2177756	0,2485721	0,7422645	0,9432871	0,4303057	0,5229738	0,5678286
140	0,4741418	0,6722205	0,6246792	0,1438971	0,8715014	0,6210314	0,6400573	0,3889292	0,3955130	0,6917183	0,9802075	0,6246813	0,9169195	0,9272081	0,7416532	0,7234181	0,0588778	0,9087676	0,7280509	0,7973233	0,1373053	0,2056610	0,1784763	0,8240788	0,7402946	0,2242277	0,2153435	0,7409787	0,9425762	0,4262124	0,5229425	0,5582349
160	0,5112455	0,6713769	0,6299600	0,1418939	0,8677981	0,6210314	0,6400573	0,3905078	0,3955130	0,6898165	0,9794353	0,6202415	0,9143496	0,9371138	0,7365106	0,7304606	0,0588960	0,9059133	0,7211040	0,7946636	0,1389289	0,2134675	0,1883267	0,8225314	0,7489910	0,2312749	0,1937505	0,7400177	0,9420895	0,4221183	0,5229159	0,5504079
