"Time"	lldR	arcA	betI	xylR	gadX	torR	rutR	gadW	nemR	gadE	gadA	hdeB	yhiD	hdeA	gadC	cadA	cadB	gadB	mdtE	mdtF	betB	betT	lldD	gadY	betA	lldP	nemA	slp	dctR	hdeD	rutD	rutA

0	0,2875831	0,7639547	0,3543317	0,1315332	0,7698086	0,4725377	0,4274560	0,2526997	0,2945125	0,4065159	0,6736992	0,5383049	0,8600102	0,4656583	0,6539219	0,4622243	0,0236958	0,7379839	0,6960369	0,5556407	0,0958213	0,1034796	0,0920214	0,6686892	0,5058127	0,2193223	0,6010450	0,5938594	0,6815840	0,3570494	0,3632021	0,3837320
20	0,2611586	0,6928108	0,3980354	0,1102367	0,7483953	0,4739968	0,4196828	0,2854006	0,2863503	0,5765004	0,6294681	0,4294349	0,7382503	0,6924763	0,6600234	0,3901860	0,0362670	0,6724926	0,5593001	0,5892168	0,1135897	0,0924087	0,0560403	0,6251985	0,4264849	0,2664362	0,5919664	0,4668144	0,6658253	0,3167283	0,4073186	0,5364101
40	0,2816083	0,5834350	0,4480375	0,1059822	0,6216651	0,4351144	0,5478081	0,3101527	0,2447425	0,5998082	0,6440573	0,4369310	0,5714160	0,6342790	0,5956842	0,4379607	0,0358896	0,7083512	0,8689238	0,5787222	0,0591173	0,1091759	0,0688229	0,7104960	0,5113488	0,1462448	0,3773589	0,6016714	0,6859200	0,3450577	0,3453286	0,5328498
60	0,1747737	0,5885106	0,3182314	0,1230306	0,6142286	0,4811026	0,5063552	0,3171214	0,2817802	0,4303442	0,7983984	0,3597138	0,8119965	0,6434504	0,5384980	0,5548541	0,0340765	0,6574220	0,5439478	0,5588110	0,0630190	0,1102439	0,0492250	0,6760213	0,6427736	0,1791440	0,3772216	0,6053543	0,7461095	0,2435637	0,3277278	0,4757585
80	0,1948025	0,6793042	0,5064142	0,1007510	0,7226244	0,5560435	0,4333081	0,2935767	0,3428033	0,4036718	0,8194939	0,3885264	0,6902985	0,6981689	0,3886154	0,5608762	0,0317525	0,6341606	0,6364424	0,6735681	0,0781265	0,1059706	0,1279900	0,6080568	0,5119424	0,1386593	0,2481039	0,6121352	0,7120764	0,2423803	0,3871765	0,5536896
100	0,1982979	0,3961068	0,3101993	0,1550491	0,6494263	0,4327233	0,4799184	0,3818524	0,3539936	0,4445978	0,8007956	0,4563161	0,7053794	0,6372981	0,5344903	0,5884431	0,0907043	0,5856881	0,5688870	0,5471034	0,0619409	0,0750613	0,1021364	0,6312326	0,5215717	0,1702957	0,2125671	0,5014002	0,8186077	0,2681318	0,3697970	0,4950644
120	0,3192497	0,5162840	0,4670954	0,1293780	0,5993210	0,5239512	0,3855728	0,2910606	0,3469265	0,5777120	0,7216858	0,4366553	0,7012143	0,5765821	0,5172403	0,4430840	0,0822880	0,6083414	0,5004355	0,5455529	0,0701117	0,1047424	0,1554563	0,6796502	0,6579201	0,2605774	0,2183948	0,5455862	0,8294611	0,3054863	0,3845109	0,4157063
140	0,3373619	0,4719607	0,4185742	0,1161891	0,6444663	0,5743158	0,4853887	0,4090492	0,3058285	0,5357899	0,7232898	0,5275128	0,6365116	0,5428190	0,4949543	0,4304912	0,0397157	0,7292440	0,4616720	0,5742923	0,1478793	0,1760725	0,1380796	0,5506432	0,5973069	0,1233377	0,2059315	0,5604544	0,7086808	0,2415017	0,4501924	0,5066490
160	0,3113900	0,4950762	0,5001068	0,1697454	0,6206463	0,4124955	0,4255286	0,2946051	0,3343798	0,4839914	0,8163122	0,4343704	0,7165945	0,6426341	0,6085170	0,3944037	0,0418377	0,6563595	0,4502944	0,6079271	0,1195085	0,1869270	0,2261762	0,6467300	0,5787243	0,1428910	0,1608346	0,5154162	0,6641367	0,2669772	0,4579469	0,4447626
