Time	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10	Gene11	Gene12	Gene13	Gene14	Gene15	Gene16	Gene17	Gene18	Gene19	Gene20	Gene21	Gene22	Gene23	Gene24	Gene25	Gene26	Gene27	Gene28	Gene29	Gene30	Gene31	Gene32
0	0.3005596	0.2964546	0.162479	0.3024288	0.305849	0.6445465	0.1263623	0.4522215	0.7535908	0.6619519	0.3791991	0.7144312	0.2098813	0.5432009	0.4401782	0.6579994	0.643111	0.5759561	0.3604365	0.0915741	0.2813385	0.112269	0.6644924	0.2079734	0.6920418	0.4779158	0.4491339	0.6256735	0.1249524	0.0394966	0.144561	0.3552393
20	0.2287448	0.2547823	0.2254037	0.3154695	0.3170619	0.5392753	0.1208927	0.440817	0.6880529	0.8213378	0.3953172	0.7216419	0.1562095	0.4307338	0.4823622	0.5649897	0.7187459	0.4592513	0.4720222	0.3099461	0.3352773	0.2161126	0.6627508	0.1234522	0.705458	0.2080248	0.5594857	0.6017854	0.0464849	0.0193692	0.1214512	0.3187753
40	0.2359468	0.2674166	0.1676421	0.2488234	0.2915563	0.6046871	0.0781167	0.5469592	0.5958605	0.6567368	0.4687025	0.8053384	0.1575554	0.4035362	0.4734831	0.6843617	0.7019685	0.5354564	0.4793869	0.2613643	0.2577306	0.2975166	0.7005278	0.1445561	0.7526882	0.1961857	0.4145143	0.6080351	0.0678037	0.0256911	0.0875079	0.4544544
60	0.2057257	0.3110145	0.1751348	0.3387231	0.3522227	0.4900342	0.0906295	0.4193062	0.6893914	0.7473445	0.3667161	0.732333	0.1276398	0.4550198	0.4188097	0.6326291	0.5699196	0.6168484	0.4388824	0.3350217	0.2211268	0.4049689	0.6677952	0.1237782	0.7466634	0.1314734	0.5748211	0.4963101	0.0796498	0.0134923	0.0806325	0.3398279
80	0.2257576	0.3160469	0.1744154	0.3123478	0.2799799	0.6513182	0.1312457	0.4606143	0.8510627	0.6709556	0.4498721	0.7753017	0.1692248	0.4022857	0.4185546	0.5608508	0.6904034	0.5348084	0.4968473	0.2517385	0.2794197	0.4100736	0.7290513	0.1336593	0.8025244	0.1200026	0.5320435	0.7836595	0.0554425	0.024069	0.0571495	0.4173015
100	0.2719403	0.3621492	0.2226669	0.3211209	0.3568282	0.7585113	0.1225601	0.3573258	0.6448524	0.6328432	0.382642	0.6791254	0.1523882	0.5075743	0.3738076	0.5563049	0.5684628	0.4992783	0.3617256	0.3308939	0.2396732	0.3747002	0.6331815	0.0792515	0.668322	0.1017588	0.3791361	0.5136847	0.0470223	0.02726	0.0351497	0.4307512
120	0.2454463	0.346907	0.1575159	0.3204058	0.3376322	0.5577052	0.1358861	0.38803	0.6308045	0.5955816	0.3723691	0.739679	0.1935437	0.508158	0.5263735	0.5606061	0.6068029	0.5914391	0.419495	0.3107102	0.14551	0.4537131	0.7481161	0.1068445	0.6232644	0.11394	0.5658822	0.5971771	0.0385646	0.0324611	0.091442	0.3651756
140	0.2337268	0.245674	0.1646471	0.256136	0.4095046	0.4667696	0.1304082	0.4517454	0.7177242	0.5832619	0.4949929	0.7756871	0.1130979	0.5071906	0.4025247	0.6588236	0.5924751	0.6002971	0.4742608	0.268617	0.2147886	0.4597967	0.6217604	0.1055651	0.6125765	0.1116529	0.4956616	0.6627697	0.0324936	0.0244867	0.0373414	0.4475146
160	0.3454303	0.2630524	0.1917193	0.2277358	0.264211	0.6508133	0.1552325	0.3748437	0.7154812	0.7119146	0.3873382	0.6863539	0.1845697	0.4776033	0.549776	0.533502	0.5743712	0.4864249	0.5085839	0.335301	0.2314952	0.3526739	0.6460006	0.0910896	0.6571775	0.131881	0.4617735	0.63803	0.0689691	0.0127122	0.0490702	0.4112249
180	0.3788002	0.3011972	0.1842988	0.2849871	0.3202899	0.5340262	0.132898	0.2726827	0.6742733	0.6247852	0.3295449	0.7218394	0.2374604	0.5006189	0.5411063	0.6054931	0.7302396	0.5585145	0.4257477	0.2696867	0.16362	0.51609	0.6068753	0.1278548	0.7599485	0.1594691	0.5428254	0.6317239	0.0448068	0.0121419	0.0466438	0.3908277
200	0.3486168	0.230378	0.1975205	0.3070989	0.3523019	0.63736	0.1336668	0.4158576	0.7112621	0.6225783	0.369336	0.8463256	0.1809577	0.4680247	0.4999482	0.5041118	0.6205854	0.4383254	0.4242241	0.2817177	0.2319968	0.4780053	0.6675537	0.1857823	0.708709	0.1129644	0.4908908	0.7453681	0.0766093	0.0185344	0.0535945	0.48774
220	0.3790581	0.2333267	0.1565006	0.2770576	0.4204247	0.5298015	0.1537756	0.4735705	0.6635001	0.6551309	0.5227941	0.6444674	0.1559052	0.5271755	0.5201996	0.5331773	0.6733463	0.4989668	0.4889149	0.2795013	0.294375	0.5128785	0.5972362	0.1832032	0.6481104	0.0952285	0.4642342	0.6573814	0.0594862	0.018596	0.0332919	0.4360752
240	0.3552258	0.2473891	0.182787	0.3145356	0.2962223	0.6281687	0.0991562	0.4658734	0.7246349	0.6666004	0.492342	0.6695533	0.1110193	0.4610404	0.4291376	0.4653633	0.6347707	0.4109494	0.4040971	0.2841502	0.3217095	0.4701508	0.6802464	0.1199723	0.6581546	0.0613432	0.6022905	0.5491439	0.0994601	0.0153288	0.0625719	0.3286806
260	0.3489203	0.2794035	0.181012	0.3195838	0.2957087	0.6419881	0.1242782	0.3553742	0.6880294	0.6124718	0.4268768	0.715272	0.1286802	0.4092381	0.5413599	0.6711487	0.578681	0.5775802	0.4860058	0.3013645	0.245131	0.4346281	0.665393	0.170447	0.6492212	0.0899772	0.5159388	0.6171469	0.071308	0.0173075	0.0585221	0.3942696
280	0.3805405	0.2314422	0.139328	0.332973	0.3008289	0.6250975	0.1038487	0.3403983	0.7061742	0.8139011	0.3322559	0.8991427	0.1526718	0.5841727	0.5166907	0.4702126	0.6232132	0.5004489	0.4065533	0.2670648	0.2704076	0.4585009	0.726719	0.1419302	0.7366489	0.1374145	0.4672136	0.628858	0.0477144	0.0347975	0.0331818	0.4862913
300	0.2834234	0.2775443	0.2007534	0.2919886	0.3102887	0.6336728	0.1119742	0.4047806	0.6825538	0.6992802	0.369445	0.8054641	0.1344119	0.5017902	0.5002781	0.5350303	0.7089572	0.4868325	0.452709	0.2708294	0.3307828	0.4612909	0.8713295	0.1350014	0.8159772	0.0931446	0.4650586	0.6380442	0.0744118	0.0191938	0.0519102	0.4416197
320	0.3829189	0.2506736	0.2306347	0.2243163	0.318313	0.5372196	0.0959713	0.3289738	0.6106208	0.5218798	0.4475073	0.685039	0.0828573	0.4851511	0.5580608	0.5337254	0.6608904	0.4946921	0.4475571	0.2605981	0.3225821	0.466471	0.6429986	0.1406604	0.6479601	0.0923895	0.6011439	0.5791525	0.0636532	0.0411978	0.0293375	0.4189411
340	0.2709708	0.3085098	0.154244	0.3234537	0.2922724	0.5397909	0.1456647	0.4345892	0.6439314	0.5891286	0.3754567	0.7846649	0.1706864	0.43306	0.4526703	0.5950895	0.7508424	0.4185042	0.5101948	0.2892141	0.3711187	0.47258	0.6757734	0.127358	0.7255209	0.1621858	0.581855	0.5001582	0.0293225	0.0346677	0.0308346	0.38707
360	0.2485974	0.276109	0.1533966	0.305938	0.2305023	0.4628933	0.0887876	0.3615731	0.668144	0.6182489	0.3681136	0.6614364	0.1252204	0.4563557	0.4042318	0.6027415	0.5343973	0.4666704	0.4638304	0.3382276	0.2328867	0.4787116	0.6299294	0.1614088	0.6527462	0.0846253	0.5287992	0.7057025	0.0944247	0.0225836	0.0348463	0.3941185
380	0.2601068	0.2708162	0.1987839	0.2599556	0.4001628	0.5862422	0.1162623	0.4980974	0.609433	0.6572062	0.3484607	0.8291951	0.1916556	0.4568253	0.5187788	0.7134729	0.7200831	0.4459852	0.4445122	0.3921998	0.2146069	0.5508432	0.6390558	0.1214022	0.6751352	0.1446377	0.5781939	0.6356008	0.0406189	0.0241457	0.0388342	0.3586637
400	0.3911565	0.2856801	0.1967289	0.3342146	0.2180022	0.5960569	0.121876	0.5238166	0.5845992	0.6441572	0.3817061	0.8696456	0.096685	0.4423428	0.5332933	0.6730993	0.5324116	0.5914718	0.5187236	0.3054603	0.2565055	0.4252116	0.6075373	0.0743638	0.7395355	0.1292953	0.5929444	0.7346041	0.059439	0.0425327	0.028734	0.4130201
420	0.2419279	0.2887061	0.1610259	0.23667	0.3073298	0.6133341	0.1476484	0.4600082	0.6199907	0.6273839	0.4503424	0.7351471	0.2122539	0.5739948	0.4608698	0.6407318	0.554449	0.5367433	0.3106337	0.3263836	0.2049351	0.4691439	0.6475957	0.1002747	0.725295	0.1437067	0.500298	0.6338512	0.0527932	0.0108707	0.070776	0.4552566
440	0.3098895	0.2776599	0.1624423	0.2039254	0.3422985	0.6033653	0.1412792	0.5014503	0.7040239	0.5807035	0.4313499	0.7728683	0.145385	0.5252708	0.480023	0.4965024	0.5508488	0.5298507	0.3555712	0.3413785	0.3139231	0.4541083	0.723372	0.1048999	0.7912277	0.1226216	0.4001338	0.7264955	0.0881262	0.0225804	0.0351555	0.4030276
460	0.3350661	0.2609275	0.1574705	0.2657438	0.3151994	0.5700631	0.155586	0.4106464	0.5947694	0.7380612	0.4733603	0.7857236	0.1336613	0.5326767	0.5261271	0.6028106	0.6624268	0.4847784	0.4528001	0.293383	0.1514414	0.3723756	0.7361357	0.1331684	0.7918927	0.1173643	0.4502204	0.6078963	0.087339	0.0195079	0.0673724	0.3760779
480	0.4198495	0.2088706	0.2529397	0.2577648	0.3006879	0.6010903	0.1152926	0.3986644	0.7734212	0.6481964	0.417642	0.7568794	0.1650754	0.4027747	0.4737185	0.5334763	0.5881307	0.4901425	0.3603128	0.3756096	0.2507242	0.4336658	0.6829735	0.122552	0.7835744	0.0925074	0.6326254	0.5587348	0.0540743	0.0467767	0.0338148	0.4433687
