"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE

0	0,4466527	0,4052296	0,2323919	0,4056593	0,4013276	0,8601026	0,1918983	0,6704579	1,0175548	0,9688620	0,5870793	1,0097960	0,2257982	0,6729532	0,6559922	0,8614673	0,8453968	0,7305171	0,5323502	0,1362273	0,3616109	0,1495995	0,9097156	0,1658573	0,9822336	0,7713624	0,6583547	0,8512215	0,1003007	0,0317498	0,2761754	0,4830674
20	0,3235801	0,3252439	0,2836054	0,4368798	0,4476041	0,7986853	0,1579719	0,6379245	0,9669785	1,0062405	0,5912578	1,0982383	0,2365329	0,6442689	0,6570929	0,8778642	0,8542555	0,7542140	0,6239922	0,3673276	0,3951138	0,3027268	0,9331030	0,1730560	1,0202862	0,4282819	0,7188205	0,8120559	0,0704358	0,0443166	0,2183813	0,4728155
40	0,3035344	0,4076475	0,2752022	0,3800610	0,4451932	0,8208253	0,1467778	0,6187954	0,9156337	1,0406699	0,5649768	1,0799192	0,2244973	0,6313577	0,6623914	0,8639101	0,8494265	0,7108825	0,6286206	0,4186247	0,3582622	0,4507247	0,8842778	0,1457419	1,0612739	0,2374757	0,7029319	0,8021484	0,0674087	0,0413035	0,1479449	0,5198576
60	0,2671681	0,4142117	0,2537641	0,4025930	0,4578669	0,8626556	0,1494396	0,5664770	0,9505531	1,0078283	0,5692846	1,0564755	0,2134361	0,6726181	0,5722510	0,8352972	0,8805947	0,7319431	0,6523202	0,4543008	0,3334075	0,5559189	0,8701521	0,1276807	0,9892465	0,1787837	0,7386293	0,7699314	0,0666277	0,0311579	0,1288116	0,5114563
80	0,2987743	0,4283572	0,2406745	0,4483458	0,4463020	0,8499903	0,1734933	0,5707446	0,9843963	0,9664126	0,5293577	1,0030396	0,2483975	0,6685607	0,5755901	0,7940724	0,8722329	0,7700174	0,6389196	0,4512888	0,3630005	0,5853247	0,8571657	0,1657900	0,9950118	0,1700606	0,7376867	0,8553177	0,0897556	0,0379325	0,0860658	0,5451076
100	0,3379320	0,3772336	0,2589716	0,4260574	0,4503146	0,8270934	0,1770982	0,5403797	0,9252486	0,9771006	0,5377451	1,0196030	0,2426810	0,6673153	0,6317414	0,7931991	0,8220850	0,7506408	0,5951127	0,4711554	0,3487703	0,6016691	0,8429735	0,1383529	0,9557184	0,1938562	0,6625605	0,8439396	0,0866734	0,0379362	0,0574942	0,5757713
120	0,3795797	0,4244553	0,2355763	0,3927305	0,4447561	0,8226675	0,1844434	0,5442037	0,9198229	0,8887897	0,5739553	1,0113152	0,2388980	0,7009110	0,7265991	0,7759763	0,8664150	0,7960731	0,5574440	0,4765317	0,3037460	0,6218135	0,8480289	0,1560352	0,9480758	0,1736548	0,6994168	0,8754617	0,0854281	0,0388532	0,0775108	0,5690819
140	0,4432465	0,4071328	0,2468762	0,3931447	0,4391211	0,7825006	0,2101889	0,5522222	0,9822988	0,8868872	0,5970859	1,0460195	0,2384279	0,7044251	0,6615376	0,8087957	0,8510784	0,7890747	0,5706315	0,4105536	0,2899184	0,6248001	0,8372667	0,1564070	0,8626330	0,1496220	0,6937333	0,9640034	0,0587022	0,0354200	0,0807809	0,5523963
160	0,4580395	0,3970143	0,2572187	0,4201374	0,4402169	0,8216352	0,2248752	0,5614172	1,0017809	0,8769670	0,5740962	1,0123251	0,2593023	0,6402099	0,6615070	0,7397231	0,8233878	0,7787073	0,5967723	0,4049328	0,3034709	0,5849024	0,9354170	0,1635098	0,8494241	0,1776985	0,6697168	0,8998317	0,0666975	0,0257672	0,0731334	0,6029996
180	0,5011855	0,3717178	0,2359442	0,4141635	0,4745448	0,7513289	0,2087657	0,5722589	0,9893168	0,8965982	0,5805306	1,0003667	0,2696427	0,6867592	0,7206141	0,7832395	0,8545968	0,7621879	0,6545714	0,3687998	0,2851238	0,6148357	0,9506539	0,1813259	0,9367294	0,1582150	0,7090877	0,9009697	0,0631795	0,0191908	0,0868459	0,5838984
200	0,5346455	0,3764111	0,2550299	0,3871030	0,4555435	0,7744870	0,1737984	0,6200255	0,9121895	0,8953131	0,6358870	1,0134653	0,2623698	0,6780347	0,6865890	0,7732203	0,8801424	0,7076917	0,5812141	0,3854131	0,3436792	0,6460706	0,9243573	0,2024216	0,9726916	0,1558869	0,7356779	0,8580967	0,0519813	0,0258966	0,0658501	0,6167722
220	0,4879491	0,3616653	0,2595226	0,3964373	0,4626739	0,7725234	0,2026292	0,5914220	0,9186418	0,8698914	0,6286476	0,9724062	0,2391292	0,7252506	0,7235161	0,7602339	0,8577807	0,7214194	0,6021903	0,4117950	0,3807977	0,6792201	0,9320429	0,2254556	0,9222464	0,1605461	0,7105822	0,9155862	0,0820592	0,0330886	0,0657880	0,5594676
240	0,4298031	0,3315104	0,2378601	0,4100433	0,4522453	0,8263249	0,1877561	0,6009238	0,9459491	0,9380632	0,5791185	0,9784666	0,2135465	0,6580262	0,7086681	0,7758840	0,8771878	0,7062095	0,6392909	0,4054180	0,3893416	0,6657308	0,9327844	0,2149898	0,9606655	0,1145444	0,7005534	0,8597196	0,0929390	0,0398854	0,0745771	0,5060297
260	0,4976256	0,3647432	0,2381266	0,3958708	0,4366425	0,8048831	0,1817314	0,5487057	0,8890164	0,9113947	0,5492518	0,9786181	0,1987761	0,6512981	0,7083987	0,8101312	0,8834589	0,7179011	0,5869125	0,4041043	0,3759575	0,6435026	0,9365518	0,1939644	0,9098259	0,1386345	0,6875617	0,8823342	0,1044131	0,0353182	0,0612326	0,5050732
280	0,4837939	0,3499897	0,2136347	0,3716773	0,4297335	0,8802258	0,1579721	0,5197397	0,9093821	0,9354719	0,5673623	1,0434201	0,1820886	0,6901605	0,7063724	0,6826357	0,9087680	0,6863058	0,5825053	0,3523730	0,3669686	0,6544824	0,9159435	0,1799413	0,9608991	0,1451609	0,6677188	0,8719375	0,0815333	0,0284522	0,0560552	0,5044312
300	0,4227953	0,3508239	0,2431000	0,3419204	0,4006803	0,8277554	0,1648106	0,5317200	0,9149824	0,9217179	0,5496252	1,0541225	0,1506696	0,6398150	0,6732518	0,7443981	0,8622979	0,6928487	0,5963914	0,3351278	0,3514865	0,6669933	0,9672833	0,1775039	1,0391638	0,1587486	0,7030692	0,8170104	0,0802573	0,0212756	0,0650003	0,5460113
