"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE

0	0,4690296	0,3927603	0,2395899	0,4469593	0,4048191	0,8777841	0,1805231	0,6346205	0,9622519	0,9347374	0,5343416	1,0712773	0,1873121	0,6978871	0,6686078	0,7924316	0,8774318	0,7473082	0,5453415	0,1676175	0,3543148	0,1699757	0,9326389	0,1333664	0,9224942	0,8300593	0,6561597	0,9252106	0,0783876	0,0340529	0,2819808	0,5102713
20	0,3886200	0,3335856	0,2710110	0,4292809	0,3981943	0,9430198	0,1536611	0,6421412	0,9007070	0,9918840	0,5664459	1,1294512	0,1890849	0,6038855	0,7095670	0,7222810	0,8751957	0,7652129	0,6052275	0,2455447	0,3853252	0,1303511	1,0000772	0,1948566	1,0158868	0,6662299	0,7243592	0,7797842	0,0927416	0,0454396	0,2793473	0,5212066
40	0,3643526	0,2913282	0,2427835	0,4691703	0,3929467	0,8838069	0,1609491	0,6161834	0,8819872	1,0349974	0,5384482	1,0562927	0,1943524	0,6532786	0,7576975	0,7495706	0,8795144	0,7887843	0,6461043	0,2930976	0,3738512	0,2320503	0,9718201	0,1509002	1,0137627	0,5150923	0,7177419	0,8123431	0,0848503	0,0429109	0,2316372	0,5240583
60	0,3047478	0,3103143	0,2483777	0,4659456	0,4341193	0,8090099	0,1231629	0,5780876	0,9541960	1,0206719	0,6001427	1,0647798	0,1863105	0,6167169	0,7085045	0,7908283	0,8563475	0,7881043	0,6362754	0,3538964	0,3457906	0,2919606	0,9832187	0,1557721	1,0377889	0,3418794	0,7101346	0,7914710	0,0786408	0,0391075	0,2024824	0,4723946
80	0,3049468	0,3280389	0,2440071	0,4369588	0,4294647	0,8622759	0,1581862	0,5876216	1,0138971	1,0726400	0,5531483	1,1144724	0,2027739	0,6735539	0,6499099	0,8308481	0,8611271	0,7866774	0,6615807	0,4337276	0,3800704	0,4067799	0,9022468	0,1383923	1,0321577	0,2539600	0,6631739	0,8047778	0,0787274	0,0300635	0,1775393	0,4997322
100	0,2881994	0,3303109	0,2195352	0,4291519	0,4067128	0,8361543	0,1498935	0,5940378	0,9285068	1,0547085	0,5831948	1,1129341	0,2111893	0,6140544	0,6571452	0,9452709	0,8888796	0,8652661	0,6466279	0,4465456	0,3638867	0,4443953	0,8770114	0,1542152	1,0437284	0,2305833	0,6459043	0,8284718	0,0796225	0,0324722	0,1258073	0,5073381
120	0,2934374	0,3775261	0,2401016	0,4383532	0,4394130	0,8109107	0,1861498	0,6085717	0,9054860	0,9592494	0,6438601	1,0742425	0,1901182	0,6802638	0,6636204	0,8806009	0,8786836	0,8574457	0,6532581	0,4921508	0,3250394	0,5239907	0,9017929	0,1592195	1,0296956	0,2008909	0,6204999	0,8465762	0,0810029	0,0490495	0,1108042	0,5478553
140	0,3211415	0,4092852	0,2022454	0,3940174	0,4443424	0,7426875	0,1875823	0,6311479	0,9787496	0,9581219	0,5935640	1,0694292	0,2144119	0,7334804	0,6454594	0,8560834	0,8512821	0,8290401	0,5865631	0,4270333	0,3349039	0,6396631	0,8442698	0,1529757	1,0208114	0,2098556	0,7349124	0,8299363	0,0667007	0,0535448	0,1004682	0,6104187
160	0,3771415	0,3877768	0,2220519	0,3609392	0,4580379	0,7829575	0,1745492	0,5835034	0,9025166	0,8888552	0,5803109	1,0518485	0,2101620	0,6247549	0,6380468	0,8009973	0,8365897	0,7997644	0,5704263	0,4507770	0,3303289	0,6119186	0,8254054	0,1670317	0,9529873	0,1648130	0,6827475	0,7965281	0,0546974	0,0495308	0,0763217	0,6147194
