"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE

0	0,4235454	0,3677182	0,2547592	0,3954188	0,4133336	0,8194120	0,1799186	0,6315418	0,9387010	0,9569055	0,5754630	0,9998606	0,1933202	0,6142134	0,6802773	0,8591384	0,8536010	0,6945128	0,5822755	0,1689264	0,3466841	0,1000235	0,9105462	0,1343966	0,9622593	0,7331536	0,7102302	0,8157874	0,0877619	0,0303905	0,2722302	0,4734732
20	0,4235457	0,3677188	0,2547593	0,3953795	0,4133553	0,8193887	0,1799275	0,6315416	0,9387051	0,9569080	0,5754875	0,9999101	0,1933072	0,6142156	0,6802364	0,8354830	0,8536621	0,6944565	0,5822871	0,2583839	0,3466016	0,3124069	0,9104960	0,1344231	0,9622600	0,3893376	0,7102448	0,8158149	0,0877620	0,0303877	0,1705628	0,4734896
40	0,4235463	0,3677191	0,2547593	0,3953501	0,4133760	0,8193670	0,1799364	0,6315414	0,9387080	0,9569096	0,5755087	0,9999420	0,1932988	0,6142178	0,6802071	0,8227274	0,8537117	0,6944154	0,5822950	0,3176370	0,3465441	0,4425912	0,9104561	0,1344473	0,9622604	0,2506204	0,7102588	0,8158353	0,0877621	0,0303858	0,1180602	0,4735025
60	0,4235469	0,3677192	0,2547593	0,3953280	0,4133954	0,8193466	0,1799454	0,6315412	0,9387100	0,9569106	0,5755269	0,9999626	0,1932933	0,6142198	0,6801864	0,8158493	0,8537530	0,6943858	0,5823005	0,3568838	0,3465049	0,5223904	0,9104244	0,1344698	0,9622606	0,1946530	0,7102724	0,8158504	0,0877622	0,0303846	0,0909471	0,4735123
80	0,4235474	0,3677191	0,2547593	0,3953110	0,4134133	0,8193272	0,1799544	0,6315410	0,9387114	0,9569112	0,5755423	0,9999759	0,1932898	0,6142214	0,6801717	0,8121404	0,8537884	0,6943647	0,5823043	0,3828794	0,3464789	0,5713053	0,9103991	0,1344909	0,9622606	0,1720722	0,7102855	0,8158613	0,0877623	0,0303837	0,0769455	0,4735196
100	0,4235478	0,3677191	0,2547593	0,3952977	0,4134297	0,8193087	0,1799630	0,6315409	0,9387123	0,9569116	0,5755553	0,9999844	0,1932875	0,6142227	0,6801614	0,8101404	0,8538194	0,6943498	0,5823069	0,4000978	0,3464624	0,6012892	0,9103791	0,1345109	0,9622607	0,1629616	0,7102982	0,8158693	0,0877623	0,0303831	0,0697149	0,4735250
120	0,4235480	0,3677190	0,2547593	0,3952871	0,4134446	0,8192912	0,1799714	0,6315408	0,9387130	0,9569118	0,5755661	0,9999900	0,1932861	0,6142237	0,6801540	0,8090620	0,8538469	0,6943396	0,5823087	0,4115026	0,3464524	0,6196690	0,9103630	0,1345298	0,9622607	0,1592858	0,7103104	0,8158750	0,0877624	0,0303827	0,0659809	0,4735290
140	0,4235481	0,3677189	0,2547593	0,3952784	0,4134581	0,8192747	0,1799793	0,6315408	0,9387135	0,9569120	0,5755752	0,9999935	0,1932852	0,6142245	0,6801487	0,8084805	0,8538715	0,6943325	0,5823100	0,4190567	0,3464470	0,6309358	0,9103500	0,1345475	0,9622607	0,1578027	0,7103219	0,8158791	0,0877624	0,0303824	0,0640526	0,4735318
160	0,4235481	0,3677189	0,2547593	0,3952712	0,4134701	0,8192593	0,1799868	0,6315408	0,9387138	0,9569121	0,5755827	0,9999958	0,1932847	0,6142250	0,6801448	0,8081670	0,8538937	0,6943278	0,5823109	0,4240602	0,3464445	0,6378426	0,9103395	0,1345641	0,9622607	0,1572044	0,7103328	0,8158820	0,0877624	0,0303822	0,0630569	0,4735339
