"Time"	hupA	fis	mtlR	marR	marA	rob	putA	glcC	xylR	hupB	marB	micF	pgm	seqA	zwf	xylH	inaA	nfo	xylF	xylG	ygiA	ygiB	tolC	ygiC	mtlD	mtlA	fumC	tyrP	mtr	galM	galK	galE

0	0,4102295	0,2828511	0,2728318	0,3092399	0,3662118	0,6886561	0,1544219	0,4241331	0,8361712	0,6909920	0,4368871	0,7713291	0,1130506	0,5263889	0,4338754	0,6156915	0,6326158	0,5148075	0,3859005	0,1249110	0,2042721	0,1205923	0,5707180	0,1195205	0,7566423	0,6214186	0,5483196	0,7404076	0,0419957	0,0242895	0,1899153	0,3051272
20	0,3209101	0,2376321	0,1826666	0,2882366	0,3243800	0,8627458	0,0926917	0,5438380	0,6462026	0,6769851	0,4246862	0,8103080	0,1342194	0,3736550	0,5040172	0,6285101	0,6831669	0,6422993	0,4553849	0,1634188	0,3267708	0,0730015	0,8046722	0,1527684	0,7934066	0,4435379	0,4680090	0,5832421	0,0678444	0,0275699	0,1746740	0,3764379
40	0,2281465	0,2067630	0,1752799	0,3597162	0,2779706	0,5644918	0,1264311	0,4918912	0,6168804	0,8320034	0,3989901	0,7561578	0,1560650	0,5395752	0,5097432	0,5805282	0,5878786	0,5443880	0,4617718	0,2533343	0,2968860	0,1652158	0,7090698	0,0992077	0,8070739	0,3416909	0,4371346	0,6128890	0,0580064	0,0524719	0,1790162	0,3763147
60	0,2463035	0,2079320	0,2005164	0,3528324	0,3461407	0,5360144	0,0848877	0,4935104	0,5899164	0,7347988	0,4278339	0,7899407	0,1272601	0,4712749	0,4716893	0,5778711	0,6449648	0,6033897	0,5022400	0,2031251	0,2724350	0,1904802	0,7520942	0,1124712	0,7650005	0,2065815	0,5945568	0,6269029	0,0442622	0,0512056	0,1401881	0,2421168
80	0,2712100	0,2019099	0,2436934	0,3624533	0,3343853	0,5780921	0,0871106	0,4152095	0,6561907	0,6032907	0,4100138	0,7717258	0,1150061	0,5046011	0,4887378	0,6691917	0,6143059	0,5150578	0,4847792	0,2857246	0,2699927	0,2972237	0,6252011	0,0911209	0,6617542	0,1515970	0,4941274	0,5199750	0,0385230	0,0238626	0,1244432	0,2733339
100	0,1927045	0,2206453	0,2165915	0,2833540	0,2860528	0,7381501	0,1086503	0,5349745	0,7173485	0,7438153	0,4584524	0,7998241	0,1456626	0,5024202	0,3831666	0,8226876	0,7475996	0,5637579	0,4345801	0,3557721	0,1862933	0,2925890	0,6439779	0,1431174	0,8343443	0,1696614	0,4654558	0,5850503	0,0416368	0,0223593	0,0817051	0,2986944
120	0,2151999	0,3182018	0,1491198	0,2521150	0,3020222	0,6545300	0,1074800	0,4230676	0,6852014	0,8862079	0,4606155	0,7648377	0,1106079	0,5382449	0,3710615	0,6493688	0,5703408	0,6799896	0,5579127	0,3950680	0,2071664	0,4563708	0,6577695	0,1287313	0,6614110	0,1957634	0,4906601	0,5872590	0,0907371	0,0381257	0,1069749	0,3386243
140	0,2179539	0,2875204	0,0857180	0,2881567	0,4192315	0,4387715	0,1129991	0,5165520	0,6505069	0,7016387	0,4339119	0,8443483	0,1431059	0,6410932	0,4293637	0,6641710	0,6107952	0,5883587	0,4187118	0,3168962	0,2851222	0,5082670	0,6009115	0,0983266	0,7185301	0,1460912	0,4739372	0,6012547	0,0479396	0,0464194	0,0662305	0,4014880
160	0,2025314	0,3033062	0,1654396	0,3159009	0,3602218	0,5897156	0,1397512	0,4666556	0,7282379	0,7119063	0,4296379	0,7208872	0,1997032	0,5179388	0,4467505	0,4652121	0,5124210	0,5774225	0,4797847	0,2645792	0,2276286	0,4132950	0,5177521	0,1254369	0,7207862	0,1128535	0,4878991	0,5747540	0,0427617	0,0342708	0,0407555	0,4063117
