"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU

0	0,0100697	0,4438657	0,0271947	0,0316304	0,1286845	0,5343896	0,7023831	0,3933180	0,2838148	0,3885589	0,2663146	0,3998064	0,0951397	0,3629224	0,3545070	0,3117626	0,2235560	0,2221437	0,7384290	0,0300663	0,6287166	0,0342838	0,0412071	0,3066046	0,6269729	0,0452091	0,7808312	0,5988416	0,6926815	0,0048972	0,7400972	0,3300945
20	0,0059405	0,4505936	0,0288581	0,0238926	0,1702981	0,3948612	0,7970346	0,3806052	0,1933893	0,2964491	0,1729656	0,5820718	0,1228134	0,4052768	0,4503431	0,2447617	0,1863024	0,1920709	0,6052414	0,0436985	0,8449495	0,0194275	0,0274009	0,4266604	0,5642234	0,0696446	0,6726400	0,6538836	0,7382094	0,2691232	0,7687158	0,2960458
40	0,0340424	0,4253713	0,0131243	0,0349138	0,1561279	0,3556763	0,8034848	0,4014387	0,2099362	0,2651944	0,1898203	0,5695284	0,0824291	0,3553853	0,4290927	0,3974537	0,2347170	0,2551602	0,6529777	0,0712459	0,6526612	0,0155838	0,0381315	0,3945122	0,6053155	0,0297434	0,8286049	0,5820742	0,7615569	0,3434013	0,8495550	0,3449708
60	0,0299494	0,4573077	0,0223762	0,0320521	0,1982487	0,3472251	0,8011086	0,3166682	0,2861655	0,2927529	0,2268784	0,5280126	0,1161357	0,3905545	0,4398426	0,3512035	0,2276714	0,1795969	0,6387192	0,0242479	0,7427919	0,0308904	0,0215328	0,5190653	0,6189051	0,0316085	0,7240986	0,5891762	0,8055746	0,3870768	0,7652378	0,2816359
80	0,0126688	0,3663894	0,0209333	0,0408556	0,1566920	0,4399740	0,7246694	0,4506070	0,1743868	0,2801069	0,1660371	0,6220938	0,0755036	0,4325481	0,3494714	0,4373888	0,2826038	0,2815510	0,6691370	0,0399082	0,7604360	0,0273626	0,0412988	0,6017838	0,7054383	0,0600980	0,7526380	0,6759420	0,8088057	0,4011620	0,7280328	0,3681586
100	0,0211810	0,5442196	0,0148119	0,0307691	0,2250883	0,4743441	0,7308676	0,3484725	0,2216795	0,2605828	0,3353985	0,5445536	0,1410384	0,4114268	0,3773573	0,3752282	0,2644646	0,2578919	0,7337096	0,0249450	0,7560914	0,0093496	0,0243832	0,6039867	0,6869818	0,0471631	0,7033163	0,6490566	0,7113244	0,5448643	0,6548349	0,3503564
120	0,0108269	0,4475582	0,0278042	0,0243847	0,1873071	0,4095353	0,7567163	0,3258021	0,2214600	0,3438735	0,2540614	0,5780163	0,1021169	0,3114157	0,4032660	0,3527783	0,1760574	0,2403688	0,6610298	0,0472685	0,8320937	0,0241377	0,0260073	0,5851439	0,7525991	0,0602256	0,8806770	0,6453576	0,6917213	0,5207917	0,6769852	0,3191594
140	0,0152174	0,5201381	0,0082486	0,0209406	0,1990837	0,3525663	0,9282211	0,4281541	0,2074733	0,2574245	0,2194627	0,4339539	0,1281553	0,4710101	0,4445268	0,5003960	0,2135629	0,2973881	0,6624706	0,0313046	0,6610788	0,0112319	0,0459707	0,6335369	0,7390563	0,0393316	0,8134121	0,6321666	0,7335629	0,5143857	0,7314494	0,2970556
160	0,0168832	0,3426492	0,0312599	0,0210655	0,1572571	0,4431847	0,8536018	0,3783018	0,2528043	0,2711092	0,2497972	0,4891943	0,1199500	0,3711656	0,4987875	0,3845115	0,2321147	0,2816345	0,6867230	0,0456615	0,7483228	0,0129114	0,0485554	0,4860551	0,7202267	0,0399937	0,7705100	0,5663342	0,8600247	0,5256488	0,6802575	0,3121615
