"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU

0	0,0165560	0,5628153	0,0424296	0,0423128	0,2418162	0,6149208	1,0392047	0,6020201	0,4073352	0,5551740	0,3328529	0,6381809	0,1367937	0,5341895	0,5713432	0,5225727	0,3261282	0,2603819	0,9859102	0,0466636	1,0309538	0,0303956	0,0618098	0,3599461	0,8942311	0,0596532	1,0218946	0,8213454	1,0174443	0,0037278	1,0001837	0,4305779
20	0,0185285	0,6659401	0,0362569	0,0215508	0,2382199	0,6177470	1,0264525	0,5266272	0,3225167	0,4463405	0,3196670	0,7694445	0,1228197	0,5482868	0,5935274	0,4452191	0,2895034	0,3077738	0,8957642	0,0640824	0,9889213	0,0301545	0,0426539	0,5036344	0,8830230	0,0724312	0,9805282	0,8164393	1,1023078	0,3681891	1,0920593	0,4193881
40	0,0216733	0,6615578	0,0290635	0,0306204	0,2362597	0,6017443	0,9883040	0,5218086	0,3036826	0,3715729	0,3406882	0,7518343	0,0962246	0,5126806	0,5882802	0,5052546	0,3094200	0,3165825	0,9086152	0,0680682	0,9743386	0,0347662	0,0427638	0,6128502	0,8957476	0,0637669	0,9732627	0,8242925	1,0515951	0,5292058	1,0612254	0,3972549
60	0,0165634	0,6192798	0,0298957	0,0334117	0,2569808	0,6151544	0,9660169	0,4904118	0,2911831	0,3835404	0,3414696	0,7490583	0,1199596	0,5098777	0,5383550	0,5045304	0,3266962	0,2661501	0,9733406	0,0517547	1,0025775	0,0351754	0,0457555	0,7539739	0,8867826	0,0555902	1,0087605	0,7684722	1,0329453	0,5910504	1,0185982	0,4734081
80	0,0191700	0,6331023	0,0280927	0,0250584	0,2684791	0,6386826	1,0006100	0,5391420	0,3086029	0,3857592	0,3190590	0,7164142	0,1252420	0,5396706	0,5421731	0,5950946	0,3492300	0,3465841	0,9615300	0,0527738	1,0446882	0,0314180	0,0572293	0,7577736	0,9193423	0,0592345	1,0346323	0,7655627	1,0493547	0,6733575	1,0128232	0,4585848
100	0,0217799	0,6730893	0,0367138	0,0331787	0,2439731	0,6085951	1,0082986	0,4828467	0,3214776	0,3847069	0,3466809	0,7336903	0,1410970	0,5364356	0,5337781	0,5784451	0,3298030	0,3353017	0,9904148	0,0485475	1,0256779	0,0244514	0,0548785	0,7881334	0,9647164	0,0649660	1,0627265	0,8012602	1,0558489	0,6718097	1,0164570	0,4753418
120	0,0104272	0,6421266	0,0271659	0,0245988	0,2563609	0,6012202	1,0607932	0,5110308	0,2879561	0,4126850	0,3073336	0,7155816	0,1336381	0,5524989	0,6097324	0,6285636	0,3026436	0,3683880	0,9653786	0,0637328	1,0287298	0,0334264	0,0497261	0,7827510	1,0082660	0,0695545	1,1108547	0,8160539	0,9366751	0,6950405	0,8929101	0,4509723
140	0,0179008	0,5692965	0,0226846	0,0280542	0,2723336	0,5720650	1,1307001	0,4990850	0,2840743	0,3764735	0,3496846	0,6812411	0,1138910	0,5470388	0,5855499	0,5965457	0,3390176	0,3887590	0,9739141	0,0691435	1,0233012	0,0264297	0,0561086	0,8205359	0,9724057	0,0726528	1,1433949	0,8784086	0,9991228	0,7479128	0,9033718	0,4469035
160	0,0237188	0,5533505	0,0320719	0,0277969	0,2898352	0,5822414	1,1334188	0,5122982	0,2976529	0,3837350	0,3649374	0,6535229	0,1641549	0,5672091	0,5843445	0,5993834	0,3142057	0,3981101	0,9931603	0,0800071	1,0301729	0,0196752	0,0417637	0,8135538	0,9483287	0,0678511	1,1123871	0,7711606	1,0552293	0,7796845	0,9475574	0,3921202
180	0,0192702	0,6569062	0,0303635	0,0225512	0,3124960	0,5704549	1,0761006	0,5266553	0,2732311	0,3406911	0,3801340	0,6560267	0,1698164	0,5570203	0,5721203	0,6040149	0,3171363	0,3953660	0,9352265	0,0700288	0,9836717	0,0250656	0,0520034	0,8321325	0,9295465	0,0574323	1,0465804	0,7259624	0,9988107	0,7651398	0,9258347	0,3591782
