"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU

0	0,0247766	0,6423327	0,0402187	0,0379021	0,2659385	0,5572829	1,0004324	0,5430051	0,3834243	0,5912915	0,3682520	0,6718002	0,1571580	0,5209873	0,5380317	0,5456575	0,2957234	0,2685828	0,9886187	0,0419976	1,0458589	0,0345069	0,0548431	0,3625581	0,8157755	0,0626261	1,0625894	0,8142378	0,9923517	0,0047982	0,9672637	0,3983265
20	0,0149107	0,5594289	0,0473306	0,0270880	0,2284124	0,6167659	1,0036554	0,5719454	0,4857179	0,4947089	0,2932082	0,7312151	0,1323262	0,5661964	0,5790290	0,6054933	0,2613109	0,3335117	0,9372348	0,0700583	0,9453576	0,0217729	0,0464270	0,4016989	0,9231036	0,0724448	0,9257192	0,7085132	1,0698470	0,1493366	1,0767052	0,5293798
40	0,0245736	0,5744331	0,0443066	0,0308837	0,2774063	0,6554459	0,9710154	0,5719781	0,4179881	0,5139682	0,3226402	0,7149086	0,1068621	0,5803447	0,6032206	0,6018795	0,3067511	0,3651346	0,9444242	0,0795824	1,0411914	0,0396026	0,0468762	0,5245688	0,8983187	0,0701282	0,8972907	0,7752492	1,0899251	0,2918482	1,0109591	0,4313863
60	0,0200832	0,6012523	0,0341189	0,0225393	0,2828890	0,6996842	0,9776222	0,6182159	0,3779145	0,4252958	0,3165207	0,6887507	0,1093226	0,5018996	0,5739154	0,5959491	0,2948909	0,2951660	0,9782944	0,0680134	1,0952354	0,0434490	0,0435685	0,5832890	0,9037562	0,0568315	0,9984358	0,7742961	1,0814355	0,4318536	1,0254229	0,4274017
80	0,0205270	0,5346085	0,0363049	0,0313718	0,2733469	0,6883376	0,9887982	0,6279138	0,3379871	0,3919108	0,3240877	0,7121167	0,1204736	0,4948136	0,5074028	0,6025589	0,3259397	0,3103950	0,9298970	0,0503780	1,0847885	0,0429322	0,0451080	0,7046576	0,8522583	0,0800062	1,0667267	0,6773546	1,0867960	0,5197205	0,9710582	0,4703255
100	0,0232629	0,5842049	0,0292305	0,0360247	0,3132763	0,6353135	0,9824743	0,6385286	0,3289502	0,3906702	0,3090461	0,7374230	0,1273329	0,5363708	0,5340139	0,5921286	0,2925142	0,2998963	0,8630190	0,0507244	1,0537573	0,0247680	0,0608057	0,7429320	0,8987154	0,0983243	1,0481360	0,6695235	1,0601228	0,5571542	0,9478451	0,4563414
120	0,0350750	0,6273951	0,0260421	0,0293108	0,2676645	0,6656330	1,0370554	0,6170954	0,2783641	0,3755804	0,3025361	0,6933343	0,1238151	0,5983540	0,5641114	0,6348288	0,2784263	0,3452968	0,8761836	0,0603652	1,0640857	0,0257749	0,0619587	0,7880131	0,9852943	0,0899414	0,9936987	0,7240481	1,0366763	0,5952467	0,9396462	0,5208769
140	0,0217931	0,6528534	0,0203535	0,0250044	0,2642861	0,6248570	1,1097188	0,5966238	0,2631902	0,3706266	0,3376186	0,7356766	0,1551842	0,5893488	0,5554586	0,6282342	0,2894543	0,3365157	0,9069456	0,0696042	1,0266504	0,0166053	0,0643845	0,8235037	1,0097824	0,0752198	1,0125887	0,8161864	1,0104834	0,7019548	0,9039571	0,5052789
160	0,0186682	0,5569134	0,0424853	0,0244337	0,2965650	0,6252406	1,0625881	0,5824655	0,2980698	0,3772048	0,3498444	0,7237539	0,1656442	0,5587224	0,5619441	0,5967458	0,3069382	0,3383776	0,9047976	0,0635285	1,0647489	0,0220006	0,0656655	0,7663568	0,9433255	0,0807418	1,0308604	0,8192582	1,0059302	0,7572613	0,9212459	0,4688406
