"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU

0	0,0152137	0,6187870	0,0381285	0,0299583	0,2699720	0,6042165	1,0000000	0,5599376	0,4332892	0,5185722	0,3183039	0,7084603	0,1072890	0,5654951	0,5787493	0,5339598	0,3129385	0,3085494	0,9812949	0,0516040	0,9746002	0,0270942	0,0503953	0,3402042	0,8406033	0,0567970	0,9979673	0,7801877	0,9940655	0,0018461	0,9879835	0,3796106
20	0,0152137	0,6187871	0,0381285	0,0299583	0,2699681	0,6042157	1,0000000	0,5599375	0,3668378	0,4590379	0,3183038	0,7084610	0,1084726	0,5660186	0,5787489	0,5349425	0,3129384	0,3085499	0,9871033	0,0515970	0,9746401	0,0270943	0,0503954	0,5270968	0,8716040	0,0567970	0,9986688	0,7986890	0,9946368	0,3580338	0,9879836	0,3796108
40	0,0152137	0,6187872	0,0381285	0,0299583	0,2699654	0,6042152	1,0000000	0,5599378	0,3275284	0,4224465	0,3183038	0,7084617	0,1127985	0,5685476	0,5787490	0,5394895	0,3129380	0,3085498	0,9909474	0,0515922	0,9746687	0,0270944	0,0503955	0,6474645	0,8914547	0,0567970	0,9990215	0,8088699	0,9948022	0,5428838	0,9879835	0,3796106
60	0,0152137	0,6187873	0,0381285	0,0299583	0,2699635	0,6042149	1,0000000	0,5599381	0,3048756	0,4028845	0,3183038	0,7084622	0,1191745	0,5734715	0,5787492	0,5470935	0,3129376	0,3085495	0,9934915	0,0515891	0,9746890	0,0270944	0,0503955	0,7249870	0,9041656	0,0567970	0,9991988	0,8144722	0,9948501	0,6388151	0,9879835	0,3796103
80	0,0152137	0,6187873	0,0381285	0,0299583	0,2699622	0,6042146	1,0000000	0,5599384	0,2925687	0,3941648	0,3183038	0,7084626	0,1263275	0,5803482	0,5787494	0,5558966	0,3129373	0,3085492	0,9951753	0,0515870	0,9747035	0,0270945	0,0503955	0,7749152	0,9123047	0,0567970	0,9992880	0,8175551	0,9948639	0,6886004	0,9879835	0,3796101
100	0,0152137	0,6187873	0,0381285	0,0299583	0,2699613	0,6042144	1,0000000	0,5599387	0,2867201	0,3915050	0,3183038	0,7084628	0,1332357	0,5883924	0,5787496	0,5642825	0,3129370	0,3085489	0,9962896	0,0515856	0,9747139	0,0270945	0,0503956	0,8070714	0,9175164	0,0567970	0,9993328	0,8192515	0,9948679	0,7144374	0,9879834	0,3796099
120	0,0152137	0,6187873	0,0381285	0,0299583	0,2699606	0,6042143	1,0000000	0,5599388	0,2848026	0,3918111	0,3183038	0,7084630	0,1391823	0,5967582	0,5787498	0,5713303	0,3129368	0,3085488	0,9970271	0,0515846	0,9747213	0,0270945	0,0503956	0,8277814	0,9208536	0,0567970	0,9993553	0,8201849	0,9948691	0,7278460	0,9879834	0,3796097
140	0,0152137	0,6187873	0,0381285	0,0299583	0,2699602	0,6042143	1,0000000	0,5599389	0,2850826	0,3933021	0,3183038	0,7084632	0,1438056	0,6047233	0,5787499	0,5767364	0,3129367	0,3085486	0,9975152	0,0515840	0,9747266	0,0270945	0,0503956	0,8411197	0,9229905	0,0567970	0,9993666	0,8206986	0,9948694	0,7348046	0,9879834	0,3796096
160	0,0152137	0,6187873	0,0381285	0,0299583	0,2699599	0,6042142	1,0000000	0,5599390	0,2863696	0,3950474	0,3183038	0,7084633	0,1470702	0,6117879	0,5787499	0,5805857	0,3129367	0,3085486	0,9978382	0,0515836	0,9747304	0,0270946	0,0503956	0,8497102	0,9243588	0,0567970	0,9993723	0,8209813	0,9948695	0,7384159	0,9879834	0,3796095
