"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU

0	0,0152137	0,6187872	0,0381285	0,0299582	0,2699802	0,6042189	1,0000000	0,5599425	0,4332840	0,5185874	0,3183098	0,7084450	0,1073020	0,5651686	0,5787377	0,5340843	0,3129343	0,3085535	0,9812115	0,0516745	0,9740519	0,0270940	0,0503944	0,3402248	0,8405864	0,0567969	0,9979629	0,7801793	0,9940651	0,0018461	0,9879704	0,3796092
20	0,0152137	0,6187872	0,0381285	0,0299583	0,2699738	0,6042174	1,0000000	0,5599412	0,4206286	0,5064540	0,3183076	0,7084515	0,1074439	0,5653642	0,5787419	0,5341357	0,3129360	0,3085520	0,9825821	0,0516427	0,9742429	0,0270942	0,0503948	0,3936720	0,8479556	0,0567969	0,9981380	0,7843817	0,9942355	0,1051198	0,9879754	0,3796100
40	0,0152137	0,6187872	0,0381285	0,0299583	0,2699693	0,6042163	1,0000000	0,5599403	0,3953373	0,4819610	0,3183062	0,7084556	0,1086424	0,5660829	0,5787445	0,5350220	0,3129369	0,3085512	0,9852734	0,0516221	0,9743811	0,0270943	0,0503951	0,4926909	0,8623468	0,0567970	0,9984436	0,7922018	0,9944689	0,2794776	0,9879785	0,3796104
60	0,0152137	0,6187872	0,0381285	0,0299583	0,2699662	0,6042156	1,0000000	0,5599397	0,3685676	0,4566059	0,3183054	0,7084583	0,1115025	0,5680315	0,5787462	0,5375622	0,3129372	0,3085506	0,9881259	0,0516086	0,9744812	0,0270944	0,0503952	0,5897895	0,8772764	0,0567970	0,9987253	0,7998918	0,9946360	0,4330640	0,9879804	0,3796104
80	0,0152137	0,6187872	0,0381285	0,0299583	0,2699641	0,6042151	1,0000000	0,5599394	0,3451166	0,4355550	0,3183048	0,7084600	0,1159027	0,5715920	0,5787473	0,5418906	0,3129373	0,3085501	0,9906571	0,0515997	0,9745534	0,0270944	0,0503954	0,6695186	0,8902123	0,0567970	0,9989422	0,8062060	0,9947383	0,5457414	0,9879816	0,3796103
100	0,0152137	0,6187873	0,0381285	0,0299583	0,2699626	0,6042148	1,0000000	0,5599392	0,3265731	0,4201723	0,3183044	0,7084611	0,1213321	0,5767370	0,5787482	0,5475501	0,3129372	0,3085497	0,9927186	0,0515939	0,9746056	0,0270945	0,0503954	0,7297380	0,9004902	0,0567970	0,9990956	0,8109613	0,9947971	0,6214453	0,9879823	0,3796101
120	0,0152137	0,6187873	0,0381285	0,0299583	0,2699616	0,6042146	1,0000000	0,5599391	0,3129770	0,4099598	0,3183042	0,7084619	0,1271452	0,5831199	0,5787487	0,5538398	0,3129371	0,3085494	0,9943150	0,0515901	0,9746432	0,0270945	0,0503955	0,7730982	0,9082499	0,0567970	0,9991988	0,8143655	0,9948300	0,6697351	0,9879827	0,3796099
140	0,0152137	0,6187873	0,0381285	0,0299583	0,2699608	0,6042144	1,0000000	0,5599390	0,3036692	0,4037600	0,3183041	0,7084624	0,1327421	0,5902191	0,5787491	0,5600968	0,3129370	0,3085491	0,9955109	0,0515876	0,9746704	0,0270945	0,0503955	0,8033851	0,9139148	0,0567970	0,9992660	0,8167230	0,9948480	0,6994996	0,9879830	0,3796098
160	0,0152137	0,6187873	0,0381285	0,0299583	0,2699603	0,6042143	1,0000000	0,5599390	0,2977355	0,4003679	0,3183040	0,7084627	0,1376835	0,5974797	0,5787494	0,5658367	0,3129369	0,3085489	0,9963860	0,0515860	0,9746899	0,0270945	0,0503955	0,8241093	0,9179535	0,0567970	0,9993088	0,8183180	0,9948579	0,7174042	0,9879831	0,3796096
180	0,0152137	0,6187873	0,0381285	0,0299583	0,2699600	0,6042143	1,0000000	0,5599390	0,2942489	0,3987805	0,3183039	0,7084630	0,1417344	0,6044206	0,5787496	0,5707828	0,3129368	0,3085488	0,9970153	0,0515849	0,9747040	0,0270946	0,0503956	0,8380850	0,9207827	0,0567970	0,9993357	0,8193789	0,9948632	0,7279803	0,9879832	0,3796095
200	0,0152137	0,6187873	0,0381285	0,0299583	0,2699597	0,6042142	1,0000000	0,5599390	0,2924029	0,3982566	0,3183039	0,7084631	0,1448451	0,6106961	0,5787497	0,5748351	0,3129367	0,3085487	0,9974621	0,0515842	0,9747141	0,0270946	0,0503956	0,8474102	0,9227378	0,0567970	0,9993523	0,8200753	0,9948661	0,7341400	0,9879833	0,3796095
220	0,0152137	0,6187873	0,0381285	0,0299583	0,2699596	0,6042142	1,0000000	0,5599390	0,2915694	0,3982936	0,3183038	0,7084632	0,1470971	0,6161099	0,5787498	0,5780178	0,3129367	0,3085486	0,9977758	0,0515837	0,9747214	0,0270946	0,0503956	0,8535834	0,9240746	0,0567970	0,9993625	0,8205277	0,9948677	0,7376873	0,9879833	0,3796094
240	0,0152137	0,6187873	0,0381285	0,0299583	0,2699594	0,6042142	1,0000000	0,5599390	0,2913031	0,3985770	0,3183038	0,7084633	0,1486409	0,6205982	0,5787499	0,5804279	0,3129367	0,3085485	0,9979944	0,0515834	0,9747266	0,0270946	0,0503956	0,8576455	0,9249806	0,0567970	0,9993687	0,8208192	0,9948685	0,7397114	0,9879833	0,3796094
260	0,0152137	0,6187873	0,0381285	0,0299583	0,2699594	0,6042141	1,0000000	0,5599390	0,2913160	0,3989261	0,3183038	0,7084633	0,1496453	0,6241951	0,5787499	0,5821948	0,3129367	0,3085485	0,9981455	0,0515832	0,9747303	0,0270946	0,0503956	0,8603061	0,9255904	0,0567970	0,9993725	0,8210059	0,9948690	0,7408576	0,9879834	0,3796094
280	0,0152137	0,6187873	0,0381285	0,0299583	0,2699593	0,6042141	1,0000000	0,5599390	0,2914384	0,3992496	0,3183038	0,7084634	0,1502656	0,6269956	0,5787499	0,5834529	0,3129367	0,3085485	0,9982495	0,0515831	0,9747331	0,0270946	0,0503956	0,8620427	0,9259984	0,0567970	0,9993747	0,8211247	0,9948693	0,7415025	0,9879834	0,3796094
