"Time"	argP	dnaA	phoB	recF	dnaN	nrdA	nrdR	fis	mtlR	marR	nrdB	guaB	mtlD	mtlA	guaA	marB	glyU	valX	phnK	lysV	glnV	phnP	phnH	leuV	pheU	psiF	topA	aspV	thrU	phnG	alaW	tyrU

0	0,0117999	0,5520188	0,0471053	0,0356343	0,1728876	0,3347316	0,7074085	0,3838551	0,2804457	0,3942607	0,2581473	0,4762449	0,1441181	0,3613784	0,3625519	0,3600851	0,2076095	0,1864394	0,7065232	0,0272844	0,7232642	0,0148522	0,0443778	0,2268687	0,6260647	0,0534638	0,8525298	0,5455878	0,7444033	0,0012977	0,7016818	0,2670537
20	0,0099390	0,3587295	0,0531495	0,0264830	0,1629836	0,4432413	0,8461924	0,4975711	0,3338474	0,4113114	0,1553916	0,5425048	0,0745359	0,3560108	0,4181541	0,4172941	0,1496927	0,2525983	0,5278869	0,0397892	0,7061071	0,0330212	0,0273268	0,2412632	0,6624399	0,0617282	0,6938359	0,5459629	0,7658174	0,0796233	0,7785447	0,3441241
40	0,0217119	0,3863567	0,0314341	0,0150378	0,1955868	0,5006288	0,7102341	0,3584295	0,3313061	0,3265366	0,2072663	0,4815109	0,0949022	0,3467391	0,3486703	0,4463820	0,2308440	0,3282617	0,6720778	0,0515474	0,8441084	0,0189126	0,0513785	0,3714878	0,5334576	0,0541038	0,5491760	0,5191581	0,8312446	0,1979857	0,7025819	0,2988888
60	0,0052779	0,3744364	0,0244159	0,0160203	0,1824748	0,5026605	0,6292691	0,4328972	0,2524882	0,3494488	0,2623946	0,5774798	0,0730392	0,3351739	0,4146745	0,4473425	0,3103597	0,1718913	0,7288552	0,0633603	0,8201271	0,0518568	0,0333127	0,4567117	0,6694358	0,0396884	0,8006208	0,5994087	0,7677570	0,2820214	0,7640471	0,2761341
80	0,0115234	0,3515332	0,0199684	0,0138610	0,2995727	0,5255767	0,6628884	0,4800032	0,2476493	0,3421459	0,3465958	0,4764104	0,0841596	0,3765837	0,3391756	0,4256151	0,2131179	0,2227239	0,6474252	0,0328880	0,7842094	0,0368477	0,0211684	0,5139581	0,6144875	0,0479499	0,7511558	0,5496673	0,7838374	0,4289699	0,5716278	0,3873933
100	0,0136532	0,3795587	0,0352706	0,0329391	0,2035749	0,4327619	0,6610618	0,4642681	0,2642865	0,3064834	0,2744153	0,5543212	0,0667602	0,4351375	0,4394046	0,3976742	0,3154939	0,2205566	0,6236905	0,0362838	0,6902688	0,0273201	0,0338813	0,6044050	0,6995391	0,1001283	0,8311036	0,4520441	0,8742350	0,4237111	0,7170643	0,2820098
120	0,0117471	0,4050592	0,0135489	0,0154386	0,2337067	0,5967177	0,7292031	0,4624454	0,1605762	0,2469195	0,2080717	0,4120452	0,0942056	0,4246151	0,3847507	0,4325986	0,1588812	0,2685253	0,6865248	0,0451245	0,7422857	0,0122418	0,0603474	0,7218186	0,8482261	0,0418997	0,7140343	0,5551167	0,7424573	0,4421770	0,8262000	0,3449996
140	0,0289763	0,5148234	0,0160504	0,0115939	0,2605454	0,4004426	0,7876071	0,4441826	0,1936774	0,2554803	0,2341593	0,5057636	0,0988005	0,3983657	0,4377665	0,4033665	0,1757652	0,2461253	0,6138617	0,0414102	0,8019597	0,0176863	0,0719827	0,6150537	0,8003672	0,0452275	0,7713675	0,6416804	0,7902898	0,5417780	0,6557195	0,3233125
160	0,0047535	0,4182294	0,0239265	0,0261838	0,1656978	0,3853383	0,6170089	0,3940028	0,2636963	0,2758986	0,2893643	0,6106685	0,1319417	0,4345666	0,4151297	0,4395616	0,2056563	0,2109643	0,7131621	0,0437823	0,7279991	0,0130352	0,0620775	0,5469866	0,6650758	0,0701215	0,7703699	0,5814320	0,7735219	0,5585936	0,7454942	0,4352423
180	0,0210984	0,3547397	0,0183828	0,0272677	0,2360164	0,4464678	0,7566781	0,3957950	0,1804872	0,2461570	0,1943214	0,4831015	0,1078309	0,4014286	0,3834348	0,3932225	0,2229121	0,3505727	0,6662649	0,0455573	0,7219912	0,0190823	0,0346821	0,5354500	0,7303997	0,0463342	0,8102028	0,5430706	0,6472329	0,5795811	0,6495472	0,2995691
200	0,0101224	0,5218991	0,0423469	0,0262492	0,2092571	0,4268530	0,6648167	0,4348425	0,2102570	0,2064765	0,2119741	0,4852954	0,0612642	0,4188020	0,3599920	0,4280042	0,1636427	0,2575413	0,7146683	0,0415715	0,8415057	0,0204319	0,0395666	0,5024061	0,7432987	0,0304749	0,6877069	0,5062287	0,8400593	0,5371648	0,6567283	0,3272596
220	0,0070459	0,4674302	0,0652490	0,0445919	0,1625891	0,4078990	0,6533713	0,3190034	0,1665445	0,3417418	0,2369733	0,4289211	0,0762773	0,3822668	0,4665362	0,4390620	0,2491591	0,3058240	0,6297214	0,0761157	0,6167814	0,0183496	0,0235875	0,7635794	0,7339434	0,0307849	0,7212251	0,5897802	0,7056935	0,5011465	0,7282169	0,2691145
240	0,0261193	0,4071647	0,0523622	0,0323585	0,2020082	0,3827033	0,6603474	0,3996257	0,2596752	0,2485902	0,2634967	0,4626215	0,0526697	0,3627907	0,3875466	0,3815503	0,2499285	0,2768499	0,5519130	0,0680618	0,7364129	0,0135440	0,0432324	0,5967515	0,6906602	0,0284734	0,7367738	0,5874686	0,6961221	0,4696511	0,7218042	0,1911310
260	0,0218826	0,3406644	0,0557369	0,0138688	0,2048546	0,3856171	0,6927451	0,4418085	0,2210672	0,2126523	0,2101907	0,4854680	0,1227129	0,3684225	0,4924602	0,3890387	0,2023964	0,2450571	0,6830844	0,0409018	0,7906251	0,0228615	0,0355947	0,6905456	0,6928006	0,0487177	0,8650328	0,6152285	0,6843142	0,5365250	0,6362516	0,2399862
280	0,0166252	0,4125620	0,0339557	0,0208011	0,2654230	0,4139327	0,7816444	0,5030893	0,1586219	0,2274292	0,2431376	0,4672448	0,0959840	0,3112099	0,5121562	0,4419807	0,1786844	0,2995871	0,6145436	0,0340663	0,8297371	0,0212305	0,0496955	0,5803726	0,7417525	0,0409081	0,6251053	0,5900243	0,6293822	0,5217392	0,7535941	0,2696761
300	0,0137533	0,4977818	0,0183607	0,0334100	0,2050889	0,3882908	0,9168783	0,4312185	0,2192917	0,3056214	0,2093385	0,5555617	0,0920529	0,4075798	0,5015135	0,4066992	0,2207387	0,2191513	0,6325990	0,0789585	0,6469361	0,0343603	0,0573888	0,5708279	0,6796807	0,0478069	0,7828751	0,6134685	0,5894350	0,5719101	0,6968762	0,2737892
320	0,0092615	0,4417840	0,0059399	0,0625845	0,1743472	0,4479189	0,6905478	0,5354249	0,2888078	0,2539843	0,2137391	0,5160805	0,0901853	0,4363213	0,5198984	0,4063502	0,2055758	0,2473471	0,7544226	0,0490215	0,6133307	0,0348556	0,0363300	0,5956529	0,6718917	0,0336067	0,6995249	0,6246822	0,7343697	0,5566691	0,7255649	0,2562973
340	0,0120126	0,4667585	0,0423361	0,0268840	0,2304919	0,3842828	0,7862048	0,5251981	0,2897269	0,3036570	0,2933361	0,5280028	0,0951882	0,3918413	0,4332927	0,4695260	0,2832967	0,2687793	0,6818979	0,0652612	0,7753652	0,0260698	0,0781252	0,7684448	0,7300470	0,0217271	0,6656687	0,7358656	0,8288962	0,6323843	0,7415201	0,3491435
360	0,0057964	0,4684612	0,0478724	0,0440287	0,2229664	0,5086596	0,7198725	0,4958535	0,2416245	0,3308266	0,1854917	0,5933823	0,0977953	0,3711105	0,4199262	0,3197114	0,1625323	0,3007221	0,7956616	0,0740065	0,6968824	0,0309246	0,0364792	0,6157876	0,7223483	0,0231804	0,6648220	0,6276642	0,7885500	0,5691585	0,6963457	0,3216016
380	0,0053708	0,3937794	0,0436268	0,0181415	0,2020526	0,4258969	0,7880897	0,4353698	0,2758236	0,3924870	0,2029942	0,5896213	0,0777077	0,2972753	0,3327872	0,4576248	0,2158138	0,2437608	0,7502606	0,1014743	0,8596901	0,0370710	0,0692812	0,7084598	0,6316458	0,0496553	0,7056303	0,6314695	0,7679768	0,5314080	0,7245842	0,2983945
400	0,0046436	0,5002925	0,0207758	0,0344259	0,1952394	0,4573909	0,7024031	0,3393675	0,1749624	0,2651977	0,3012854	0,4903666	0,0863813	0,4327817	0,4133841	0,4121339	0,2500093	0,3413350	0,7171579	0,1160654	0,6374854	0,0304865	0,0738989	0,7076665	0,7688356	0,0360828	0,8479319	0,7321103	0,7431878	0,5209174	0,7127676	0,3502540
420	0,0048387	0,4546280	0,0334405	0,0324074	0,1936160	0,4485971	0,7085037	0,4678727	0,2806792	0,2404575	0,2245442	0,5769520	0,0950128	0,4105346	0,3492305	0,3759562	0,2107257	0,2480774	0,6716204	0,0885725	0,6923510	0,0181504	0,0479337	0,6605226	0,7026446	0,0715017	0,8287336	0,5528686	0,9039852	0,5629283	0,7377156	0,2822129
440	0,0086961	0,3968536	0,0218864	0,0228997	0,1742705	0,3060513	0,6944604	0,4028861	0,2444709	0,3187530	0,2576802	0,4872433	0,1199298	0,3980156	0,4442711	0,3219029	0,2085615	0,2170474	0,7460863	0,0636473	0,8342962	0,0194210	0,0305517	0,6245696	0,8474446	0,0307975	0,6779237	0,5503450	0,7161473	0,5791035	0,6964735	0,4378835
460	0,0158249	0,3998190	0,0302197	0,0267361	0,2204353	0,3771313	0,7636219	0,4730252	0,1678811	0,2900937	0,2598060	0,4587166	0,1118528	0,3446712	0,3792566	0,3452498	0,2429679	0,2415853	0,5273329	0,0450017	0,7963192	0,0088188	0,0555330	0,7310831	0,6821869	0,0463190	0,7829106	0,5426192	0,7100612	0,5385990	0,8808453	0,2941206
480	0,0427728	0,3845242	0,0650361	0,0197460	0,1786375	0,4000459	0,7010203	0,3378894	0,1773162	0,2523294	0,2757079	0,5830814	0,0675907	0,3216253	0,4624236	0,4044486	0,2109777	0,2546600	0,6237182	0,0597911	0,8243533	0,0198711	0,0431323	0,6973144	0,5556752	0,0172107	0,7662790	0,5346017	0,6589592	0,5668442	0,7774869	0,4226998
