"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB

0	0,6565195	0,8955176	0,6070837	0,8016491	0,0709606	0,4245817	0,0252749	0,0396559	0,4530583	0,5989218	0,0243852	0,0397921	0,2951319	0,1437948	0,1081273	0,3906187	0,4728118	0,5581094	0,4598520	0,0028137	0,6611483	0,2600542	0,0906990	0,6325615	0,0369681	0,1314302	0,0766729	0,7313477	0,0319123	0,5653539	0,0350725	0,1667791
20	0,7826236	0,7149040	0,5430107	0,6814890	0,0818336	0,3262932	0,0140556	0,0242731	0,3541813	0,5255914	0,0382313	0,0423690	0,3289786	0,1486571	0,1509108	0,2853927	0,4708006	0,4842277	0,4125587	0,0127158	0,7637635	0,2852051	0,0587169	0,4971221	0,0316251	0,0895181	0,0475839	0,5610376	0,0146383	0,7429307	0,0099722	0,1474127
40	0,8579507	0,6376264	0,6724406	0,7387331	0,0626497	0,3913792	0,0136429	0,0592872	0,5048179	0,5187119	0,0726613	0,0175098	0,3277470	0,0598962	0,1677205	0,2227665	0,4888181	0,3405788	0,5273763	0,0247528	0,7720612	0,2489433	0,0754965	0,4287483	0,0400455	0,1106139	0,0352095	0,6193306	0,0224281	0,6418188	0,0236869	0,2275339
60	0,7493977	0,7218032	0,5733757	0,6817065	0,0444696	0,3286459	0,0125667	0,0106928	0,5007746	0,5449714	0,0398544	0,0323575	0,3124502	0,0965679	0,1924037	0,1568499	0,4402057	0,3249001	0,5067667	0,0146857	0,8454345	0,3405945	0,0622055	0,6110438	0,0236564	0,1188939	0,0467965	0,6578776	0,0121301	0,7265813	0,0036222	0,3316518
80	0,8184649	0,6664640	0,5046293	0,8533815	0,0920655	0,3243994	0,0144602	0,0315621	0,4748204	0,6614517	0,0415654	0,0320448	0,2454347	0,0605924	0,1214701	0,1178811	0,3772077	0,2438929	0,5433952	0,0108623	0,8337367	0,3334920	0,1123200	0,5963484	0,0462269	0,1170901	0,0439137	0,6150661	0,0478393	0,6717468	0,0501480	0,2382187
100	0,7104454	0,7850767	0,4358812	0,7417647	0,0947556	0,4150871	0,0211298	0,0304589	0,5622468	0,6834788	0,0344158	0,0414036	0,2513473	0,0937565	0,1325721	0,1569330	0,4848417	0,2946440	0,6196366	0,0090634	0,6695584	0,3795197	0,0834357	0,4473076	0,0245229	0,0686365	0,0333871	0,5883937	0,0268944	0,6373251	0,0109009	0,2292742
120	0,7657519	0,7149659	0,6029154	0,7048257	0,0995540	0,3874852	0,0241760	0,0467301	0,6794010	0,6037733	0,0443002	0,0341733	0,2563317	0,0584662	0,1642351	0,0978539	0,5441632	0,2714594	0,5595906	0,0206581	0,8756590	0,2960537	0,0672422	0,4999975	0,0451872	0,0846499	0,0475046	0,6228593	0,0521821	0,6850605	0,0181245	0,2592932
140	0,7410039	0,7830138	0,7308379	0,8065272	0,0453086	0,4449254	0,0128411	0,0329489	0,5186866	0,6255295	0,0434368	0,0603518	0,2845857	0,0819877	0,1109173	0,1553307	0,6595074	0,2746245	0,5465133	0,0143457	0,7557654	0,4343513	0,0637816	0,5630098	0,0232394	0,1622965	0,0269982	0,6411610	0,0284549	0,7027908	0,0041916	0,2550746
160	0,6831591	0,6512044	0,6579811	0,6498299	0,0496666	0,4785093	0,0067490	0,0289254	0,6155589	0,5821988	0,0299608	0,0649445	0,2458780	0,0907845	0,1132507	0,1444765	0,5724285	0,2969308	0,5708699	0,0095071	0,7195226	0,3099766	0,0528242	0,5570709	0,0199763	0,1447864	0,0203260	0,7542670	0,0753906	0,5260606	0,0058961	0,2737049
180	0,7094145	0,8503191	0,6556849	0,6863083	0,0405525	0,3890019	0,0035029	0,0215480	0,4909945	0,6279669	0,0660752	0,0308799	0,2563520	0,0790671	0,1036419	0,1565092	0,5661906	0,3534325	0,5879865	0,0080385	0,7957001	0,2752688	0,0709123	0,5056059	0,0237592	0,1132097	0,0420935	0,5457983	0,0320609	0,5968803	0,0113087	0,1610245
200	0,6815367	0,6271428	0,6383039	0,7188243	0,0569855	0,4422867	0,0097825	0,0456550	0,5220710	0,4492615	0,0271227	0,0107723	0,2549302	0,0869899	0,0881488	0,1881334	0,4521391	0,2574245	0,5455804	0,0024894	0,7053466	0,3157005	0,0745297	0,4626565	0,0207612	0,1134402	0,0470404	0,7386879	0,0232083	0,5927648	0,0048157	0,3049789
220	0,6852055	0,7478999	0,5499058	0,6410315	0,0666331	0,3833478	0,0072523	0,0311324	0,7115749	0,5805220	0,0166555	0,0196483	0,2924178	0,0683915	0,1112946	0,1172904	0,4906218	0,2338602	0,5478348	0,0507490	0,7888233	0,3293325	0,0481972	0,5755750	0,0208642	0,1273379	0,0605008	0,7300600	0,0256780	0,5370764	0,0084932	0,2419041
240	0,6435120	0,6208443	0,5864878	0,7411807	0,0925531	0,3241828	0,0035195	0,0352204	0,4367277	0,5227387	0,0304862	0,0073363	0,3529960	0,0728621	0,0958196	0,1296955	0,5684291	0,2502786	0,4597869	0,0120601	0,7323761	0,2854490	0,0565579	0,4720133	0,0178638	0,1170363	0,0208475	0,7107017	0,0260518	0,6824542	0,0038651	0,2186031
260	0,7863039	0,7683953	0,6295168	0,7549010	0,0942823	0,3285326	0,0023822	0,0318275	0,5022728	0,6729817	0,0285230	0,0193055	0,3409174	0,0621271	0,1172404	0,1189551	0,5212264	0,3095088	0,5059936	0,0386444	0,6464469	0,3030153	0,0439803	0,5993420	0,0273434	0,1217307	0,0278730	0,7531608	0,0438683	0,6024739	0,0024082	0,1904103
