"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB

0	0,9699000	1,0222942	0,8156372	1,0877287	0,0773524	0,5740270	0,0232497	0,0638209	0,6222844	0,7128575	0,0686160	0,0394401	0,3965124	0,2016556	0,1358196	0,4784798	0,5919526	0,7279910	0,7495454	0,0101729	0,9807003	0,4287019	0,1051630	0,7109878	0,0363419	0,1480082	0,0770028	0,9632782	0,0538470	0,7735614	0,0208329	0,2789843
20	1,1059221	1,0292214	0,8479352	1,0153951	0,0904104	0,5096890	0,0172422	0,0368932	0,7157675	0,7225490	0,0798511	0,0527290	0,3976160	0,2062223	0,1413137	0,4690276	0,6332591	0,7246173	0,6357313	0,0187987	1,0748514	0,4422930	0,0656294	0,7671486	0,0693598	0,1305535	0,0330918	0,8933678	0,0394339	0,8726421	0,0128381	0,2830907
40	1,0874687	1,0372770	0,8338783	1,0359329	0,0802609	0,5037808	0,0166646	0,0389298	0,6741950	0,7647044	0,0786707	0,0333456	0,4589397	0,1941273	0,1709198	0,4266673	0,6843741	0,6229254	0,6560251	0,0111712	1,0159185	0,4517507	0,0753658	0,7248553	0,0546862	0,1000484	0,0354709	0,9123693	0,0481804	0,8322596	0,0158856	0,3348969
60	1,0812401	0,9919136	0,8027300	0,9832718	0,1045357	0,4775375	0,0239636	0,0416768	0,6723333	0,7809346	0,0607212	0,0442245	0,4171757	0,1654753	0,1663288	0,3792706	0,5916275	0,5476496	0,6520457	0,0036658	1,0486963	0,4973824	0,1030420	0,7138535	0,0591734	0,0885508	0,0284168	0,9703803	0,0511810	0,8921610	0,0130055	0,4055021
80	1,0823054	0,8967958	0,7677697	0,9349137	0,0925490	0,4621792	0,0254291	0,0175760	0,7396049	0,7876432	0,0534212	0,0320033	0,4178043	0,1236082	0,1709222	0,3329599	0,6316459	0,5366525	0,6737058	0,0017302	1,0256909	0,4460213	0,1227018	0,7623640	0,0609623	0,1150468	0,0375213	0,9190732	0,0377360	0,8892223	0,0184327	0,3789531
100	1,0520835	0,9743533	0,7029376	0,9823424	0,0747809	0,4867991	0,0261497	0,0244904	0,7406533	0,7933143	0,0566540	0,0575606	0,3846853	0,1039039	0,1371259	0,3521962	0,6894926	0,4548360	0,7119592	0,0086440	1,0411910	0,4693867	0,1051459	0,7942756	0,0566424	0,1279001	0,0636488	0,9247317	0,0373170	0,9783540	0,0145815	0,4073860
120	1,0328209	1,0391143	0,6944541	0,9947349	0,0852293	0,5202868	0,0284021	0,0322075	0,7321637	0,7870084	0,0646937	0,0531151	0,3850637	0,0864821	0,1599337	0,3128453	0,7807898	0,4759569	0,7691632	0,0150083	1,0176080	0,4808682	0,1036871	0,7592744	0,0386095	0,1636732	0,0539916	0,9305529	0,0491884	0,9187786	0,0164588	0,3501701
140	1,0784280	1,0025049	0,7251554	0,9607671	0,0645234	0,5625291	0,0386621	0,0465325	0,7572122	0,7589450	0,0623574	0,0596752	0,3471990	0,0958314	0,1593286	0,2627655	0,7341146	0,4156198	0,8201859	0,0128685	1,0019294	0,4279012	0,1139287	0,7410664	0,0235213	0,1791003	0,0432169	0,9046017	0,0478683	0,8809165	0,0178075	0,3482785
160	1,0975781	0,9652799	0,7329474	0,9808119	0,0749609	0,5777837	0,0157000	0,0608029	0,7846031	0,7317162	0,0772619	0,0592534	0,3249044	0,0905690	0,1872078	0,2512156	0,8036022	0,3732228	0,8868431	0,0052358	1,0903812	0,4757556	0,0936553	0,7838622	0,0221732	0,1767757	0,0448418	1,0075038	0,0393766	0,8287793	0,0158644	0,3701271
180	1,0428490	1,0282178	0,7584663	0,9868386	0,0557260	0,5687726	0,0181697	0,0467192	0,8085203	0,7197090	0,0700790	0,0534039	0,3452938	0,0991266	0,1697852	0,2105320	0,7828087	0,3688795	0,8423147	0,0065858	1,0304655	0,3943623	0,0988460	0,7828926	0,0162824	0,1694052	0,0429840	0,9894756	0,0445009	0,9408184	0,0110694	0,3566711
200	1,0025382	1,0644595	0,8158340	0,9681122	0,0569612	0,5461392	0,0175379	0,0515136	0,7895577	0,7369326	0,0646330	0,0458334	0,3606955	0,1354942	0,1314725	0,1810442	0,7804182	0,3087960	0,7849652	0,0134383	1,0245150	0,4476590	0,1144761	0,6914184	0,0242022	0,1669264	0,0505234	0,9922198	0,0442257	0,8996593	0,0137087	0,3402868
220	0,9339619	1,0565064	0,7707126	0,9917070	0,0665703	0,6126229	0,0169894	0,0517347	0,7860950	0,7009615	0,0595911	0,0328945	0,3947029	0,1161175	0,1776966	0,2058765	0,7580169	0,3950804	0,7766136	0,0105228	1,0355810	0,5129971	0,1018793	0,6915910	0,0253198	0,1862715	0,0543606	0,9956518	0,0406060	0,8554243	0,0145552	0,2910083
240	0,9396621	1,0041120	0,8168773	0,9416844	0,0685773	0,5569558	0,0120722	0,0519411	0,7495202	0,7432290	0,0473491	0,0150654	0,4189827	0,0909506	0,1979254	0,1886911	0,7783356	0,4478373	0,7449314	0,0088189	1,0165367	0,4127566	0,0710030	0,7327134	0,0287980	0,1635636	0,0565787	1,0290136	0,0265411	0,8683552	0,0230768	0,3062593
260	0,9004849	0,9676617	0,8240940	0,9558922	0,0825764	0,5058314	0,0060567	0,0644367	0,7616193	0,7133596	0,0521668	0,0292958	0,4314915	0,0869874	0,1877348	0,1669886	0,6667395	0,4648856	0,7414560	0,0149822	1,1279358	0,4193620	0,0807587	0,7482261	0,0232939	0,1588529	0,0620497	1,0013140	0,0430029	0,8474605	0,0272524	0,3579938
280	0,8979364	0,9755522	0,8526095	1,0194494	0,1089807	0,4909548	0,0059384	0,0416103	0,6867756	0,7160098	0,0566128	0,0173649	0,3166527	0,1039272	0,1769960	0,1681500	0,6853755	0,4898269	0,7720426	0,0130139	1,1259233	0,4275713	0,0610758	0,8465256	0,0321900	0,1600683	0,0615887	0,9495342	0,0404421	0,8877946	0,0164940	0,3162408
300	0,9596288	0,9308178	0,7713299	0,9305837	0,0739890	0,5636635	0,0089673	0,0447043	0,7045676	0,7563856	0,0549388	0,0206063	0,3594641	0,1043638	0,1500142	0,1447365	0,7563609	0,5015746	0,8097483	0,0055725	1,0991055	0,4659895	0,0652399	0,8359152	0,0326408	0,1547276	0,0533063	0,9758448	0,0393706	0,8546250	0,0178967	0,3257040
320	0,9405966	0,8759053	0,8110764	0,9637306	0,0901554	0,6029471	0,0066945	0,0325411	0,6943398	0,7610342	0,0515856	0,0211344	0,3548790	0,0821515	0,1387595	0,1215953	0,7999587	0,4594056	0,8194413	0,0056836	1,0614914	0,4321572	0,0670615	0,8605896	0,0344046	0,1435736	0,0330481	0,8952685	0,0262185	0,9192256	0,0165383	0,3187829
340	0,9013161	0,8915100	0,8789243	1,0136197	0,0858612	0,5673956	0,0122620	0,0522401	0,6741161	0,6935745	0,0349717	0,0154717	0,4327716	0,0806500	0,1716564	0,1561062	0,7642473	0,3961714	0,7481147	0,0049380	0,9998681	0,4880579	0,0706974	0,8512117	0,0469525	0,1626730	0,0355329	0,9819404	0,0272507	0,9104904	0,0204260	0,3352989
360	0,9171296	0,8425488	0,9118980	1,0088487	0,0827531	0,5287567	0,0180444	0,0433739	0,6981513	0,6970625	0,0594130	0,0340225	0,3836859	0,0785306	0,1887840	0,1649656	0,7308460	0,3977895	0,7821567	0,0087982	0,9909686	0,4637383	0,0590001	0,7803342	0,0437161	0,1660210	0,0503541	0,9236116	0,0457751	0,8697746	0,0248630	0,2975181
380	0,9125129	0,8628821	0,7967570	0,9644066	0,0696701	0,5294664	0,0197493	0,0489430	0,6815369	0,7243959	0,0560291	0,0210871	0,4060379	0,0688847	0,1735044	0,1630838	0,7408455	0,3847216	0,6998806	0,0110681	0,9275596	0,4154927	0,0786278	0,6952597	0,0578039	0,1678398	0,0609292	0,9095625	0,0651713	0,8608249	0,0385975	0,2876671
400	0,9727848	0,8875600	0,7950302	1,0020779	0,0906283	0,4627039	0,0222554	0,0377492	0,6651720	0,7167291	0,0682633	0,0236400	0,3750593	0,0781419	0,1372146	0,1630033	0,6660091	0,3971091	0,6840498	0,0159353	0,8912631	0,4220245	0,0866261	0,6635361	0,0488474	0,1703189	0,0583447	0,9466458	0,0568773	0,8696207	0,0315744	0,2807577
420	0,9675800	0,9138221	0,8293401	0,9168306	0,0775835	0,4634495	0,0197862	0,0387175	0,7526297	0,7198887	0,0552880	0,0425656	0,3859798	0,0736788	0,1333315	0,1610181	0,5708141	0,3712723	0,6974518	0,0134141	0,9023294	0,3988741	0,1052710	0,7140154	0,0500495	0,1698247	0,0650986	0,9840436	0,0450368	0,9264985	0,0344015	0,2817546
440	0,9613420	0,8900614	0,8809008	0,9498225	0,0593690	0,4953711	0,0259210	0,0440830	0,7201851	0,7262706	0,0571547	0,0309996	0,3600152	0,0802887	0,1656925	0,1582658	0,5746315	0,3793108	0,6772677	0,0207387	0,8867683	0,4031657	0,1071869	0,6873830	0,0398738	0,1635798	0,0511330	0,9810072	0,0478029	0,9973754	0,0342796	0,2433357
460	1,0446016	0,9539102	0,8646190	1,0212147	0,0611504	0,5056871	0,0249580	0,0448398	0,7219453	0,7224289	0,0569921	0,0245352	0,3564640	0,0668093	0,1710898	0,1431324	0,6734545	0,3585375	0,6604390	0,0212189	0,9336295	0,4353958	0,1081121	0,7414143	0,0611210	0,1591073	0,0586570	0,9994488	0,0521754	0,9476162	0,0463093	0,2459033
480	1,1014922	1,0355430	0,8905835	0,9590089	0,0836388	0,4811424	0,0264844	0,0416765	0,6921776	0,7266910	0,0519899	0,0388700	0,3548065	0,0725457	0,1880441	0,1322379	0,7245366	0,3698676	0,6648831	0,0116759	0,9774958	0,4273501	0,0843837	0,7739672	0,0570824	0,1489198	0,0548227	0,9284850	0,0402886	0,9488272	0,0441186	0,2970711
500	1,0624861	1,0595387	0,8522695	0,9551121	0,1091709	0,4964893	0,0176617	0,0380795	0,7012904	0,7135765	0,0358744	0,0310645	0,3440852	0,0719452	0,2101990	0,1302971	0,7034775	0,3053161	0,7036741	0,0063632	1,0314194	0,4073272	0,0882898	0,7699323	0,0590834	0,1598487	0,0304208	0,9930822	0,0484691	1,0079102	0,0313086	0,2848520
520	1,0118400	1,0811379	0,8609653	0,9705973	0,1018824	0,4624970	0,0127527	0,0507697	0,6804722	0,6711222	0,0471747	0,0241396	0,3598047	0,0780648	0,1812561	0,1346295	0,7210105	0,3160604	0,6650336	0,0077331	1,0762356	0,3604678	0,0856958	0,7617849	0,0520940	0,1628590	0,0428655	0,9811222	0,0549332	0,9349060	0,0239970	0,2877168
540	1,0572707	0,9609801	0,8600196	0,9199793	0,1273282	0,4420800	0,0128869	0,0339595	0,7073757	0,6762965	0,0524772	0,0362853	0,3825723	0,0772153	0,1626002	0,1521211	0,7591668	0,3311415	0,6858197	0,0082047	0,9891095	0,3900797	0,0922394	0,7636005	0,0455499	0,1586330	0,0411825	1,0409837	0,0331282	0,9777405	0,0287338	0,2986493
560	1,0119887	0,9271497	0,8640047	0,9534371	0,0933185	0,5204027	0,0134802	0,0270727	0,6914858	0,6537960	0,0398431	0,0449244	0,3377852	0,0762902	0,1343607	0,1522816	0,6593678	0,3920815	0,6463952	0,0051008	0,9788774	0,3684049	0,0783171	0,7765770	0,0501279	0,1293169	0,0586281	1,0139993	0,0306610	0,9867226	0,0224553	0,2958821
580	0,8673431	0,9644077	0,8161032	0,9791077	0,0871924	0,5186752	0,0195797	0,0376809	0,7372042	0,6619055	0,0394241	0,0356994	0,3121731	0,0797162	0,1459110	0,1523026	0,6862015	0,4100189	0,6853689	0,0135653	0,9976371	0,4202868	0,0640773	0,8422998	0,0502391	0,1282844	0,0545641	0,9628771	0,0306289	0,9536153	0,0226917	0,2576551
600	0,9065705	0,9308920	0,7707349	1,0383739	0,0828990	0,4791390	0,0144705	0,0567570	0,7610603	0,6903331	0,0348323	0,0286686	0,3167705	0,1033239	0,1477554	0,1916404	0,7217823	0,5333254	0,6730324	0,0182898	1,0021632	0,4138189	0,0853727	0,8063060	0,0431615	0,1305791	0,0432578	0,8872060	0,0186811	0,9311227	0,0230972	0,2735065
620	0,8752571	0,8684505	0,8223249	0,8892063	0,0883074	0,4662902	0,0176701	0,0507073	0,7256907	0,6908461	0,0465798	0,0376857	0,3456799	0,1540860	0,1061103	0,2514934	0,6534398	0,6646658	0,7085716	0,0248968	0,9514197	0,4193829	0,0790402	0,7355823	0,0505315	0,1403954	0,0519680	0,8928190	0,0193149	0,8437513	0,0212197	0,2735900
640	0,8707599	0,9074460	0,7942932	0,9560332	0,0813784	0,4539263	0,0223906	0,0450169	0,7486071	0,6979598	0,0419719	0,0369978	0,3613253	0,1532108	0,1189406	0,3019607	0,6731584	0,6432975	0,6635585	0,0161428	0,9496636	0,4153363	0,0777713	0,7466105	0,0445845	0,1417957	0,0638650	0,8932802	0,0207982	0,8278146	0,0231195	0,2356800
660	0,9809232	0,9273121	0,8255773	0,9829894	0,0929909	0,5034725	0,0158785	0,0484107	0,7126658	0,6894033	0,0376290	0,0653915	0,3703294	0,1676696	0,1586253	0,3687802	0,6759296	0,7659853	0,6815588	0,0066136	0,9608853	0,4207912	0,0901928	0,7956263	0,0631717	0,1436869	0,0659549	0,8920059	0,0374040	0,8089947	0,0226707	0,2488374
680	0,9724389	0,9644493	0,8550093	1,0105059	0,0869087	0,5104741	0,0166981	0,0408001	0,6768133	0,6879056	0,0452913	0,0389909	0,3732410	0,1597378	0,1439251	0,4109727	0,6988752	0,7300419	0,7160219	0,0123242	0,9591329	0,4620775	0,0779263	0,7247741	0,0482607	0,1437086	0,0404381	0,9182593	0,0311931	0,7363959	0,0237594	0,2692096
700	1,0083544	0,9656008	0,8414179	0,9525712	0,1152279	0,4808678	0,0103690	0,0443215	0,6396763	0,6914129	0,0514854	0,0173127	0,3657586	0,1803304	0,1508195	0,4348116	0,8158261	0,7058876	0,6482379	0,0074353	1,0204731	0,5052632	0,0790011	0,7528386	0,0571993	0,1322241	0,0300813	0,8577893	0,0329700	0,6749660	0,0301350	0,2606880
720	0,9471997	1,0031354	0,8472433	0,9824178	0,1222160	0,4555481	0,0151338	0,0425823	0,6205822	0,6805488	0,0565055	0,0278150	0,3963058	0,1843662	0,1337516	0,5132007	0,7418596	0,6928887	0,6635232	0,0050229	1,0451320	0,5219512	0,0905311	0,7698320	0,0707690	0,1267725	0,0439848	0,9481015	0,0378939	0,6969562	0,0220290	0,2550832
740	1,0274027	0,9948083	0,8901087	1,0335521	0,1180991	0,4614057	0,0247465	0,0374875	0,6486393	0,7306532	0,0720439	0,0227442	0,4126292	0,2136575	0,1271743	0,5537040	0,6236589	0,7148605	0,6271553	0,0071858	1,0659113	0,4529888	0,0919684	0,8338632	0,0588045	0,1497298	0,0358755	0,9513429	0,0422397	0,7323312	0,0182936	0,2527646
760	1,0488290	0,9657674	0,8191282	1,0538528	0,0887019	0,4793231	0,0154293	0,0297722	0,6767830	0,6988335	0,0546755	0,0121368	0,3808323	0,2060322	0,1573311	0,5463427	0,5884060	0,7190600	0,6204308	0,0046309	1,0181512	0,4796609	0,0964511	0,8882892	0,0620868	0,1535537	0,0358548	0,9953461	0,0423786	0,7760075	0,0092933	0,2876353
780	0,9589134	0,8893151	0,7989100	1,0232281	0,0679763	0,4564479	0,0167899	0,0287529	0,7241614	0,7411390	0,0353456	0,0207758	0,4189563	0,2309620	0,1797118	0,5652211	0,6525172	0,7467279	0,6703276	0,0039494	0,9992626	0,4775998	0,0838123	0,8816249	0,0389593	0,1436079	0,0572278	0,9964147	0,0507362	0,6719958	0,0115713	0,3116086
800	0,9627842	0,9092896	0,8166303	1,0209127	0,0831075	0,5138821	0,0232065	0,0256117	0,6624380	0,6975446	0,0315948	0,0224821	0,3699497	0,2119312	0,1995545	0,5203308	0,6804761	0,7531329	0,6406168	0,0066056	0,9835527	0,5132913	0,0909634	0,8836912	0,0340781	0,1589062	0,0512656	0,9954802	0,0389598	0,7249747	0,0120853	0,3383320
820	1,0824862	0,8909328	0,8028696	1,0945596	0,0860174	0,5165814	0,0126633	0,0315538	0,6793646	0,6658120	0,0334185	0,0168370	0,3321087	0,2149021	0,1437031	0,5454868	0,7102583	0,7935759	0,5969054	0,0129965	1,0444712	0,5121616	0,1001159	0,9089715	0,0259587	0,1651920	0,0791410	0,9264439	0,0415632	0,6693612	0,0300902	0,3405185
840	1,0835933	0,8670577	0,7495910	1,1362997	0,1045403	0,5215212	0,0109066	0,0274723	0,6907372	0,6627015	0,0467229	0,0169790	0,3375233	0,2199813	0,1724141	0,5579999	0,6642058	0,7353612	0,6230712	0,0130141	1,0199596	0,4448170	0,0844916	0,7544621	0,0245436	0,1667331	0,0703073	0,8977029	0,0545005	0,7380794	0,0329035	0,3198420
860	1,0422428	0,9167186	0,7972269	1,0407529	0,1057537	0,4720438	0,0091715	0,0365958	0,6852261	0,6503010	0,0426904	0,0221394	0,3602712	0,2193705	0,1521002	0,5059594	0,7187680	0,6769521	0,7418917	0,0135685	1,0208008	0,4297782	0,0899011	0,7456566	0,0139837	0,1718308	0,0713937	0,9046346	0,0470198	0,7900975	0,0326545	0,3397698
880	0,9475131	0,9523101	0,8000932	1,0540743	0,0828907	0,5126536	0,0130166	0,0352119	0,6723179	0,6795186	0,0544110	0,0255132	0,3609737	0,2340747	0,1252226	0,5413958	0,6828121	0,6394001	0,7481700	0,0083361	0,9204211	0,4254419	0,0963127	0,7338632	0,0290869	0,1430419	0,0656504	0,8771692	0,0438055	0,7697753	0,0314365	0,2902019
900	1,0135328	1,0439145	0,8565200	1,0609968	0,0547925	0,5000579	0,0141649	0,0254234	0,7225103	0,6835901	0,0513771	0,0289581	0,3762327	0,2168850	0,1564749	0,5005808	0,6693095	0,7202378	0,7222929	0,0094615	0,9588561	0,4023493	0,0877446	0,6657968	0,0312314	0,1135562	0,0663067	0,8842818	0,0660221	0,7145246	0,0304996	0,2711855
920	1,0955436	1,0311659	0,8278836	0,9735118	0,0596327	0,5482835	0,0119685	0,0317287	0,7366538	0,7373408	0,0632077	0,0310168	0,3509161	0,2084664	0,1731917	0,5490465	0,6728001	0,7679734	0,7489033	0,0132440	0,9663024	0,4065834	0,1080530	0,6832256	0,0295179	0,1296109	0,0565361	0,9443991	0,0831456	0,7460054	0,0364974	0,2410003
940	1,0433436	0,9830477	0,8313831	1,0019006	0,0749783	0,5194322	0,0129507	0,0315233	0,7758592	0,7820009	0,0545909	0,0431789	0,3700170	0,2231440	0,1926337	0,5291806	0,6877528	0,7851534	0,7237397	0,0140222	0,9348031	0,3965946	0,1029143	0,6989203	0,0434323	0,1396289	0,0633750	0,9865433	0,0583343	0,7659992	0,0297565	0,2467040
960	1,0786260	0,9298770	0,8616795	0,9766739	0,0750886	0,5143506	0,0108457	0,0276698	0,7906066	0,7892645	0,0843689	0,0192498	0,3149938	0,2055183	0,1895056	0,5208819	0,7059923	0,7358484	0,7266007	0,0184111	1,0281076	0,4079578	0,1091518	0,6803672	0,0409529	0,1670436	0,0532559	0,9504484	0,0370542	0,6916581	0,0242124	0,2591320
980	1,0487157	1,0134834	0,8965716	0,8687516	0,0745288	0,5124170	0,0185559	0,0218040	0,8102056	0,7654043	0,0703360	0,0226058	0,2989473	0,1738451	0,1770822	0,5094893	0,7032604	0,6859728	0,7324750	0,0165722	0,9864662	0,3716386	0,1027817	0,7337894	0,0400002	0,1642282	0,0473023	0,9364912	0,0577787	0,7165382	0,0161207	0,2569534
1000	0,9882588	0,9350265	0,8567905	0,9799855	0,0601351	0,5207995	0,0168087	0,0282297	0,7144358	0,7368975	0,0875463	0,0244092	0,3169734	0,1685753	0,2039945	0,5129937	0,6521408	0,7840183	0,7765660	0,0201671	0,9618992	0,4317788	0,1294533	0,8433620	0,0350906	0,1424982	0,0582251	0,9756666	0,0662061	0,7760116	0,0291722	0,2709769
1020	0,9584145	0,9589921	0,8877794	0,9960043	0,0578178	0,5238760	0,0143029	0,0409095	0,7007551	0,7636195	0,0609784	0,0240388	0,2874113	0,1750317	0,2275240	0,5286229	0,6168163	0,7113034	0,7527112	0,0209248	1,0666852	0,4329627	0,1317367	0,7379617	0,0299186	0,1418017	0,0487355	0,9778670	0,0471410	0,8156791	0,0230911	0,2874397
1040	1,0090966	1,0059073	0,8350668	1,0010632	0,0610675	0,4914131	0,0250358	0,0571963	0,7336339	0,7646873	0,0446036	0,0239441	0,3198704	0,1620279	0,1991532	0,5308826	0,6491401	0,7572878	0,7102445	0,0068454	1,0717099	0,4778681	0,1026886	0,7712905	0,0432965	0,1361323	0,0683133	1,0219450	0,0425047	0,8494510	0,0316484	0,3068705
1060	1,0596273	0,9791471	0,8797798	1,0132832	0,0884616	0,5022064	0,0150163	0,0720198	0,7499584	0,7561526	0,0704759	0,0229147	0,3414715	0,1836474	0,1653160	0,4979185	0,6702706	0,8003241	0,6399364	0,0050543	0,9810547	0,4330393	0,0973833	0,7742664	0,0463491	0,1475925	0,0900569	0,9570044	0,0548307	0,8573528	0,0455934	0,3281674
1080	1,0402419	0,9211015	0,8601229	1,0874711	0,1027384	0,4648551	0,0189893	0,0734594	0,7269937	0,7779759	0,0626284	0,0237252	0,3499589	0,1735861	0,1601336	0,4883543	0,7687257	0,8099896	0,6407331	0,0037014	0,9976758	0,4800945	0,1004371	0,7164301	0,0461466	0,1476487	0,0648028	0,9859814	0,0378378	0,8581131	0,0438233	0,3526596
1100	1,0117844	0,8444926	0,9138100	1,0210211	0,0761803	0,4979213	0,0190247	0,0629637	0,7412092	0,7763850	0,0599149	0,0230221	0,3717544	0,1824155	0,1552087	0,5303822	0,7302046	0,7936276	0,6017286	0,0075970	0,9454909	0,4277996	0,0981560	0,7349105	0,0512629	0,1461556	0,0572324	0,9228587	0,0410881	0,7729121	0,0460817	0,3297377

0	0,9699000	1,0222942	0,8156372	1,0877287	0,0773524	0,5740270	0,0232497	0,0638209	0,6222844	0,7128575	0,0686160	0,0394401	0,3965124	0,2016556	0,1358196	0,4784798	0,5919526	0,7279910	0,7495454	0,0101729	0,9807003	0,4287019	0,1051630	0,7109878	0,0363419	0,1480082	0,0770028	0,9632782	0,0538470	0,7735614	0,0208329	0,2789843
20	1,0337288	0,9643932	0,8930159	0,9097895	0,0685637	0,5145865	0,0907309	0,0724928	0,5942662	0,7018942	0,0375650	0,0369851	0,3053968	0,2956673	0,2164209	0,5546368	0,5067608	0,5924066	0,7069328	0,0103713	1,0539503	0,3675590	0,0817655	0,7553696	0,0376624	0,1019263	0,0647638	0,9775996	0,0354121	0,7176190	0,0046427	0,3994811
40	1,0140933	0,9390623	0,8770548	0,7521298	0,0676088	0,5302710	0,2717596	0,1454271	0,5306163	0,7472391	0,0893880	0,0309709	0,3692058	0,2528303	0,2078966	0,5386657	0,4754479	0,4763786	0,7150700	0,0071662	0,8994102	0,3141307	0,0922492	0,7947179	0,0611606	0,0876852	0,0513081	0,9356328	0,0405993	0,7947506	0,0102925	0,4979453
60	1,1060186	1,0372140	0,8359850	0,6479897	0,0610677	0,4651536	0,3835200	0,2097439	0,5221355	0,7411841	0,1965135	0,0271647	0,4609070	0,2469419	0,1926974	0,5729392	0,5369621	0,3823326	0,7494953	0,0338653	0,7212556	0,2891661	0,1059713	0,8196715	0,0612382	0,0617107	0,0507526	0,9519452	0,0398298	0,7954567	0,0106251	0,6008277
80	1,0354986	1,0350704	0,8602893	0,5017426	0,0403924	0,4045633	0,5775624	0,2436748	0,5259893	0,7072479	0,3036315	0,0250356	0,5788120	0,2295258	0,1709367	0,5539869	0,5105031	0,2745891	0,6874421	0,0504381	0,6605394	0,2331752	0,1147271	0,8432398	0,0990232	0,0499593	0,0573542	1,0042278	0,0461807	0,7687584	0,0121194	0,7055042
100	1,0132739	1,1122855	0,9206294	0,3808204	0,0339205	0,4600147	0,7103720	0,2861286	0,4844134	0,7455573	0,4547778	0,0674897	0,6990823	0,2657133	0,1515593	0,5437939	0,4840915	0,1912882	0,6743412	0,0492585	0,5456082	0,1854000	0,1222807	0,7809982	0,1580499	0,0560828	0,0458768	0,9411601	0,0294532	0,7964706	0,0231961	0,7652709
120	1,0034963	1,1015683	0,9084766	0,2795963	0,0246664	0,5385261	0,7673879	0,3546559	0,4944447	0,6750489	0,5003182	0,0771992	0,8028318	0,2663448	0,1501658	0,5035580	0,5164742	0,1036275	0,7284349	0,0777255	0,5065442	0,2103607	0,0971659	0,8039061	0,1880664	0,0430825	0,0447428	0,8988082	0,0362657	0,6971651	0,0246459	0,8452622
140	1,0598709	1,0184786	0,8754746	0,2363290	0,0105813	0,5250563	0,7975032	0,4298085	0,4920804	0,7012984	0,5750961	0,1236396	0,7959978	0,2913626	0,1619369	0,4778821	0,4156160	0,0653523	0,7000866	0,1088242	0,4784202	0,2266680	0,1191510	0,8793122	0,2831373	0,0350239	0,0482535	0,9141109	0,0332173	0,7975675	0,0330088	0,8834790
160	1,0398722	1,0065008	0,8959493	0,1839304	0,0067713	0,5010594	0,8594419	0,4301316	0,4732749	0,6501378	0,5813307	0,1792549	0,9267740	0,3536532	0,1561762	0,4841997	0,3904622	0,0748347	0,7275701	0,1604776	0,4188890	0,1838348	0,1042526	0,9230863	0,3221377	0,0336610	0,0665112	0,9506447	0,0374142	0,7440572	0,0576924	0,9362533
180	1,0103220	1,0223735	0,8764849	0,1686239	0,0074016	0,5161765	0,8849885	0,4641661	0,4743350	0,6762202	0,6347271	0,2356056	0,9852821	0,4206007	0,1482843	0,5119632	0,3532508	0,0489637	0,7170636	0,1808088	0,4435878	0,2208655	0,1004167	0,8908313	0,4351155	0,0254112	0,0790487	0,9962433	0,0401288	0,7625793	0,0880072	0,9320508
