"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB

0	1,0000000	0,9800837	0,8340001	1,0000000	0,0822960	0,5117656	0,0121808	0,0400821	0,6424109	0,7068579	0,0508540	0,0271144	0,3480163	0,1859045	0,1468393	0,5165100	0,5879153	0,7028633	0,6826989	0,0073216	0,9998388	0,4227492	0,1008731	0,7608712	0,0370099	0,1419811	0,0551275	0,9294615	0,0416030	0,7714943	0,0190640	0,2777379
20	1,0000000	0,9800837	0,8340001	1,0000000	0,0822959	0,5117656	0,0121808	0,0400821	0,6424627	0,7068481	0,0508540	0,0271144	0,3480163	0,1455009	0,1468084	0,3997619	0,5880791	0,5678276	0,6826988	0,0073216	0,9998394	0,4227492	0,1008730	0,7608712	0,0370099	0,1419811	0,0551275	0,9420976	0,0416029	0,8157653	0,0190640	0,2776579
40	1,0000000	0,9800837	0,8340001	1,0000000	0,0822958	0,5117656	0,0121808	0,0400821	0,6425064	0,7068405	0,0508540	0,0271144	0,3480164	0,1189443	0,1467844	0,3197604	0,5882172	0,4844550	0,6826987	0,0073216	0,9998398	0,4227492	0,1008729	0,7608712	0,0370099	0,1419811	0,0551275	0,9487484	0,0416029	0,8404253	0,0190640	0,2775957
60	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6425431	0,7068346	0,0508540	0,0271144	0,3480164	0,1014891	0,1467658	0,2649394	0,5883335	0,4329830	0,6826986	0,0073216	0,9998401	0,4227492	0,1008729	0,7608712	0,0370099	0,1419811	0,0551275	0,9522481	0,0416029	0,8541610	0,0190640	0,2775475
80	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6425741	0,7068300	0,0508540	0,0271144	0,3480164	0,0900162	0,1467514	0,2273732	0,5884314	0,4012081	0,6826986	0,0073216	0,9998403	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9540892	0,0416028	0,8618114	0,0190640	0,2775100
100	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6426001	0,7068264	0,0508540	0,0271144	0,3480164	0,0824752	0,1467402	0,2016308	0,5885140	0,3815949	0,6826985	0,0073216	0,9998404	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9550572	0,0416028	0,8660722	0,0190640	0,2774809
120	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6426221	0,7068237	0,0508540	0,0271144	0,3480164	0,0775186	0,1467315	0,1839907	0,5885835	0,3694904	0,6826985	0,0073216	0,9998405	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9555658	0,0416028	0,8684449	0,0190640	0,2774584
140	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6426406	0,7068215	0,0508540	0,0271144	0,3480164	0,0742608	0,1467247	0,1719026	0,5886420	0,3620215	0,6826985	0,0073216	0,9998406	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9558327	0,0416028	0,8697660	0,0190640	0,2774409
160	1,0000000	0,9800837	0,8340001	1,0000000	0,0822956	0,5117656	0,0121808	0,0400821	0,6426562	0,7068199	0,0508540	0,0271144	0,3480164	0,0721195	0,1467195	0,1636191	0,5886913	0,3574142	0,6826985	0,0073216	0,9998406	0,4227492	0,1008728	0,7608712	0,0370099	0,1419811	0,0551275	0,9559726	0,0416028	0,8705014	0,0190640	0,2774273
