"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB

0	1,0000000	0,9800837	0,8340001	1,0000000	0,0822969	0,5117656	0,0121808	0,0400821	0,6421703	0,7069493	0,0508540	0,0271144	0,3480163	0,1859105	0,1469512	0,5172143	0,5876700	0,7026538	0,6827056	0,0073216	0,9998332	0,4227493	0,1008759	0,7608711	0,0370099	0,1420329	0,0551277	0,9295263	0,0416033	0,7715389	0,0190640	0,2783584
20	1,0000000	0,9800837	0,8340001	1,0000000	0,0822964	0,5117656	0,0121808	0,0400821	0,6422600	0,7069190	0,0508540	0,0271144	0,3480163	0,1785706	0,1468953	0,4993145	0,5878725	0,6612006	0,6827033	0,0073216	0,9998357	0,4227493	0,1008748	0,7608711	0,0370099	0,1420198	0,0551276	0,9329167	0,0416032	0,7857383	0,0190640	0,2781409
40	1,0000000	0,9800837	0,8340001	1,0000000	0,0822962	0,5117656	0,0121808	0,0400821	0,6423355	0,7068955	0,0508540	0,0271144	0,3480163	0,1631511	0,1468519	0,4601052	0,5880432	0,5875665	0,6827018	0,0073216	0,9998374	0,4227492	0,1008741	0,7608711	0,0370099	0,1420100	0,0551276	0,9388441	0,0416030	0,8094876	0,0190640	0,2779716
60	1,0000000	0,9800837	0,8340001	1,0000000	0,0822960	0,5117656	0,0121808	0,0400821	0,6423992	0,7068773	0,0508540	0,0271144	0,3480163	0,1458160	0,1468182	0,4136211	0,5881869	0,5187470	0,6827007	0,0073216	0,9998385	0,4227492	0,1008737	0,7608712	0,0370099	0,1420027	0,0551276	0,9442441	0,0416029	0,8302073	0,0190640	0,2778399
80	1,0000000	0,9800837	0,8340001	1,0000000	0,0822959	0,5117656	0,0121808	0,0400821	0,6424528	0,7068632	0,0508540	0,0271144	0,3480163	0,1295289	0,1467920	0,3674869	0,5883080	0,4649027	0,6827000	0,0073216	0,9998392	0,4227492	0,1008734	0,7608712	0,0370099	0,1419972	0,0551276	0,9483408	0,0416029	0,8452908	0,0190640	0,2777375
100	1,0000000	0,9800837	0,8340001	1,0000000	0,0822958	0,5117656	0,0121808	0,0400821	0,6424980	0,7068522	0,0508540	0,0271144	0,3480164	0,1154984	0,1467717	0,3254763	0,5884099	0,4261405	0,6826995	0,0073216	0,9998397	0,4227492	0,1008732	0,7608712	0,0370099	0,1419932	0,0551276	0,9511872	0,0416029	0,8553675	0,0190640	0,2776578
120	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6425361	0,7068437	0,0508540	0,0271144	0,3480164	0,1040168	0,1467560	0,2891190	0,5884958	0,3995278	0,6826992	0,0073216	0,9998400	0,4227492	0,1008730	0,7608712	0,0370099	0,1419901	0,0551276	0,9530647	0,0416028	0,8617721	0,0190640	0,2775958
140	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6425681	0,7068370	0,0508540	0,0271144	0,3480164	0,0949344	0,1467437	0,2586942	0,5885682	0,3817959	0,6826990	0,0073216	0,9998402	0,4227492	0,1008729	0,7608712	0,0370099	0,1419878	0,0551276	0,9542614	0,0416028	0,8657137	0,0190640	0,2775477
160	1,0000000	0,9800837	0,8340001	1,0000000	0,0822957	0,5117656	0,0121808	0,0400821	0,6425951	0,7068319	0,0508540	0,0271144	0,3480164	0,0879212	0,1467342	0,2338335	0,5886292	0,3702179	0,6826988	0,0073216	0,9998404	0,4227492	0,1008729	0,7608712	0,0370099	0,1419861	0,0551275	0,9550057	0,0416028	0,8680859	0,0190640	0,2775103
