"Time"	slyA	hlyE	hns	cspA	bolA	stpA	bglJ	leuO	cadC	nhaR	bglF	bglB	bglG	yjjQ	nhaA	osmC	cadB	cadA	gspB	leuA	ampC	yciF	proW	smtA	leuC	gspO	yciG	pgaC	proV	pgaA	leuL	pgaB

0	0,7855947	0,7911944	0,5966893	0,7425240	0,0618855	0,3777060	0,0197337	0,0632633	0,4461288	0,5940564	0,0359969	0,0233838	0,2812822	0,1312413	0,0775521	0,3051560	0,4568690	0,5079979	0,5766108	0,0062131	0,6893733	0,3100587	0,0803300	0,5274760	0,0464963	0,0903460	0,0430382	0,6753595	0,0428610	0,5559732	0,0213890	0,2197987
20	0,9726345	0,7030781	0,7104707	0,8575724	0,0593353	0,4067918	0,0123726	0,0247389	0,6317456	0,6821275	0,0672549	0,0304903	0,2461958	0,1078933	0,0972391	0,3208612	0,4930543	0,5492318	0,4678837	0,0203393	0,7449200	0,3596708	0,0696158	0,5313910	0,0416239	0,0779695	0,0148975	0,5718800	0,0474120	0,6625443	0,0159871	0,1794711
40	0,7806870	0,7863244	0,6052947	0,8174805	0,0765545	0,4019816	0,0119590	0,0476558	0,4837755	0,5768379	0,0405100	0,0250373	0,3746142	0,1704859	0,1191413	0,3299205	0,4228381	0,4650533	0,5670066	0,0140596	0,6057373	0,3028181	0,0455127	0,4924596	0,0198906	0,0574108	0,0155069	0,6323578	0,0311039	0,6953020	0,0089816	0,2543318
60	0,8093394	0,7648936	0,6774314	0,7610639	0,0935112	0,3993048	0,0176868	0,0309005	0,5386857	0,6280680	0,0605410	0,0177733	0,3160131	0,1523190	0,1403872	0,3082544	0,4655412	0,3953455	0,5623840	0,0028243	0,8592587	0,3724219	0,1036588	0,5408401	0,0589935	0,0660850	0,0129434	0,6897795	0,0222482	0,5927701	0,0117019	0,2322666
80	0,7700238	0,5416259	0,5317890	0,5738501	0,0604011	0,3102866	0,0501118	0,0231185	0,4686752	0,5689757	0,0687449	0,0208051	0,2903134	0,0667895	0,1049628	0,2626338	0,4312341	0,3577842	0,4683210	0,0013109	0,7158635	0,3299029	0,0904778	0,5343244	0,0318813	0,1218291	0,0261120	0,6770181	0,0311962	0,6289904	0,0118665	0,2774213
100	0,8002398	0,6683377	0,5210974	0,7068384	0,0527562	0,3413904	0,0320970	0,0112872	0,4309448	0,5070732	0,0583747	0,0267764	0,3065038	0,0560758	0,0713120	0,2419875	0,4587948	0,3250873	0,5120633	0,0077652	0,8542855	0,3493426	0,0831802	0,5772987	0,0542738	0,0834094	0,0534913	0,6236270	0,0198270	0,6625861	0,0061422	0,2868130
120	0,7166440	0,7304350	0,4804108	0,7091392	0,0632187	0,3885079	0,0257604	0,0125528	0,4717677	0,4915461	0,0395912	0,0360974	0,2835029	0,0601409	0,1295387	0,1878148	0,5593569	0,3720150	0,4705182	0,0135551	0,7132653	0,3751275	0,0592502	0,4797276	0,0191711	0,1499154	0,0311109	0,6210864	0,0460682	0,6334207	0,0252063	0,2388407
140	0,8931160	0,7148131	0,4875603	0,7758050	0,0540067	0,4573401	0,0138542	0,0362358	0,4459409	0,6033846	0,0658328	0,0381964	0,2047096	0,0572316	0,1706059	0,1957362	0,5405215	0,3114917	0,5845429	0,0055395	0,6989207	0,3021657	0,0553183	0,5013998	0,0203659	0,1147254	0,0317548	0,6285278	0,0334868	0,7247199	0,0148320	0,2798003
160	0,8947524	0,8151009	0,5833524	0,7146675	0,0555392	0,4015157	0,0186845	0,0454629	0,5209394	0,5401480	0,0344925	0,0443240	0,2859232	0,0796272	0,1390324	0,1600180	0,5592971	0,3126990	0,6308617	0,0026753	0,9131918	0,3132590	0,0792555	0,5631689	0,0170583	0,1069239	0,0210615	0,7206058	0,0157999	0,4852024	0,0072179	0,2432902
