"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,5819796	0,3018901	0,1839543	0,3789322	0,2064105	0,1889418	0,1102194	0,3431582	0,5292247	0,5014275	0,5970475	0,1964992	0,6066317	0,1124766	0,0345467	0,1427154	0,3290256	0,4318122	0,5636061	0,0889458	0,4961119	0,1081477	0,3832417	0,5033576	0,1185581	0,5133761	0,7590134	0,6949487	0,3285444	0,5923784	0,2360642	0,4833930
20	0,5107248	0,2376808	0,1159217	0,3368856	0,1711898	0,0597121	0,1674097	0,2114000	0,4733887	0,5248986	0,6727768	0,1031375	0,5865903	0,1242660	0,1686103	0,1674974	0,3758930	0,2551440	0,6760951	0,3431282	0,5853743	0,0599232	0,2652743	0,4881960	0,3224426	0,5232370	0,6732354	0,4649344	0,3365965	0,5551522	0,1749732	0,4385666
40	0,4923448	0,2885393	0,1899260	0,3683200	0,1371056	0,1165832	0,1031468	0,1903886	0,4993352	0,4185824	0,5944493	0,0892136	0,5343220	0,1353619	0,2252895	0,1134519	0,3895162	0,2018225	0,7473285	0,5027649	0,5787547	0,0657617	0,2954349	0,5982949	0,4100264	0,6393217	0,7560774	0,3896915	0,3273415	0,5171599	0,2055941	0,4037453
60	0,4605792	0,2478920	0,1449848	0,3570768	0,2094393	0,0811011	0,0660831	0,1283703	0,5209987	0,5463589	0,6274611	0,0965677	0,4633729	0,1336183	0,2385074	0,1257014	0,3303659	0,2362917	0,8043313	0,5897442	0,5251775	0,0717521	0,3319964	0,4902852	0,4622181	0,7447541	0,7907566	0,2255146	0,2708357	0,4482192	0,2319407	0,4745511
80	0,5244131	0,2847587	0,1101214	0,4048582	0,1985461	0,0984803	0,0634308	0,1783601	0,5498006	0,5265221	0,5483573	0,1686360	0,6073937	0,1655023	0,3169514	0,1439172	0,3374925	0,1964812	0,7136321	0,7540695	0,6465582	0,1260344	0,2943498	0,4959198	0,5649405	0,7498488	0,8377270	0,1546641	0,3127970	0,5075625	0,1930079	0,4749793
100	0,5159536	0,2471428	0,0760199	0,3171115	0,1796967	0,0716432	0,0544514	0,1563271	0,5205955	0,4505598	0,2961247	0,1462356	0,5384267	0,1253460	0,3480471	0,1275619	0,4161691	0,1956515	0,6531659	0,7528634	0,4520053	0,0948778	0,3407538	0,4206586	0,6704133	0,6717922	0,5739880	0,1567414	0,3610174	0,3467819	0,1830569	0,4451214
120	0,5671785	0,3072640	0,1154246	0,2707447	0,1524410	0,1553512	0,1387779	0,2315253	0,4636128	0,5298580	0,2119601	0,1367681	0,4870311	0,0935260	0,3038500	0,1321698	0,2733821	0,1643858	0,6239898	0,6135991	0,5130215	0,1326062	0,4610345	0,3958453	0,6575169	0,5559410	0,6159086	0,1201995	0,4184437	0,4742118	0,2085135	0,4115997
140	0,3773841	0,2668663	0,0992407	0,3078405	0,1990722	0,1426696	0,1094641	0,1769063	0,4569463	0,5221590	0,1393473	0,1003004	0,4536920	0,0860929	0,2989379	0,1648525	0,1881101	0,1790011	0,8072600	0,6559082	0,5100691	0,1567710	0,3070798	0,3044571	0,5647966	0,5395740	0,7299522	0,1499077	0,3847626	0,3551411	0,1067311	0,4062054
160	0,3569500	0,3372169	0,1182804	0,3907572	0,1291809	0,0924856	0,1155761	0,2258728	0,3666771	0,5385246	0,1141408	0,1444388	0,5391140	0,0884710	0,2932104	0,1960528	0,2526397	0,2089202	0,6846408	0,6218665	0,4759818	0,1008249	0,4205714	0,3127474	0,6482967	0,5957775	0,6623616	0,0964739	0,4103435	0,4853411	0,1274372	0,3365489
180	0,5112141	0,3479698	0,1155964	0,4044814	0,1543487	0,1330654	0,0948796	0,1975548	0,4136058	0,5522216	0,0750207	0,1031194	0,5459687	0,0261773	0,2145848	0,2277734	0,1826812	0,2277941	0,7038117	0,7924422	0,6530564	0,1560277	0,3492198	0,3230034	0,7051571	0,6022913	0,7179896	0,1145666	0,3703894	0,3717454	0,1665603	0,3849955
200	0,3489708	0,2574146	0,0950909	0,4308563	0,1191930	0,0957558	0,0857114	0,1561970	0,4592749	0,5182674	0,0876178	0,1525539	0,5238021	0,0626507	0,2336190	0,1988422	0,2395968	0,1823261	0,6912109	0,7750900	0,5823345	0,1748202	0,3926606	0,3238984	0,6365355	0,6621348	0,6775619	0,1316141	0,4139219	0,3837539	0,1666527	0,4630912
220	0,4055035	0,2246675	0,1436542	0,3406831	0,1791114	0,1805237	0,0995504	0,1337917	0,4613828	0,5309339	0,1204556	0,1341945	0,4811219	0,0758485	0,2525068	0,2506978	0,3209018	0,1878416	0,8748293	0,7364665	0,5505385	0,1693184	0,4810530	0,3562740	0,6568999	0,6687246	0,7028974	0,1114640	0,2287561	0,4173539	0,1320542	0,4443952
240	0,4322292	0,2543529	0,2323119	0,4306643	0,1711811	0,1505209	0,0668724	0,2049502	0,4545844	0,4614328	0,0708889	0,1468285	0,4220570	0,0649464	0,3594165	0,2094003	0,2996482	0,1516544	0,7417486	0,8288197	0,6642845	0,2265315	0,4992681	0,3736708	0,6716565	0,6780870	0,7070372	0,0734404	0,3095461	0,3117663	0,1201327	0,4681862
260	0,3994372	0,2317595	0,2378239	0,3994208	0,1481044	0,1184026	0,0565723	0,2021164	0,4798245	0,4602964	0,0964879	0,0880535	0,4422968	0,0937447	0,2493269	0,2058231	0,2535887	0,1989690	0,6573982	0,6896341	0,5308304	0,2042413	0,4819654	0,2652296	0,6532804	0,7987403	0,7035271	0,0793207	0,3098442	0,5661766	0,1564583	0,3669375
280	0,4215851	0,2963756	0,1640656	0,3400960	0,1512085	0,1548952	0,0835389	0,2360279	0,3935565	0,5848406	0,0324280	0,1458366	0,4319769	0,0349096	0,3201547	0,1511946	0,2598497	0,1413754	0,7335638	0,7704912	0,4736712	0,3119958	0,5823861	0,2883238	0,6715654	0,6292258	0,6898931	0,0935316	0,3339512	0,4625455	0,1830429	0,3591284
300	0,3869436	0,2480243	0,1949593	0,3587445	0,1418149	0,1089164	0,0694502	0,1844739	0,4003117	0,4058841	0,0528351	0,1419762	0,5452853	0,0417290	0,2626580	0,1100541	0,2315920	0,2631016	0,7531321	0,6831067	0,6323601	0,2086254	0,5259243	0,2986167	0,6516517	0,5461062	0,7943135	0,1047743	0,3523579	0,4479979	0,1068489	0,3961530
320	0,3662124	0,2953529	0,1865011	0,2709109	0,1218525	0,1028393	0,0886006	0,1628933	0,3858605	0,4539481	0,0445637	0,1090787	0,4376471	0,0816672	0,2998873	0,1678241	0,2467512	0,1351171	0,6303744	0,6587249	0,5223370	0,2235689	0,5148183	0,2266877	0,6556696	0,6901260	0,6805927	0,1148218	0,2870609	0,4050267	0,1764897	0,3362576
340	0,3550310	0,2423385	0,1607736	0,3524899	0,2065731	0,1211744	0,0713247	0,1840706	0,4896566	0,5702064	0,0799962	0,1873855	0,5860421	0,1381443	0,2288746	0,1524159	0,2656274	0,1445106	0,7619169	0,6848564	0,7108938	0,2152001	0,5565502	0,2027723	0,7712032	0,6523295	0,7438061	0,0539047	0,2786940	0,4790479	0,1330156	0,4428886
360	0,4789508	0,3278425	0,1343068	0,2632938	0,0980546	0,1754427	0,0764426	0,1796741	0,3808975	0,4479686	0,0513953	0,1524308	0,4705927	0,0453013	0,2788264	0,1946798	0,2674762	0,2059461	0,6691753	0,7645486	0,5932813	0,2842479	0,4438648	0,2365795	0,7532655	0,6323315	0,7427262	0,0850482	0,2807288	0,4207526	0,1755848	0,3427358
380	0,4566543	0,2278007	0,1504479	0,3317062	0,1752952	0,1535387	0,0902803	0,1333520	0,5048123	0,6709296	0,0866992	0,1252794	0,4868983	0,0730506	0,3009072	0,1585991	0,3418007	0,1550374	0,7045676	0,6434106	0,5252116	0,1643135	0,5026676	0,2791205	0,6106639	0,5784916	0,6108364	0,0960437	0,2911772	0,4278793	0,1523550	0,3968272
400	0,5049219	0,2427134	0,2414823	0,3199120	0,1674953	0,0816623	0,0432622	0,1841085	0,3724422	0,4999723	0,0867067	0,1323156	0,5977760	0,0773520	0,3449360	0,1371808	0,2599926	0,1315901	0,6593907	0,7994965	0,7150200	0,2420421	0,5213649	0,3198708	0,7676864	0,5754911	0,6221549	0,1129907	0,3223375	0,4285850	0,1567588	0,4231518
420	0,4762598	0,2329344	0,1441368	0,2364112	0,1397645	0,1253378	0,0981058	0,2255870	0,4577549	0,5442844	0,0718735	0,1869404	0,4127898	0,0736073	0,2683485	0,1756927	0,2901274	0,1608499	0,6970810	0,8494795	0,6195489	0,2875724	0,3852715	0,2344055	0,7482281	0,5678045	0,7145580	0,1145583	0,3240737	0,4629442	0,1493696	0,3289805
440	0,3818490	0,3007863	0,2209403	0,3820153	0,2199577	0,1360335	0,0771776	0,1346429	0,5006592	0,6359604	0,0771158	0,2011435	0,4151249	0,0879686	0,2820481	0,2009021	0,3898972	0,1834115	0,7142984	0,8202786	0,6742625	0,2309033	0,4084519	0,3399114	0,6724427	0,5402305	0,7444595	0,0681401	0,2455671	0,3838954	0,1439767	0,3279964
460	0,4778519	0,2397016	0,1600150	0,3142827	0,1703681	0,1386568	0,0463014	0,1451764	0,4387360	0,6736727	0,0735362	0,1498434	0,6201256	0,0757436	0,2845700	0,2055241	0,2784543	0,1319773	0,7172190	0,7771406	0,4546036	0,1308007	0,4609743	0,3472150	0,7106191	0,5092440	0,6047135	0,0813602	0,3360684	0,3966594	0,1766351	0,5137584
480	0,3688043	0,2901390	0,1409924	0,3331812	0,1959597	0,1130239	0,0647918	0,2809069	0,5010922	0,5004738	0,0312348	0,2149459	0,4259587	0,0999310	0,2162540	0,1601926	0,2014162	0,2069401	0,6578739	0,6720624	0,5884395	0,1756003	0,4174675	0,2847497	0,5518954	0,5009110	0,6983927	0,0831278	0,2779852	0,4843582	0,2223219	0,4465779
500	0,3876205	0,2568668	0,1324659	0,4022488	0,2106612	0,1468822	0,0519357	0,1941961	0,4616675	0,4687805	0,0485803	0,1521409	0,4694021	0,0668659	0,3146100	0,1591108	0,3293070	0,1481686	0,6770771	0,6791818	0,6614609	0,1811877	0,4069430	0,3374077	0,6912740	0,5101970	0,6349166	0,0696414	0,2267607	0,4616978	0,1883578	0,4515400
