"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,8004518	0,4020618	0,2268802	0,5095178	0,1863098	0,1766486	0,1794384	0,5037739	0,6506091	0,7317475	0,9207980	0,1976558	0,7630840	0,1951824	0,0723023	0,1970653	0,4548925	0,6031309	0,8791663	0,1542725	0,8054258	0,1168284	0,4988873	0,6847857	0,1884421	0,7465315	0,9239459	0,9167762	0,4443676	0,8943548	0,2916980	0,6018907
20	0,7109211	0,3737325	0,1936898	0,5405985	0,2060254	0,1451718	0,2034198	0,3577735	0,6416945	0,6478790	0,9438598	0,1395052	0,7850797	0,1868559	0,1965816	0,1824723	0,5190479	0,3259250	0,9914254	0,4898192	0,8296950	0,0903686	0,4638687	0,7188031	0,3897283	0,8035292	0,9733341	0,6266436	0,4354728	0,7009361	0,2550752	0,6174009
40	0,6909275	0,4058351	0,1816518	0,5366194	0,2055742	0,1193913	0,1636044	0,2954499	0,6084093	0,6637111	0,9357696	0,1574675	0,7363974	0,2077354	0,2490282	0,1847403	0,5665690	0,3072685	1,0176549	0,6829079	0,8362980	0,0995824	0,4290820	0,7306146	0,6145919	0,8556026	0,9847144	0,4537339	0,4015242	0,6392207	0,2612875	0,6098109
60	0,7167938	0,4095099	0,1802565	0,5252126	0,2346738	0,0976855	0,1210580	0,2043494	0,6534166	0,6961423	0,8296738	0,1710739	0,7055208	0,1944434	0,3111743	0,1807350	0,5592974	0,2601110	0,9787085	0,8028759	0,7687630	0,1033043	0,4195866	0,6963706	0,7092898	0,8997174	0,9762799	0,3099506	0,4538179	0,6354700	0,2894584	0,6175868
80	0,7118024	0,4029969	0,1611367	0,5320165	0,2361522	0,0980751	0,0917252	0,2469230	0,6687688	0,7297686	0,5690015	0,1968284	0,7211115	0,2051354	0,3799628	0,2035148	0,5642610	0,2344583	0,9965915	0,9190326	0,7704231	0,1387989	0,4625938	0,7016394	0,7932128	0,9654119	0,9724148	0,2578563	0,4417446	0,5756743	0,2763919	0,6529147
100	0,7278638	0,3679364	0,1674079	0,4932249	0,2561689	0,1087963	0,0843932	0,2532120	0,6933305	0,7046356	0,4020343	0,1994195	0,7144257	0,1625934	0,3570952	0,1976225	0,5221870	0,2547090	0,8945594	0,9756007	0,7942393	0,1775000	0,4732139	0,6379219	0,8997621	0,9383067	0,9006048	0,2106902	0,4463046	0,5302914	0,2468450	0,6023710
120	0,6603889	0,3666092	0,1666893	0,4878843	0,2484654	0,1422784	0,1288775	0,2947130	0,6437631	0,7491948	0,2751390	0,1930014	0,6631529	0,1474060	0,4055782	0,2197943	0,3974267	0,2278863	0,8924804	1,0089085	0,7645862	0,1885903	0,4942212	0,5645593	0,9164999	0,8452613	0,9672724	0,1775820	0,4704752	0,5714009	0,2281345	0,5683417
140	0,5772523	0,3513150	0,1556063	0,4876261	0,2569082	0,1519082	0,1441168	0,2712191	0,6098278	0,7106331	0,1908807	0,1749882	0,6708769	0,0944464	0,3669487	0,2166787	0,3618445	0,2692864	0,9546188	0,9699310	0,7096943	0,1967691	0,4813853	0,5079867	0,8657335	0,8416461	0,9698697	0,1613855	0,4698799	0,5450437	0,2183742	0,5624997
160	0,5325730	0,3561109	0,1435685	0,5380707	0,2468415	0,1387041	0,1438107	0,2498170	0,5760727	0,6989493	0,1477258	0,2042854	0,7225259	0,0986716	0,3921707	0,2505628	0,3550541	0,2899654	1,0031582	0,9745451	0,7631635	0,1744814	0,5245394	0,4922052	0,8665037	0,8812205	1,0235761	0,1447306	0,4791901	0,5308990	0,1889453	0,4864859
