"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,7514212	0,3926482	0,2451894	0,4658713	0,2269241	0,1933102	0,1830412	0,5507068	0,6036915	0,7193291	0,9109791	0,2226542	0,7426565	0,1688618	0,0879503	0,1940063	0,4247748	0,6476873	0,9081621	0,1689128	0,8027307	0,1069914	0,4633996	0,6431929	0,1721407	0,8256954	1,0082710	0,8700986	0,4318444	0,8691894	0,3091886	0,6213513
20	0,7379427	0,4025883	0,1884366	0,4437774	0,2601228	0,1962184	0,2101513	0,5543204	0,6556032	0,6519129	0,8998465	0,1813477	0,7692851	0,1868757	0,1116673	0,1753687	0,4230113	0,4604760	0,9405569	0,2399402	0,8022870	0,1066698	0,4898364	0,6857105	0,2618020	0,7315943	0,9892304	0,8279110	0,4611391	0,7408268	0,3539864	0,6122542
40	0,7839441	0,3825530	0,1781290	0,5347279	0,2009644	0,1764664	0,1882604	0,4135922	0,6834804	0,7078348	0,8951681	0,1471810	0,7513438	0,2160591	0,1737980	0,1902579	0,4822159	0,3974288	1,1004780	0,3055529	0,8475996	0,1052172	0,4055141	0,6742400	0,3927684	0,7984634	1,0237598	0,6826593	0,4612989	0,7267273	0,3448130	0,6580656
60	0,7165791	0,4014760	0,1593294	0,5747085	0,1888757	0,1610197	0,1590874	0,3310937	0,6334459	0,6507545	0,8904524	0,1580587	0,7677262	0,2390480	0,2581246	0,2062448	0,5355553	0,3234311	1,1492035	0,5806223	0,8262546	0,1086224	0,4021498	0,7141333	0,5475280	0,8809740	0,9521136	0,5442282	0,4647307	0,7387286	0,3096792	0,6272803
80	0,6933650	0,4098648	0,1799436	0,5525113	0,2139446	0,1658093	0,1604767	0,2782220	0,6226143	0,7376887	0,7468098	0,1547490	0,7040039	0,2330250	0,2994656	0,2192909	0,5420764	0,2878253	1,1043318	0,6389960	0,8509566	0,1205409	0,4186537	0,6836261	0,6619480	0,8846431	0,9547447	0,4412067	0,5148309	0,6837497	0,3015692	0,6878317
100	0,6543380	0,4309731	0,1790397	0,5569856	0,2112532	0,1068093	0,1171131	0,2824959	0,6550849	0,6817426	0,5819643	0,1583200	0,7247659	0,2095024	0,3096795	0,2171618	0,5534467	0,2088805	0,9725686	0,7500260	0,8477657	0,1455649	0,4918158	0,7393632	0,7867078	0,9801882	0,9776036	0,3478399	0,5052142	0,6072258	0,2644158	0,6615454
120	0,6761985	0,3989759	0,1938962	0,5118514	0,2082053	0,1205590	0,0914752	0,2539851	0,6939840	0,6900977	0,4123708	0,1761643	0,7296218	0,1945347	0,3193482	0,2145368	0,4768286	0,2539282	0,9157312	0,8211947	0,8472069	0,1702146	0,4865172	0,6816168	0,8322584	0,8338441	0,9196035	0,3101262	0,5026517	0,6535411	0,2164852	0,6042882
140	0,7042454	0,3835917	0,1873998	0,4651257	0,2205008	0,1165939	0,0673596	0,3140933	0,6874808	0,8136164	0,3216259	0,1683793	0,6220829	0,1523801	0,3233284	0,2528567	0,4345797	0,2911853	0,9043118	0,9195922	0,7481924	0,1872482	0,4590649	0,6572250	0,8102570	0,8297765	0,9162182	0,2349978	0,4562681	0,6365936	0,2244489	0,6339273
160	0,6138419	0,3715028	0,1707376	0,4517643	0,2411058	0,1225659	0,0778467	0,2588443	0,6566538	0,7323294	0,2276452	0,1920744	0,6649820	0,0994060	0,3318792	0,2366655	0,4318909	0,3056733	0,8832136	0,9116210	0,7179090	0,1780194	0,4481524	0,5808686	0,8074419	0,8999767	0,9577132	0,1825669	0,4470741	0,6088280	0,2011898	0,5716461
180	0,6147129	0,3741930	0,1473945	0,5377588	0,2395159	0,1417292	0,0921318	0,2803350	0,6332413	0,6932062	0,1745787	0,1765790	0,6857141	0,0960059	0,3545374	0,2696299	0,4122531	0,3185821	0,9593668	0,9224269	0,7362719	0,1635681	0,4305524	0,5474714	0,8210042	0,8930006	0,9831340	0,1670663	0,4529521	0,5495147	0,1992283	0,5351903
200	0,5735918	0,4066830	0,1566812	0,4927578	0,2308067	0,1610073	0,1110179	0,2743675	0,6427399	0,6803323	0,1474872	0,1893532	0,6699238	0,0931670	0,3661926	0,2601590	0,3849910	0,3152269	0,8753445	0,9945941	0,7568131	0,1743219	0,5411591	0,5039353	0,8422045	0,8895943	0,9596134	0,1399171	0,4267683	0,5526583	0,1802608	0,5587490
220	0,5129351	0,3870732	0,1645982	0,4824972	0,1850640	0,1923307	0,0918145	0,2053204	0,5837754	0,5956239	0,1749460	0,1977791	0,6366000	0,0758196	0,3510319	0,2455606	0,3724908	0,2976395	0,9625006	0,9857593	0,7901798	0,2000607	0,5487042	0,5209573	0,8807355	0,9050365	0,9261024	0,1581582	0,4750778	0,5158503	0,1862173	0,5757921
