"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,6951645	0,3809652	0,2310965	0,4553605	0,2215269	0,1860614	0,1760163	0,5354297	0,6536206	0,6985169	0,8712120	0,1762800	0,7057380	0,1770459	0,0830653	0,1808613	0,4632058	0,4966047	0,9423410	0,1168918	0,7808831	0,1523269	0,5291463	0,6432404	0,1694814	0,7672229	0,9645494	0,8736170	0,3893711	0,7929439	0,2789555	0,5832710
20	0,6951268	0,3809647	0,2061345	0,4559653	0,2215269	0,1526343	0,1705748	0,3808241	0,6535836	0,6985166	0,8611771	0,1762800	0,7127527	0,1769550	0,2026650	0,1824109	0,5186248	0,2736628	0,9426044	0,4804824	0,7808824	0,1523219	0,5291437	0,6431198	0,4027656	0,8029501	0,9650418	0,6483015	0,3903126	0,7151899	0,2825075	0,5832107
40	0,6944253	0,3809606	0,1904943	0,4586237	0,2215269	0,1362410	0,1514052	0,2987716	0,6529478	0,6985155	0,8005464	0,1762834	0,7159161	0,1753559	0,2764061	0,1898130	0,5488272	0,2531461	0,9435871	0,6940916	0,7808699	0,1523309	0,5291531	0,6409108	0,5664718	0,8257267	0,9669034	0,4909070	0,3951272	0,6615008	0,2843904	0,5821865
60	0,6915538	0,3809244	0,1807754	0,4634081	0,2215269	0,1321888	0,1280336	0,2598879	0,6506757	0,6985352	0,6654687	0,1763181	0,7143741	0,1695665	0,3216733	0,2028443	0,5590391	0,2528274	0,9452625	0,8195855	0,7808278	0,1524492	0,5292591	0,6321062	0,6812660	0,8429499	0,9698621	0,3809881	0,4041305	0,6244724	0,2836257	0,5785867
80	0,6848634	0,3807770	0,1750079	0,4695377	0,2215269	0,1350273	0,1086626	0,2444611	0,6463841	0,6986434	0,4957878	0,1764510	0,7081670	0,1586313	0,3492732	0,2180327	0,5509910	0,2544499	0,9473253	0,8933109	0,7807565	0,1529519	0,5297005	0,6126230	0,7616677	0,8568194	0,9732239	0,3042799	0,4151621	0,5990804	0,2793418	0,5719179
100	0,6730882	0,3803872	0,1721853	0,4760913	0,2215269	0,1401717	0,0958490	0,2402631	0,6406189	0,6989271	0,3497146	0,1767601	0,6989120	0,1440246	0,3659995	0,2315066	0,5271183	0,2560423	0,9494685	0,9366221	0,7806732	0,1543287	0,5308921	0,5810216	0,8179143	0,8680010	0,9764441	0,2508259	0,4253015	0,5819771	0,2713808	0,5631189
120	0,6558821	0,3795957	0,1719218	0,4822799	0,2215269	0,1451599	0,0888437	0,2405178	0,6344150	0,6994481	0,2456319	0,1772933	0,6888064	0,1282599	0,3761013	0,2410149	0,4929359	0,2573317	0,9514638	0,9620651	0,7805952	0,1572658	0,5333936	0,5395872	0,8572284	0,8768271	0,9792128	0,2136713	0,4326273	0,5709714	0,2604389	0,5537383
140	0,6343038	0,3782569	0,1741768	0,4875041	0,2215269	0,1495235	0,0858332	0,2419743	0,6287628	0,7002155	0,1774164	0,1780463	0,6795626	0,1134874	0,3821968	0,2462023	0,4559516	0,2582537	0,9531608	0,9770111	0,7805315	0,1625881	0,5378296	0,4935826	0,8846964	0,8835681	0,9813917	0,1879514	0,4366805	0,5646260	0,2478491	0,5451233
160	0,6106642	0,3762926	0,1790050	0,4913286	0,2215269	0,1537390	0,0850922	0,2433514	0,6242847	0,7011826	0,1344031	0,1789691	0,6720468	0,1009337	0,3858771	0,2477405	0,4223478	0,2587773	0,9544636	0,9857907	0,7804840	0,1711356	0,5447511	0,4488119	0,9038883	0,8884420	0,9829347	0,1702541	0,4378723	0,5619363	0,2351129	0,5380520
