"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,6951630	0,3809637	0,2313959	0,4550144	0,2215269	0,1860619	0,1760163	0,5354297	0,6536207	0,6985169	0,8712121	0,1762786	0,7057383	0,1770474	0,0830653	0,1805638	0,4632053	0,4963338	0,9421002	0,1168920	0,7808685	0,1523547	0,5291590	0,6432396	0,1694818	0,7669016	0,9637118	0,8722879	0,3893492	0,7929939	0,2789345	0,5832710
20	0,6951597	0,3809641	0,2273399	0,4552559	0,2215269	0,1776605	0,1753811	0,4871035	0,6536170	0,6985169	0,8692262	0,1762791	0,7079617	0,1770396	0,1143651	0,1808387	0,4746370	0,4367298	0,9422615	0,2031855	0,7808730	0,1523406	0,5291525	0,6432269	0,2408285	0,7872182	0,9640670	0,8201053	0,3894732	0,7753351	0,2795939	0,5832654
40	0,6950109	0,3809639	0,2188898	0,4561137	0,2215269	0,1627211	0,1701575	0,4064853	0,6534882	0,6985163	0,8471967	0,1762797	0,7115859	0,1767763	0,1729442	0,1826089	0,4966169	0,3699716	0,9426479	0,3660529	0,7808744	0,1523329	0,5291496	0,6427473	0,3749163	0,8126553	0,9647189	0,7131263	0,3907003	0,7393194	0,2809234	0,5830689
60	0,6940884	0,3809586	0,2093568	0,4582822	0,2215269	0,1502108	0,1586763	0,3385718	0,6527598	0,6985197	0,7765281	0,1762852	0,7136177	0,1752353	0,2308226	0,1875171	0,5176354	0,3259479	0,9435052	0,5285330	0,7808670	0,1523539	0,5291709	0,6398405	0,5094159	0,8327409	0,9660217	0,5966711	0,3943094	0,7000763	0,2820040	0,5819640
80	0,6912786	0,3809286	0,2003904	0,4619439	0,2215269	0,1430723	0,1434817	0,2929938	0,6508345	0,6985549	0,6523983	0,1763149	0,7123645	0,1710486	0,2784696	0,1958378	0,5313044	0,2988439	0,9448617	0,6637652	0,7808438	0,1525020	0,5293028	0,6313063	0,6231754	0,8486366	0,9680014	0,4906541	0,4006123	0,6643434	0,2818909	0,5790669
100	0,6852947	0,3808275	0,1927747	0,4668130	0,2215269	0,1408284	0,1280383	0,2665356	0,6474488	0,6986789	0,5073255	0,1764061	0,7075265	0,1635182	0,3143511	0,2063634	0,5341472	0,2825242	0,9465826	0,7668987	0,7808034	0,1530110	0,5297464	0,6141620	0,7122402	0,8614232	0,9704522	0,4020431	0,4087000	0,6345766	0,2797780	0,5740130
120	0,6750802	0,3805775	0,1868896	0,4723536	0,2215269	0,1417286	0,1147462	0,2530019	0,6428452	0,6989589	0,3759779	0,1766054	0,7000341	0,1530229	0,3399749	0,2172150	0,5253443	0,2728641	0,9484711	0,8415926	0,7807502	0,1542829	0,5308387	0,5871675	0,7790978	0,8716296	0,9730943	0,3315987	0,4170353	0,6111950	0,2752188	0,5671700
140	0,6602818	0,3800769	0,1829569	0,4779648	0,2215269	0,1442108	0,1045946	0,2469891	0,6376278	0,6994441	0,2736269	0,1769507	0,6913708	0,1406998	0,3576432	0,2267583	0,5067881	0,2672373	0,9503369	0,8938725	0,7806916	0,1568885	0,5330393	0,5516756	0,8280401	0,8795858	0,9756722	0,2774205	0,4242530	0,5937571	0,2682589	0,5593842
160	0,6415794	0,3792202	0,1811444	0,4830870	0,2215269	0,1474357	0,0975448	0,2448220	0,6324901	0,7001447	0,2006933	0,1774583	0,6828914	0,1278834	0,3695300	0,2340378	0,4822011	0,2639868	0,9520234	0,9295869	0,7806341	0,1615252	0,5368710	0,5111947	0,8633080	0,8855469	0,9779907	0,2367380	0,4295647	0,5815288	0,2594054	0,5515876
180	0,6205731	0,3779277	0,1815744	0,4872467	0,2215269	0,1511477	0,0930333	0,2443599	0,6279859	0,7010268	0,1515389	0,1781180	0,6754828	0,1156907	0,3773848	0,2387273	0,4555995	0,2620672	0,9534121	0,9535460	0,7805821	0,1689169	0,5428114	0,4699686	0,8884669	0,8896958	0,9799152	0,2067551	0,4327237	0,5737171	0,2494492	0,5445128
200	0,5992446	0,3761749	0,1842791	0,4900729	0,2215269	0,1553164	0,0903538	0,2445090	0,6244211	0,7020207	0,1196021	0,1788977	0,6695419	0,1048497	0,3825054	0,2408899	0,4301378	0,2608186	0,9544157	0,9693946	0,7805378	0,1796506	0,5511520	0,4315952	0,9062982	0,8921225	0,9813554	0,1850002	0,4338164	0,5695383	0,2392349	0,5385818
220	0,5793452	0,3740086	0,1891470	0,4913103	0,2215269	0,1598653	0,0888733	0,2447860	0,6218598	0,7030390	0,0993754	0,1797516	0,6651056	0,0957058	0,3858091	0,2407733	0,4077250	0,2598270	0,9549715	0,9797609	0,7805018	0,1939814	0,5618747	0,3983402	0,9188839	0,8928144	0,9822485	0,1694309	0,4330869	0,5682306	0,2294781	0,5339275
