"Time"	fur	rcnR	metJ	metR	oxyR	purR	soxS	soxR	marR	marA	fumC	marB	sodA	rfaY	poxB	glyA	fpr	ahpF	ahpC	uof	pqiA	fhuF	rcnA	pqiB	rfaZ	metE	metA	metH	purA	mntH	nfo	inaA

0	0,4707491	0,3300756	0,2449228	0,3751026	0,1658036	0,1908269	0,1293329	0,4258389	0,5109495	0,3873803	0,5794479	0,1966790	0,6050513	0,1319372	0,0749026	0,1392370	0,2756960	0,5483050	0,6652916	0,1516456	0,6024314	0,0847520	0,3322091	0,4863933	0,0894943	0,6386525	0,7556282	0,6598458	0,2881246	0,6115733	0,1995615	0,4287723
20	0,5629000	0,3360637	0,1241904	0,3184202	0,2084156	0,2164318	0,1378925	0,5017420	0,3944728	0,4641280	0,6023231	0,1303160	0,6020495	0,1269200	0,1160432	0,0979505	0,4356281	0,2631312	0,6049619	0,1991291	0,5737568	0,0919315	0,2883612	0,5123651	0,1561061	0,5539093	0,8202387	0,6006580	0,3770549	0,5177372	0,2302205	0,5598943
40	0,5610480	0,2320417	0,1207859	0,4032738	0,1652743	0,0998173	0,1132799	0,3561278	0,6240085	0,4618893	0,6747701	0,1173311	0,6143143	0,1620687	0,1105921	0,1196041	0,3997359	0,2568233	0,8913515	0,1995884	0,5571055	0,0822834	0,2691442	0,5588450	0,2831581	0,5701088	0,7632227	0,4840687	0,3155719	0,5831206	0,2122421	0,5020171
60	0,5335991	0,2856811	0,2156509	0,3574121	0,1229307	0,0958710	0,1067422	0,2012400	0,4226866	0,4199285	0,6992187	0,1290902	0,5387712	0,1745747	0,1747977	0,1565170	0,5094371	0,2151234	0,8634742	0,3857979	0,5529169	0,0885777	0,3221999	0,5496000	0,4104181	0,5834989	0,7032743	0,3577695	0,2908222	0,6341754	0,2401415	0,4144411
80	0,6072256	0,2607177	0,1186890	0,4857060	0,1505521	0,1097142	0,1263625	0,1791889	0,4067120	0,5842233	0,5964820	0,1257170	0,6006379	0,1407599	0,2040667	0,1657270	0,3904116	0,1816825	0,7275877	0,3906837	0,6087076	0,0758941	0,4054191	0,5829117	0,4342141	0,6792650	0,7794525	0,2590844	0,4122544	0,4608255	0,2090013	0,5224898
100	0,4503440	0,2707662	0,1018281	0,3860866	0,1032118	0,0765402	0,0696634	0,2038568	0,5159963	0,5000168	0,4707173	0,1132712	0,4746058	0,1625957	0,2481274	0,1336400	0,4129768	0,1530589	0,6815837	0,5480235	0,5908879	0,1156048	0,3586836	0,5436942	0,5432161	0,7403393	0,7979168	0,2183776	0,3874251	0,3996289	0,1762720	0,5337369
120	0,4887459	0,2718637	0,1358255	0,3659228	0,1343667	0,1032419	0,0572421	0,2022195	0,4724867	0,5008438	0,3587160	0,1021099	0,5130006	0,1230609	0,2568231	0,1323937	0,3461792	0,2044564	0,7466738	0,7048019	0,5508772	0,1225880	0,4412397	0,5153052	0,6300690	0,6452686	0,7742868	0,2164440	0,3124942	0,4764698	0,1681237	0,4423888
140	0,5739760	0,2746128	0,1244046	0,2835124	0,1375426	0,0435203	0,0811667	0,2415280	0,4969005	0,5276358	0,1848489	0,1796710	0,5486110	0,1064652	0,2584913	0,2083551	0,2914272	0,2091815	0,7332438	0,6577777	0,5404159	0,1047172	0,4023243	0,4457180	0,6210182	0,6825065	0,7787351	0,1371820	0,3324320	0,4420844	0,1347353	0,4551063
160	0,5161442	0,2489321	0,1109997	0,3095465	0,1686802	0,1126091	0,0735219	0,1686223	0,4241669	0,4455932	0,1594597	0,1351175	0,5506169	0,0537614	0,2556897	0,1968810	0,3224934	0,2774826	0,6354985	0,6387709	0,5138934	0,1661537	0,2850597	0,3378987	0,6069526	0,5652752	0,6173319	0,1363490	0,2775320	0,4174986	0,1405315	0,3529968
180	0,3517379	0,2408048	0,1114114	0,4726246	0,2051282	0,1299985	0,0478480	0,1768037	0,5204981	0,4835729	0,1719250	0,1162303	0,5558303	0,0975156	0,2339453	0,2547793	0,3337770	0,2618668	0,5585159	0,6922826	0,5441386	0,1329253	0,3056365	0,4315463	0,5269349	0,7075287	0,7917265	0,1217050	0,3009405	0,3543353	0,1303946	0,4631096
200	0,3497945	0,2359561	0,0923857	0,3182902	0,1433181	0,1088145	0,0472440	0,2612809	0,4403763	0,4704378	0,1169122	0,1253807	0,5034856	0,0937503	0,2583007	0,2044924	0,2894738	0,2219536	0,7457951	0,8706594	0,5310202	0,1104499	0,3989581	0,3040734	0,6378449	0,7419289	0,6711290	0,1163232	0,3479152	0,3846594	0,1579668	0,4415095
220	0,5272975	0,3720599	0,1944201	0,3912827	0,1461084	0,1495671	0,0430580	0,1853479	0,4291075	0,3583092	0,1617581	0,1391892	0,5974123	0,0474979	0,3233271	0,1393244	0,3069359	0,2429903	0,6144495	0,6454965	0,6169103	0,1827172	0,3745544	0,3779384	0,7275964	0,6536748	0,7766161	0,0731659	0,2889216	0,3777766	0,1445388	0,3854867
240	0,3877854	0,2271195	0,1422211	0,3497302	0,1527257	0,1240898	0,0798634	0,1609875	0,3649861	0,4227109	0,0829846	0,1327681	0,5123915	0,0623389	0,2156920	0,1842446	0,2240944	0,1819374	0,6967159	0,7175148	0,5211730	0,2005293	0,4766900	0,3377725	0,7680772	0,6255383	0,6631606	0,1098401	0,3905017	0,4207622	0,1283193	0,3687705
260	0,3052094	0,2647365	0,1252578	0,3659559	0,1083818	0,1274334	0,0703859	0,1928958	0,4967968	0,4267623	0,0473610	0,0969403	0,3910986	0,0681449	0,3061927	0,1266820	0,2430093	0,1726310	0,6861675	0,7750454	0,5718290	0,1500591	0,4651164	0,3444749	0,6606198	0,6295034	0,6783802	0,0936350	0,3370541	0,3817432	0,0893761	0,4628315
280	0,3980910	0,2040761	0,1713467	0,3462242	0,1906135	0,1135556	0,0634689	0,1675578	0,4755745	0,4951537	0,0652469	0,1058403	0,6139359	0,0789514	0,2299929	0,1645616	0,2254156	0,1857769	0,7944327	0,8226001	0,5699051	0,2364281	0,4132974	0,4192973	0,8149064	0,6358436	0,6027672	0,0977625	0,3283015	0,4161102	0,1186397	0,4202966
300	0,4552693	0,1800048	0,1472101	0,3503097	0,1559982	0,1194646	0,1012695	0,1765909	0,4802000	0,5152877	0,0541932	0,1555896	0,4423298	0,1641948	0,2620934	0,1474611	0,2995240	0,2789915	0,6565769	0,6981935	0,5223934	0,2493289	0,5657560	0,2854844	0,7284347	0,7217511	0,6869976	0,1192384	0,2897539	0,3398248	0,1586250	0,3731638
320	0,3836915	0,2142860	0,2396684	0,3552158	0,1748773	0,1059083	0,0546307	0,1685832	0,4509022	0,4772278	0,0407936	0,0998335	0,4604738	0,1131599	0,3123823	0,1152828	0,2691305	0,2191124	0,7332539	0,7412082	0,5695057	0,2233078	0,5459767	0,2513808	0,9010969	0,5665358	0,6585261	0,0786977	0,3345340	0,4266758	0,1258863	0,4016641
