"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,4690470	0,4467484	0,1331651	0,6936271	0,6752884	0,7348610	0,0897696	0,4387744	0,5318032	0,6057253	0,5975033	0,5527899	0,1228972	0,6905378	0,3724133	0,7754218	0,5519171	0,5542811	0,7060511	0,5042966	0,6021866	0,4948225	0,2466244	0,3961100	0,7374377	0,6713943	0,4794222	0,5100331	0,5171560	0,6426171	0,5625492	0,4980931
20	0,4439389	0,3636286	0,1104600	0,6085636	0,6699448	0,6137858	0,0587287	0,3279512	0,6312684	0,4507754	0,6978058	0,7064677	0,1221951	0,4686768	0,4367349	0,6328752	0,5489899	0,4355738	0,7012781	0,4365064	0,4837071	0,4192969	0,2942880	0,3479994	0,6934664	0,4929317	0,3675124	0,6376926	0,5806449	0,6777008	0,5988722	0,3345252
40	0,4067159	0,3799548	0,1753286	0,6500559	0,7349756	0,5642939	0,0744282	0,2601395	0,7264726	0,4705396	0,7759911	0,7035701	0,1216118	0,5153842	0,4252052	0,8393057	0,5387431	0,1615568	0,7361175	0,4558471	0,6030864	0,3901970	0,3239537	0,3642798	0,6425321	0,4018101	0,3666980	0,5289269	0,5638934	0,6587652	0,4806838	0,3331673
60	0,3897415	0,3510261	0,2000032	0,7082807	0,8329810	0,6156242	0,0967694	0,1721082	0,6177283	0,5082491	0,5998892	0,7342279	0,1342182	0,5479386	0,4007516	0,6878638	0,5475114	0,1632947	0,7118100	0,3753627	0,5566248	0,4968914	0,2773214	0,3712399	0,6452318	0,2704949	0,2941463	0,5599680	0,6362313	0,5485404	0,4189121	0,3010909
80	0,4063028	0,3711336	0,1597773	0,6414123	0,6865654	0,6548791	0,0597371	0,1856392	0,5712155	0,6004142	0,6701781	0,7569228	0,0887163	0,5982563	0,4482817	0,7138414	0,5582941	0,1853697	0,6705731	0,4074586	0,5280470	0,4428408	0,3174294	0,3446261	0,7044005	0,3722334	0,2394641	0,4114035	0,5758573	0,5773552	0,4599231	0,3041431
100	0,4338073	0,4496580	0,1526250	0,7082409	0,7234410	0,5752606	0,0616946	0,1508638	0,4912878	0,4291283	0,7625131	0,6472799	0,0895338	0,5656365	0,4372084	0,6273503	0,5419156	0,2215921	0,6051160	0,4627123	0,5116263	0,4441991	0,3838528	0,4073557	0,7391626	0,3192086	0,2954580	0,3327758	0,6672189	0,5544559	0,3821418	0,2253181
120	0,4676326	0,4189011	0,1395447	0,7139829	0,7355075	0,5148339	0,1053215	0,1222080	0,6019528	0,4411454	0,7655606	0,8092241	0,1522523	0,5131708	0,3960230	0,6585166	0,6997839	0,2237401	0,6074251	0,4998988	0,4925843	0,4923682	0,3898575	0,3855499	0,8448434	0,2224349	0,2973144	0,2544120	0,6775710	0,4590747	0,3901950	0,1663138
140	0,3991163	0,4051938	0,1316949	0,6349972	0,6724060	0,4391903	0,0671653	0,0947754	0,6041711	0,3522702	0,6137146	0,7128921	0,0970632	0,4791688	0,4300067	0,6104053	0,5214770	0,1658633	0,6412376	0,5201870	0,6263720	0,5397014	0,3836286	0,3863097	0,7741238	0,2051506	0,3128967	0,2566816	0,5985372	0,3918270	0,3608306	0,1829221
160	0,4146093	0,5169143	0,1096261	0,6666116	0,7035664	0,5401600	0,1159143	0,1138047	0,6817308	0,3430846	0,6690026	0,6095991	0,0919788	0,4905908	0,4084429	0,8247649	0,5276602	0,2321916	0,6095209	0,4876559	0,5336869	0,4756102	0,3540850	0,4243685	0,7226306	0,1678049	0,3086690	0,1799183	0,6041197	0,3293214	0,3509646	0,1644829
180	0,4390369	0,3214319	0,1296489	0,5394615	0,6859012	0,4837777	0,0681989	0,0944751	0,7515145	0,4918646	0,6996678	0,6266662	0,1277666	0,5799757	0,2959388	0,7033374	0,5723491	0,1506379	0,5372268	0,4847542	0,4776109	0,4384082	0,3505824	0,3595343	0,7296726	0,2170220	0,3445291	0,2039192	0,6389641	0,2796429	0,2248633	0,2195648
200	0,4208343	0,3712139	0,1950569	0,6526722	0,6386808	0,4711185	0,0828726	0,1310576	0,7369580	0,4448803	0,6654515	0,5882592	0,1262546	0,5482031	0,3221160	0,6843752	0,5295463	0,2138279	0,7001195	0,3766079	0,5549480	0,5095821	0,3134081	0,3475625	0,6380196	0,1271698	0,3987391	0,1508856	0,5376824	0,2182797	0,3432056	0,3261233
220	0,4709852	0,4098121	0,1717523	0,6156224	0,6663569	0,5192259	0,0748431	0,1311773	0,6876746	0,3967386	0,6118073	0,6350061	0,1451562	0,6188022	0,3744051	0,6616765	0,5918812	0,3006489	0,6523330	0,5154212	0,5580678	0,4341734	0,3156341	0,4587235	0,6361156	0,1564985	0,4284576	0,1986172	0,6380374	0,1668209	0,3900580	0,2527877
240	0,4600359	0,3655817	0,1399593	0,5865867	0,7815170	0,4984683	0,0530939	0,0949531	0,6494667	0,4939322	0,6599332	0,7518134	0,1026603	0,5838081	0,3619959	0,7100077	0,5244008	0,2178114	0,6080602	0,4358617	0,5038157	0,4553290	0,3732263	0,4223771	0,6853036	0,1797014	0,3591338	0,1587091	0,6097427	0,0857389	0,3073017	0,2619484
