"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,6552591	0,5867462	0,2448027	0,9736003	0,9871096	0,9917887	0,1099118	0,6623766	0,8002509	0,8121581	0,9941317	0,9052185	0,1873783	0,9483834	0,6411591	1,0129771	0,8318351	0,7995268	0,9127501	0,7461985	0,7740078	0,6829705	0,3753086	0,5339376	1,0784067	0,8764511	0,5815044	0,8047730	0,8082389	0,9277086	0,7798461	0,5787266
20	0,5943493	0,5820453	0,1995570	0,8219481	0,9749131	0,9608058	0,0844738	0,4230246	1,0035719	0,8113450	0,9811477	1,0298301	0,1907476	0,7871858	0,6280978	0,9557633	0,8286258	0,4978680	0,9276378	0,6315457	0,7368925	0,7149219	0,3796217	0,5700851	1,0568388	0,7020483	0,5262402	0,7830680	0,8412631	0,9541575	0,7584126	0,4508400
40	0,5490305	0,6096400	0,2307559	0,9295815	1,0165498	0,9304274	0,0876141	0,2908322	0,9513309	0,7937523	1,0049594	1,0157204	0,1991105	0,7547845	0,6098060	1,1761586	0,8292083	0,3214994	0,8838631	0,7153934	0,7922625	0,6914116	0,4376635	0,5698924	1,0438749	0,5532471	0,4996017	0,7621964	0,8481113	0,9476151	0,6873887	0,4448103
60	0,5981346	0,5438001	0,2407313	0,9512720	1,0216902	0,8672332	0,1021495	0,2520826	0,9578119	0,8027601	0,9754756	1,0443479	0,1879824	0,7979735	0,6460459	1,0523687	0,8377444	0,3001991	0,8540263	0,7228387	0,7190684	0,6794161	0,4455831	0,4778109	1,0231237	0,4324848	0,4732153	0,7489793	0,9050597	0,9533633	0,6523929	0,4693081
80	0,6230963	0,5584277	0,2365249	0,9731434	1,0534404	0,8474785	0,1193935	0,1918071	0,8772156	0,7681126	0,9992073	1,0569778	0,1602675	0,8426823	0,6493625	0,9777016	0,8065433	0,2792530	0,9197152	0,5911943	0,7949472	0,6555932	0,4663471	0,4547406	1,0198940	0,3949640	0,4520239	0,6205103	0,8585245	0,9323549	0,6188047	0,4232779
100	0,6245000	0,5743574	0,2264731	1,0124644	1,0160919	0,7733493	0,0985354	0,1737717	0,9056853	0,7126748	1,0093492	1,0718361	0,1809265	0,7912595	0,6878369	0,9273366	0,8621275	0,2972645	0,9392808	0,6890410	0,7850472	0,6621520	0,5212559	0,5409728	1,0455618	0,3371902	0,4671309	0,4918317	0,9215537	0,8125759	0,5777659	0,3876091
120	0,5645026	0,6109820	0,2036681	1,0644945	1,0632986	0,7536226	0,1115559	0,1911415	0,9839554	0,6607886	1,0510232	1,0557528	0,1949436	0,7437315	0,6105291	0,9329974	0,8200960	0,2761937	0,8886299	0,6854396	0,7475386	0,7320516	0,5391594	0,5707048	1,1098350	0,3144409	0,4077685	0,3990333	0,9015591	0,6731736	0,5270623	0,3342997
140	0,5765463	0,6174246	0,1882253	1,0048915	1,0297230	0,7028849	0,0936472	0,1634604	0,9512875	0,6426437	1,0044091	0,9522972	0,1930080	0,7667990	0,6196209	1,0317028	0,8501644	0,2864711	0,8761776	0,6775556	0,8413177	0,7641130	0,5591764	0,5481942	1,0730721	0,2738472	0,4529703	0,3366846	0,9343316	0,5778655	0,5092968	0,2610707
160	0,5284711	0,5741051	0,1902666	0,9418960	0,9858073	0,6970984	0,1205285	0,1560997	1,0098868	0,6293773	1,0188491	0,9912839	0,1824643	0,7605701	0,5792916	1,0601390	0,8331047	0,2879890	0,9125956	0,7027332	0,8723624	0,7344142	0,5202134	0,5292388	1,0378844	0,2549717	0,4709256	0,2872790	0,8376100	0,4320821	0,5219636	0,2860728
180	0,5969830	0,5668479	0,2067607	0,8784125	1,0048906	0,6915188	0,0933795	0,1389523	1,0603618	0,6155761	1,0363829	0,9095179	0,2017849	0,8251100	0,4936072	0,9430712	0,8237567	0,2250615	0,9028923	0,6561586	0,7690395	0,7193257	0,4731065	0,5474565	1,0434779	0,2494100	0,4502754	0,2622612	0,9585002	0,3023813	0,4463087	0,3611330
200	0,6547285	0,5771848	0,2191769	0,9025558	0,9629552	0,6870933	0,0948221	0,1644616	1,0214176	0,6436760	0,9975667	0,9908828	0,2063781	0,8054750	0,4951838	1,0279309	0,8200133	0,3147891	0,9008146	0,5559689	0,7700964	0,7069198	0,4660421	0,5353682	0,9768506	0,2347080	0,5092402	0,2276583	0,8496938	0,2471875	0,4597706	0,3611049
220	0,6290677	0,5295938	0,2424531	0,8585625	0,9382830	0,6642500	0,0940129	0,1729006	1,0132999	0,6152375	0,9118134	0,9688375	0,1735232	0,7885478	0,5180482	1,0398405	0,8096839	0,3136408	0,9171059	0,6694703	0,7616654	0,7139436	0,4811123	0,5280328	1,0764238	0,2323435	0,5377370	0,2928764	0,8759339	0,2255433	0,4738364	0,3721115
240	0,6603233	0,5704035	0,2217147	0,9407872	0,9506914	0,7169686	0,0782843	0,1359630	1,0173500	0,6395170	0,9369014	0,9833394	0,1765342	0,8260017	0,5142981	1,0953204	0,8394338	0,3066411	0,9378022	0,7095422	0,7152369	0,6658133	0,4941165	0,5382087	1,0237706	0,2412985	0,5234521	0,2487850	0,8538756	0,1720387	0,4502580	0,3630085
260	0,6218031	0,5637859	0,2179048	1,0399452	0,8954484	0,7059920	0,0902340	0,1275440	1,0497177	0,6046909	1,0059325	0,9582206	0,1796138	0,7720904	0,4994328	1,0756014	0,8087563	0,2719432	0,9589878	0,7157210	0,7089425	0,6615592	0,4567808	0,6022841	0,9673872	0,2381267	0,5190837	0,2540984	0,8430613	0,1393673	0,4237813	0,3455122
280	0,5719253	0,5753722	0,2046341	0,9745510	0,8867564	0,7224899	0,0903184	0,1441214	1,0336618	0,5630916	1,0017806	0,9655305	0,1589242	0,7388330	0,5425925	0,9659727	0,7498241	0,2640540	0,9656831	0,6934541	0,7328757	0,6195796	0,4469599	0,4943483	0,8982549	0,2193543	0,4355916	0,2313107	0,7643095	0,1362501	0,4143839	0,3781974
300	0,5651229	0,5967712	0,2106304	1,0153933	0,9571972	0,6766122	0,1106696	0,1480502	0,9907763	0,5793911	0,9421153	0,9596367	0,1474946	0,7335622	0,5564474	0,9181268	0,8039440	0,2811812	0,9268848	0,6752384	0,7235406	0,6578380	0,3973473	0,5138340	0,9551118	0,2308179	0,4352969	0,2015073	0,8195904	0,1062181	0,3869387	0,2973791
320	0,6140519	0,6018151	0,2199149	0,9407911	1,0158673	0,6144192	0,0944223	0,1804897	0,9670674	0,5269267	0,9982758	0,9524607	0,1503537	0,7383712	0,5550982	1,0301757	0,7399262	0,2582812	0,9168696	0,6984922	0,6909514	0,6629964	0,4356599	0,5253957	0,9914230	0,2241047	0,4392781	0,1944956	0,8434476	0,1013603	0,4309673	0,2933870
340	0,7051294	0,5617055	0,2468251	0,9434259	1,0712265	0,6715823	0,1124797	0,1984746	1,0105229	0,5393045	1,0079997	0,9273534	0,1530451	0,7852805	0,4895977	0,9489102	0,7809732	0,2536529	0,9224083	0,6933685	0,7232104	0,6868841	0,4417429	0,5088477	1,0392736	0,2252535	0,4485231	0,1969898	0,7859482	0,1175448	0,4752459	0,3143420
360	0,6962920	0,5832763	0,2179784	1,0344172	1,0412649	0,7035725	0,1051544	0,1777752	1,0427953	0,5666764	0,9007507	0,9681281	0,1561024	0,8214419	0,5061518	0,9948342	0,7475788	0,2823445	0,9846989	0,6849507	0,7079938	0,6660751	0,4470990	0,5488299	1,0533616	0,2440474	0,4189450	0,2106985	0,8260244	0,1191479	0,4636266	0,2824818
380	0,6465866	0,5888558	0,1992318	0,9901948	1,0148046	0,6374130	0,1156423	0,1549934	1,0199259	0,6143931	0,9253967	0,9211761	0,1678299	0,7899930	0,4495166	0,9983969	0,7888001	0,2850239	0,9561911	0,6888576	0,7624414	0,6518913	0,4813570	0,5804270	1,0646575	0,2155172	0,4301664	0,2162911	0,8098010	0,1185083	0,4632646	0,2980650
400	0,5486749	0,5565548	0,1881288	0,9540488	1,0860728	0,6042707	0,0945151	0,1826555	1,0338692	0,6317115	0,9675471	0,9244715	0,1617973	0,8111539	0,4826704	0,9090161	0,8255515	0,3133366	0,9409086	0,7596044	0,7915773	0,6948221	0,5018644	0,5916863	1,0834678	0,2155155	0,4355932	0,2184756	0,8664386	0,1228513	0,4886485	0,2847480
420	0,5951915	0,5913473	0,1721116	0,9855718	1,1296170	0,6237752	0,0866423	0,1662693	0,9686131	0,6193795	0,9613328	0,9683906	0,1799656	0,7664128	0,4695834	1,0281328	0,8561930	0,2998203	0,9291698	0,6925513	0,8278239	0,7136840	0,5267049	0,5594405	1,0347521	0,2183860	0,3810365	0,2283991	0,8710099	0,1229767	0,4571262	0,2717082
440	0,5887095	0,6204796	0,2021164	0,9619063	1,0282120	0,6032909	0,0821754	0,1792953	1,0086146	0,5870293	0,9439183	1,0761182	0,1627463	0,6877287	0,5094557	1,0247917	0,8302578	0,2624087	0,9923530	0,6724774	0,8039803	0,7177985	0,5499646	0,5481578	0,9689154	0,2100226	0,4058255	0,2464226	0,8259499	0,1760311	0,4407330	0,2785349
460	0,6283806	0,6459019	0,1828701	1,0336926	0,9966552	0,6627788	0,0776643	0,1583271	1,0180391	0,5511893	0,9673956	1,0382223	0,1595372	0,7519120	0,5462506	1,0573508	0,7742173	0,2695149	0,9783611	0,6703646	0,8043273	0,6821688	0,5297681	0,4757483	0,9929513	0,1811520	0,4066255	0,2332356	0,8056736	0,1878001	0,4382735	0,3318495
480	0,6080781	0,6338065	0,2049331	0,9126170	1,0760085	0,6704457	0,0999931	0,1853271	1,0297084	0,5735002	0,9396045	1,0414628	0,1514083	0,7450307	0,5605384	1,0201049	0,8148991	0,2995819	1,0310076	0,6579995	0,8858767	0,6599274	0,4733443	0,5395013	0,9626241	0,2144905	0,4563596	0,2494759	0,8621807	0,1818105	0,4781165	0,3477861
500	0,6460831	0,6301621	0,2190801	0,8922806	1,0653088	0,6496355	0,1250122	0,1671323	0,9371302	0,5483329	0,9586016	1,0503399	0,1234061	0,7237400	0,4946965	1,0196859	0,8088968	0,2904690	1,0617299	0,6343116	0,9061692	0,7037156	0,4659283	0,5593615	0,9934194	0,2354756	0,4856778	0,2395044	0,8625412	0,1634232	0,4192772	0,3630618
520	0,6193805	0,5539981	0,1960879	0,8768348	1,0657552	0,6976578	0,1063373	0,1512262	0,9683803	0,5631123	0,9262040	1,0649719	0,1163988	0,7188463	0,4962808	1,0310260	0,7649454	0,3008330	1,0461070	0,6674764	0,7970857	0,6978235	0,4707670	0,4754376	1,0724869	0,2330692	0,4784675	0,2034099	0,8746698	0,1465567	0,3908168	0,4099802
540	0,6290858	0,5626321	0,2425800	0,8598131	1,0531510	0,6774533	0,1110145	0,1552624	0,9399494	0,5291550	0,8773229	1,0544762	0,1167956	0,7388457	0,4781475	1,0477131	0,7767344	0,2648576	1,0601087	0,6743803	0,8061136	0,6741384	0,5062836	0,4421945	1,0731444	0,2063915	0,4319439	0,2214840	0,9866797	0,1298670	0,3794315	0,3651852
