"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,6368810	0,5857959	0,2864548	0,9582547	0,9283292	1,0136600	0,1397520	0,6886545	0,8434727	0,8701254	1,0566444	0,9988690	0,1561049	0,9505143	0,6396882	1,0290862	0,8050432	0,7961682	0,9931950	0,7899316	0,7916927	0,7111056	0,4257356	0,4868997	1,0399574	0,9704885	0,5438085	0,8526292	0,7948877	0,9480453	0,7711413	0,6742047
20	0,6451203	0,6412994	0,2139107	0,8972336	0,9071360	1,0286083	0,1118372	0,4970818	0,8529350	0,8094938	0,9173711	0,9513721	0,1875285	0,8030365	0,6183167	0,9245978	0,8181501	0,6793977	0,9279221	0,6867332	0,6923865	0,6954094	0,3666270	0,5183845	0,9952334	1,0300731	0,5558624	0,7488295	0,8237842	0,9393806	0,6957188	0,4613129
40	0,5670558	0,6067203	0,2080263	0,9110281	1,0208136	1,0809444	0,0863470	0,4653169	0,8930393	0,7410427	0,8989733	0,9700809	0,1794519	0,8054938	0,6437589	1,0005377	0,7992416	0,4960285	0,9302453	0,7056038	0,7510425	0,7165536	0,3872811	0,5599250	1,0808759	0,8471311	0,5636894	0,7701440	0,8566538	0,9977480	0,7842427	0,4737906
60	0,5265514	0,6216841	0,2244525	0,9011279	1,0411330	0,9988305	0,0888343	0,3800147	0,8852069	0,7688085	1,0311611	0,9359808	0,1776268	0,7860442	0,6535176	1,0104528	0,8467587	0,4014182	0,9108602	0,7812617	0,7164442	0,7445594	0,4120585	0,5013704	1,0667027	0,7270980	0,4732527	0,7471626	0,8503139	0,9665635	0,7311164	0,4608665
80	0,6173248	0,5892842	0,2358583	0,9306190	1,0307640	0,9533681	0,0836745	0,3322847	0,8805483	0,8171284	1,0044846	0,9598693	0,1567632	0,8261376	0,6372670	0,9884709	0,8764058	0,3199924	0,8926314	0,7279838	0,7027109	0,7214548	0,4547446	0,4314952	0,9930171	0,6033405	0,4956969	0,7412100	0,8856875	0,9436696	0,6977819	0,4769791
100	0,6779405	0,6108321	0,2106402	0,9293826	1,0349062	0,9303012	0,0913029	0,2455505	0,8623664	0,7537499	0,9944824	1,0032140	0,1450853	0,8000776	0,6317964	0,9308715	0,8678049	0,2620402	0,8737985	0,7376362	0,7438641	0,6974633	0,5060330	0,5102753	0,9970471	0,5089932	0,4782763	0,7011597	0,8963406	0,9739102	0,6628166	0,4720267
120	0,6836220	0,6682345	0,2281212	0,9689143	1,0905333	0,9192183	0,1020704	0,2086902	0,8691840	0,7076212	0,9621631	1,0163920	0,1601959	0,7710186	0,6280928	0,9484843	0,8135654	0,3014990	0,9561270	0,6763138	0,7956704	0,7022349	0,5007868	0,5460870	0,9917350	0,4612635	0,5081734	0,5978135	0,8111325	0,9087195	0,6041676	0,4294859
140	0,6080165	0,6433621	0,2144582	1,0016272	1,0865609	0,8565406	0,1094096	0,2175088	0,8664746	0,6648447	0,9298571	1,0023368	0,1856022	0,8461644	0,6164578	0,9100564	0,7580150	0,2637005	0,8947605	0,7117512	0,7537274	0,7352189	0,5035541	0,5887769	1,1161846	0,3974872	0,5119747	0,5886910	0,8215704	0,7710279	0,5673100	0,3278740
160	0,5956437	0,5914162	0,2070135	1,0263851	1,0641522	0,8072626	0,1208722	0,1879915	0,9083743	0,6120989	0,9736639	0,9525043	0,1807676	0,8178491	0,6284541	0,9719775	0,7927312	0,2791048	0,8879812	0,6784313	0,8096948	0,7211231	0,6102743	0,5297495	1,1034244	0,3395185	0,4375965	0,5526395	0,7630618	0,6931694	0,5281814	0,3077468
180	0,5488685	0,5783417	0,2135360	1,0448168	1,0076444	0,7729658	0,1160365	0,1666118	0,9603000	0,6161193	0,9275535	0,9080578	0,2109980	0,7617465	0,6116189	0,9407205	0,8425032	0,2602646	0,9457415	0,6911202	0,7829239	0,7189236	0,5932007	0,5525549	1,1558098	0,2665726	0,5090299	0,4900625	0,8433956	0,5422558	0,4854936	0,3107606
200	0,5582013	0,6259269	0,1935745	1,0314756	1,0592210	0,7236792	0,1112682	0,1664515	0,9976050	0,6985475	0,9854351	0,9302656	0,1934941	0,7230573	0,4725227	0,9076816	0,8094108	0,3080324	0,8944220	0,6378619	0,7394660	0,7260194	0,5567061	0,5586792	1,1426904	0,2229398	0,4570891	0,4030193	0,8403150	0,4334262	0,4282428	0,3738165
220	0,5937316	0,6754152	0,2131469	1,0399403	1,0439248	0,6723080	0,1241219	0,1889031	1,0435162	0,6315665	0,9616838	0,9298295	0,1863904	0,7493714	0,4674414	1,0323985	0,8002982	0,3190401	0,9596060	0,6603799	0,7473217	0,6689708	0,5905014	0,5731664	1,1133377	0,2197639	0,5493257	0,3478609	0,8589381	0,3428076	0,4494195	0,3811772
240	0,6462236	0,6875233	0,2418116	0,9858296	0,9312810	0,7088803	0,1260912	0,1458796	1,0011190	0,5501234	0,9586243	0,9509659	0,1872892	0,7386507	0,4951763	1,0941939	0,7860751	0,2887254	0,9876747	0,6829615	0,7261745	0,6659006	0,5582336	0,5498544	1,0896087	0,2271355	0,5793465	0,3416982	0,8766870	0,2650269	0,4708357	0,3486479
260	0,6474333	0,6564101	0,2413057	1,0116740	0,9122224	0,6701355	0,1252587	0,1848520	1,0583007	0,5244531	0,9453602	1,0165646	0,1924762	0,7615015	0,5018614	1,1399874	0,8121935	0,3122137	0,9942921	0,7204129	0,7256320	0,6608268	0,5475907	0,5568301	1,0238133	0,2174335	0,5678091	0,3222336	0,8429630	0,1919263	0,3926850	0,3522991
280	0,6493117	0,6419583	0,2293277	1,0161302	0,8068064	0,7744123	0,1248380	0,1626315	0,9941143	0,5123154	0,9236158	0,9725122	0,2067766	0,7423077	0,4917012	1,0788947	0,6749536	0,2580575	1,0079216	0,7610312	0,7064297	0,6205276	0,4668359	0,5407347	0,9964660	0,2369943	0,4969658	0,3156662	0,8098281	0,1835870	0,4444779	0,3728816
300	0,6031381	0,5898803	0,2504000	1,0524600	0,8807627	0,7513442	0,1198070	0,1553903	1,0739361	0,5586952	0,9001010	1,0426712	0,1872706	0,7190356	0,5421315	1,0117798	0,6876460	0,3023629	0,9760045	0,7019221	0,7791513	0,6246913	0,4342906	0,5219407	0,9760867	0,2638645	0,4060561	0,2728279	0,7985693	0,1614110	0,4270150	0,3258595
320	0,6118865	0,6246094	0,2312320	0,9707607	0,9215277	0,7024288	0,1114547	0,1630488	1,0932177	0,5854381	0,8733442	1,0465386	0,1373966	0,7273171	0,6226248	1,0715257	0,7013465	0,2824906	0,9246870	0,6641591	0,7262543	0,6585911	0,4165818	0,5429900	0,9186399	0,2170261	0,4327593	0,2441592	0,7861936	0,1431967	0,4332410	0,2913301
340	0,6375966	0,6607157	0,2504691	0,9412103	0,9223166	0,6202063	0,1197922	0,1907445	1,0646850	0,5655786	0,9281920	1,0446667	0,1492501	0,7196832	0,5877538	0,9583204	0,7031182	0,2610071	0,9281302	0,6690069	0,7190713	0,6469932	0,4224749	0,5418117	0,9531445	0,2098825	0,4565229	0,2313489	0,7806948	0,1498329	0,4722454	0,2679912
