"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,6094651	0,5770366	0,2242375	0,9144985	0,9402121	1,0000000	0,1084862	0,6139385	0,7875653	0,7854207	0,9773924	0,9849422	0,1900937	0,8312864	0,6246147	0,9946472	0,8368189	0,8556514	0,9542064	0,6966630	0,7783805	0,6743476	0,4402545	0,5159164	0,9987811	0,9748988	0,5764106	0,7663444	0,7360206	0,9791577	0,7455407	0,5532931
20	0,6094652	0,5770366	0,2242376	0,9216231	0,9642959	0,8856034	0,1084862	0,4104902	0,8042587	0,7837254	0,9775816	0,9853451	0,1896469	0,8305682	0,6230903	0,9972851	0,8266462	0,4999374	0,9542064	0,6966632	0,7783834	0,6743516	0,4403074	0,5159165	0,9987813	0,7166770	0,5628573	0,7714577	0,8838657	0,9779994	0,7429968	0,4843292
40	0,6094652	0,5770366	0,2242379	0,9246875	0,9784906	0,8084030	0,1084862	0,2991903	0,8599791	0,7741499	0,9775549	0,9855359	0,1874780	0,8271268	0,6158324	0,9982387	0,8208178	0,3541666	0,9542064	0,6966633	0,7783853	0,6743544	0,4403469	0,5159166	0,9987814	0,5461346	0,5462501	0,7511891	0,9186441	0,9698112	0,7292669	0,4356247
60	0,6094652	0,5770366	0,2242381	0,9261240	0,9868439	0,7563043	0,1084862	0,2383017	0,9177999	0,7561176	0,9772256	0,9855013	0,1835443	0,8209637	0,6030080	0,9985592	0,8174784	0,2944301	0,9542064	0,6966634	0,7783865	0,6743563	0,4403764	0,5159166	0,9987815	0,4335197	0,5269222	0,7002109	0,9220643	0,9440321	0,7006179	0,4002598
80	0,6094652	0,5770366	0,2242383	0,9268632	0,9917464	0,7211456	0,1084862	0,2049916	0,9567661	0,7326279	0,9765938	0,9852502	0,1784593	0,8130919	0,5870071	0,9986391	0,8155652	0,2699502	0,9542064	0,6966635	0,7783873	0,6743577	0,4403985	0,5159167	0,9987815	0,3591790	0,5080240	0,6257802	0,9166362	0,8845230	0,6598776	0,3756644
100	0,6094652	0,5770366	0,2242384	0,9272775	0,9946120	0,6974187	0,1084862	0,1867688	0,9783944	0,7073892	0,9757394	0,9848223	0,1729206	0,8046202	0,5703347	0,9986280	0,8144690	0,2599184	0,9542064	0,6966635	0,7783879	0,6743586	0,4404149	0,5159167	0,9987815	0,3101276	0,4917760	0,5427465	0,9088672	0,7829120	0,6146341	0,3593112
120	0,6094652	0,5770366	0,2242385	0,9275257	0,9962775	0,6814067	0,1084862	0,1767996	0,9893604	0,6830763	0,9747738	0,9842765	0,1674893	0,7964163	0,5547926	0,9985854	0,8138410	0,2558075	0,9542064	0,6966635	0,7783882	0,6743593	0,4404272	0,5159167	0,9987816	0,2777825	0,4789542	0,4643828	0,9007991	0,6544150	0,5722187	0,3487648
140	0,6094652	0,5770366	0,2242386	0,9276814	0,9972381	0,6706010	0,1084862	0,1713459	0,9946937	0,6609923	0,9738007	0,9836756	0,1625321	0,7890272	0,5413483	0,9985358	0,8134811	0,2541228	0,9542064	0,6966636	0,7783885	0,6743598	0,4404363	0,5159167	0,9987816	0,2564679	0,4693953	0,3977365	0,8931246	0,5255007	0,5366008	0,3420870
160	0,6094652	0,5770366	0,2242386	0,9277819	0,9977866	0,6633088	0,1084862	0,1683623	0,9972451	0,6414826	0,9728966	0,9830740	0,1582383	0,7827156	0,5303150	0,9984894	0,8132750	0,2534324	0,9542064	0,6966636	0,7783886	0,6743601	0,4404431	0,5159167	0,9987816	0,2424305	0,4625376	0,3445808	0,8860745	0,4136809	0,5086937	0,3379039
180	0,6094652	0,5770366	0,2242386	0,9278479	0,9980957	0,6583876	0,1084862	0,1667300	0,9984635	0,6244145	0,9721064	0,9825116	0,1546640	0,7775377	0,5215995	0,9984499	0,8131569	0,2531495	0,9542064	0,6966636	0,7783887	0,6743603	0,4404482	0,5159167	0,9987816	0,2331898	0,4577478	0,3038657	0,8796996	0,3244481	0,4877689	0,3352999
200	0,6094652	0,5770366	0,2242386	0,9278916	0,9982670	0,6550666	0,1084862	0,1658371	0,9990500	0,6094834	0,9714477	0,9820122	0,1517799	0,7734220	0,5149082	0,9984181	0,8130892	0,2530336	0,9542064	0,6966636	0,7783888	0,6743605	0,4404520	0,5159167	0,9987816	0,2271082	0,4544669	0,2734984	0,8739759	0,2565291	0,4725279	0,3336851
220	0,6094652	0,5770366	0,2242386	0,9279208	0,9983598	0,6528254	0,1084862	0,1653486	0,9993367	0,5963621	0,9709187	0,9815862	0,1495098	0,7702320	0,5098812	0,9983934	0,8130504	0,2529861	0,9542064	0,6966636	0,7783888	0,6743606	0,4404548	0,5159167	0,9987816	0,2231060	0,4522525	0,2512636	0,8688485	0,2062282	0,4616481	0,3326859
240	0,6094652	0,5770366	0,2242386	0,9279403	0,9984084	0,6513129	0,1084862	0,1650814	0,9994798	0,5847573	0,9705064	0,9812343	0,1477590	0,7678095	0,5061679	0,9983749	0,8130282	0,2529667	0,9542064	0,6966636	0,7783889	0,6743607	0,4404569	0,5159167	0,9987816	0,2204721	0,4507754	0,2352022	0,8642521	0,1695629	0,4539955	0,3320686
260	0,6094652	0,5770366	0,2242386	0,9279534	0,9984327	0,6502922	0,1084862	0,1649352	0,9995531	0,5744246	0,9701927	0,9809510	0,1464309	0,7660004	0,5034615	0,9983612	0,8130155	0,2529587	0,9542064	0,6966636	0,7783889	0,6743607	0,4404584	0,5159167	0,9987816	0,2187384	0,4497996	0,2237198	0,8601217	0,1430679	0,4486736	0,3316876
280	0,6094652	0,5770366	0,2242386	0,9279622	0,9984439	0,6496034	0,1084862	0,1648552	0,9995915	0,5651649	0,9699586	0,9807278	0,1454375	0,7646681	0,5015104	0,9983513	0,8130082	0,2529554	0,9542064	0,6966636	0,7783889	0,6743608	0,4404596	0,5159167	0,9987816	0,2175971	0,4491604	0,2155785	0,8563970	0,1239898	0,4450064	0,3314527
300	0,6094652	0,5770366	0,2242386	0,9279681	0,9984482	0,6491386	0,1084862	0,1648114	0,9996122	0,5568178	0,9697868	0,9805549	0,1447032	0,7636982	0,5001163	0,9983442	0,8130040	0,2529541	0,9542064	0,6966636	0,7783889	0,6743608	0,4404605	0,5159167	0,9987816	0,2168456	0,4487445	0,2098449	0,8530243	0,1102435	0,4424983	0,3313079
320	0,6094652	0,5770366	0,2242386	0,9279720	0,9984493	0,6488249	0,1084862	0,1647875	0,9996236	0,5492530	0,9696622	0,9804230	0,1441658	0,7629990	0,4991277	0,9983392	0,8130016	0,2529535	0,9542064	0,6966636	0,7783889	0,6743608	0,4404611	0,5159167	0,9987816	0,2163507	0,4484758	0,2058294	0,8499574	0,1002952	0,4407940	0,3312187
340	0,6094652	0,5770366	0,2242386	0,9279747	0,9984488	0,6486132	0,1084862	0,1647744	0,9996300	0,5423643	0,9695729	0,9803236	0,1437758	0,7624992	0,4984310	0,9983356	0,8130002	0,2529533	0,9542064	0,6966636	0,7783889	0,6743608	0,4404616	0,5159167	0,9987816	0,2160246	0,4483031	0,2030306	0,8471569	0,0930370	0,4396422	0,3311638
360	0,6094652	0,5770366	0,2242386	0,9279765	0,9984477	0,6484703	0,1084862	0,1647672	0,9996337	0,5360639	0,9695095	0,9802494	0,1434950	0,7621444	0,4979427	0,9983332	0,8129995	0,2529532	0,9542064	0,6966636	0,7783889	0,6743608	0,4404619	0,5159167	0,9987816	0,2158097	0,4481926	0,2010876	0,8445892	0,0876793	0,4388675	0,3311300
380	0,6094652	0,5770366	0,2242386	0,9279777	0,9984466	0,6483739	0,1084862	0,1647633	0,9996358	0,5302790	0,9694648	0,9801946	0,1432941	0,7618941	0,4976020	0,9983314	0,8129990	0,2529532	0,9542064	0,6966636	0,7783889	0,6743608	0,4404622	0,5159167	0,9987816	0,2156681	0,4481224	0,1997433	0,8422262	0,0836641	0,4383486	0,3311093
400	0,6094652	0,5770366	0,2242386	0,9279785	0,9984456	0,6483088	0,1084862	0,1647612	0,9996370	0,5249481	0,9694334	0,9801544	0,1431512	0,7617185	0,4973652	0,9983302	0,8129988	0,2529532	0,9542064	0,6966636	0,7783889	0,6743608	0,4404624	0,5159167	0,9987816	0,2155748	0,4480779	0,1988160	0,8400438	0,0805994	0,4380024	0,3310965
420	0,6094652	0,5770366	0,2242386	0,9279790	0,9984447	0,6482649	0,1084862	0,1647600	0,9996378	0,5200194	0,9694116	0,9801251	0,1430500	0,7615958	0,4972012	0,9983294	0,8129986	0,2529532	0,9542064	0,6966636	0,7783889	0,6743609	0,4404625	0,5159167	0,9987816	0,2155132	0,4480498	0,1981780	0,8380217	0,0782111	0,4377721	0,3310887
440	0,6094652	0,5770366	0,2242386	0,9279794	0,9984440	0,6482353	0,1084862	0,1647594	0,9996382	0,5154487	0,9693964	0,9801039	0,1429787	0,7615104	0,4970880	0,9983289	0,8129985	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404627	0,5159167	0,9987816	0,2154726	0,4480321	0,1977399	0,8361426	0,0763075	0,4376193	0,3310839
460	0,6094652	0,5770366	0,2242386	0,9279796	0,9984435	0,6482153	0,1084862	0,1647590	0,9996384	0,5111980	0,9693859	0,9800886	0,1429286	0,7614512	0,4970101	0,9983285	0,8129985	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404627	0,5159167	0,9987816	0,2154459	0,4480210	0,1974397	0,8343915	0,0747551	0,4375183	0,3310810
480	0,6094652	0,5770366	0,2242386	0,9279798	0,9984431	0,6482018	0,1084862	0,1647588	0,9996386	0,5072346	0,9693787	0,9800776	0,1428936	0,7614103	0,4969566	0,9983282	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404628	0,5159167	0,9987816	0,2154282	0,4480141	0,1972343	0,8327554	0,0734604	0,4374516	0,3310791
500	0,6094652	0,5770366	0,2242386	0,9279799	0,9984428	0,6481927	0,1084862	0,1647587	0,9996387	0,5035298	0,9693737	0,9800698	0,1428692	0,7613821	0,4969199	0,9983280	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404628	0,5159167	0,9987816	0,2154166	0,4480098	0,1970939	0,8312233	0,0723576	0,4374076	0,3310780
520	0,6094652	0,5770366	0,2242386	0,9279800	0,9984426	0,6481865	0,1084862	0,1647587	0,9996387	0,5000590	0,9693703	0,9800642	0,1428522	0,7613627	0,4968947	0,9983279	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,2154089	0,4480071	0,1969981	0,8297853	0,0714006	0,4373787	0,3310774
540	0,6094652	0,5770366	0,2242386	0,9279800	0,9984425	0,6481824	0,1084862	0,1647586	0,9996388	0,4968004	0,9693680	0,9800603	0,1428404	0,7613494	0,4968776	0,9983278	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,2154038	0,4480054	0,1969328	0,8284327	0,0705564	0,4373598	0,3310769
560	0,6094652	0,5770366	0,2242386	0,9279801	0,9984424	0,6481796	0,1084862	0,1647586	0,9996388	0,4937348	0,9693664	0,9800575	0,1428323	0,7613403	0,4968659	0,9983278	0,8129984	0,2529531	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,2154005	0,4480044	0,1968882	0,8271582	0,0698012	0,4373473	0,3310767
580	0,6094652	0,5770366	0,2242386	0,9209800	0,9581987	0,7625743	0,1084862	0,3682070	0,9994215	0,4932387	0,9690902	0,9795967	0,1434746	0,7624344	0,4985876	0,9945914	0,8231721	0,6086692	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,4745981	0,4590798	0,1650077	0,6015004	0,0834845	0,4419034	0,3890940
600	0,6094652	0,5770366	0,2242386	0,9179536	0,9373879	0,8397735	0,1084862	0,4795069	0,9971519	0,5032176	0,9690510	0,9796944	0,1464639	0,7674032	0,5066642	0,9933400	0,8290011	0,7544409	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,6451797	0,4712812	0,1858224	0,5629517	0,1778933	0,4669381	0,4253249
620	0,6094652	0,5770366	0,2242386	0,9165141	0,9284238	0,8918712	0,1084862	0,5403954	0,9880382	0,5247856	0,9693328	0,9801725	0,1515025	0,7755580	0,5205265	0,9930574	0,8323409	0,8141779	0,9542064	0,6966636	0,7783889	0,6743609	0,4404629	0,5159167	0,9987816	0,7574878	0,4865228	0,2575697	0,5746738	0,3469122	0,5120925	0,4504208
640	0,6094652	0,5770366	0,2242386	0,9157544	0,9258936	0,9270294	0,1084862	0,5737055	0,9677200	0,5534099	0,9699404	0,9808068	0,1575078	0,7850128	0,5372543	0,9931446	0,8342544	0,8386580	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,8314970	0,5033514	0,3515304	0,5964064	0,5142562	0,5630146	0,4704707
660	0,6094652	0,5770366	0,2242386	0,9153147	0,9264852	0,9507559	0,1084862	0,5919284	0,9377081	0,5843195	0,9707936	0,9814621	0,1635540	0,7942753	0,5541445	0,9933589	0,8353508	0,8486899	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,8802945	0,5196220	0,4435917	0,6179764	0,6476820	0,6090181	0,4878760
680	0,6094652	0,5770366	0,2242386	0,9150423	0,9283551	0,9667676	0,1084862	0,6018975	0,9041393	0,6144370	0,9717725	0,9820747	0,1690747	0,8025116	0,5694856	0,9935988	0,8359789	0,8528010	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9124788	0,5338605	0,5227251	0,6373432	0,7460604	0,6462869	0,5030269
700	0,6094652	0,5770366	0,2242386	0,9148660	0,9305529	0,9775732	0,1084862	0,6073513	0,8729279	0,6421372	0,9727634	0,9826184	0,1738088	0,8093983	0,5824989	0,9938222	0,8363388	0,8544857	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9337101	0,5454615	0,5862338	0,6542611	0,8162668	0,6747612	0,5157449
720	0,6094652	0,5770366	0,2242386	0,9147489	0,9326323	0,9848653	0,1084862	0,6103349	0,8472774	0,6667017	0,9736844	0,9830855	0,1776968	0,8149202	0,5930338	0,9940133	0,8365450	0,8551761	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9477176	0,5544351	0,6351797	0,6688089	0,8655992	0,6957698	0,5259569
740	0,6094652	0,5770366	0,2242386	0,9146702	0,9344165	0,9897863	0,1084862	0,6119671	0,8278943	0,6879408	0,9744896	0,9834773	0,1807911	0,8192165	0,6012826	0,9941689	0,8366632	0,8554590	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9569602	0,5611120	0,6719200	0,6811431	0,8999958	0,7109192	0,5338296
760	0,6094652	0,5770366	0,2242386	0,9146167	0,9358645	0,9931073	0,1084862	0,6128601	0,8140802	0,7059653	0,9751626	0,9837994	0,1831958	0,8224849	0,6075835	0,9942913	0,8367309	0,8555749	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9630592	0,5659336	0,6989905	0,6914686	0,9238899	0,7216667	0,5396949
780	0,6094652	0,5770366	0,2242386	0,9145804	0,9369982	0,9953485	0,1084862	0,6133486	0,8046395	0,7210470	0,9757063	0,9840600	0,1850302	0,8249283	0,6123059	0,9943855	0,8367697	0,8556224	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9670840	0,5693340	0,7186603	0,7000223	0,9404677	0,7291974	0,5439437
800	0,6094652	0,5770366	0,2242386	0,9145556	0,9378638	0,9968609	0,1084862	0,6136158	0,7983831	0,7335304	0,9761340	0,9842676	0,1864086	0,8267298	0,6157928	0,9944566	0,8367919	0,8556419	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9697404	0,5716867	0,7327976	0,7070504	0,9519751	0,7344222	0,5469519
820	0,6094652	0,5770366	0,2242386	0,9145387	0,9385125	0,9978816	0,1084862	0,6137620	0,7943318	0,7437777	0,9764635	0,9844308	0,1874317	0,8280430	0,6183366	0,9945094	0,8368046	0,8556499	0,9542064	0,6966636	0,7783889	0,6743609	0,4404630	0,5159167	0,9987816	0,9714936	0,5732889	0,7428692	0,7127895	0,9599774	0,7380176	0,5490418
