"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,6094651	0,5770395	0,2242375	0,9144872	0,9402119	1,0000000	0,1084876	0,6139383	0,7875664	0,7841710	0,9773922	0,9849256	0,1900954	0,8312863	0,6246144	0,9946472	0,8368143	0,8556466	0,9542064	0,6966615	0,7781767	0,6742645	0,4400236	0,5159161	0,9987755	0,9748996	0,5764103	0,7658248	0,7348664	0,9789656	0,7455384	0,5532922
20	0,6094651	0,5770385	0,2242375	0,9162217	0,9476939	0,9733099	0,1084871	0,5629963	0,7897814	0,7844746	0,9774588	0,9850129	0,1900450	0,8311838	0,6243834	0,9954061	0,8337751	0,7325920	0,9542064	0,6966622	0,7782389	0,6742916	0,4401338	0,5159163	0,9987777	0,9222936	0,5723289	0,7670011	0,7646153	0,9789137	0,7451676	0,5327705
40	0,6094651	0,5770378	0,2242376	0,9190971	0,9606578	0,9197446	0,1084868	0,4709224	0,8073286	0,7825309	0,9775302	0,9851712	0,1895299	0,8301643	0,6221136	0,9965379	0,8284934	0,5557109	0,9542064	0,6966627	0,7782830	0,6743111	0,4402166	0,5159164	0,9987791	0,8141777	0,5623820	0,7660998	0,8087501	0,9772550	0,7411776	0,4940680
60	0,6094651	0,5770374	0,2242377	0,9216518	0,9724417	0,8624550	0,1084866	0,3833770	0,8421969	0,7759326	0,9774560	0,9852988	0,1880456	0,8273453	0,6159424	0,9974071	0,8236845	0,4255019	0,9542064	0,6966630	0,7783142	0,6743252	0,4402787	0,5159165	0,9987800	0,6955862	0,5479001	0,7563558	0,8438190	0,9700049	0,7288345	0,4542067
80	0,6094651	0,5770371	0,2242379	0,9235960	0,9813862	0,8112219	0,1084865	0,3139596	0,8824546	0,7637941	0,9771456	0,9853285	0,1854128	0,8225470	0,6056746	0,9979574	0,8200315	0,3457930	0,9542064	0,6966632	0,7783362	0,6743353	0,4403253	0,5159166	0,9987806	0,5869242	0,5308122	0,7330399	0,8673239	0,9494326	0,7055579	0,4197354
100	0,6094652	0,5770369	0,2242380	0,9249859	0,9876155	0,7691720	0,1084864	0,2635212	0,9181144	0,7469149	0,9765847	0,9852253	0,1817705	0,8161725	0,5924228	0,9982671	0,8174865	0,3011005	0,9542064	0,6966633	0,7783518	0,6743426	0,4403601	0,5159166	0,9987809	0,4956612	0,5134911	0,6955699	0,8813758	0,9055531	0,6726679	0,3926603
120	0,6094652	0,5770368	0,2242382	0,9259505	0,9917388	0,7363497	0,1084863	0,2287122	0,9454566	0,7270113	0,9758231	0,9849845	0,1774391	0,8088904	0,5777912	0,9984215	0,8158007	0,2772950	0,9542064	0,6966634	0,7783628	0,6743478	0,4403862	0,5159167	0,9987812	0,4228644	0,4977772	0,6471641	0,8885760	0,8336619	0,6345284	0,3727082
140	0,6094652	0,5770367	0,2242383	0,9266099	0,9943767	0,7115564	0,1084863	0,2054914	0,9647226	0,7058760	0,9749429	0,9846250	0,1727893	0,8013796	0,5632553	0,9984837	0,8147202	0,2650333	0,9542064	0,6966635	0,7783705	0,6743515	0,4404057	0,5159167	0,9987813	0,3667497	0,4846269	0,5927533	0,8910913	0,7396101	0,5960614	0,3586474
160	0,6094652	0,5770367	0,2242384	0,9270572	0,9960222	0,6932530	0,1084863	0,1903690	0,9776065	0,6849056	0,9740305	0,9841796	0,1681543	0,7941862	0,5498679	0,9984956	0,8140435	0,2588644	0,9542064	0,6966635	0,7783760	0,6743542	0,4404203	0,5159167	0,9987814	0,3245359	0,4742544	0,5370585	0,8905433	0,6355654	0,5609096	0,3490516
