"Time"	ihfA	hipB	hipA	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcF	tdcB	tdcE	tdcC	tdcG	tdcD	yiaK	sgbU	yiaO	yiaN	sgbE	sgbH	yiaL	lyxK	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,4413570	0,3675648	0,1688410	0,5733148	0,5799247	0,5749603	0,0733475	0,4251063	0,5206239	0,5276987	0,7522277	0,5878126	0,1111183	0,7585656	0,4540094	0,7724581	0,5670122	0,5490714	0,6217018	0,5662564	0,4488817	0,4276007	0,2739346	0,3085932	0,6346940	0,6675115	0,3355250	0,5171061	0,4866212	0,6515939	0,5789479	0,4867236
20	0,4244431	0,4894515	0,1527265	0,5894817	0,6591650	0,7081572	0,1063467	0,3479543	0,6723805	0,5462057	0,7181992	0,5989263	0,1379438	0,6126446	0,4147674	0,6837050	0,5534646	0,3816405	0,7930339	0,5310805	0,4836118	0,4100226	0,3596341	0,3872837	0,7915110	0,6836883	0,3562908	0,4869307	0,6420578	0,7471495	0,4926742	0,3814784
40	0,5154077	0,4194007	0,1441456	0,6616335	0,6029179	0,8513151	0,0309194	0,3009375	0,5719373	0,5814945	0,6622387	0,7127498	0,1187646	0,6373100	0,4287508	0,7577432	0,5444752	0,3545005	0,5789884	0,5170171	0,5799645	0,4348178	0,2939233	0,3976374	0,7314552	0,5800446	0,3160632	0,4688219	0,6223115	0,7561676	0,6141533	0,3399145
60	0,2663783	0,4298598	0,1750862	0,5896404	0,5991506	0,5689523	0,0742487	0,2998196	0,5498645	0,5508434	0,7184919	0,6791793	0,1382345	0,5099086	0,4347775	0,7226155	0,5963857	0,2492822	0,6684525	0,5059509	0,5047498	0,5933870	0,3205990	0,3210217	0,8273538	0,5559064	0,3704923	0,4917941	0,5275180	0,6228180	0,4948030	0,3381561
80	0,3964831	0,4095998	0,1812195	0,5273324	0,7341115	0,7115252	0,0835579	0,1878135	0,6636515	0,6329414	0,7835167	0,7084401	0,0927169	0,5826795	0,4560161	0,6917267	0,6199159	0,2050025	0,6186536	0,4697432	0,4815084	0,5006643	0,3062990	0,3742963	0,6544493	0,5018458	0,3462190	0,4621600	0,6910289	0,6549868	0,3997088	0,2758320
100	0,4449754	0,4357587	0,1703684	0,6811508	0,6675607	0,6943587	0,0527424	0,1750434	0,5691868	0,5245423	0,7313055	0,6513373	0,1300312	0,5327778	0,4041294	0,5793901	0,6333236	0,1572036	0,5855271	0,4865472	0,5013893	0,4652580	0,3297564	0,4060850	0,6650996	0,3116691	0,3496268	0,4749816	0,5823247	0,7014095	0,5096254	0,3662750
120	0,4307652	0,4779616	0,1695364	0,6630274	0,6914093	0,5725760	0,0633269	0,1506036	0,5730657	0,4854611	0,6592389	0,7282761	0,0928501	0,6226680	0,3675761	0,6430128	0,5396814	0,1809380	0,6220107	0,3614971	0,5030031	0,4735962	0,3467125	0,4882611	0,6495393	0,3376738	0,3687935	0,3577014	0,5509316	0,5743362	0,4040318	0,3327964
140	0,4143117	0,5206386	0,1385966	0,7339064	0,6204231	0,5198076	0,0996663	0,1507412	0,6066836	0,5230424	0,6450845	0,6517062	0,1540570	0,6343541	0,4260980	0,6078822	0,5029949	0,1727366	0,5484443	0,5696664	0,5532736	0,4378653	0,3191714	0,5206973	0,7289301	0,2709779	0,3556485	0,3515586	0,5398604	0,5090106	0,3473339	0,1953759
160	0,4770982	0,4181607	0,1612898	0,6662659	0,6618938	0,5270114	0,0898884	0,1060816	0,5471926	0,4523557	0,6774073	0,6546713	0,1825951	0,5218520	0,3270168	0,7052543	0,5421460	0,2344734	0,5720349	0,4402467	0,5388926	0,4105340	0,3875316	0,3594717	0,8115503	0,2661722	0,2756395	0,3178876	0,5252356	0,4473587	0,4165020	0,2002247
