"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA

0	0,4630001	0,4690790	0,0435389	0,0645344	0,5901682	0,6994875	0,2986239	0,0236210	0,6895011	0,2703401	0,5938345	0,4362335	0,1967467	0,3552270	0,5076042	0,3388549	0,3514227	0,5160826	0,2966035	0,7077765	0,7974505	0,3022624	0,7161932	0,3415230	0,0841139	0,3170199	0,6096336	0,6039828	0,1214018	0,2921223	0,6939431	0,1982146
20	0,4662832	0,5287967	0,0360236	0,0481086	0,4474535	0,6125692	0,3555677	0,0216520	0,6525871	0,1844635	0,6369180	0,4744029	0,1637009	0,2049080	0,4121821	0,3677423	0,4902409	0,5513341	0,2969764	0,7043635	0,7680525	0,2785971	0,7592585	0,3349217	0,0431966	0,4385387	0,7622149	0,5149092	0,1675411	0,3762505	0,6359992	0,1421376
40	0,4243041	0,4761259	0,0238635	0,0598187	0,6077019	0,8316791	0,3488416	0,0285337	0,6049174	0,1596127	0,6313226	0,4396102	0,1497234	0,2519020	0,5719211	0,5680857	0,5643137	0,6623894	0,2307975	0,6718895	0,6893535	0,3539126	0,7609801	0,3146749	0,0402505	0,4724998	0,6144454	0,4632342	0,1669485	0,2998908	0,6243345	0,0767502
60	0,4152260	0,5136729	0,0514389	0,0364076	0,4342929	0,6380797	0,2634529	0,0179520	0,7216694	0,2158973	0,6886619	0,4428959	0,1603616	0,2365068	0,5261008	0,4814078	0,6153123	0,5842500	0,3402369	0,7981898	0,7574151	0,3248472	0,6458885	0,2686205	0,0378236	0,4398061	0,6507382	0,4675029	0,1238940	0,3982480	0,7962203	0,1196793
80	0,3808112	0,4733452	0,0266063	0,0462071	0,5674447	0,7289925	0,2928416	0,0204861	0,6449950	0,1305912	0,8198515	0,3945083	0,1927735	0,2255180	0,4578620	0,4660895	0,7073979	0,6348288	0,3161886	0,7417334	0,6879714	0,3255905	0,7626161	0,2855565	0,0435730	0,5533826	0,6318193	0,5368953	0,1489757	0,4390258	0,7440540	0,1221883
100	0,3440778	0,5182092	0,0484189	0,0598310	0,6181763	0,6889525	0,3708929	0,0600130	0,8273569	0,1711689	0,5794309	0,3896418	0,2065683	0,2434889	0,4667559	0,4566648	0,7447773	0,6279344	0,2395190	0,6960748	0,8398024	0,4175567	0,7320753	0,3272838	0,0518509	0,5775423	0,6561618	0,4496370	0,1574692	0,5332670	0,7369543	0,0858943
120	0,4062160	0,4797066	0,0137008	0,1045325	0,4499686	0,6110010	0,3859322	0,0199234	0,6963848	0,2142090	0,6867511	0,4618827	0,1834329	0,3509485	0,4413320	0,5941705	0,6978342	0,5503400	0,2127931	0,7414688	0,7569969	0,3206757	0,7359422	0,3229234	0,1107392	0,5994997	0,7596632	0,5678870	0,1414576	0,4626032	0,6251749	0,0749571
140	0,4591209	0,4882595	0,0319426	0,0673354	0,5095242	0,6262031	0,2602479	0,0194748	0,9747388	0,1729054	0,6246612	0,4020979	0,1695922	0,2465378	0,4293725	0,4760673	0,7332667	0,5320743	0,3376740	0,7042973	0,6873937	0,3671162	0,7033776	0,3140377	0,0307097	0,6872407	0,5981627	0,6202567	0,1154859	0,4374465	0,6857701	0,1013244
160	0,4116742	0,4020238	0,0227669	0,0610275	0,4285149	0,6604097	0,2913212	0,0433606	0,6738944	0,1702568	0,7127035	0,3643262	0,2360178	0,3005167	0,4860234	0,5630695	0,6381856	0,5708895	0,2678402	0,7003652	0,7411090	0,3455268	0,6923259	0,3548276	0,0435879	0,5868655	0,6972567	0,6168197	0,1453631	0,4079651	0,7196817	0,0863905
