"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA

0	0,6363647	0,7317095	0,0687239	0,0916775	0,7164224	1,0310062	0,4908869	0,0360215	1,0080749	0,3046068	0,8605657	0,6539104	0,2718953	0,4216120	0,6683942	0,5359544	0,5323589	0,8216236	0,4544726	0,9571130	0,9667292	0,4100141	0,9557758	0,4318763	0,0837170	0,4143511	0,8534289	0,6950457	0,2035969	0,3619425	0,8742307	0,2173012
20	0,6370284	0,7400195	0,0589824	0,0815668	0,6508066	0,9573992	0,4515337	0,0347378	1,0172064	0,2434919	0,8263409	0,6139367	0,2302816	0,3258582	0,5952580	0,6107457	0,6874248	0,8033607	0,3919089	0,9499843	0,9923356	0,4254643	1,0004465	0,5098796	0,0643188	0,6710805	1,0337001	0,6667157	0,2286843	0,5287431	0,8451322	0,1788350
40	0,5835152	0,6704057	0,0456320	0,0738049	0,6535141	1,0292403	0,4220812	0,0348966	0,9872717	0,2419445	0,8792561	0,5352093	0,2228746	0,3245853	0,6579859	0,6932436	0,7666890	0,8292097	0,4081162	1,0138777	0,9983673	0,4185676	1,0219072	0,4619874	0,0562988	0,7494068	0,9725423	0,7301712	0,2040214	0,4876951	0,9178739	0,1537666
60	0,5524255	0,7018057	0,0546534	0,0716244	0,6126977	0,9588251	0,4430416	0,0293874	0,9465473	0,2489981	0,8282247	0,6055510	0,2310000	0,3364291	0,6775084	0,6934640	0,8664453	0,8079258	0,4367284	1,0848745	1,0522172	0,4246704	1,0129691	0,4665760	0,0583324	0,8127455	0,9052562	0,7195650	0,2061134	0,5585063	0,8772111	0,1414446
80	0,5617393	0,7593192	0,0566197	0,0725720	0,7294250	0,9997360	0,4280560	0,0213302	1,0113574	0,2455487	0,9055183	0,5687415	0,2369894	0,3214288	0,6935753	0,6157605	0,9335624	0,8313595	0,4034648	1,0161833	1,0523676	0,4259634	1,0124213	0,4782466	0,0657126	0,7932144	0,8223926	0,7591635	0,1987695	0,6471160	0,8767914	0,1295705
100	0,5558732	0,7175889	0,0574524	0,0780520	0,7811028	0,9915912	0,4924833	0,0348284	0,9808165	0,2461953	0,9093728	0,5515464	0,2648043	0,3652552	0,6326273	0,6647288	0,9534136	0,8322388	0,4171023	0,9916729	1,0371363	0,4599742	0,9738055	0,4614369	0,0511832	0,8060500	0,8098033	0,7227037	0,2223828	0,6229856	0,8937052	0,1519740
120	0,5424140	0,7098386	0,0372567	0,0991649	0,6743541	0,9419710	0,4435867	0,0328527	0,9790299	0,2854782	0,9380101	0,5914323	0,2844635	0,3599304	0,6156233	0,7329988	0,9752907	0,8451400	0,4042892	0,9882103	1,0705334	0,4534121	0,9684543	0,4690414	0,0592626	0,8683998	0,8634724	0,7309169	0,2350584	0,6046540	0,9034678	0,1344481
140	0,5334260	0,7124532	0,0366378	0,0735348	0,6923386	0,9130275	0,4353040	0,0328158	1,0805697	0,2603368	0,9559355	0,6043745	0,2872844	0,3513992	0,6841127	0,7779568	0,9940623	0,8428004	0,3889587	0,9887327	0,9974963	0,4287755	0,9595162	0,5005017	0,0685898	0,8608149	0,8613927	0,7841370	0,2221720	0,6132962	0,9218961	0,1238929
160	0,6116501	0,6434593	0,0313848	0,0675460	0,6651172	0,8932494	0,5045809	0,0426289	1,0381425	0,2422678	0,9541093	0,5652904	0,2723546	0,3277961	0,6799623	0,7368023	0,9584142	0,8377212	0,4146783	0,9942362	1,0278128	0,4328317	0,9746999	0,4979358	0,0763787	0,8451170	0,8958936	0,7719346	0,2094674	0,5773341	0,9160471	0,1315428
180	0,6152971	0,7171899	0,0475901	0,0867355	0,5592099	0,9107975	0,4024522	0,0493219	0,9788580	0,2478697	0,8682102	0,5637196	0,2749830	0,2799146	0,6718144	0,6762632	0,9297814	0,8448357	0,3842160	1,0501953	1,0696635	0,4514940	0,9492061	0,5245146	0,0674559	0,8129254	0,9259223	0,7353237	0,1790023	0,5866287	0,8669121	0,1088595
200	0,5566099	0,6936705	0,0450359	0,0748265	0,6047221	0,9533965	0,3988417	0,0357574	0,9293997	0,1896644	0,8907121	0,5915504	0,2647277	0,2691618	0,6743813	0,7294654	0,9593613	0,8931473	0,3878669	0,9995852	1,0179194	0,4492116	0,8939086	0,5460933	0,0683633	0,7564693	0,9133473	0,8205111	0,2049505	0,5962081	0,8672944	0,1096961
220	0,5086924	0,8085740	0,0668259	0,0977617	0,6090093	1,0312388	0,4574296	0,0305164	0,9453284	0,2190929	0,9212059	0,6974724	0,2464182	0,3030240	0,7296751	0,7741435	0,9093772	0,8974990	0,3805849	1,0118956	1,0625792	0,4559587	0,9899526	0,5556052	0,0684119	0,8555604	0,9234212	0,8140072	0,2015903	0,6801724	0,9034259	0,1393721
240	0,5758345	0,6968743	0,0554053	0,0959627	0,6266920	0,9900237	0,4124424	0,0264485	1,0269242	0,2274277	0,8354674	0,6823141	0,2293209	0,3576880	0,7014993	0,7007903	0,8492550	0,8878112	0,3732465	0,9501680	1,0410116	0,4197014	0,9944602	0,4756570	0,0655652	0,8414284	0,8943039	0,7897099	0,2504280	0,6384075	0,8830548	0,1365351
260	0,6226045	0,6335055	0,0353006	0,1191918	0,6189144	1,0704679	0,5045020	0,0199501	1,0495146	0,2586519	0,8220466	0,6478543	0,2160071	0,4138338	0,7323305	0,7790563	0,8112828	0,8938511	0,3866320	0,8658878	0,9846317	0,4020599	0,9004697	0,4967728	0,0897312	0,9050102	0,9075894	0,8437454	0,2556220	0,6031450	0,8650851	0,1383893
280	0,5648859	0,6897757	0,0491335	0,1087932	0,6263753	1,0903517	0,4814514	0,0224770	1,0673952	0,2744469	0,8955803	0,6606720	0,2208970	0,4216450	0,7339292	0,8120718	0,8323436	0,8586735	0,3487277	0,9063510	0,9692435	0,4338409	0,9399882	0,5389328	0,0936495	0,9542212	0,9194024	0,8010909	0,2317035	0,6350544	0,8438201	0,1256245
300	0,5555530	0,6770070	0,0579184	0,0948947	0,6763382	1,0453631	0,4348688	0,0351119	1,0405652	0,3202264	0,8670175	0,6323474	0,2220447	0,4746913	0,7646797	0,7459763	0,9016747	0,8516916	0,3890210	0,9743428	0,9890082	0,4280000	0,9098227	0,5278134	0,0882081	0,9205584	0,8866991	0,8013379	0,1764462	0,6189576	0,8496019	0,1229889
320	0,5501897	0,7092325	0,0680902	0,0926392	0,6923714	1,0961034	0,4678334	0,0378304	0,9934324	0,2960248	0,8750331	0,6374778	0,2341777	0,5283243	0,6980855	0,7397164	0,9555302	0,8594045	0,4023676	0,9287591	1,0255647	0,4143652	0,9361615	0,5060798	0,0885804	0,9460151	0,8657033	0,8174590	0,1699389	0,6424079	0,8022297	0,1325773
340	0,5461730	0,6720833	0,0726521	0,1112142	0,6817496	1,0964722	0,4946885	0,0334780	0,9731570	0,3203155	0,8541452	0,6561047	0,2620789	0,5087372	0,6872426	0,7450383	0,8730942	0,8940275	0,4373500	0,9785167	1,0931461	0,3553667	0,9091679	0,4887882	0,0866651	0,9460304	0,8724284	0,7633266	0,1610683	0,6376428	0,7963816	0,1203624
360	0,5395840	0,6702161	0,0955961	0,1051775	0,6304778	1,0456765	0,4694491	0,0306372	1,0078831	0,2914705	0,8400609	0,7082699	0,2176189	0,5099740	0,6946182	0,7894910	0,9219482	0,8938653	0,4472426	1,0835907	1,0358253	0,4008024	0,9439781	0,4675980	0,0969192	0,8719278	0,8789182	0,7373384	0,1834454	0,6048656	0,8382496	0,1029333
380	0,5393158	0,7211532	0,0598880	0,1405741	0,6031629	1,0621717	0,3783481	0,0331658	1,0427734	0,2374781	0,8668836	0,6290195	0,2088995	0,5272195	0,6863690	0,7460603	0,9071971	0,8691241	0,4260177	1,0453324	1,0020359	0,4183486	0,9486841	0,4739656	0,1001097	0,9308492	0,8691949	0,7111344	0,2206760	0,6326660	0,8888901	0,0863029
400	0,4912549	0,7217388	0,0615774	0,1244342	0,6998460	1,0400094	0,4071423	0,0312186	1,0910335	0,2077215	0,8698477	0,5894089	0,2212309	0,4443253	0,6820255	0,7528138	0,9134494	0,8946399	0,3849609	1,0887683	1,0417329	0,4697773	0,9553050	0,5114793	0,0733253	0,8712928	0,9308530	0,6773035	0,1797579	0,6508091	0,8526323	0,0778984
420	0,5467353	0,6887909	0,0627602	0,1230948	0,7553920	1,0473217	0,4589917	0,0413190	1,0712046	0,3120696	0,9667135	0,6217175	0,2290442	0,4738898	0,7077200	0,7867453	0,8912325	0,9565645	0,3975181	1,0280871	1,0486918	0,4547025	0,9457093	0,5168162	0,0875136	0,8805007	0,8836173	0,6991952	0,2059617	0,6385704	0,8476605	0,0856046
440	0,5249780	0,6512178	0,0651007	0,0847445	0,6559618	1,0114372	0,5586844	0,0442078	1,0325462	0,3203081	0,8720116	0,6076943	0,2578157	0,5182079	0,6939842	0,7758400	0,9520783	0,9505633	0,4165909	1,0679535	1,0027964	0,4217603	1,0165032	0,4882151	0,0674221	0,8944564	0,8388370	0,7357501	0,2162501	0,6109521	0,8812316	0,1022746
460	0,5118614	0,6502819	0,0444343	0,1058597	0,6831741	1,0348787	0,4861690	0,0451411	1,0158517	0,2517339	0,8784434	0,5699292	0,2370531	0,4737405	0,6945043	0,7717006	0,8588509	0,9811924	0,3932986	0,9063500	1,0351667	0,4225854	1,0208695	0,4711303	0,0732335	0,8554113	0,8738086	0,6916776	0,1782485	0,6152912	0,8478900	0,1492317
480	0,5429151	0,6619162	0,0487280	0,0977067	0,6397456	1,0555187	0,4645838	0,0413424	1,0132052	0,2834195	0,9740590	0,5719956	0,2642643	0,4859845	0,6937694	0,7936834	0,8818670	0,9766851	0,4647616	0,9333477	0,9568860	0,4370403	0,9916919	0,4718400	0,1117091	0,8163111	0,9009509	0,7313908	0,2052100	0,6412114	0,8997712	0,1449614
500	0,5595820	0,7558059	0,0538655	0,0842787	0,5735536	1,0865697	0,3573060	0,0323544	1,0184606	0,2569021	0,8694006	0,5807366	0,2427184	0,4756277	0,6387456	0,7668709	0,8520689	0,9049410	0,3988964	0,9522011	1,0101407	0,4742840	0,9612361	0,4846709	0,0986067	0,8294705	0,9598770	0,8096276	0,2011352	0,6048012	0,8819924	0,1345205
520	0,5323279	0,6687565	0,0550322	0,0777065	0,5838099	1,0582935	0,4392916	0,0375948	1,0756532	0,2639445	0,8219766	0,5141898	0,2270520	0,4163302	0,6826313	0,7325674	0,8876589	0,8771739	0,4346640	0,9858291	1,0044341	0,4552023	0,9964203	0,5198595	0,0715672	0,9070339	0,9160032	0,7910290	0,1914899	0,6634230	0,8897198	0,1508780
540	0,5123715	0,6332090	0,0325128	0,1021370	0,6730719	1,0603345	0,4586476	0,0339182	1,0389394	0,2850038	0,8191685	0,5283549	0,1943594	0,3663427	0,6984663	0,7354575	0,8971044	0,8783801	0,4447287	1,0468964	1,0386821	0,4144599	0,9765293	0,5183846	0,0589365	0,8191370	0,9792793	0,7001877	0,1892417	0,6421094	0,8434922	0,1380868
560	0,5285268	0,8263061	0,0310376	0,1067387	0,6531398	1,0338177	0,3976055	0,0263014	1,1079762	0,2388261	0,8709634	0,5414423	0,2012126	0,3976971	0,6213538	0,7543502	0,8773830	0,8134835	0,4534876	0,9773596	0,9741194	0,4384749	0,9359834	0,5056491	0,0552498	0,8939312	0,9468291	0,7504810	0,2042237	0,6168522	0,8307812	0,1254495
580	0,5037672	0,7344081	0,0390639	0,0920684	0,6960739	0,9847873	0,4474414	0,0142086	1,0386922	0,2690187	0,8280208	0,6168622	0,2039277	0,4115411	0,6679014	0,7062522	0,7321708	0,8408569	0,4838977	1,0246398	0,9794677	0,4179801	0,9071781	0,4764229	0,0725772	0,6321335	0,9151704	0,6941084	0,2158285	0,5177251	0,8282774	0,1584354
600	0,6036918	0,6753217	0,0488764	0,1054358	0,6951758	0,9715881	0,5760474	0,0256489	1,0588199	0,3098828	0,7939581	0,5875377	0,2279515	0,4423077	0,6878291	0,6086303	0,6534906	0,8349131	0,4669216	1,0130953	0,9889380	0,3799421	0,8680266	0,4430666	0,0852813	0,4957315	0,9488380	0,6725461	0,1928767	0,4804080	0,9192728	0,2023222
620	0,5471594	0,6974663	0,0468636	0,0853842	0,6796114	1,0590627	0,4332259	0,0262483	1,0268803	0,2762431	0,9355321	0,6163872	0,2420997	0,4043858	0,6459886	0,5737885	0,6335506	0,8769354	0,4419068	1,0810354	0,9824638	0,4256890	0,9196558	0,3860198	0,0726252	0,4686696	0,9025671	0,6726440	0,2257936	0,4630826	0,8910659	0,2112718
640	0,5361926	0,7093804	0,0504424	0,0772760	0,6882651	1,0813251	0,4822579	0,0270380	1,0636290	0,2689715	0,9574275	0,6249663	0,2508378	0,3883821	0,6951125	0,5356483	0,6513696	0,7850064	0,4596109	1,0157601	1,0730862	0,4851081	0,9273753	0,4198330	0,0726469	0,4514540	0,9547064	0,6340742	0,2294230	0,4802580	0,9214615	0,2145134
660	0,5344757	0,6943542	0,0562704	0,0856814	0,7098520	1,0172754	0,4575341	0,0278756	1,0673650	0,2513911	0,8715716	0,5924625	0,2357618	0,3777550	0,6510438	0,5635758	0,6120121	0,7731800	0,4042177	1,0604386	1,0296978	0,4937683	0,8864369	0,4722064	0,0662565	0,4640098	0,9584479	0,6079135	0,2091021	0,4666170	0,9254359	0,2199782
680	0,5806117	0,6615163	0,0664226	0,0766188	0,7332587	1,0059124	0,5448327	0,0222709	1,0520766	0,2466153	0,8965594	0,6078842	0,2361972	0,4132500	0,6666599	0,5348391	0,5216470	0,8207989	0,3734102	1,0556793	1,0451555	0,5490215	0,8843060	0,4841369	0,0673720	0,3629880	0,9545477	0,6383648	0,1939642	0,4250227	0,8777034	0,2084268
700	0,6187038	0,6413575	0,0716323	0,0722419	0,6077556	1,0162579	0,5106726	0,0274390	1,0814715	0,2680711	0,8562816	0,6285700	0,2351952	0,4658868	0,6566520	0,5351059	0,4858891	0,8364666	0,4287695	1,0427963	1,0532278	0,5753424	0,9151628	0,4902787	0,0732945	0,4369954	0,9580521	0,5759380	0,2112882	0,4664883	0,8577450	0,1806124
720	0,5458981	0,7079483	0,0691784	0,0697570	0,6324204	0,9990998	0,5403515	0,0222422	1,0411488	0,2914314	0,8805933	0,5952155	0,2238202	0,4907322	0,6449481	0,4737952	0,5341291	0,7832234	0,4175388	0,9430985	1,0343760	0,5460844	0,9514430	0,5191673	0,0644636	0,5080980	0,8960557	0,6387288	0,2155268	0,5013716	0,8577076	0,1930222
740	0,5274811	0,6409265	0,0753363	0,0826222	0,6178437	1,0255268	0,4846070	0,0235708	1,0999205	0,2780359	0,8178581	0,6076991	0,2278594	0,4632087	0,6494824	0,4599327	0,5845258	0,8128016	0,3588387	0,9546756	1,0028701	0,4839202	0,9175294	0,5660257	0,0877042	0,5595482	0,9249968	0,5930123	0,2365887	0,4789341	0,7977885	0,1774489
760	0,5353057	0,6856506	0,0837518	0,0783822	0,5661471	1,0081961	0,4550377	0,0374407	1,0886062	0,2122733	0,9056614	0,5457338	0,2416056	0,4184312	0,6465007	0,4743597	0,5987683	0,7990870	0,3766897	0,9800340	1,0206034	0,4757271	0,9285766	0,5123964	0,0911851	0,4299129	0,9050284	0,6061757	0,2303993	0,4611969	0,8763485	0,2256181
780	0,5826114	0,7275365	0,0693346	0,0843985	0,6312969	1,0230173	0,4417070	0,0215616	1,1144552	0,2176979	0,8896735	0,5693473	0,2169570	0,4015774	0,6365722	0,4807527	0,5135084	0,7861501	0,4001928	0,9616912	0,9968417	0,4423884	0,9161040	0,5498452	0,0733551	0,4364417	0,9427362	0,6273807	0,2325599	0,3951714	0,8855629	0,2274274
800	0,5589098	0,7209564	0,0411928	0,0846095	0,6549173	1,0189522	0,3864922	0,0357145	1,0874429	0,2207304	0,8552800	0,5583456	0,2065826	0,4199211	0,6122523	0,5053388	0,4890490	0,7718340	0,4105973	0,9850526	0,9978586	0,4653529	0,9095689	0,4879768	0,0690868	0,4355851	0,9524391	0,5789429	0,2437404	0,4181983	0,8948843	0,1880320
820	0,5599142	0,6628507	0,0559425	0,0756645	0,6753478	1,0798773	0,4532365	0,0421106	1,1267517	0,2888123	0,8833898	0,6192374	0,2406346	0,3705283	0,6041990	0,5098026	0,4865019	0,7730412	0,4247526	0,9893694	1,0335932	0,4759740	0,9441902	0,4789467	0,0592162	0,4586638	0,9432592	0,6368913	0,2636872	0,4063013	0,8557088	0,2163575
840	0,5442455	0,7232965	0,0597992	0,1013422	0,7635834	1,0757957	0,3902741	0,0311834	1,0687714	0,2750663	0,9429077	0,6405377	0,2182955	0,3717972	0,6401442	0,4994023	0,5071831	0,7558785	0,3799772	0,9670731	0,9856427	0,4567216	0,9581912	0,4820341	0,0657120	0,3910762	0,9441583	0,6006849	0,2412778	0,4398637	0,9356183	0,2391302
860	0,6483919	0,7269425	0,0811216	0,0970226	0,6971172	1,0347128	0,3698501	0,0282671	1,0717101	0,2311184	0,8129849	0,5981749	0,2478115	0,3812514	0,6745969	0,5070917	0,5333514	0,7996432	0,4067379	0,9251920	0,9553833	0,4103551	1,0142716	0,4481094	0,0882171	0,4117248	0,9848672	0,5768955	0,2151687	0,4094922	1,0114161	0,2133342
880	0,6190946	0,7855399	0,0701477	0,1204944	0,6078639	1,0033042	0,3646094	0,0304842	0,9790180	0,2235204	0,8766923	0,5844980	0,2561259	0,4615344	0,6611189	0,5503670	0,5305287	0,8121637	0,4344474	0,9976325	1,0174208	0,4346256	1,0171440	0,4439611	0,0721188	0,3573474	0,9330493	0,6005157	0,2454971	0,4231376	0,8957851	0,2086905
900	0,5460564	0,6842350	0,0688808	0,1024791	0,6860624	0,9504664	0,4842757	0,0313519	0,9306691	0,2369496	0,9540086	0,6445472	0,1826557	0,5142990	0,5875922	0,5034218	0,5521577	0,7851408	0,4086729	1,0374290	0,9826813	0,4379278	0,9961817	0,4657909	0,0822332	0,5023769	0,9037611	0,6405252	0,2487335	0,4137393	0,8279285	0,2031415
