"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA

0	0,5688219	0,6783846	0,0514745	0,0772508	0,7748274	1,0457210	0,4852681	0,0429120	1,0379478	0,2420843	0,8798812	0,6299280	0,3077243	0,3142809	0,5849098	0,6071207	0,5655945	0,8826969	0,4698425	0,9893594	0,9661592	0,4108802	0,9481092	0,4600966	0,0757053	0,3815099	0,9158978	0,6558839	0,2264773	0,3921258	0,8089617	0,1819946
20	0,6266444	0,7025069	0,0649925	0,0569787	0,6300586	1,0073895	0,4227460	0,0411923	1,0093274	0,3297228	0,8664055	0,6246095	0,2515855	0,3383649	0,6565382	0,5235327	0,5731692	0,8435671	0,3935179	0,8847886	0,9881821	0,4559157	1,0171223	0,4412306	0,0652092	0,4102023	0,9485944	0,7551991	0,2246107	0,4679805	0,8657816	0,2109878
40	0,5471152	0,7062122	0,0638948	0,0715919	0,6668748	1,0224452	0,5120757	0,0403359	1,0097093	0,3003637	0,8338726	0,6757013	0,2618230	0,3463489	0,6334024	0,6042611	0,6912156	0,8091592	0,4074799	0,9150258	1,0194187	0,4412659	0,9231026	0,4297848	0,0785514	0,5395650	0,9395929	0,7054049	0,2222223	0,4678377	0,8407012	0,2039372
60	0,5796399	0,6985123	0,0522228	0,0790668	0,6725522	1,0177271	0,4509481	0,0294685	1,0396094	0,2707006	0,8489010	0,6160176	0,2375753	0,3304513	0,6839348	0,6620671	0,7582286	0,8077151	0,4413746	1,0112340	0,9773348	0,4672769	0,9173021	0,4775326	0,0779623	0,6448623	0,9412833	0,7060255	0,2350586	0,4810037	0,8392886	0,2077572
80	0,5310739	0,6764176	0,0506602	0,0850826	0,6634807	1,0366032	0,5193429	0,0247093	0,9529214	0,3116225	0,8805237	0,5697250	0,2423278	0,3561723	0,6936753	0,6434411	0,8521142	0,8007182	0,4329359	1,0057783	0,9956087	0,4614530	0,9003274	0,4357169	0,0854537	0,6989873	0,9234533	0,7511830	0,1837870	0,5160585	0,8216244	0,1752016
100	0,5298528	0,7331232	0,0603003	0,0806026	0,7186174	1,0200445	0,4419958	0,0239444	1,0032423	0,2714967	0,9223055	0,5616844	0,2769164	0,3558491	0,7064724	0,6392986	0,8570392	0,7542118	0,4517664	1,0266460	1,0480733	0,4508839	0,9792231	0,4658413	0,0858931	0,7214558	0,9937357	0,7261945	0,1886509	0,5930582	0,7831621	0,1742027
120	0,5292915	0,7149901	0,0637016	0,0748612	0,6728291	0,9473254	0,4523218	0,0218098	0,9793456	0,2965712	0,9296269	0,5731164	0,2801951	0,3321000	0,6546677	0,6732876	0,8835845	0,7961195	0,4274421	1,0999919	1,0733569	0,4353418	0,9576364	0,4349371	0,0725868	0,8144348	0,9467920	0,6979613	0,2220975	0,5969002	0,8432976	0,1691905
140	0,4906372	0,7595810	0,0500749	0,0679140	0,6867815	0,9241199	0,3597962	0,0223696	0,9608312	0,2894377	0,9278426	0,5831828	0,2809466	0,3863396	0,6370047	0,7045458	0,9143079	0,7784367	0,4367414	1,1115128	1,1182131	0,4140445	0,9658423	0,4417996	0,0596570	0,8626486	0,9229156	0,6870280	0,2300555	0,5875489	0,8592063	0,1327074
160	0,5023492	0,6381753	0,0389635	0,0559354	0,6685067	0,9391959	0,4550288	0,0367053	0,9862906	0,2834863	0,9248224	0,6015147	0,2629151	0,3657720	0,6651909	0,7342303	0,9480924	0,7825337	0,4231552	1,1148350	1,0470453	0,4548539	0,9958581	0,5208685	0,0882766	0,8252925	0,9788700	0,7552531	0,2376722	0,5760450	0,8795564	0,1287287
