"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA

0	0,5511139	0,7045223	0,0597944	0,0954711	0,6572454	0,9990688	0,4590286	0,0340355	0,9999499	0,2595834	0,8620457	0,6107890	0,2375846	0,4758414	0,6243029	0,4954425	0,5467938	0,8296595	0,4055448	0,9999837	0,9742957	0,4329245	0,9671359	0,4789299	0,0762002	0,4331320	0,9479943	0,6259483	0,2006485	0,4230351	0,8652150	0,2151753
20	0,5511139	0,7045223	0,0597960	0,0955149	0,6572454	0,9990688	0,4590286	0,0340355	0,9999499	0,2595834	0,8620457	0,6107887	0,2375842	0,4761465	0,6347459	0,6056740	0,7042887	0,8405761	0,4055448	0,9999837	0,9742974	0,4329264	0,9671339	0,4789308	0,0762465	0,6654446	0,9479946	0,6779249	0,2006486	0,4993920	0,8652150	0,1791257
40	0,5511139	0,7045223	0,0597974	0,0955527	0,6572454	0,9990687	0,4590286	0,0340355	0,9999499	0,2595834	0,8620457	0,6107886	0,2375840	0,4764080	0,6414612	0,6704014	0,7894352	0,8482849	0,4055448	0,9999837	0,9742985	0,4329277	0,9671326	0,4789315	0,0762866	0,7736085	0,9479948	0,7087175	0,2006486	0,5450233	0,8652150	0,1574135
60	0,5511139	0,7045223	0,0597986	0,0955853	0,6572454	0,9990687	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107885	0,2375838	0,4766323	0,6457796	0,7084089	0,8354681	0,8537285	0,4055448	0,9999837	0,9742992	0,4329286	0,9671317	0,4789322	0,0763211	0,8239692	0,9479949	0,7269601	0,2006486	0,5722929	0,8652150	0,1443366
80	0,5511139	0,7045223	0,0597997	0,0956135	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375837	0,4768249	0,6485565	0,7307268	0,8603549	0,8575726	0,4055448	0,9999837	0,9742996	0,4329291	0,9671311	0,4789327	0,0763510	0,8474170	0,9479950	0,7377676	0,2006486	0,5885893	0,8652150	0,1364606
100	0,5511139	0,7045223	0,0598005	0,0956377	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375836	0,4769904	0,6503422	0,7438317	0,8738094	0,8602871	0,4055448	0,9999837	0,9742999	0,4329295	0,9671307	0,4789332	0,0763768	0,8583342	0,9479950	0,7441703	0,2006486	0,5983282	0,8652150	0,1317170
120	0,5511139	0,7045223	0,0598013	0,0956587	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4771326	0,6514905	0,7515268	0,8810834	0,8622040	0,4055448	0,9999837	0,9743002	0,4329298	0,9671305	0,4789336	0,0763990	0,8634172	0,9479950	0,7479635	0,2006486	0,6041482	0,8652150	0,1288599
140	0,5511139	0,7045223	0,0598020	0,0956767	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4772549	0,6522290	0,7560454	0,8850159	0,8635576	0,4055448	0,9999837	0,9743003	0,4329300	0,9671303	0,4789340	0,0764182	0,8657838	0,9479950	0,7502107	0,2006486	0,6076262	0,8652150	0,1271392
160	0,5511139	0,7045223	0,0598026	0,0956923	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107884	0,2375835	0,4773602	0,6527038	0,7586986	0,8871419	0,8645135	0,4055448	0,9999837	0,9743004	0,4329301	0,9671302	0,4789343	0,0764348	0,8668857	0,9479951	0,7515420	0,2006486	0,6097048	0,8652150	0,1261028
