"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA

0	0,5511139	0,7045223	0,0597909	0,0952432	0,6572454	0,9990691	0,4590286	0,0340355	0,9999499	0,2595832	0,8620456	0,6107937	0,2375856	0,4752666	0,6242997	0,4954422	0,5467924	0,8296262	0,4055473	0,9999837	0,9742654	0,4328864	0,9671637	0,4789033	0,0760717	0,4331310	0,9479898	0,6259471	0,2006484	0,4230337	0,8652153	0,2151841
20	0,5511139	0,7045223	0,0597929	0,0953184	0,6572454	0,9990690	0,4590286	0,0340355	0,9999499	0,2595833	0,8620456	0,6107917	0,2375849	0,4756552	0,6268017	0,5265240	0,5836559	0,8326444	0,4055466	0,9999837	0,9742771	0,4329002	0,9671533	0,4789119	0,0761354	0,4890794	0,9479918	0,6398044	0,2006485	0,4426636	0,8652152	0,2074240
40	0,5511139	0,7045223	0,0597947	0,0953833	0,6572454	0,9990689	0,4590286	0,0340355	0,9999499	0,2595833	0,8620456	0,6107905	0,2375844	0,4759876	0,6316870	0,5821847	0,6512639	0,8385152	0,4055461	0,9999837	0,9742850	0,4329097	0,9671461	0,4789180	0,0761904	0,5853829	0,9479931	0,6651668	0,2006485	0,4791230	0,8652151	0,1922582
60	0,5511139	0,7045223	0,0597963	0,0954392	0,6572454	0,9990688	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107897	0,2375841	0,4762721	0,6367532	0,6345966	0,7166490	0,8446321	0,4055457	0,9999837	0,9742902	0,4329162	0,9671411	0,4789224	0,0762380	0,6724902	0,9479938	0,6896268	0,2006486	0,5148603	0,8652150	0,1765228
80	0,5511139	0,7045223	0,0597976	0,0954874	0,6572454	0,9990687	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107892	0,2375839	0,4765160	0,6411418	0,6757764	0,7694359	0,8499908	0,4055454	0,9999837	0,9742937	0,4329207	0,9671376	0,4789256	0,0762792	0,7384782	0,9479943	0,7093070	0,2006486	0,5440855	0,8652150	0,1628923
100	0,5511139	0,7045223	0,0597988	0,0955290	0,6572454	0,9990687	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107889	0,2375837	0,4767253	0,6446282	0,7054435	0,8085198	0,8543225	0,4055453	0,9999837	0,9742960	0,4329237	0,9671352	0,4789279	0,0763147	0,7845027	0,9479946	0,7238204	0,2006486	0,5659890	0,8652150	0,1520698
120	0,5511139	0,7045223	0,0597998	0,0955649	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107887	0,2375836	0,4769049	0,6472604	0,7257572	0,8360274	0,8576702	0,4055451	0,9999837	0,9742975	0,4329258	0,9671336	0,4789296	0,0763454	0,8151373	0,9479948	0,7339886	0,2006486	0,5815824	0,8652150	0,1439075
140	0,5511139	0,7045223	0,0598007	0,0955959	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107886	0,2375836	0,4770593	0,6491823	0,7392111	0,8547557	0,8601864	0,4055451	0,9999837	0,9742985	0,4329273	0,9671324	0,4789310	0,0763719	0,8349394	0,9479949	0,7408760	0,2006486	0,5923133	0,8652150	0,1379571
160	0,5511139	0,7045223	0,0598014	0,0956225	0,6572454	0,9990686	0,4590286	0,0340355	0,9999499	0,2595833	0,8620457	0,6107885	0,2375835	0,4771920	0,6505528	0,7479158	0,8672133	0,8620434	0,4055450	0,9999837	0,9742992	0,4329282	0,9671316	0,4789320	0,0763948	0,8474915	0,9479950	0,7454313	0,2006486	0,5995228	0,8652150	0,1337224
