"Time"	araC	crp	rhaR	rhaS	melR	malI	feaR	zraR	mtlR	rbsR	rbsD	rbsA	araA	rhaA	araB	zraS	araG	rbsB	melA	rbsK	melB	araF	rbsC	rhaB	rhaD	araJ	araD	araE	malX	araH	malY	xylA

0	0,4600310	0,4052256	0,0410217	0,0535332	0,6748229	0,8914626	0,3159587	0,0179494	0,6958794	0,1504849	0,5747069	0,5104852	0,2468555	0,2024072	0,3675573	0,4318854	0,4194088	0,6297554	0,3212956	0,7852364	0,6933003	0,2780087	0,7320840	0,3442411	0,0409579	0,3213667	0,6505840	0,4111506	0,1622317	0,2701057	0,5333850	0,1257614
20	0,3931377	0,4901813	0,1274320	0,0433176	0,5016458	0,7591174	0,3135419	0,0261432	0,7838550	0,3137657	0,5994543	0,4219079	0,1709318	0,2320961	0,4701417	0,3124447	0,3765313	0,6146284	0,2516559	0,6134285	0,6823497	0,3212966	0,7340184	0,3510088	0,0535844	0,2943336	0,5478390	0,5546150	0,1606982	0,3033339	0,5805684	0,1786600
40	0,3315212	0,5934131	0,0392733	0,0295093	0,5127822	0,6945247	0,3257662	0,0233905	0,7755579	0,2327942	0,6686335	0,4684445	0,2411128	0,2810827	0,4586131	0,3836164	0,5005999	0,5777519	0,2854557	0,6236207	0,6504941	0,3639253	0,7905135	0,3219972	0,0659468	0,3950209	0,6557401	0,5069418	0,1484248	0,4057097	0,5792380	0,1852236
60	0,5385625	0,5940784	0,0324913	0,0452258	0,4701855	0,7157997	0,3768583	0,0123848	0,8252445	0,1912900	0,6200217	0,4211300	0,1369681	0,2516013	0,4292985	0,4894842	0,6942098	0,6020446	0,3203171	0,6883143	0,6933571	0,3840755	0,6587484	0,3668529	0,0471861	0,3964613	0,5971602	0,4343549	0,1806405	0,3736085	0,5165718	0,1650497
80	0,3404902	0,4908835	0,0463938	0,0583685	0,4142538	0,7414742	0,4600822	0,0159486	0,8208318	0,2169631	0,6714735	0,4501766	0,1779566	0,2391493	0,5083824	0,4959219	0,6425476	0,5033339	0,2997108	0,7307507	0,6320085	0,4011768	0,6627888	0,3137860	0,0331678	0,4125128	0,6483862	0,5072881	0,1217869	0,3023365	0,5504232	0,1219357
100	0,2976647	0,4815124	0,0363798	0,0700102	0,4900783	0,7392662	0,3527510	0,0079997	0,5916169	0,1484814	0,6637428	0,3382949	0,2526193	0,2249932	0,5664649	0,4407419	0,5501162	0,5715479	0,3364500	0,8301747	0,7851633	0,3656747	0,7537765	0,3132174	0,0573495	0,5394887	0,6683767	0,5261581	0,0816443	0,4660151	0,4781231	0,1199194
120	0,4288463	0,5683553	0,0588074	0,0562242	0,4022331	0,5936643	0,3036356	0,0288229	0,6094570	0,1820747	0,5612343	0,4504666	0,2701336	0,2442245	0,4776608	0,5143931	0,6330190	0,5275965	0,3244069	0,8563224	0,6562711	0,3604649	0,7553715	0,3979315	0,0531491	0,6224538	0,7060565	0,4612635	0,1664370	0,3898608	0,6865930	0,1169137
140	0,3215982	0,5053556	0,0357073	0,0281260	0,4560983	0,6889204	0,2946356	0,0192227	0,7154110	0,1933964	0,6204020	0,4538642	0,1421033	0,3211639	0,4341149	0,5353295	0,7092415	0,5107806	0,2971656	0,8297341	0,7753947	0,3895277	0,7289494	0,3831810	0,0291118	0,6020998	0,7479579	0,5314976	0,1527980	0,4190028	0,6655689	0,1344966
160	0,3653403	0,4420475	0,0207996	0,0339541	0,4903010	0,7122877	0,3045407	0,0121866	0,6760089	0,1986437	0,6658711	0,4122692	0,1771596	0,2221016	0,3790209	0,5154139	0,6678329	0,6335396	0,2904021	1,0543757	0,7642298	0,3626187	0,7845568	0,3573427	0,1049113	0,6705790	0,6128150	0,5376160	0,1503835	0,3667155	0,6512413	0,0939219
