"Time"	ihfB	hipA	hipB	yeiL	tdcA	tdcR	yiaJ	ompR	bolA	csgD	tdcG	tdcF	tdcB	tdcD	tdcE	tdcC	lyxK	yiaN	yiaO	sgbH	sgbE	sgbU	yiaK	yiaL	yiaM	sra	ompC	csgG	csgF	csgE	ompF	micF

0	0,4146209	0,1824071	0,4281359	0,4130452	0,5054554	0,7586565	0,5827690	0,5911131	0,3092900	0,6238877	0,8096547	0,6800094	0,4424723	0,6317514	0,5155850	0,4243132	0,2844034	0,0375916	0,7091754	0,1600446	0,2470657	0,2465478	0,0044592	0,0739371	0,3287493	0,3586837	0,6445582	0,3800556	0,2007834	0,7299379	0,5109090	0,8417689
20	0,3072731	0,1582564	0,3360070	0,4251914	0,6519478	0,6587405	0,5406214	0,4910302	0,2531636	0,6694289	0,8337817	0,6737956	0,5335774	0,7991258	0,5190165	0,3437779	0,2686646	0,1711181	0,5336564	0,1954608	0,4063790	0,2994727	0,0202329	0,1244432	0,4037678	0,2569441	0,5494795	0,3186079	0,1622306	0,6168094	0,4652685	0,3913627
40	0,3982378	0,1534452	0,3337797	0,5779613	0,4981697	0,6131197	0,5864295	0,4635279	0,2743067	0,5683412	0,7297175	0,5571905	0,5444108	0,7117759	0,4990187	0,3894272	0,2728535	0,3338714	0,3529258	0,2973320	0,4667069	0,3262926	0,0086235	0,0779858	0,4267012	0,2283719	0,5241901	0,2847611	0,2203206	0,7451885	0,4597974	0,2422992
60	0,2640988	0,2407578	0,4473800	0,4067681	0,5225947	0,6004082	0,5450178	0,4986670	0,3483305	0,5367574	0,7689325	0,7247926	0,5114863	0,8018083	0,5449380	0,3801542	0,2836464	0,4590337	0,2387715	0,2272657	0,4349535	0,3466795	0,0071964	0,1213437	0,4875104	0,2223847	0,4925474	0,2202959	0,1604589	0,7257634	0,5636393	0,2045962
80	0,4003900	0,0942240	0,3777433	0,5466636	0,6248469	0,7914239	0,5903715	0,5268618	0,2680671	0,6301539	0,6900450	0,5726539	0,4725701	0,6801282	0,5382152	0,4101404	0,2984833	0,4110813	0,1480367	0,2611940	0,4903333	0,3041916	0,0056149	0,1026286	0,5098480	0,1723080	0,4849934	0,3254112	0,2005923	0,6781188	0,7438609	0,1168916
100	0,3504732	0,1279364	0,4325315	0,4585081	0,7183628	0,6086814	0,5868676	0,4887425	0,3058542	0,4987849	0,5827908	0,5680848	0,6764523	0,7529952	0,5804207	0,4141123	0,3565830	0,4407457	0,0917546	0,2821059	0,5165383	0,4039900	0,0061021	0,1883019	0,5221311	0,1106336	0,5160668	0,2610338	0,1727680	0,6952366	0,5784504	0,1064338
120	0,3172641	0,1350943	0,3244293	0,4882195	0,5925848	0,6537980	0,5975993	0,5575830	0,3130940	0,6113300	0,6142246	0,6948776	0,6338483	0,7990853	0,6527935	0,4771622	0,2869683	0,4637789	0,1329304	0,2827826	0,4440967	0,3394204	0,0205546	0,0810732	0,5325308	0,1157862	0,6234702	0,3484433	0,2684240	0,6697217	0,6647386	0,1028959
140	0,3106741	0,1133717	0,3352162	0,4891278	0,6625463	0,6464923	0,5695244	0,4380035	0,3098063	0,5102317	0,6530049	0,6373131	0,6933013	0,6944394	0,5579418	0,3634642	0,2594086	0,3598947	0,0957680	0,2829993	0,4618835	0,3187958	0,0064471	0,1178375	0,5794933	0,1545966	0,5351896	0,2239880	0,2270050	0,5680705	0,6104778	0,1048379
160	0,3087160	0,1197272	0,3365316	0,4200460	0,5634444	0,6693611	0,5448919	0,4409686	0,3324950	0,4762385	0,7025299	0,5627396	0,7217322	0,7613357	0,6118848	0,4101932	0,2630509	0,3930899	0,0348959	0,2111965	0,5170072	0,4154055	0,0091265	0,1342811	0,4358358	0,1819984	0,6164663	0,2778362	0,1901958	0,5971963	0,5011483	0,1306614
180	0,3823057	0,1135229	0,2933743	0,4727983	0,5751367	0,5709312	0,5810597	0,4297943	0,2996077	0,4687188	0,7285664	0,6101065	0,6217742	0,7035944	0,5791762	0,4591285	0,2473621	0,4591217	0,0484593	0,2260895	0,4103161	0,3537507	0,0112134	0,1060981	0,5572860	0,1071181	0,4885250	0,3217170	0,1589277	0,6700075	0,5282500	0,0584675
200	0,4035195	0,0886791	0,2775039	0,4791308	0,6249953	0,5468088	0,5609038	0,4464124	0,2784136	0,6884874	0,6042665	0,7552269	0,6607304	0,6452018	0,8076752	0,4336946	0,2515450	0,4236336	0,0607130	0,1991628	0,4635740	0,3469342	0,0030357	0,0848373	0,5506797	0,1430988	0,5350415	0,2032401	0,2151467	0,7192879	0,6261938	0,1081907
220	0,4023595	0,0983734	0,3451601	0,3630348	0,7076082	0,5954576	0,6471617	0,4374047	0,3609526	0,5096722	0,7638864	0,5461123	0,6137964	0,7018876	0,5720537	0,4301817	0,2375414	0,4531147	0,0357648	0,2076445	0,4474584	0,3713014	0,0104110	0,0845195	0,4834051	0,1035626	0,5777196	0,2348858	0,2235114	0,6830266	0,6310074	0,0933380
240	0,4086247	0,1577801	0,3579674	0,4919811	0,5003753	0,8036387	0,5668526	0,3923613	0,3712153	0,5399426	0,8700762	0,7006405	0,6028517	0,7455386	0,7087177	0,4867083	0,2899213	0,5335633	0,0521005	0,2532810	0,4488948	0,3282057	0,0120443	0,1908416	0,4947109	0,0853939	0,4548028	0,2131872	0,1502482	0,6827091	0,7120665	0,1017650
260	0,3952438	0,1269653	0,3639484	0,4536648	0,6358795	0,6603490	0,5326442	0,4214032	0,3310934	0,4241032	0,7586189	0,6469191	0,5861081	0,8377330	0,5319673	0,3902460	0,3063573	0,5161337	0,0426265	0,2523311	0,5659340	0,3425265	0,0064539	0,1126457	0,4788435	0,0934817	0,5964229	0,3063907	0,1527911	0,7101148	0,6008667	0,0907896
280	0,3309543	0,1436689	0,2761149	0,5277742	0,7590854	0,6045305	0,5950341	0,3287730	0,4193071	0,5418469	0,8550487	0,5872587	0,4989200	0,6632030	0,5457200	0,3300935	0,3458508	0,4802872	0,0393677	0,2048963	0,5242131	0,3085305	0,0113495	0,1035832	0,6409179	0,1268420	0,5186867	0,2128478	0,1856978	0,6633010	0,6434103	0,1046321
300	0,3557252	0,1964496	0,2708058	0,5554691	0,6162667	0,7813429	0,6714378	0,3891013	0,3136458	0,4070385	0,7779744	0,6026638	0,5663408	0,6556675	0,6310120	0,4298947	0,2993832	0,3992859	0,0451013	0,2253042	0,4888694	0,4201577	0,0047666	0,1261087	0,4694211	0,1287852	0,6002051	0,2543315	0,1134873	0,6189243	0,7243665	0,1012848
